ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTINDUSTRY,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACTIVITYID,AMOUNT,CLOSEDATE,CREATEDDATE,DAYSSINCELASTACTIVITY,EXPECTEDREVENUE,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,OPPORTUNITYAGE,OPPORTUNITYNAME,OPPORTUNITYOWNER,OWNERCITY,OWNERID,OWNERSMALLPHOTOURL,OWNERSTATE,PROBABILITY,RECORDTYPENAME,STAGE,STAGENAME,STAGESORTORDER,TIMEINSTAGEDURATIONSECONDS,LastProcessedDate
Platinum,001B000000SS4MRIA1,Entertainment,High Net Worth Families,Cree,Activity 307,65000,2019-10-31,2019-07-07,560,65000,Omitted,006B00000049VkDIAU,true,false,Fields Sales,366,Cree - 65k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,4808677,2020-05-25
Gold,001B000000WJEHMIA5,Media,High Net Worth Families,Plan Express,Activity 107,55000,2020-10-27,2019-11-06,228,55000,Best Case,006B00000049ViaIAE,false,false,Fields Sales,244,Plan Express - 55k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,CA,20,Channel (Partner),Qualification,Qualification,2,60415593,2020-05-25
Platinum,001B000000SS3jlIAD,Agriculture,Mass Market,Ricoh Corporation - CA,Activity 64,45000,2020-02-23,2019-12-19,347,45000,Closed,006B00000049VXyIAM,true,true,Fields Sales,201,Ricoh Corporation - CA - 45k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,38752363,2020-05-25
Silver,001B000000bwMe9IAE,Transportation,Retired,eSellSolutions.com,Activity 629,90000,2019-01-20,2019-07-27,764,90000,Omitted,006B0000004t2ZEIAY,true,false,Other,346,eSellSolutions.com - 90k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,43354880,2020-05-25
Gold,001B000000SS4lCIAT,Engineering,High Net Worth Families,BuyerZone.com,Activity 231,70000,2020-04-19,2019-10-11,318,70000,Omitted,006B00000049UzrIAE,true,false,Fields Sales,270,BuyerZone.com - 70k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,42901709,2020-05-25
Gold,001B000000SS4HlIAL,Communications,Mass Market,Clicknsettle Com,Activity 668,150000,2018-12-03,2019-08-10,860,150000,Closed,006B0000003Wbu1IAC,true,true,Reseller,332,Clicknsettle Com - 150k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,100,Simple,Closed Won,Closed Won,8,56684927,2020-05-25
Gold,001B000000SS4ACIA1,Hospitality,Mass Market,Automated Financial Systems,Activity 11,48500,2020-06-07,2019-09-03,334,48500,Omitted,006B0000003WbjgIAC,true,false,Fields Sales,308,Automated Financial Systems - 48.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Simple,Closed Lost,Closed Lost,9,14438775,2020-05-25
Platinum,001B000000lwNoSIAU,Consulting,Affluent Professionals,Cohu,Activity 337,41000,2019-10-05,2019-09-13,499,41000,Closed,006B00000049UnqIAE,true,true,Fields Sales,298,Cohu - 41k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,100,Simple,Closed Won,Closed Won,8,58482119,2020-05-25
Gold,001B000000SS47yIAD,Media,Retired,Gladstone,Activity 705,77500,2019-04-03,2019-11-25,687,77500,Omitted,006B0000003WbhnIAC,true,false,Fields Sales,225,Gladstone - 77.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,17935251,2020-05-25
Gold,001B000000SS41XIAT,Chemicals,Retired,Inceptor,Activity 92,200000,2020-02-09,2019-09-08,454,200000,Closed,006B0000003WbYSIA0,true,true,Reseller,303,Inceptor - 200k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Channel (Partner),Closed Won,Closed Won,8,16003252,2020-05-25
Gold,001B000000SS4ohIAD,Consulting,High Net Worth Families,Republican Party of Indiana,Activity 315,33500,2019-10-21,2019-12-06,479,33500,Omitted,006B0000003n2cPIAQ,true,false,Reseller,214,Republican Party of Indiana - 33.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,4195733,2020-05-25
Platinum,001B000000bwMaXIAU,Energy,Affluent Professionals,Netfarm,Activity 180,50000,2020-11-16,2019-10-31,239,50000,Commit,006B00000049VGEIA2,false,false,Fields Sales,250,Netfarm - 50k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,20,Simple,Qualification,Qualification,2,51435199,2020-05-25
Gold,001B000000SS3iUIAT,Technology,High Net Worth Families,Fidelity Infomation Services / Malvern Office,Activity 327,172500,2019-09-20,2019-11-24,529,172500,Omitted,006B00000049VWaIAM,true,false,Reseller,226,Fidelity Infomation Services / Malvern Office - 172.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,39628755,2020-05-25
Platinum,001B000000lwNviIAE,Machinery,Mass Market,Yuba Heat Transfer Division,Activity 487,60000,2019-04-25,2019-07-07,683,60000,Omitted,006B0000004t2YdIAI,true,false,Reseller,366,Yuba Heat Transfer Division - 60k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,0,Simple,Closed Lost,Closed Lost,9,47926104,2020-05-25
Gold,001B000000SS4y9IAD,Banking,Affluent Professionals,AMERICORP,Activity 405,60000,2019-06-09,2019-08-17,609,60000,Omitted,006B00000049VNDIA2,true,false,Fields Sales,325,AMERICORP - 60k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Channel (Partner),Closed Lost,Closed Lost,9,26000111,2020-05-25
Silver,001B000000SS4UAIA1,Retail,Millennials,Good Source Solutions Inc,Activity 355,22500,2019-08-06,2019-07-14,689,22500,Closed,006B00000049UgqIAE,true,true,Reseller,359,Good Source Solutions Inc - 22.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,100,Simple,Closed Won,Closed Won,8,52345140,2020-05-25
Gold,001B000000SS3zkIAD,Banking,High Net Worth Families,Enamics,Activity 747,35500,2018-08-18,2019-12-06,913,35500,Omitted,006B0000004t2T2IAI,true,false,Fields Sales,214,Enamics - 35.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,10694424,2020-05-25
Platinum,001B000000SS4lzIAD,Shipping,Retired,IDG Books,Activity 508,20900,2019-03-11,2019-10-17,712,20900,Omitted,006B0000004t2QdIAI,true,false,Reseller,264,IDG Books - 20.9k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Closed Lost,Closed Lost,9,7579183,2020-05-25
Platinum,001B000000SS4HuIAL,Hospitality,Retired,M 3,Activity 671,47500,2019-10-03,2019-07-26,526,47500,Omitted,006B0000003WbuFIAS,true,false,Fields Sales,347,M 3 - 47.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,0,Advanced,Closed Lost,Closed Lost,9,41040042,2020-05-25
Gold,001B000000bwMceIAE,Chemicals,Mass Market,Dow Jones & Company,Activity 441,72000,2019-10-09,2019-11-18,509,72000,Omitted,006B0000003n2wtIAA,true,false,Reseller,232,Dow Jones & Company - 72k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,NY,0,Channel (Partner),Closed Lost,Closed Lost,9,25724749,2020-05-25
Gold,001B000000SS3p7IAD,Consulting,Mass Market,Dicon Fiberoptics,Activity 621,40000,2020-02-27,2019-06-16,358,40000,Commit,006B0000003X0yJIAS,false,false,Fields Sales,387,Dicon Fiberoptics - 40k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,NY,75,Simple,Proposal/Quote,Proposal/Quote,5,10417623,2020-05-25
Gold,001B000000SS4XLIA1,Engineering,Affluent Professionals,Abovo Marketing Group Inc,Activity 273,95000,2020-04-22,2019-09-03,395,95000,Omitted,006B00000049Um9IAE,true,false,Fields Sales,308,Abovo Marketing Group Inc - 95k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,61598114,2020-05-25
Platinum,001B000000SS4T0IAL,Recreation,High Net Worth Families,Gas Equipment Company,Activity 402,65500,2019-06-16,2019-07-16,695,65500,Closed,006B0000003n21LIAQ,true,true,Other,357,Gas Equipment Company - 65.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,100,Simple,Closed Won,Closed Won,8,39412959,2020-05-25
Gold,001B000000SS4rRIAT,Shipping,Retired,Bluepoint,Activity 456,100000,2020-01-10,2019-09-29,457,100000,Closed,006B0000003n2jfIAA,true,true,Reseller,282,Bluepoint - 100k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,21715054,2020-05-25
Platinum,001B000000WJEHxIAP,Transportation,Millennials,3Fusion,Activity 114,75000,2020-11-01,2019-10-12,242,75000,Best Case,006B00000049VjmIAE,false,false,Fields Sales,269,3Fusion - 75k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Channel (Partner),Discovery,Discovery,0,44917404,2020-05-25
Silver,001B000000SS456IAD,Biotechnology,Retired,Honor Schools,Activity 200,64000,2020-01-30,2019-11-24,375,64000,Closed,006B00000049VEMIA2,true,true,Fields Sales,226,Honor Schools - 64k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,58149002,2020-05-25
Gold,001B000000SS3znIAD,Shipping,Affluent Professionals,FMC Airport Systems Division / Jetway Division,Activity 4,42500,2020-06-06,2019-12-07,254,42500,Closed,006B00000049V8uIAE,true,true,Telesales,213,FMC Airport Systems Division / Jetway Division - 42.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,20720421,2020-05-25
Gold,001B000000WJE3HIAX,Engineering,Retired,Veolia Transportation,Activity 503,50500,2019-03-05,2019-12-02,716,50500,Omitted,006B00000049VWmIAM,true,false,Fields Sales,218,Veolia Transportation - 50.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,17724011,2020-05-25
Silver,001B000000SS3owIAD,Manufacturing,Retired,LCI Shipholdings Inc,Activity 145,45500,2019-06-13,2019-09-11,700,45500,Closed,006B0000003hgNrIAI,true,true,Fields Sales,300,LCI Shipholdings Inc - 45.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Simple,Closed Won,Closed Won,8,19404767,2020-05-25
Silver,001B000000SS4zmIAD,Education,Retired,Sabre Flight Explorer,Activity 164,37500,2020-10-23,2019-10-17,250,37500,Best Case,006B00000049VQ2IAM,false,false,Fields Sales,264,Sabre Flight Explorer - 37.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,0,Simple,Discovery,Discovery,0,34554894,2020-05-25
Gold,001B000000WJE4nIAH,Education,Affluent Professionals,Round Table Group,Activity 354,80000,2019-08-18,2019-09-23,583,80000,Omitted,006B00000049VaeIAE,true,false,Reseller,288,Round Table Group - 80k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,NY,0,Simple,Closed Lost,Closed Lost,9,57568392,2020-05-25
Silver,001B000000sxKP2IAM,Environmental,Retired,Global Trust Institute,Activity 642,62500,2018-12-23,2019-07-13,873,62500,Omitted,006B0000004t2ZwIAI,true,false,Fields Sales,360,Global Trust Institute - 62.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,31127472,2020-05-25
Gold,001B000000SS3yuIAD,Entertainment,Millennials,stealthcfo.com,Activity 729,85000,2018-09-08,2019-12-08,886,85000,Omitted,006B0000004t2SrIAI,true,false,Fields Sales,212,stealthcfo.com - 85k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Closed Lost,Closed Lost,9,27702248,2020-05-25
Silver,001B000000SS4UnIAL,Recreation,High Net Worth Families,iTendo,Activity 278,52500,2020-07-27,2019-11-30,220,52500,Best Case,006B00000049UhrIAE,false,false,Fields Sales,220,iTendo - 52.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,20,Simple,Qualification,Qualification,2,30661334,2020-05-25
Gold,001B000000SS4tgIAD,Shipping,Millennials,NDS Systems,Activity 599,50000,2020-06-18,2019-06-14,388,50000,Pipeline,006B0000003X11HIAS,false,false,Fields Sales,389,NDS Systems - 50k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,20,Simple,Qualification,Qualification,2,37842010,2020-05-25
Silver,001B000000SS3qEIAT,Not For Profit,High Net Worth Families,Ganador Sports Inc,Activity 625,62500,2020-03-15,2019-06-28,359,62500,Best Case,006B0000003X0yVIAS,false,false,Fields Sales,375,Ganador Sports Inc - 62.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,35,Simple,Needs Analysis,Needs Analysis,3,22971244,2020-05-25
Gold,001B000000SS4IKIA1,Financial Services,Affluent Professionals,Miller Associates,Activity 673,62500,2018-12-27,2019-09-30,843,62500,Omitted,006B0000003WbuqIAC,true,false,Reseller,281,Miller Associates - 62.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,0,Simple,Closed Lost,Closed Lost,9,24945855,2020-05-25
Platinum,001B000000SS4HaIAL,Education,High Net Worth Families,Root Group Inc,Activity 88,42500,2020-02-22,2019-08-01,429,42500,Closed,006B00000049VSKIA2,true,true,Reseller,341,Root Group Inc - 42.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,100,Simple,Closed Won,Closed Won,8,30275174,2020-05-25
Platinum,001B000000SS4CmIAL,Machinery,High Net Worth Families,MegaPath Cloud Company,Activity 684,72500,2018-09-28,2019-08-31,935,72500,Omitted,006B0000003WbnhIAC,true,false,Fields Sales,311,MegaPath Cloud Company - 72.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,0,Advanced,Closed Lost,Closed Lost,9,38968413,2020-05-25
Gold,001B000000SS4AdIAL,Telecommunications,High Net Worth Families,Methanex Methanol Co,Activity 404,35000,2019-06-07,2019-09-26,615,35000,Closed,006B00000049VKvIAM,true,true,Fields Sales,285,Methanex Methanol Co - 35k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,100,Simple,Closed Won,Closed Won,8,31073346,2020-05-25
Silver,001B000000lwNrJIAU,Not For Profit,Retired,United Refrigeration,Activity 489,27500,2019-04-11,2019-11-14,681,27500,Omitted,006B00000049VdIIAU,true,false,Fields Sales,236,United Refrigeration - 27.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,0,Simple,Closed Lost,Closed Lost,9,17396408,2020-05-25
Gold,001B000000SS43QIAT,Biotechnology,Retired,Excel Consulting,Activity 212,54000,2020-01-17,2019-12-03,389,54000,Closed,006B00000049VCjIAM,true,true,Fields Sales,217,Excel Consulting - 54k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Channel (Partner),Closed Won,Closed Won,8,19788382,2020-05-25
Gold,001B000000WJDyVIAX,Healthcare & Life Sciences,Mass Market,Cost Engineering,Activity 513,65500,2019-02-17,2019-12-18,720,65500,Omitted,006B0000003hg0DIAQ,true,false,Fields Sales,202,Cost Engineering - 65.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,0,Channel (Partner),Closed Lost,Closed Lost,9,6729919,2020-05-25
Gold,001B000000SS4MIIA1,Electronics,High Net Worth Families,Timken Latrobe Steel,Activity 660,77000,2019-04-13,2019-07-05,781,77000,Closed,006B0000003WbzdIAC,true,true,Fields Sales,368,Timken Latrobe Steel - 77k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,100,Advanced,Closed Won,Closed Won,8,21955606,2020-05-25
Gold,001B000000SS4GZIA1,Government,Affluent Professionals,Cardiac Science,Activity 663,30600,2018-12-05,2019-06-27,817,30600,Closed,006B0000003WbscIAC,true,true,Fields Sales,376,Cardiac Science - 30.6k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,100,Simple,Closed Won,Closed Won,8,34033232,2020-05-25
Gold,001B000000lwNuZIAU,Environmental,Retired,Texbidcom Inc,Activity 177,85000,2020-09-20,2019-09-26,242,85000,Commit,006B0000003X124IAC,false,false,Fields Sales,285,Texbidcom Inc - 85k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Discovery,Discovery,0,1026290,2020-05-25
Silver,001B000000SS3pLIAT,Chemicals,Retired,FreeDecision.com Inc,Activity 134,60000,2020-07-15,2019-10-04,239,60000,Best Case,006B00000049Ve5IAE,false,false,Reseller,277,FreeDecision.com Inc - 60k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,90,Simple,Negotiation,Negotiation,7,33294888,2020-05-25
Silver,001B000000SS4MfIAL,Food & Beverage,Millennials,Asparity Decision Solutions   Inc,Activity 120,200000,2020-05-14,2019-09-09,305,200000,Omitted,006B00000049VkYIAU,true,false,Fields Sales,302,Asparity Decision Solutions   Inc - 200k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,0,Simple,Closed Lost,Closed Lost,9,40188612,2020-05-25
Silver,001B000000sxHkwIAE,Telecommunications,Affluent Professionals,Digital Envoy,Activity 521,42500,2019-02-13,2019-09-25,746,42500,Closed,006B0000004t2L1IAI,true,true,Telesales,286,Digital Envoy - 42.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Simple,Closed Won,Closed Won,8,54188482,2020-05-25
Gold,001B000000SS40dIAD,Energy,Mass Market,MachineTools.com,Activity 42,75000,2020-05-22,2019-10-03,276,75000,Closed,006B0000003WbXQIA0,true,true,Reseller,278,MachineTools.com - 75k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,2572147,2020-05-25
Platinum,001B000000SS4kjIAD,Telecommunications,High Net Worth Families,Polar Truck Sales,Activity 363,115000,2019-07-17,2019-11-13,605,115000,Omitted,006B00000049Uz1IAE,true,false,Fields Sales,237,Polar Truck Sales - 115k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,0,Simple,Closed Lost,Closed Lost,9,23849632,2020-05-25
Gold,001B000000SS3YUIA1,Transportation,Millennials,Intellistream Technologies Inc,Activity 49,62500,2020-04-26,2019-09-14,315,62500,Omitted,006B00000049UogIAE,true,false,Fields Sales,297,Intellistream Technologies Inc - 62.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,0,Channel (Partner),Closed Lost,Closed Lost,9,4711457,2020-05-25
Gold,001B000000SS52UIAT,Entertainment,Mass Market,Liquid Engines,Activity 76,62500,2020-03-06,2019-09-05,351,62500,Omitted,006B00000049VUUIA2,true,false,Fields Sales,306,Liquid Engines - 62.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,16495556,2020-05-25
Platinum,001B000000SS47mIAD,Government,High Net Worth Families,Acorn Technowlogies,Activity 708,29000,2019-10-03,2019-08-22,540,29000,Closed,006B0000003WbhYIAS,true,true,Fields Sales,320,Acorn Technowlogies - 29k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,100,Simple,Closed Won,Closed Won,8,43116656,2020-05-25
Gold,001B000000WJEBAIA5,Telecommunications,Mass Market,Valassis Communications,Activity 738,21000,2018-09-10,2019-11-21,891,21000,Closed,006B0000004t2UTIAY,true,true,Fields Sales,229,Valassis Communications - 21k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,20105410,2020-05-25
Platinum,001B000000SS4uzIAD,Chemicals,Millennials,Centurion Industries,Activity 187,110000,2020-08-02,2019-09-05,231,110000,Best Case,006B00000049VI1IAM,false,false,Fields Sales,306,Centurion Industries - 110k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,75,Simple,Proposal/Quote,Proposal/Quote,5,22689517,2020-05-25
Platinum,001B000000SS3T3IAL,Agriculture,High Net Worth Families,Burns & McDonnell Engineering Company,Activity 492,30500,2019-05-20,2019-07-25,752,30500,Closed,006B0000004t2JDIAY,true,true,Other,348,Burns & McDonnell Engineering Company - 30.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,100,Channel (Partner),Closed Won,Closed Won,8,20131177,2020-05-25
Platinum,001B000000WJE2rIAH,Transportation,Affluent Professionals,Tiron America,Activity 709,75000,2020-01-28,2019-11-24,386,75000,Closed,006B0000003WbA3IAK,true,true,Fields Sales,226,Tiron America - 75k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,13293431,2020-05-25
Silver,001B000000WJEGDIA5,Not For Profit,High Net Worth Families,4M Building Solutions,Activity 333,100000,2019-09-10,2019-07-01,519,100000,Omitted,006B00000049VTAIA2,true,false,Fields Sales,372,4M Building Solutions - 100k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Simple,Closed Lost,Closed Lost,9,57260950,2020-05-25
Gold,001B000000sxHkqIAE,Construction,Affluent Professionals,Mountain Side Farms,Activity 740,75000,2018-08-26,2019-12-08,904,75000,Closed,006B0000004t2K0IAI,true,true,Fields Sales,212,Mountain Side Farms - 75k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,100,Simple,Closed Won,Closed Won,8,51953708,2020-05-25
Silver,001B000000SS45sIAD,Construction,Mass Market,Safewww,Activity 51,90000,2020-05-22,2019-07-25,333,90000,Omitted,006B00000049VFNIA2,true,false,Fields Sales,348,Safewww - 90k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,FL,0,Channel (Partner),Closed Lost,Closed Lost,9,59114909,2020-05-25
Gold,001B000000SS4KWIA1,Education,Affluent Professionals,RiskMetrics Group,Activity 82,150000,2020-02-04,2019-11-30,368,150000,Closed,006B00000049VhvIAE,true,true,Fields Sales,220,RiskMetrics Group - 150k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,100,Channel (Partner),Closed Won,Closed Won,8,10139055,2020-05-25
Gold,001B000000SS3cZIAT,Transportation,High Net Worth Families,Paintball,Activity 6,55000,2019-02-03,2019-10-07,736,55000,Omitted,006B0000003Wb41IAC,true,false,Reseller,274,Paintball - 55k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,0,Simple,Closed Lost,Closed Lost,9,61837662,2020-05-25
Gold,001B000000WJE6UIAX,Technology,Millennials,American Networks International,Activity 368,41000,2019-08-15,2019-09-23,560,41000,Closed,006B0000003n2W8IAI,true,true,Reseller,288,American Networks International - 41k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,100,Channel (Partner),Closed Won,Closed Won,8,32395949,2020-05-25
