"Emission_Category","AccountId","Energy_Consumption","Ground_Travel_Emissions_Category","LastProcessedDate","Consumption_Type","City","RenewalEnergy","Vendor","Date","Business_Travel_Type","Emission_Type","Emission_Source","Country","AccountExternalId","GTE_Value","Cost_Center_Name","AccountName","Electricity_Consumption_Value","Energy_Consumption_Value","Emission_Value","Emissions_from_Business_Travel","Carbon_Intensity"
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-21","Private Jet","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",12,0,56,31000,0.06
"Company Shuttle","001B000001SklaOIAR","Steam","Limousine","2023-03-24","Electricity",,"False","United Airlines","2023-01-19","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",19,0,56,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-16"," Rental Car","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",18,0,45,31000,0.08
"Company Shuttle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-01-14","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",17,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-09","Hotel Stay","Other","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",17,0,45,31000,0.06
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-04","Ground Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",18,0,45,31000,0.04
"Vehicle","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-04-28","Private Jet","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",4,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Biomass","Limousine","2023-03-24","Electricity",,"True","British Airways","2023-04-27","Air Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",22,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-04-22","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,7,78,31000,0.09
"Vehicle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","United Airlines","2023-04-20","Hotel Stay","Hotel Stay","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",2,0,98,31000,0.09
"Vehicle","001B000001SklaOIAR","Wind","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-14","Hotel Stay","Ground Travel","Vehicle","Argentina","SupplierAcct204","2000","LATAM Sales","Yubo LATAM",17,0,78,31000,0.04
"Vehicle","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","United Airlines","2023-04-14","Air Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",0,2,78,31000,0.04
"Vehicle","001B000001SklaOIAR","Natural Gas","Personal Car","2023-03-24","Energy",,"False","United Airlines","2023-04-10","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",0,7,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Limousine","2023-03-24","Electricity",,"True","United Airlines","2023-04-02","Ground Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","2300","LATAM Sales","Yubo LATAM",20,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-03-29","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",20,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-28","Air Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",18,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-03-26","Air Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",23,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","Delta","2023-03-21","Private Jet","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1000","LATAM Sales","Yubo LATAM",0,6,98,31000,0.09
"Vehicle","001B000001SklaOIAR","Wind","Subway","2023-03-24","Electricity",,"True","KLM","2023-03-17","Ground Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",14,0,98,31000,0.08
"Vehicle","001B000001SklaOIAR","Geothermal","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-03-04","Private Jet","Hotel Stay","Vehicle","Argentina","SupplierAcct204","2300","LATAM Sales","Yubo LATAM",6,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","KLM","2023-02-27","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",17,0,78,31000,0.05
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-02-26","Ground Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",16,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-02-24","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",23,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","Delta","2023-02-20","Ground Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",21,0,98,31000,0.11
"Vehicle","001B000001SklaOIAR","Wind","Rental Car","2023-03-24","Electricity",,"True","United Airlines","2023-02-16","Air Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",15,0,78,31000,0.08
"Vehicle","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","Delta","2023-02-14","Private Jet","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,11,98,31000,0.11
"Vehicle","001B000001SklaOIAR","Wind","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-02-13","Ground Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",4,0,98,31000,0.09
"Vehicle","001B000001SklaOIAR","Cooling","Taxi","2023-03-24","Electricity",,"False","Emirates","2023-02-09","Ground Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",5,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-01-10","Air Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",17,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Limousine","2023-03-24","Electricity",,"True","Delta","2023-01-09","Private Jet","Ground Travel","Vehicle","Argentina","SupplierAcct204","1000","LATAM Sales","Yubo LATAM",22,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-07","Private Jet","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",6,0,78,31000,0.08
"Commercial Building","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-04-17","Ground Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",22,0,140,31000,0.13
"Commercial Building","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-13"," Rental Car","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",1,0,140,31000,0.12
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-11","Air Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",3,0,140,31000,0.12
"Commercial Building","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","Delta","2023-02-17","Ground Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",4,0,140,31000,0.13
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-06","Ground Travel","Commercial Building","Commercial Building","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",15,0,112,31000,0.13
"Commercial Building","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-01-03"," Rental Car","Commercial Building","Commercial Building","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",19,0,140,31000,0.12
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-01-01","Private Jet","Commercial Building","Commercial Building","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",22,0,112,31000,0.11
"Data Center Facility","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-03-19"," Rental Car","Data Center Facility","Data Center Facility","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",3,0,112,31000,0.12
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-03-03","Private Jet","Data Center Facility","Data Center Facility","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",16,0,112,31000,0.11
"Data Center Facility","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-01-25","Ground Travel","Data Center Facility","Data Center Facility","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",11,0,140,31000,0.12
"Data Center Facility","001B000001SklaOIAR","Steam","#N/A","2023-03-24","Electricity",,"False","Delta","2023-01-13","Air Travel","Data Center Facility","Data Center Facility","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",2,0,112,31000,0.13
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","KLM","2023-04-22","Private Jet","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",22,0,140,31000,0.13
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-20","Ground Travel","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",1,0,112,31000,0.04
"Equipment","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-03-21","Hotel Stay","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",20,0,140,31000,0.08
"Data Center Facility","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-03-21","Private Jet","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",6,0,140,31000,0.12
"Equipment","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-03-07","Private Jet","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",7,0,112,31000,0.08
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-02","Hotel Stay","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",16,0,112,31000,0.09
"Equipment","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","Delta","2023-02-24","Private Jet","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,7,140,31000,0.08
"Data Center Facility","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","Delta","2023-02-14","Ground Travel","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,1,112,31000,0.12
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-01-30","Air Travel","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",16,0,140,31000,0.05
"Data Center Facility","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","Emirates","2023-01-30","Air Travel","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,10,112,31000,0.08
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-01-28","Ground Travel","Data Center Facility","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",13,0,112,31000,0.08
"Equipment","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-23","Private Jet","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",23,0,112,31000,0.12
"Equipment","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-14","Private Jet","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",15,0,112,31000,0.09
"Equipment","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","KLM","2023-01-14","Hotel Stay","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,5,112,31000,0.12
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-01-03","Private Jet","Equipment","Equipment","Brazil","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",17,0,140,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Wind","Taxi","2023-03-24","Electricity",,"True","KLM","2023-04-30","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",10,0,45,31000,0.04
"Travel","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","KLM","2023-04-27","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",0,1,56,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","United Airlines","2023-04-21","Ground Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",14,0,56,31000,0.09
"Travel","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-04-20","Hotel Stay","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",2,0,45,31000,0.12
"Travel","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","Emirates","2023-04-13","Air Travel","Fleet Vehicle","Travel","Argentina","SupplierAcct204","2300","AMER Sales","Yubo LATAM",20,0,45,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Wind","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-04-09","Ground Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",9,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-04-01","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",2,0,45,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","United Airlines","2023-03-29","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",12,0,45,31000,0.12
"Company Shuttle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-03-27","Hotel Stay","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",23,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Steam","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-03-25"," Rental Car","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",10,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","Delta","2023-03-23","Ground Travel","Fleet Vehicle","Travel","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",0,7,56,31000,0.13
"Travel","001B000001SklaOIAR","Fuel Oil","Subway","2023-03-24","Energy",,"False","United Airlines","2023-03-21","Private Jet","Fleet Vehicle","Travel","Argentina","SupplierAcct204","2000","LATAM Sales","Yubo LATAM",0,7,45,31000,0.09
"Company Shuttle","001B000001SklaOIAR","Natural Gas","Taxi","2023-03-24","Energy",,"False","Emirates","2023-03-16","Ground Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,10,45,31000,0.08
"Travel","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-15","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",17,0,56,31000,0.13
"Travel","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-09","Hotel Stay","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",9,0,56,31000,0.08
"Travel","001B000001SklaOIAR","Fuel Oil","#N/A","2023-03-24","Energy",,"False","British Airways","2023-03-05","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,1,56,31000,0.12
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-05","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",8,0,45,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Heat","Taxi","2023-03-24","Electricity",,"False","KLM","2023-03-04","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",20,0,56,31000,0.08
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-02","Air Travel","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",21,0,45,31000,0.08
"Company Shuttle","001B000001SklaOIAR","Hydroelectricity","Taxi","2023-03-24","Electricity",,"True","Delta","2023-02-26","Private Jet","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",13,0,56,31000,0.08
"Company Shuttle","001B000001SklaOIAR","Diesel","Taxi","2023-03-24","Energy",,"False","Delta","2023-02-20","Private Jet","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,4,56,31000,0.04
"Company Shuttle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","KLM","2023-02-19","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",4,0,56,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Wind","Subway","2023-03-24","Electricity",,"True","KLM","2023-02-10","Air Travel","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",17,0,56,31000,0.08
"Travel","001B000001SklaOIAR","Hydroelectricity","#N/A","2023-03-24","Electricity",,"True","Delta","2023-02-10","Air Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",17,0,45,31000,0.05
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-02-04","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",1,0,45,31000,0.05
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-02-02","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",19,0,45,31000,0.12
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-25","Air Travel","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",6,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-01-16","Private Jet","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",1,0,45,31000,0.08
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","KLM","2023-01-14","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",12,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-01-13","Air Travel","Fleet Vehicle","Travel","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",16,0,45,31000,0.12
"Travel","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","British Airways","2023-01-08","Hotel Stay","Fleet Vehicle","Travel","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",3,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-07","Ground Travel","Other","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",16,0,45,31000,0.09
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-05","Private Jet","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",19,0,56,31000,0.12
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-01-04","Ground Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",4,0,56,31000,0.13
"Travel","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","KLM","2023-01-04","Private Jet","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,8,56,31000,0.08
"Travel","001B000001SklaOIAR","Natural Gas","#N/A","2023-03-24","Energy",,"False","Emirates","2023-01-03","Air Travel","Other","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,10,56,31000,0.12
"Travel","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","United Airlines","2023-01-02","Air Travel","Fleet Vehicle","Travel","Brazil","SupplierAcct204","900","AMER HR","Yubo LATAM",11,0,56,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Diesel","Limousine","2023-03-24","Energy",,"False","United Airlines","2023-01-02","Hotel Stay","Company Shuttle ","Travel","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",0,3,56,31000,0.12
"Vehicle","001B000001SklaOIAR","Hydroelectricity","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-24","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1200","AMER HR","Yubo LATAM",5,0,98,31000,0.08
"Vehicle","001B000001SklaOIAR","Cooling","#N/A","2023-03-24","Electricity",,"False","United Airlines","2023-04-23","Private Jet","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",20,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Wind","Taxi","2023-03-24","Electricity",,"True","Delta","2023-04-19","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","900","AMER HR","Yubo LATAM",21,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Cooling","Subway","2023-03-24","Electricity",,"False","United Airlines","2023-04-14","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1000","AMER HR","Yubo LATAM",21,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","Delta","2023-04-12","Private Jet","Ground Travel","Vehicle","Brazil","SupplierAcct204","1500","AMER HR","Yubo LATAM",13,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Rental Car","2023-03-24","Electricity",,"True","KLM","2023-04-08"," Rental Car","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1200","AMER HR","Yubo LATAM",15,0,98,31000,0.08
"Vehicle","001B000001SklaOIAR","Biomass","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-04-02","Private Jet","Hotel Stay","Vehicle","Brazil","SupplierAcct204","900","AMER Sales","Yubo LATAM",16,0,78,31000,0.12
"Vehicle","001B000001SklaOIAR","Biomass","Subway","2023-03-24","Electricity",,"True","British Airways","2023-03-26","Ground Travel","Ground Travel","Vehicle","Brazil","SupplierAcct204","2000","AMER HR","Yubo LATAM",22,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-25","Air Travel","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",8,0,98,31000,0.08
"Vehicle","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-03-23","Private Jet","Air Travel","Vehicle","Brazil","SupplierAcct204","#N/A","AMER HR","Yubo LATAM",19,0,78,31000,0.09
"Vehicle","001B000001SklaOIAR","Wind","Taxi","2023-03-24","Electricity",,"True","Delta","2023-03-22","Air Travel","Ground Travel","Vehicle","Brazil","SupplierAcct204","2000","AMER HR","Yubo LATAM",4,0,78,31000,0.08
"Vehicle","001B000001SklaOIAR","Diesel","Subway","2023-03-24","Energy",,"False","Delta","2023-03-03","Hotel Stay","Ground Travel","Vehicle","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",0,12,98,31000,0.13
"Vehicle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-02-27","Private Jet","Ground Travel","Vehicle","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",6,0,78,31000,0.04
"Vehicle","001B000001SklaOIAR","Wind","Limousine","2023-03-24","Electricity",,"True","United Airlines","2023-02-24","Ground Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1200","AMER Sales","Yubo LATAM",10,0,98,31000,0.12
"Vehicle","001B000001SklaOIAR","Wind","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-02-17","Private Jet","Hotel Stay","Vehicle","Brazil","SupplierAcct204","2000","AMER Sales","Yubo LATAM",6,0,78,31000,0.13
"Vehicle","001B000001SklaOIAR","Hydroelectricity","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-02-16","Private Jet","Ground Travel","Vehicle","Brazil","SupplierAcct204","1500","AMER Sales","Yubo LATAM",10,0,78,31000,0.06
"Vehicle","001B000001SklaOIAR","Hydroelectricity","Personal Car","2023-03-24","Electricity",,"True","Delta","2023-02-14","Air Travel","Hotel Stay","Vehicle","Brazil","SupplierAcct204","1000","AMER Sales","Yubo LATAM",11,0,78,31000,0.08
