Emission_Category,Energy_Consumption,Ground_Travel_Emissions_Category,Consumption_Type,City,RenewalEnergy,Vendor,Date,Business_Travel_Type,Emission_Type,Emission_Source,Country,Cost_Center_Name,Electricity_Consumption_Value,Energy_Consumption_Value,Emission_Value,Emissions_from_Business_Travel,GTE_Value,Carbon_Intensity
Travel,Solar,,Electricity,New York,True,Delta,2022-04-27,Ground Travel,Private Jet,Travel,United States of America,AMER Sales,11,0,400,31000,,0.45
Data Center Facility,Solar,,Electricity,Paris,True,United Airlines,2022-02-19,Private Jet,Data Center Facility,Data Center Facility,France,General COO,13,0,100,31000,,0.42
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,British Airways,2020-10-15,Air Travel,Other,Travel,United States of America,APAC Sales,22,0,500,7000,,0.42
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,Delta,2021-12-01,Ground Travel,Company Shuttle ,Travel,Japan,EMEA Sales,23,0,100,15000,,0.49
Vehicle,Solar,Subway,Electricity,Tokyo,True,United Airlines,2022-03-31,Air Travel,Hotel Stay,Vehicle,Japan,LATAM Sales,11,0,200,31000,1200,0.28
Data Center Facility,Heat,,Electricity,New York,False,United Airlines,2022-01-29,Ground Travel,Data Center Facility,Equipment,United States of America,APAC Sales,14,0,400,31000,,0.66
Comercial Building,Solar,,Electricity,Dublin,True,Delta,2020-04-04, Rental Car,Comercial Building,Comercial Building,Ireland,EMEA Sales,19,0,100,7000,,0.49
Travel,Diesel,Subway,Energy,Paris,False,Emirates,2021-04-04,Private Jet,Fleet Vehicle,Travel,France,General COO,0,3,100,15000,900,0.68
Travel,Biomass,,Electricity,San Fransisco ,True,United Airlines,2022-03-26,Ground Travel,Other,Travel,United States of America,AMER HR,10,0,400,31000,,0.66
Vehicle,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2022-02-07,Air Travel,Ground Travel,Vehicle,United States of America,LATAM Sales,0,5,500,31000,2300,0.49
Vehicle,Diesel,Taxi,Energy,San Fransisco ,False,United Airlines,2021-05-30,Air Travel,Hotel Stay,Vehicle,United States of America,APAC Sales,0,7,500,15000,1000,0.67
Equipment,Hydroelectricity,,Electricity,Tokyo,True,Delta,2022-03-08,Private Jet,Equipment,Equipment,Japan,EMEA Sales,9,0,150,31000,,0.65
Travel,Cooling,,Electricity,New York,False,Delta,2020-03-10,Ground Travel,Private Jet,Travel,United States of America,EMEA Sales,6,0,500,7000,,0.21
Company Shuttle,Wind,Rental Car,Electricity,Dublin,True,KLM,2022-03-24,Air Travel,Company Shuttle ,Travel,Ireland,APAC Sales,6,0,100,31000,,0.23
Vehicle,Natural Gas,,Energy,Paris,False,British Airways,2022-04-27,Private Jet,Air Travel,Vehicle,France,APAC Sales,0,11,200,31000,,0.66
Equipment,Fuel Oil,,Energy,New York,False,Delta,2021-04-13,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,0,13,400,15000,,0.62
Travel,Biomass,,Electricity,San Fransisco ,True,United Airlines,2022-01-25,Air Travel,Other,Travel,United States of America,EMEA Sales,6,0,500,31000,,0.64
Vehicle,Biomass,,Electricity,San Fransisco ,True,United Airlines,2020-09-16,Ground Travel,Air Travel,Vehicle,United States of America,General COO,1,0,400,7000,,0.41
Travel,Wind,,Electricity,Tokyo,True,KLM,2022-04-15, Rental Car,Private Jet,Travel,Japan,EMEA Sales,17,0,400,31000,,0.22
Data Center Facility,Fuel Oil,,Energy,Paris,False,British Airways,2020-07-26,Hotel Stay,Data Center Facility,Data Center Facility,France,APAC Marketing,0,10,100,7000,,0.62
Vehicle,Wind,Subway,Electricity,Tokyo,True,Delta,2021-04-15,Air Travel,Ground Travel,Vehicle,Japan,EMEA Sales,4,0,200,15000,2000,0.64
Comercial Building,Solar,,Electricity,New York,True,United Airlines,2022-01-18,Private Jet,Comercial Building,Comercial Building,United States of America,APAC Sales,14,0,400,31000,,0.43
Company Shuttle,Hydroelectricity,Subway,Electricity,San Fransisco ,True,Delta,2022-02-27,Private Jet,Company Shuttle ,Travel,United States of America,LATAM Sales,14,0,500,31000,,0.67
Travel,Solar,Taxi,Electricity,San Fransisco ,True,United Airlines,2021-01-05,Air Travel,Fleet Vehicle,Travel,United States of America,General COO,4,0,500,15000,1500,0.48
Vehicle,Diesel,Limousine,Energy,Tokyo,False,United Airlines,2020-03-14,Private Jet,Hotel Stay,Vehicle,Japan,AMER Sales,0,13,200,7000,1500,0.28
Vehicle,Biomass,,Electricity,New York,True,Emirates,2022-03-04,Ground Travel,Air Travel,Vehicle,United States of America,AMER HR,5,0,400,31000,,0.28
Travel,Cooling,,Electricity,Paris,False,United Airlines,2022-01-03,Air Travel,Private Jet,Travel,France,EMEA Sales,7,0,100,31000,,0.48
Travel,Solar,,Electricity,San Fransisco ,True,British Airways,2020-01-10,Ground Travel,Other,Travel,United States of America,APAC Sales,7,0,500,7000,,0.6
Vehicle,Wind,Personal Car,Electricity,Dublin,True,KLM,2021-03-01,Ground Travel,Ground Travel,Vehicle,Ireland,EMEA Sales,6,0,150,15000,2300,0.65
Comercial Building,Solar,,Electricity,Tokyo,True,United Airlines,2022-04-25,Private Jet,Comercial Building,Comercial Building,Japan,APAC Sales,10,0,200,31000,,0.47
Vehicle,Hydroelectricity,Personal Car,Electricity,San Fransisco ,True,Delta,2022-02-14,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,11,0,400,31000,1000,0.42
Equipment,Fuel Oil,,Energy,Paris,False,Delta,2020-08-30,Private Jet,Equipment,Equipment,France,EMEA Sales,0,1,100,7000,,0.6
Company Shuttle,Solar,Personal Car,Electricity,Dublin,True,United Airlines,2022-01-09, Rental Car,Company Shuttle ,Travel,Ireland,LATAM Sales,2,0,100,31000,,0.04
Data Center Facility,Solar,,Electricity,New York,True,Delta,2021-11-12,Ground Travel,Data Center Facility,Data Center Facility,United States of America,APAC Sales,22,0,400,15000,,0.45
Travel,Solar,Subway,Electricity,New York,True,British Airways,2022-01-08,Hotel Stay,Fleet Vehicle,Travel,United States of America,EMEA Sales,3,0,500,31000,1500,0.63
Equipment,Wind,,Electricity,Tokyo,True,Delta,2022-02-02,Air Travel,Equipment,Equipment,Japan,General COO,1,0,150,31000,,0.6
Company Shuttle,Biomass,Subway,Electricity,San Fransisco ,True,United Airlines,2020-12-19,Private Jet,Company Shuttle ,Travel,United States of America,APAC Sales,19,0,500,7000,,0.61
Comercial Building,Natural Gas,,Energy,Paris,False,United Airlines,2021-02-14,Ground Travel,Comercial Building,Comercial Building,France,APAC Marketing,0,8,200,15000,,0.25
Travel,Diesel,Personal Car,Energy,Tokyo,False,United Airlines,2022-03-18, Rental Car,Fleet Vehicle,Travel,Japan,APAC Sales,0,3,200,31000,900,0.1
Data Center Facility,Steam,,Electricity,New York,False,KLM,2022-02-20,Private Jet,Data Center Facility,Equipment,United States of America,LATAM Sales,17,0,400,31000,,0.69
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,Emirates,2020-11-23,Ground Travel,Private Jet,Travel,United States of America,EMEA Sales,12,0,500,7000,,0.66
Travel,Solar,,Electricity,San Fransisco ,True,Delta,2021-11-22,Ground Travel,Other,Travel,United States of America,General COO,2,0,500,15000,,0.48
Vehicle,Wind,,Electricity,San Fransisco ,True,British Airways,2022-01-10,Air Travel,Air Travel,Vehicle,United States of America,APAC Sales,17,0,400,31000,,0.63
Vehicle,Solar,Taxi,Electricity,New York,True,Delta,2022-04-01,Private Jet,Ground Travel,Vehicle,United States of America,AMER HR,16,0,400,31000,2000,0.47
Vehicle,Solar,Rental Car,Electricity,Paris,True,United Airlines,2020-12-27,Ground Travel,Hotel Stay,Vehicle,France,EMEA Sales,22,0,400,7000,1200,0.41
Vehicle,Solar,,Electricity,Dublin,True,United Airlines,2022-03-11,Air Travel,Air Travel,Vehicle,Ireland,EMEA Sales,2,0,150,31000,,0.08
Travel,Fuel Oil,,Energy,Tokyo,False,United Airlines,2021-07-12,Air Travel,Private Jet,Travel,Japan,APAC Sales,0,11,200,15000,,0.44
Company Shuttle,Biomass,Subway,Electricity,San Fransisco ,True,KLM,2022-03-28,Air Travel,Company Shuttle ,Travel,United States of America,General COO,6,0,500,31000,,0.44
Travel,Cooling,,Electricity,San Fransisco ,False,Delta,2021-07-08,Ground Travel,Other,Travel,United States of America,LATAM Sales,9,0,500,15000,,0.62
Vehicle,Diesel,Taxi,Energy,Tokyo,False,Delta,2020-02-28, Rental Car,Ground Travel,Vehicle,Japan,EMEA Sales,0,9,150,7000,2300,0.45
Comercial Building,Biomass,,Electricity,New York,True,British Airways,2022-01-01,Private Jet,Comercial Building,Comercial Building,United States of America,EMEA Sales,22,0,400,31000,,0.6
Vehicle,Solar,Personal Car,Electricity,Paris,True,United Airlines,2022-03-30,Air Travel,Hotel Stay,Vehicle,France,APAC Sales,11,0,100,31000,1200,0.62
Travel,Solar,Personal Car,Electricity,San Fransisco ,True,Delta,2020-04-05,Private Jet,Fleet Vehicle,Travel,United States of America,General COO,7,0,500,7000,900,0.44
Equipment,Wind,,Electricity,Dublin,True,United Airlines,2021-11-12,Ground Travel,Equipment,Equipment,Ireland,AMER Sales,19,0,100,15000,,0.02
Data Center Facility,Fuel Oil,,Energy,Tokyo,False,Emirates,2022-04-03,Private Jet,Data Center Facility,Equipment,Japan,APAC Sales,0,4,200,31000,,0.65
Travel,Cooling,,Electricity,San Fransisco ,False,United Airlines,2022-04-20,Hotel Stay,Private Jet,Travel,United States of America,EMEA Sales,2,0,400,31000,,0.61
Data Center Facility,Hydroelectricity,,Electricity,Paris,True,Delta,2020-08-15,Air Travel,Data Center Facility,Data Center Facility,France,EMEA Sales,7,0,200,7000,,0.6
Vehicle,Wind,,Electricity,New York,True,KLM,2022-02-27,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,17,0,400,31000,,0.25
Vehicle,Solar,Subway,Electricity,Tokyo,True,Delta,2021-04-09,Air Travel,Hotel Stay,Vehicle,Japan,APAC Marketing,7,0,150,15000,1000,0.21
Travel,Biomass,Subway,Electricity,San Fransisco ,True,British Airways,2022-03-10,Ground Travel,Fleet Vehicle,Travel,United States of America,LATAM Sales,6,0,500,31000,1200,0.49
Equipment,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-04-26, Rental Car,Equipment,Equipment,United States of America,General COO,8,0,500,31000,,0.42
Travel,Biomass,,Electricity,San Fransisco ,True,United Airlines,2020-01-09,Air Travel,Other,Travel,United States of America,EMEA Sales,7,0,500,7000,,0.64
Company Shuttle,Geothermal,Taxi,Electricity,New York,True,Delta,2022-03-25,Ground Travel,Company Shuttle ,Travel,United States of America,AMER HR,13,0,400,31000,,0.22
Vehicle,Natural Gas,Personal Car,Energy,Paris,False,United Airlines,2021-12-21,Private Jet,Ground Travel,Vehicle,France,EMEA Sales,0,13,100,15000,2000,0.69
Comercial Building,Diesel,,Energy,Tokyo,False,United Airlines,2022-04-17,Private Jet,Comercial Building,Comercial Building,Japan,APAC Sales,0,1,100,31000,,0.23
Vehicle,Solar,Limousine,Electricity,San Fransisco ,True,Delta,2021-11-10,Air Travel,Ground Travel,Vehicle,United States of America,EMEA Sales,1,0,500,15000,1500,0.67
Travel,Solar,,Electricity,Dublin,True,British Airways,2022-04-06,Private Jet,Other,Travel,Ireland,EMEA Sales,2,0,150,31000,,0.49
Comercial Building,Solar,,Electricity,Tokyo,True,Delta,2020-01-08,Ground Travel,Comercial Building,Comercial Building,Japan,EMEA Sales,8,0,200,7000,,0.6
Equipment,Fuel Oil,,Energy,Paris,False,United Airlines,2022-02-16,Ground Travel,Equipment,Equipment,France,General COO,0,3,100,31000,,0.07
Travel,Biomass,,Electricity,New York,True,KLM,2021-10-10,Air Travel,Private Jet,Travel,United States of America,LATAM Sales,15,0,400,15000,,0.64
Company Shuttle,Solar,Subway,Electricity,San Fransisco ,True,Delta,2020-03-22, Rental Car,Company Shuttle ,Travel,United States of America,EMEA Sales,7,0,400,7000,,0.46
Travel,Solar,Subway,Electricity,San Fransisco ,True,United Airlines,2022-01-02,Air Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,11,0,500,31000,900,0.67
Vehicle,Solar,Personal Car,Electricity,Tokyo,True,Emirates,2022-02-04,Ground Travel,Hotel Stay,Vehicle,Japan,APAC Sales,18,0,400,31000,1000,0.49
Data Center Facility,Wind,,Electricity,Dublin,True,Delta,2020-11-22,Private Jet,Data Center Facility,Equipment,Ireland,APAC Sales,9,0,100,7000,,0.1
Vehicle,Diesel,,Energy,Paris,False,British Airways,2021-12-05,Private Jet,Air Travel,Vehicle,France,APAC Sales,0,7,200,15000,,0.42
Equipment,Cooling,,Electricity,San Fransisco ,False,United Airlines,2022-03-21,Hotel Stay,Equipment,Equipment,United States of America,EMEA Sales,20,0,500,31000,,0.42
Comercial Building,Biomass,,Electricity,New York,True,United Airlines,2022-02-27,Air Travel,Comercial Building,Comercial Building,United States of America,General COO,9,0,400,31000,,0.46
Vehicle,Hydroelectricity,Taxi,Electricity,New York,True,KLM,2020-07-01,Private Jet,Hotel Stay,Vehicle,United States of America,LATAM Sales,11,0,400,7000,2000,0.24
Data Center Facility,Fuel Oil,,Energy,Paris,False,United Airlines,2021-11-13,Ground Travel,Data Center Facility,Data Center Facility,France,APAC Sales,0,13,100,15000,,0.22
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,United Airlines,2022-01-08,Air Travel,Company Shuttle ,Travel,Japan,EMEA Sales,15,0,200,31000,,0.68
Vehicle,Wind,Limousine,Electricity,San Fransisco ,True,Delta,2022-01-04,Ground Travel,Ground Travel,Vehicle,United States of America,APAC Marketing,9,0,500,31000,1500,0.6
Travel,Wind,,Electricity,San Fransisco ,True,United Airlines,2021-06-15,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,16,0,400,15000,,0.49
Travel,Hydroelectricity,Subway,Electricity,Tokyo,True,British Airways,2020-09-22,Air Travel,Fleet Vehicle,Travel,Japan,AMER Sales,23,0,200,7000,1200,0.4
Travel,Biomass,,Electricity,Dublin,True,Delta,2022-02-24, Rental Car,Other,Travel,Ireland,General COO,8,0,150,31000,,0.26
Vehicle,Diesel,,Energy,Paris,False,United Airlines,2022-04-05,Private Jet,Air Travel,Vehicle,France,EMEA Sales,0,7,100,31000,,0.67
Travel,Solar,,Electricity,New York,True,Delta,2022-01-31,Air Travel,Private Jet,Travel,United States of America,APAC Sales,22,0,400,31000,,0.69
Data Center Facility,Heat,,Electricity,Tokyo,False,Emirates,2020-02-22,Ground Travel,Data Center Facility,Data Center Facility,Japan,APAC Sales,9,0,150,7000,,0.27
Travel,Cooling,Subway,Electricity,San Fransisco ,False,Delta,2021-10-31,Ground Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,14,0,500,15000,2300,0.68
Company Shuttle,Solar,Taxi,Electricity,San Fransisco ,True,United Airlines,2022-04-21,Ground Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,14,0,500,31000,,0.48
Vehicle,Solar,Personal Car,Electricity,San Fransisco ,True,British Airways,2022-01-30,Private Jet,Ground Travel,Vehicle,United States of America,LATAM Sales,21,0,500,31000,2300,0.63
Vehicle,Solar,,Electricity,Paris,True,Delta,2020-07-28,Air Travel,Air Travel,Vehicle,France,APAC Sales,5,0,100,7000,,0.62
Vehicle,Natural Gas,Rental Car,Energy,New York,False,KLM,2021-11-08,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,0,4,500,15000,900,0.46
Comercial Building,Biomass,,Electricity,Tokyo,True,Delta,2022-02-13,Ground Travel,Comercial Building,Comercial Building,Japan,EMEA Sales,18,0,200,31000,,0.08
Equipment,Wind,,Electricity,New York,True,United Airlines,2022-01-30, Rental Car,Equipment,Equipment,United States of America,AMER HR,7,0,400,31000,,0.66
Travel,Solar,,Electricity,Dublin,True,United Airlines,2020-08-01,Air Travel,Other,Travel,Ireland,General COO,15,0,100,7000,,0.63
Company Shuttle,Fuel Oil,Subway,Energy,San Fransisco ,False,United Airlines,2021-11-07,Private Jet,Company Shuttle ,Travel,United States of America,AMER HR,0,6,400,15000,,0.6
Travel,Solar,,Electricity,New York,True,Delta,2022-01-09,Hotel Stay,Other,Travel,United States of America,APAC Sales,17,0,400,31000,,0.29
Comercial Building,Hydroelectricity,,Electricity,San Fransisco ,True,KLM,2022-01-09,Ground Travel,Comercial Building,Comercial Building,United States of America,APAC Marketing,18,0,500,31000,,0.44
Travel,Solar,Personal Car,Electricity,Tokyo,True,British Airways,2021-01-05,Ground Travel,Fleet Vehicle,Travel,Japan,APAC Sales,17,0,150,15000,1000,0.45
Travel,Wind,,Electricity,San Fransisco ,True,Delta,2022-01-05,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,19,0,500,31000,,0.64
Vehicle,Hydroelectricity,Subway,Electricity,Paris,True,United Airlines,2020-07-04,Air Travel,Hotel Stay,Vehicle,France,General COO,5,0,100,7000,1500,0.44
Vehicle,Biomass,,Electricity,Tokyo,True,United Airlines,2022-03-30,Private Jet,Air Travel,Vehicle,Japan,APAC Sales,2,0,200,31000,,0.6
Equipment,Cooling,,Electricity,San Fransisco ,False,United Airlines,2021-06-10, Rental Car,Equipment,Equipment,United States of America,EMEA Sales,4,0,500,15000,,0.42
Vehicle,Wind,Taxi,Electricity,New York,True,Delta,2022-03-22,Air Travel,Ground Travel,Vehicle,United States of America,EMEA Sales,4,0,400,31000,2000,0.41
Data Center Facility,Steam,,Electricity,Dublin,False,United Airlines,2020-11-02,Air Travel,Data Center Facility,Equipment,Ireland,EMEA Sales,18,0,100,7000,,0.04
Data Center Facility,Fuel Oil,,Energy,Paris,False,Delta,2022-03-07,Private Jet,Data Center Facility,Equipment,France,General COO,0,11,200,31000,,0.66
Travel,Diesel,Personal Car,Energy,San Fransisco ,False,Emirates,2020-11-15,Ground Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,0,7,400,7000,1200,0.63
Vehicle,Biomass,,Electricity,Tokyo,True,United Airlines,2022-01-15,Ground Travel,Air Travel,Vehicle,Japan,LATAM Sales,21,0,200,31000,,0.27
Comercial Building,Solar,,Electricity,Paris,True,British Airways,2021-05-13,Ground Travel,Comercial Building,Comercial Building,France,EMEA Sales,9,0,100,15000,,0.66
Travel,Diesel,,Energy,San Fransisco ,False,KLM,2022-01-04,Private Jet,Other,Travel,United States of America,EMEA Sales,0,8,500,31000,,0.4
Equipment,Solar,,Electricity,New York,True,Delta,2020-05-31,Air Travel,Equipment,Equipment,United States of America,LATAM Sales,23,0,400,7000,,0.6
Vehicle,Wind,Limousine,Electricity,Tokyo,True,United Airlines,2021-06-16,Private Jet,Hotel Stay,Vehicle,Japan,EMEA Sales,4,0,150,15000,1000,0.62
Vehicle,Hydroelectricity,Personal Car,Electricity,New York,True,Delta,2022-02-12,Air Travel,Ground Travel,Vehicle,United States of America,AMER Sales,11,0,500,31000,1500,0.68
Travel,Solar,,Electricity,Dublin,True,British Airways,2022-02-07,Hotel Stay,Private Jet,Travel,Ireland,AMER HR,7,0,150,31000,,0.24
Company Shuttle,Solar,Personal Car,Electricity,San Fransisco ,True,United Airlines,2022-03-11,Ground Travel,Company Shuttle ,Travel,United States of America,General COO,11,0,500,31000,,0.67
Equipment,Natural Gas,,Energy,Tokyo,False,United Airlines,2020-07-05, Rental Car,Equipment,Equipment,Japan,APAC Sales,0,11,100,7000,,0.65
Company Shuttle,Wind,Taxi,Electricity,New York,True,KLM,2022-02-17,Ground Travel,Company Shuttle ,Travel,United States of America,LATAM Sales,22,0,400,31000,,0.22
Comercial Building,Biomass,,Electricity,Paris,True,United Airlines,2021-05-15,Air Travel,Comercial Building,Comercial Building,France,EMEA Sales,22,0,200,15000,,0.23
Vehicle,Hydroelectricity,Subway,Electricity,San Fransisco ,True,Delta,2022-04-24,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,5,0,500,31000,1200,0.4
Travel,Fuel Oil,Subway,Energy,San Fransisco ,False,Delta,2020-08-07,Ground Travel,Fleet Vehicle,Travel,United States of America,APAC Marketing,0,12,400,7000,2300,0.67
Vehicle,Biomass,,Electricity,New York,True,Emirates,2022-03-23,Private Jet,Air Travel,Vehicle,United States of America,EMEA Sales,19,0,400,31000,,0.49
Vehicle,Cooling,Subway,Electricity,Paris,False,Delta,2021-01-18,Private Jet,Ground Travel,Vehicle,France,APAC Sales,1,0,100,15000,1000,0.69
Travel,Wind,,Electricity,Dublin,True,United Airlines,2022-04-15,Ground Travel,Other,Travel,Ireland,EMEA Sales,10,0,100,31000,,0.46
Data Center Facility,Diesel,,Energy,San Fransisco ,False,British Airways,2021-11-30,Private Jet,Data Center Facility,Data Center Facility,United States of America,General COO,0,10,500,15000,,0.46
Travel,Solar,,Electricity,San Fransisco ,True,United Airlines,2020-12-30, Rental Car,Private Jet,Travel,United States of America,APAC Sales,23,0,500,7000,,0.66
Travel,Solar,,Electricity,Tokyo,True,Delta,2022-03-29,Ground Travel,Private Jet,Travel,Japan,LATAM Sales,21,0,150,31000,,0.47
Company Shuttle,Fuel Oil,Personal Car,Energy,Tokyo,False,KLM,2022-04-03,Air Travel,Company Shuttle ,Travel,Japan,EMEA Sales,0,10,400,31000,,0.63
Vehicle,Hydroelectricity,Personal Car,Electricity,New York,True,United Airlines,2020-10-25,Private Jet,Hotel Stay,Vehicle,United States of America,General COO,2,0,400,7000,900,0.62
Vehicle,Solar,,Electricity,San Fransisco ,True,Delta,2021-01-18,Air Travel,Air Travel,Vehicle,United States of America,EMEA Sales,15,0,500,15000,,0.62
Travel,Biomass,Taxi,Electricity,Paris,True,British Airways,2022-04-28,Ground Travel,Fleet Vehicle,Travel,France,AMER HR,12,0,100,31000,1500,0.47
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2022-02-04,Private Jet,Other,Travel,Japan,APAC Sales,2,0,200,31000,,0.47
Vehicle,Solar,Rental Car,Electricity,San Fransisco ,True,Delta,2021-06-12,Air Travel,Ground Travel,Vehicle,United States of America,APAC Sales,21,0,400,15000,1200,0.45
Data Center Facility,Wind,,Electricity,Paris,True,United Airlines,2022-01-31,Air Travel,Data Center Facility,Equipment,France,EMEA Sales,9,0,200,31000,,0.48
Equipment,Cooling,,Electricity,New York,False,United Airlines,2020-10-25,Hotel Stay,Equipment,Equipment,United States of America,AMER Sales,21,0,400,7000,,0.45
Comercial Building,Biomass,,Electricity,Dublin,True,KLM,2022-04-21,Private Jet,Comercial Building,Comercial Building,Ireland,APAC Sales,20,0,150,31000,,0.07
Comercial Building,Solar,,Electricity,San Fransisco ,True,Emirates,2022-01-03, Rental Car,Comercial Building,Comercial Building,United States of America,EMEA Sales,19,0,500,31000,,0.62
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,United Airlines,2020-05-21,Ground Travel,Company Shuttle ,Travel,Japan,APAC Sales,16,0,200,7000,,0.27
Vehicle,Hydroelectricity,,Electricity,Paris,True,Delta,2021-06-17,Air Travel,Air Travel,Vehicle,France,EMEA Sales,21,0,100,15000,,0.68
Travel,Fuel Oil,,Energy,New York,False,United Airlines,2022-03-26,Private Jet,Other,Travel,United States of America,General COO,0,2,500,31000,,0.62
Travel,Natural Gas,,Energy,Tokyo,False,British Airways,2022-04-26,Ground Travel,Private Jet,Travel,Japan,LATAM Sales,0,10,150,31000,,0.66
Vehicle,Solar,Limousine,Electricity,New York,True,United Airlines,2021-01-20,Ground Travel,Ground Travel,Vehicle,United States of America,EMEA Sales,13,0,400,15000,2000,0.23
Data Center Facility,Diesel,,Energy,San Fransisco ,False,Delta,2022-04-22,Air Travel,Data Center Facility,Data Center Facility,United States of America,APAC Marketing,0,12,500,31000,,0.44
Travel,Biomass,Taxi,Electricity,Dublin,True,United Airlines,2020-08-25,Air Travel,Fleet Vehicle,Travel,Ireland,General COO,17,0,100,7000,2000,0.05
Vehicle,Wind,Personal Car,Electricity,San Fransisco ,True,Delta,2022-01-04,Private Jet,Hotel Stay,Vehicle,United States of America,EMEA Sales,23,0,500,31000,1000,0.61
Equipment,Solar,,Electricity,San Fransisco ,True,Delta,2020-01-15,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,12,0,400,7000,,0.41
Vehicle,Solar,Subway,Electricity,Paris,True,United Airlines,2022-03-28,Air Travel,Hotel Stay,Vehicle,France,APAC Sales,19,0,100,31000,2300,0.03
Equipment,Fuel Oil,,Energy,Tokyo,False,KLM,2021-03-31,Ground Travel,Equipment,Equipment,Japan,APAC Sales,0,9,200,15000,,0.05
Vehicle,Solar,Subway,Electricity,New York,True,United Airlines,2022-01-07,Private Jet,Ground Travel,Vehicle,United States of America,APAC Sales,6,0,400,31000,900,0.4
Travel,Hydroelectricity,Subway,Electricity,San Fransisco ,True,Delta,2020-09-26, Rental Car,Fleet Vehicle,Travel,United States of America,EMEA Sales,1,0,500,7000,900,0.61
Comercial Building,Biomass,,Electricity,Tokyo,True,Emirates,2022-04-14,Private Jet,Comercial Building,Comercial Building,Japan,LATAM Sales,15,0,200,31000,,0.45
Travel,Wind,,Electricity,New York,True,Delta,2021-05-21,Air Travel,Other,Travel,United States of America,EMEA Sales,8,0,400,15000,,0.65
Vehicle,Cooling,,Electricity,San Fransisco ,False,United Airlines,2022-03-29,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,20,0,500,31000,,0.64
Company Shuttle,Diesel,Subway,Energy,Dublin,False,United Airlines,2021-04-05,Air Travel,Company Shuttle ,Travel,Ireland,EMEA Sales,0,6,150,15000,,0.68
Data Center Facility,Solar,,Electricity,Paris,True,KLM,2020-03-14,Ground Travel,Data Center Facility,Data Center Facility,France,General COO,10,0,400,7000,,0.22
Travel,Solar,,Electricity,New York,True,Delta,2022-03-18,Private Jet,Private Jet,Travel,United States of America,APAC Sales,6,0,400,31000,,0.27
Vehicle,Solar,Personal Car,Electricity,San Fransisco ,True,United Airlines,2022-03-01,Hotel Stay,Ground Travel,Vehicle,United States of America,AMER HR,4,0,500,31000,2300,0.46
Travel,Hydroelectricity,,Electricity,Tokyo,True,Delta,2021-06-20,Ground Travel,Private Jet,Travel,Japan,LATAM Sales,16,0,200,15000,,0.28
Company Shuttle,Solar,Personal Car,Electricity,San Fransisco ,True,British Airways,2020-05-06,Private Jet,Company Shuttle ,Travel,United States of America,General COO,15,0,400,7000,,0.66
Equipment,Solar,,Electricity,Paris,True,British Airways,2022-04-03,Air Travel,Equipment,Equipment,France,AMER Sales,7,0,200,31000,,0.42
Comercial Building,Fuel Oil,,Energy,New York,False,United Airlines,2022-04-17, Rental Car,Comercial Building,Comercial Building,United States of America,APAC Marketing,0,2,500,31000,,0.65
Vehicle,Diesel,Taxi,Energy,Dublin,False,Delta,2022-01-19,Ground Travel,Hotel Stay,Vehicle,Ireland,EMEA Sales,0,10,100,31000,2000,0.24
Travel,Solar,Limousine,Electricity,San Fransisco ,True,British Airways,2021-07-07,Private Jet,Fleet Vehicle,Travel,United States of America,APAC Sales,20,0,500,15000,1500,0.43
Vehicle,Biomass,,Electricity,Paris,True,United Airlines,2020-05-29,Ground Travel,Air Travel,Vehicle,France,EMEA Sales,1,0,100,7000,,0.6
Travel,Natural Gas,,Energy,San Fransisco ,False,Emirates,2022-01-03,Air Travel,Other,Travel,United States of America,EMEA Sales,0,10,500,31000,,0.63
Data Center Facility,Wind,,Electricity,Tokyo,True,Delta,2022-03-19,Private Jet,Data Center Facility,Equipment,Japan,EMEA Sales,14,0,150,31000,,0.65
Company Shuttle,Wind,Personal Car,Electricity,New York,True,United Airlines,2021-11-26,Air Travel,Company Shuttle ,Travel,United States of America,LATAM Sales,16,0,400,15000,,0.49
Vehicle,Solar,Subway,Electricity,San Fransisco ,True,KLM,2020-12-10,Ground Travel,Ground Travel,Vehicle,United States of America,APAC Sales,15,0,500,7000,1200,0.48
