"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-04-27",1230,1000,140,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-25",,1500,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-06-07",,1500,140,1567,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-07",1125,1500,97,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-03-19",,2000,111,3244,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-14",,1500,97,,590,18
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2021-07-20",1125,1000,111,,,10
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-27",,1000,140,,850,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-10-12",,2000,108,3244,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-25",1069,1500,108,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-14",,2000,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-12-06",,2000,97,,,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2020-11-17",1100,1000,140,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-09-22",,1500,97,2500,,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2021-10-07",,1500,108,,900,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-03",1230,1500,111,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-04",,2000,140,,590,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-08-07",,1000,111,2446,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-08-28",,1500,97,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-18",,1500,140,1567,,11
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-06",,500,108,,760,18
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2023-03-25",1230,1500,140,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-08-25",,1500,108,,900,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-03-19",,2000,111,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-06",1069,1500,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-31",,1000,97,1567,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-05-06",,1500,108,,850,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-14",1125,2000,111,,,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2023-11-27",,1000,140,,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-15",,1500,97,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-11",,1500,140,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-02",,1000,111,3244,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-06-24",,1500,108,,590,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-12-25",1100,2000,97,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-11-17",,2000,111,2446,,15
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-07-19",,1500,108,,760,28
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-05-05",1100,500,140,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-09-07",,1000,111,3244,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-06-20",,2000,108,,850,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-06-11",1125,1500,97,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-07-27",,2000,140,,590,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-27",,1500,111,,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-06-17",,1000,97,,,11
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-03-12",,1500,140,,900,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-24",,1000,108,1567,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-06",1230,1500,108,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-05-29",,1500,97,,760,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-03",,2000,140,2500,,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-03-13",1069,500,111,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-11",,1500,140,,,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2020-05-13",,1500,111,2446,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-06-21",1125,500,108,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-04",,1000,97,,900,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-06",,1000,140,,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-05-29",1069,1500,108,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-02-09",,2000,111,,760,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-06-26",,1500,97,1567,,28
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2022-09-07",1230,1500,140,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-06-16",,1000,111,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-12",,1500,97,3244,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-09",1100,1000,108,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-02-26",,1500,140,2446,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-07",,2000,111,,590,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-17",,2000,97,,,28
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Composed","2023-01-09",,2000,108,,850,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-03",,1500,97,2500,,15
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-06-03",1069,500,140,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-10-17",,500,108,,,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-19",,1500,111,1567,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-03-20",,2000,97,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-20",,1000,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-06-05",,1500,140,,760,10
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-07-07",1125,1000,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-04",,2000,111,3244,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-01",,1000,97,,590,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-08-02",1100,500,140,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-03",,1500,108,2500,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-12-04",,2000,140,,900,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-04-20",1230,1500,97,,,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-05-05",,1500,108,2446,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-05-20",,1500,111,,850,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-17",1125,1500,108,,,28
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-30",,1500,97,2500,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-16",,1500,111,,850,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-03-31",1100,2000,140,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-04",,1500,97,,760,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-09-05",,1500,108,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-27",1230,1000,111,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-29",,1500,140,2446,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-27",,1500,111,,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-06-04",1069,2000,108,,,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-06-19",,1000,97,3244,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-06",,1000,140,,590,18
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2022-08-21",,1500,111,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-06-15",,1500,140,,900,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-08",,2000,108,1567,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-02",1125,1500,97,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-22",,1500,140,,,18
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-09-21",,2000,111,2500,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-06-01",,1000,108,,,28
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-04",,500,97,1567,,11
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-01-21",,1500,140,,760,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-08",1230,1000,97,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-01-07",,1500,111,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-03-26",,1500,108,,900,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-29",1100,2000,108,,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-08-31",,1000,97,,590,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-23",,2000,111,3244,,10
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-10-21",1069,1500,140,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-15",,2000,97,,850,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-28",,1500,111,2446,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-10",1230,1500,108,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-17",,1500,140,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-09-28",,1000,111,3244,,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-11-01",1100,500,140,,,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2020-06-10",,2000,97,,590,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2021-06-03",,1000,108,2500,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-28",,1500,111,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-28",,1500,97,,850,28
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-19",,2000,108,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-04",1125,1500,140,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-29",,1500,111,2446,,18
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-06-10",,1000,140,,760,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-03-27",1069,1000,97,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-05",,1500,108,,900,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-10",,1500,97,1567,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-09",1100,2000,108,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-05-21",,1000,111,2446,,11
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-07-26",,500,140,,760,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-28",1230,1500,140,,,15
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2022-03-24",,2000,108,,590,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-05",,1500,97,3244,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-08-06",,1000,111,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-04-02",,1500,97,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-04",,2000,140,,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-02-03",1125,1500,111,,,28
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-09",,500,108,2500,,10
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2021-02-02",,2000,111,,900,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-02-12",1069,1500,97,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-14",,1500,108,,850,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-09-05",,500,140,1567,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-05",1230,1000,111,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-03-24",,1000,108,,590,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-04-01",,1500,140,2446,,15
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2020-06-25",1125,2000,97,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-11-15",,1500,111,1567,,10
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-14",,2000,97,,850,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-08",,1000,108,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-23",,1500,140,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-08-14",,1500,140,3244,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-12-29",1069,1500,108,,,15
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2021-09-10",,1500,111,,760,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-01-19",,1500,97,2500,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-17",1100,1500,108,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-19",,1000,97,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-05-14",,2000,111,,900,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-09-18",,1000,140,,,18
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-06-11",,500,140,,850,28
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-03-27",,1500,111,2500,,10
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-06-10",1125,1500,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-06",,2000,97,,590,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-10-30",,2000,111,2446,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-14",1100,1000,140,,,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-17",,1500,97,1567,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-11-13",,1000,108,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-01",1230,1500,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2020-11-28",,2000,97,3244,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2021-07-05",,1500,140,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-01-03",1069,1500,111,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-05",,1500,108,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-10-16",,1000,97,,900,15
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-04-02",1069,500,140,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-05",,2000,111,,760,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2022-03-11",,1500,108,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-01-30",,2000,140,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-11",,1500,97,1567,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-29",,2000,111,,850,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-05-29",1230,1000,97,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-24",,1500,140,2500,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-01-14",,1500,111,,900,28
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2022-09-24",1125,1000,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-19",,1500,108,,,15
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-29",,500,97,3244,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-30",1100,1500,111,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-19",,1000,140,2446,,28
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-05-18",,1500,97,,590,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-03",1100,2000,111,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-10-22",,1500,140,,590,10
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2020-01-30",,1000,108,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-28",1069,1500,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-05",,2000,140,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-02-08",,1000,108,,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-04-17",,1500,111,,,28
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-19",,2000,108,2446,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-05-11",,1000,140,,900,11
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2020-08-10",1230,1500,111,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-12-25",,1500,97,,760,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-13",,1500,140,1567,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-01",1125,1500,97,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-02-03",,2000,111,,850,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-12",,500,108,3244,,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-22",,1500,140,,,11
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-11-03",,1000,97,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-01-04",,1500,108,,900,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-09-16",1230,2000,111,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-20",,2000,111,,760,10
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-07-15",,500,140,2500,,15
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-02-15",1100,500,97,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-06",,1500,108,2446,,28
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2023-02-02",,1000,108,,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-08-26",1125,1500,97,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-27",,1000,111,,590,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-11",,1500,140,3244,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-02-08",1069,1500,97,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-08-14",,2000,140,1567,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-11-28",,2000,111,,850,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-06-27",1125,1500,108,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Composed","2023-03-05",,2000,97,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-10",,1000,108,,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-15",1069,1000,111,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-06-26",,1500,140,,900,11
