"Industry","recordId","Month","Company","Red_Flags","Portfolio","Region","ESG_Score","Rating"
"Public Sector","0eM8b000000TNE8EAO","2021-09","Loki Industries","Human Rights","Portfolio A","Asia",78,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Monarch Motors","Data Protection","Portfolio A","South American",80,1
"Public Sector","0eM8b000000TNE8EAO","2021-06","Loki Industries","DE&I","Portfolio B","Europe",1,7
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Sunshade","Procurement","Portfolio B","South American",43,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Bridge Aviation","Carbon Emissions","Portfolio C","Europe",35,4
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","DE&I","Portfolio C","North America",50,6
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","Health &Safety","Portfolio C","LATAM",29,1
"Financial Services","0eM8b000000TNE8EAO","2022-05","Acme","Code of Conduct","Portfolio B","North America",85,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-02","Bridge Aviation","Data Protection","Portfolio C","South American",35,1
"Financial Services","0eM8b000000TNE8EAO","2021-06","Moondustries","Data Protection","Portfolio A","South American",24,8
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Surgesystems","Procurement","Portfolio C","South American",77,5
"Financial Services","0eM8b000000TNE8EAO","2021-07","Acme","Human Rights","Portfolio C","South American",85,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","DE&I","Portfolio B","LATAM",57,2
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Sunshade","Human Rights","Portfolio A","South American",43,7
"Financial Services","0eM8b000000TNE8EAO","2022-02","Moondustries","Quality & Safety","Portfolio A","LATAM",24,1
"Financial Services","0eM8b000000TNE8EAO","2021-07","Acme","Code of Conduct","Portfolio A","North America",85,4
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Rhino Foods","Health &Safety","Portfolio B","Asia",64,8
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Tucanterprises","DE&I","Portfolio C","South American",31,3
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Rhino Foods","Human Rights","Portfolio B","South American",57,4
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Sunshade","DE&I","Portfolio C","Europe",43,2
"Financial Services","0eM8b000000TNE8EAO","2021-09","Apexrover","Quality & Safety","Portfolio B","LATAM",72,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Elviations","Carbon Emissions","Portfolio B","Asia",78,7
"Financial Services","0eM8b000000TNE8EAO","2021-09","Acme","Data Protection","Portfolio C","Asia",85,2
"Financial Services","0eM8b000000TNE8EAO","2022-01","North Starporation","Human Rights","Portfolio B","North America",33,5
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Purpleworth","Code of Conduct","Portfolio A","North America",40,8
"Financial Services","0eM8b000000TNE8EAO","2021-07","Apexrover","DE&I","Portfolio B","North America",72,2
"Public Sector","0eM8b000000TNE8EAO","2022-04","Corecords","Quality & Safety","Portfolio B","North America",50,7
"Financial Services","0eM8b000000TNE8EAO","2021-08","Moondustries","Health &Safety","Portfolio A","South American",4,4
"Public Sector","0eM8b000000TNE8EAO","2022-04","Corecords","Carbon Emissions","Portfolio C","Europe",50,4
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Surgesystems","Procurement","Portfolio A","LATAM",77,3
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Human Rights","Portfolio B","LATAM",100,7
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","Carbon Emissions","Portfolio A","South American",69,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Buzzylectrics","Data Protection","Portfolio C","Asia",60,4
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Carbon Emissions","Portfolio C","Asia",10,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Pumpkinavigation","Carbon Emissions","Portfolio B","Europe",59,5
"Financial Services","0eM8b000000TNE8EAO","2021-06","Acme","Health &Safety","Portfolio A","Asia",85,5
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Quality & Safety","Portfolio C","LATAM",50,4
"Financial Services","0eM8b000000TNE8EAO","2021-10","Acme","Quality & Safety","Portfolio B","North America",85,2
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","Code of Conduct","Portfolio C","LATAM",75,3
"Financial Services","0eM8b000000TNE8EAO","2021-12","Moondustries","Health &Safety","Portfolio B","LATAM",99,5
"Financial Services","0eM8b000000TNE8EAO","2021-07","Moondustries","Quality & Safety","Portfolio C","Europe",54,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Monarch Motors","Code of Conduct","Portfolio A","North America",80,1
"Public Sector","0eM8b000000TNE8EAO","2021-09","Icestone","Quality & Safety","Portfolio C","South American",64,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Procurement","Portfolio C","LATAM",98,6
"Public Sector","0eM8b000000TNE8EAO","2021-07","Corecords","Human Rights","Portfolio A","LATAM",50,6
"Financial Services","0eM8b000000TNE8EAO","2021-11","Moondustries","Carbon Emissions","Portfolio A","South American",90,8
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Tucanterprises","Procurement","Portfolio A","North America",97,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Monarch Motors","Carbon Emissions","Portfolio B","South American",80,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-04","Jetbit","Procurement","Portfolio A","North America",57,3
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Procurement","Portfolio A","South American",40,4
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Carbon Emissions","Portfolio C","South American",64,3
"Public Sector","0eM8b000000TNE8EAO","2021-08","Loki Industries","Quality & Safety","Portfolio C","Europe",46,2
"Public Sector","0eM8b000000TNE8EAO","2022-03","Loki Industries","Quality & Safety","Portfolio C","Europe",48,1
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Purpleworth","Carbon Emissions","Portfolio C","North America",40,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Quality & Safety","Portfolio A","North America",78,2
"Public Sector","0eM8b000000TNE8EAO","2022-02","Icestone","Human Rights","Portfolio C","Asia",64,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-12","Jetbit","Health &Safety","Portfolio C","Europe",57,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Pumpkinavigation","DE&I","Portfolio B","Asia",98,2
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Rhino Foods","Quality & Safety","Portfolio C","Europe",8,3
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Quality & Safety","Portfolio A","North America",50,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Monarch Motors","Quality & Safety","Portfolio B","LATAM",80,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Buzzylectrics","Quality & Safety","Portfolio A","Asia",15,8
"Financial Services","0eM8b000000TNE8EAO","2022-02","Acme","Procurement","Portfolio C","Asia",85,6
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","DE&I","Portfolio A","North America",50,1
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Surgesystems","Carbon Emissions","Portfolio B","Europe",77,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Pumpkinavigation","Quality & Safety","Portfolio C","Asia",49,6
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Sunshade","Procurement","Portfolio B","Asia",43,6
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","Carbon Emissions","Portfolio C","South American",37,5
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Purpleworth","Procurement","Portfolio A","South American",40,6
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Ravenman","DE&I","Portfolio C","South American",67,7
"Financial Services","0eM8b000000TNE8EAO","2021-06","Acme","Data Protection","Portfolio A","LATAM",85,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Pumpkinavigation","Code of Conduct","Portfolio A","Asia",94,5
"Public Sector","0eM8b000000TNE8EAO","2021-09","Icestone","Human Rights","Portfolio B","South American",64,5
"Financial Services","0eM8b000000TNE8EAO","2021-10","North Starporation","Data Protection","Portfolio A","Europe",7,7
"Financial Services","0eM8b000000TNE8EAO","2022-05","Apexrover","DE&I","Portfolio A","LATAM",72,6
"Financial Services","0eM8b000000TNE8EAO","2021-09","Apexrover","Quality & Safety","Portfolio C","LATAM",72,4
"Public Sector","0eM8b000000TNE8EAO","2021-11","Icestone","Health &Safety","Portfolio C","Asia",64,2
"Public Sector","0eM8b000000TNE8EAO","2021-07","Icestone","Code of Conduct","Portfolio B","South American",64,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Buzzylectrics","Human Rights","Portfolio B","North America",98,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Pumpkinavigation","Procurement","Portfolio B","North America",72,2
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Tucanterprises","Health &Safety","Portfolio A","Asia",4,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Buzzylectrics","Procurement","Portfolio A","North America",22,5
"Public Sector","0eM8b000000TNE8EAO","2021-07","Loki Industries","Health &Safety","Portfolio B","South American",67,4
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Tucanterprises","DE&I","Portfolio B","LATAM",57,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Monarch Motors","DE&I","Portfolio B","Asia",80,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Monarch Motors","Health &Safety","Portfolio A","Europe",80,1
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","Human Rights","Portfolio C","LATAM",95,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Bridge Aviation","Code of Conduct","Portfolio C","Asia",35,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-12","Jetbit","Quality & Safety","Portfolio B","Europe",57,6
"Financial Services","0eM8b000000TNE8EAO","2021-08","North Starporation","Human Rights","Portfolio B","Europe",39,6
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","Carbon Emissions","Portfolio A","Europe",64,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Pumpkinavigation","Quality & Safety","Portfolio C","Asia",3,5
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Ravenman","Data Protection","Portfolio B","Europe",66,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Bridge Aviation","Human Rights","Portfolio A","Europe",35,3
"Public Sector","0eM8b000000TNE8EAO","2022-03","Loki Industries","Code of Conduct","Portfolio C","North America",33,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Bridge Aviation","DE&I","Portfolio B","Asia",35,4
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Carbon Emissions","Portfolio A","South American",2,7
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Ravenman","Code of Conduct","Portfolio B","Asia",90,1
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Surgesystems","Procurement","Portfolio C","LATAM",77,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Bridge Aviation","Procurement","Portfolio B","LATAM",35,3
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Code of Conduct","Portfolio B","Asia",64,4
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Carbon Emissions","Portfolio C","LATAM",4,4
"Financial Services","0eM8b000000TNE8EAO","2021-07","Acme","Human Rights","Portfolio B","North America",85,8
"Financial Services","0eM8b000000TNE8EAO","2021-07","Moondustries","Human Rights","Portfolio A","LATAM",29,4
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Sunshade","Human Rights","Portfolio A","Asia",43,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-05","Monarch Motors","Carbon Emissions","Portfolio C","South American",80,6
"Financial Services","0eM8b000000TNE8EAO","2022-03","Acme","DE&I","Portfolio C","South American",85,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Monarch Motors","Quality & Safety","Portfolio C","South American",80,7
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Quality & Safety","Portfolio C","South American",64,4
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Tucanterprises","DE&I","Portfolio B","Asia",88,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","Apexrover","Data Protection","Portfolio A","Europe",72,7
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Quality & Safety","Portfolio A","LATAM",64,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Health &Safety","Portfolio B","Asia",57,4
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Tucanterprises","Health &Safety","Portfolio C","North America",12,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Elviations","Quality & Safety","Portfolio C","Asia",89,8
"Public Sector","0eM8b000000TNE8EAO","2021-06","Loki Industries","Data Protection","Portfolio C","South American",16,3
"Public Sector","0eM8b000000TNE8EAO","2021-11","Loki Industries","Data Protection","Portfolio C","Asia",39,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-05","Buzzylectrics","DE&I","Portfolio A","North America",98,8
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Health &Safety","Portfolio A","LATAM",64,6
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Ravenman","Procurement","Portfolio B","LATAM",62,6
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Tucanterprises","Code of Conduct","Portfolio A","Asia",55,6
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Human Rights","Portfolio B","Europe",79,1
"Public Sector","0eM8b000000TNE8EAO","2022-01","Loki Industries","Carbon Emissions","Portfolio B","LATAM",48,1
"Financial Services","0eM8b000000TNE8EAO","2021-09","North Starporation","Quality & Safety","Portfolio B","LATAM",27,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Elviations","Code of Conduct","Portfolio B","LATAM",24,6
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Quality & Safety","Portfolio C","South American",40,2
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Sunshade","Carbon Emissions","Portfolio B","North America",43,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Monarch Motors","Quality & Safety","Portfolio B","Asia",80,1
"Financial Services","0eM8b000000TNE8EAO","2021-11","Apexrover","Health &Safety","Portfolio A","Europe",72,2
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Carbon Emissions","Portfolio B","Asia",90,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Code of Conduct","Portfolio B","Asia",57,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","Apexrover","Health &Safety","Portfolio C","Asia",72,8
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Procurement","Portfolio A","North America",64,8
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Sunshade","Health &Safety","Portfolio B","LATAM",43,6
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Purpleworth","Quality & Safety","Portfolio B","LATAM",40,4
"Financial Services","0eM8b000000TNE8EAO","2022-01","Apexrover","Quality & Safety","Portfolio B","North America",72,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Monarch Motors","Data Protection","Portfolio A","Europe",80,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Jetbit","DE&I","Portfolio A","LATAM",57,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Pumpkinavigation","Health &Safety","Portfolio C","North America",87,6
"Public Sector","0eM8b000000TNE8EAO","2021-08","Corecords","Health &Safety","Portfolio B","Europe",50,3
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","Carbon Emissions","Portfolio C","LATAM",100,7
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Health &Safety","Portfolio B","Asia",64,1
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Quality & Safety","Portfolio A","Europe",48,5
"Public Sector","0eM8b000000TNE8EAO","2022-04","Corecords","Human Rights","Portfolio A","North America",50,3
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Tucanterprises","Data Protection","Portfolio A","North America",39,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Jetbit","Carbon Emissions","Portfolio A","South American",57,8
"Financial Services","0eM8b000000TNE8EAO","2021-12","Acme","Data Protection","Portfolio A","Asia",85,8
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Purpleworth","Carbon Emissions","Portfolio B","LATAM",40,2
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","Health &Safety","Portfolio C","North America",43,6
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Human Rights","Portfolio A","LATAM",50,2
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Sunshade","Carbon Emissions","Portfolio C","Europe",43,8
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Surgesystems","Human Rights","Portfolio C","North America",77,6
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","Data Protection","Portfolio B","South American",43,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Procurement","Portfolio A","Europe",40,1
"Public Sector","0eM8b000000TNE8EAO","2021-12","Loki Industries","Health &Safety","Portfolio B","North America",5,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Elviations","Carbon Emissions","Portfolio A","LATAM",71,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Monarch Motors","Procurement","Portfolio B","LATAM",80,2
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Health &Safety","Portfolio A","South American",50,2
"Public Sector","0eM8b000000TNE8EAO","2021-12","Loki Industries","Procurement","Portfolio C","Europe",12,6
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","DE&I","Portfolio C","South American",64,8
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","DE&I","Portfolio A","Asia",50,1
"Public Sector","0eM8b000000TNE8EAO","2021-12","Loki Industries","Data Protection","Portfolio A","Europe",7,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","Quality & Safety","Portfolio A","South American",35,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Bridge Aviation","Data Protection","Portfolio B","Asia",35,7
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","DE&I","Portfolio A","North America",52,8
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","Health &Safety","Portfolio A","Europe",82,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Elviations","Health &Safety","Portfolio B","North America",57,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Elviations","Procurement","Portfolio B","LATAM",85,6
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Surgesystems","Procurement","Portfolio B","South American",77,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Data Protection","Portfolio C","Europe",57,6
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Rhino Foods","Human Rights","Portfolio A","Asia",42,2
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Sunshade","Human Rights","Portfolio B","LATAM",43,4
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Ravenman","Procurement","Portfolio A","Asia",29,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Monarch Motors","Carbon Emissions","Portfolio C","South American",80,5
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Tucanterprises","Human Rights","Portfolio B","Asia",21,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Elviations","Data Protection","Portfolio C","North America",29,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Jetbit","Code of Conduct","Portfolio B","LATAM",57,7
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Sunshade","Carbon Emissions","Portfolio A","Europe",43,7
"Financial Services","0eM8b000000TNE8EAO","2022-03","Moondustries","Human Rights","Portfolio B","Europe",62,3
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Data Protection","Portfolio B","North America",77,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Monarch Motors","DE&I","Portfolio C","Asia",80,2
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Sunshade","Human Rights","Portfolio B","LATAM",43,7
"Public Sector","0eM8b000000TNE8EAO","2021-09","Loki Industries","Procurement","Portfolio A","Asia",77,8
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Human Rights","Portfolio A","LATAM",77,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Elviations","Human Rights","Portfolio A","Europe",87,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Bridge Aviation","Carbon Emissions","Portfolio B","South American",35,4
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Ravenman","DE&I","Portfolio C","Europe",1,3
"Public Sector","0eM8b000000TNE8EAO","2022-02","Icestone","Human Rights","Portfolio C","South American",64,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Elviations","DE&I","Portfolio A","Europe",57,4
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Ravenman","DE&I","Portfolio C","South American",97,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Buzzylectrics","Quality & Safety","Portfolio A","South American",32,3
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Purpleworth","Code of Conduct","Portfolio A","South American",40,7
"Public Sector","0eM8b000000TNE8EAO","2021-11","Corecords","Code of Conduct","Portfolio C","Europe",50,4
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Tucanterprises","Procurement","Portfolio A","North America",77,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Buzzylectrics","Human Rights","Portfolio C","South American",34,3
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Purpleworth","Data Protection","Portfolio C","Asia",40,3
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Ravenman","Code of Conduct","Portfolio A","North America",53,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Monarch Motors","Procurement","Portfolio B","Asia",80,5
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Surgesystems","Code of Conduct","Portfolio B","Asia",77,2
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Surgesystems","Data Protection","Portfolio B","North America",77,1
"Public Sector","0eM8b000000TNE8EAO","2021-05","Corecords","Data Protection","Portfolio A","Asia",50,1
"Financial Services","0eM8b000000TNE8EAO","2021-05","Moondustries","Data Protection","Portfolio C","LATAM",50,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Elviations","Data Protection","Portfolio B","North America",7,3
"Public Sector","0eM8b000000TNE8EAO","2022-03","Icestone","Data Protection","Portfolio C","South American",64,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Buzzylectrics","Health &Safety","Portfolio C","South American",72,8
"Public Sector","0eM8b000000TNE8EAO","2021-05","Loki Industries","DE&I","Portfolio C","South American",81,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Elviations","Carbon Emissions","Portfolio A","North America",96,7
"Public Sector","0eM8b000000TNE8EAO","2022-02","Loki Industries","DE&I","Portfolio A","South American",74,2
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Tucanterprises","Quality & Safety","Portfolio A","Asia",14,7
"Financial Services","0eM8b000000TNE8EAO","2022-03","Apexrover","Code of Conduct","Portfolio A","Europe",72,7
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","Procurement","Portfolio A","LATAM",64,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Elviations","Carbon Emissions","Portfolio C","South American",98,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-05","Buzzylectrics","Carbon Emissions","Portfolio C","North America",73,6
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","DE&I","Portfolio C","South American",64,8
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Health &Safety","Portfolio A","North America",40,2
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Procurement","Portfolio C","Asia",77,4
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Ravenman","Human Rights","Portfolio C","LATAM",31,5
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","DE&I","Portfolio B","Europe",64,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Elviations","Carbon Emissions","Portfolio A","Asia",20,3
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Carbon Emissions","Portfolio C","South American",50,5
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Tucanterprises","DE&I","Portfolio B","North America",78,3
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Carbon Emissions","Portfolio A","LATAM",25,8
"Financial Services","0eM8b000000TNE8EAO","2021-05","Moondustries","Code of Conduct","Portfolio A","South American",45,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","DE&I","Portfolio C","Asia",57,5
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Tucanterprises","Procurement","Portfolio A","Asia",14,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Monarch Motors","Health &Safety","Portfolio C","Europe",80,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-05","Bridge Aviation","DE&I","Portfolio A","Europe",35,5
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Sunshade","Data Protection","Portfolio A","Asia",43,1
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Ravenman","Data Protection","Portfolio C","Asia",42,8
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","DE&I","Portfolio A","North America",43,4
"Financial Services","0eM8b000000TNE8EAO","2022-01","North Starporation","DE&I","Portfolio B","North America",38,5
"Financial Services","0eM8b000000TNE8EAO","2021-07","Moondustries","Quality & Safety","Portfolio B","South American",63,5
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Quality & Safety","Portfolio C","LATAM",77,3
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","DE&I","Portfolio A","Europe",64,6
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Surgesystems","Procurement","Portfolio A","North America",77,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Pumpkinavigation","Code of Conduct","Portfolio B","LATAM",27,7
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Purpleworth","Procurement","Portfolio B","LATAM",40,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Monarch Motors","Quality & Safety","Portfolio A","South American",80,2
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Carbon Emissions","Portfolio C","South American",40,4
"Financial Services","0eM8b000000TNE8EAO","2021-05","Apexrover","Code of Conduct","Portfolio A","South American",72,6
"Financial Services","0eM8b000000TNE8EAO","2021-11","Apexrover","Carbon Emissions","Portfolio A","North America",72,5
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Surgesystems","Code of Conduct","Portfolio B","South American",77,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Quality & Safety","Portfolio B","LATAM",75,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Elviations","Quality & Safety","Portfolio B","North America",58,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","Carbon Emissions","Portfolio C","Asia",57,7
