"GHG_Scope_3_Category","LastProcessedDate","Supplier","Date","Supplier_Expenses","Emission_Value","Ratio","Scope_3_Emissions","Vehicle_Emissions","Stationary_Sources_tCO2e","Other_Emissions"
"Downstream ","2023-03-24","Office Print & Ship Services","2021-08-16",26276,750,6,3112,412,278,345
"Upstream Leased Assest","2023-03-24","Red Studio Designs","2019-02-18",28565,234,2,2312,120,153,221
"Business Travel","2023-03-24","Hertz","2022-02-08",48666,234,6,1234,112,123,1234
"Upstream Transportation and Distribution","2023-03-24","JetBlue","2021-11-26",49462,123,16,3112,234,322,355
"Capital Goods","2023-03-24","Glasgow Catering","2020-03-21",49685,2200,18,1234,112,278,221
"Investments","2023-03-24","Universal Containers","2019-12-23",31784,112,9,3421,412,322,355
"Upstream Leased Assest","2023-03-24","Universal Services","2023-03-15",45663,123,12,2312,120,153,1234
"Downstream ","2023-03-24","Big Sky & Sons","2022-11-07",19749,234,5,2207,234,123,345
"Purchase Goods and Services","2023-03-24","Roseburg Products Co","2023-01-08",26588,800,9,3112,112,123,1234
"Business Travel","2023-03-24","UlyssesNet","2021-01-08",36862,112,15,2207,120,322,345
"Purchase Goods and Services","2023-03-24","Advanced Communications","2022-05-25",39575,750,7,3421,412,153,221
"Upstream Leased Assest","2023-03-24","Southern Solutions","2019-03-08",12045,123,7,1234,234,278,355
"Investments","2023-03-24","Air Canada","2020-04-07",22384,112,13,2312,412,278,1234
"Downstream ","2023-03-24","Gusto Sound and Audio","2022-07-13",26106,234,17,1234,112,153,345
"Capital Goods","2023-03-24","Green Fields Media","2023-10-14",20925,2200,18,3112,234,123,355
"Upstream Transportation and Distribution","2023-03-24","Marriott","2020-07-29",37614,750,11,2207,120,322,221
"Downstream ","2023-03-24","General Utilities","2019-10-31",20379,112,17,3421,234,278,1234
"Purchase Goods and Services","2023-03-24","Constellation Energy","2021-08-29",38484,800,3,2312,412,153,345
"Investments","2023-03-24","Valley Supply Inc.","2023-07-06",48114,123,12,3112,120,123,355
"Capital Goods","2023-03-24","SoloTaxi","2021-08-22",29487,2200,6,1234,112,322,221
"Business Travel","2023-03-24","Avis","2022-06-05",38532,234,2,2312,120,278,221
"Upstream Leased Assest","2023-03-24","Air France","2020-04-27",42989,123,14,3421,112,123,345
"Upstream Transportation and Distribution","2023-03-24","Vand Enterprises, Inc.","2019-06-01",11292,112,18,2207,412,322,1234
"Investments","2023-03-24","Alamo","2022-06-15",16763,234,2,2312,234,153,355
"Purchase Goods and Services","2023-03-24","Associated Supply Co.","2020-07-21",31065,800,19,1234,112,322,221
"Capital Goods","2023-03-24","Haven Enterprises","2019-07-17",11890,2200,2,3421,234,123,345
"Upstream Transportation and Distribution","2023-03-24","Budget","2023-06-19",24264,123,16,2207,120,278,1234
"Upstream Leased Assest","2023-03-24","IHG","2021-03-11",41180,112,20,3112,412,153,355
"Downstream ","2023-03-24","Enterprise","2020-08-14",27190,750,5,3421,112,123,1234
"Business Travel","2023-03-24","Pinnacle Partners","2021-06-02",21811,234,14,2312,412,278,221
"Capital Goods","2023-03-24","Laine Ltd","2022-09-23",49076,2200,4,2207,120,322,345
"Business Travel","2023-03-24","Allied Technologies","2023-12-03",30727,112,15,1234,234,153,355
"Investments","2023-03-24","Harmon Consulting","2019-10-02",22058,234,6,3112,234,123,355
"Upstream Transportation and Distribution","2023-03-24","Tech Labs","2019-08-07",44211,234,6,2312,120,153,345
"Purchase Goods and Services","2023-03-24","Hyatt","2020-07-09",29550,800,8,3112,112,278,221
"Upstream Leased Assest","2023-03-24","ABC Woodworks","2021-03-02",19796,123,20,3421,412,322,1234
"Downstream ","2023-03-24","Lyft","2023-02-02",35778,112,4,2207,112,153,355
"Purchase Goods and Services","2023-03-24","Glasgow Water","2022-08-21",37366,800,14,1234,120,123,1234
"Upstream Transportation and Distribution","2023-03-24","Delta Airlines","2019-02-22",38483,123,12,2312,412,278,221
"Capital Goods","2023-03-24","CityCab","2020-01-20",39057,2200,6,3112,234,322,345
"Business Travel","2023-03-24","salesforce.com","2023-06-29",46477,234,15,1234,120,123,355
"Downstream ","2023-03-24","United Airline","2021-05-23",19384,112,11,3421,412,322,345
"Investments","2023-03-24","*Greenstone Products LTD","2022-10-04",31145,123,4,2207,234,153,1234
"Upstream Leased Assest","2023-03-24","Momentum Design","2022-01-25",22584,750,15,3421,112,278,221
"Business Travel","2023-03-24","ABC Woodworks","2021-02-17",22184,112,13,2312,112,278,1234
"Upstream Leased Assest","2023-03-24","SoloTaxi","2019-11-18",27059,123,18,2207,120,322,221
"Purchase Goods and Services","2023-03-24","Southern Solutions","2020-06-12",28372,800,5,1234,234,153,345
"Capital Goods","2023-03-24","Air Canada","2023-01-20",12449,2200,9,3112,412,123,355
"Investments","2023-03-24","Delta Airlines","2023-09-20",27159,234,4,2312,112,123,345
"Upstream Transportation and Distribution","2023-03-24","Five Winds Project, LLC","2021-01-25",28964,234,1,3112,120,153,355
"Downstream ","2023-03-24","British Airways","2019-03-24",22328,123,11,3421,412,278,1234
"Purchase Goods and Services","2023-03-24","KLM","2020-01-16",41850,800,13,1234,234,322,221
"Business Travel","2023-03-24","Good Freight Co","2022-08-12",24943,234,13,2207,120,153,345
"Upstream Leased Assest","2023-03-24","CityCab","2021-10-04",19320,123,13,3421,234,278,1234
"Investments","2023-03-24","General Utilities","2022-05-11",13159,112,16,1234,112,322,355
"Upstream Transportation and Distribution","2023-03-24","Office Print & Ship Services","2020-04-20",10835,112,1,2207,412,123,221
"Downstream ","2023-03-24","Associated Supply Co.","2023-11-11",28576,234,6,2312,112,322,355
"Capital Goods","2023-03-24","Glasgow Water","2019-10-26",11030,2200,8,3112,120,123,1234
"Purchase Goods and Services","2023-03-24","Universal Containers","2020-10-31",44500,800,20,2312,412,278,221
"Investments","2023-03-24","Air France","2019-06-10",43865,750,2,1234,234,153,345
"Upstream Leased Assest","2023-03-24","Allied Technologies","2022-06-08",28595,123,14,3112,412,153,1234
"Upstream Transportation and Distribution","2023-03-24","Hilton","2023-05-15",29336,234,13,3421,112,322,355
"Capital Goods","2023-03-24","Red Studio Designs","2021-08-15",22107,2200,7,2207,234,123,221
"Business Travel","2023-03-24","Laine Ltd","2022-11-18",39522,112,9,3421,120,278,345
"Downstream ","2023-03-24","Enterprise","2021-08-26",14114,112,12,2312,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Glasgow Catering","2020-10-29",32662,123,12,1234,412,322,355
"Purchase Goods and Services","2023-03-24","Tech Labs","2023-05-13",11773,750,1,2207,234,123,221
"Upstream Leased Assest","2023-03-24","Meridian Partners","2019-02-04",49390,234,12,3112,112,278,1234
"Business Travel","2023-03-24","Lyft","2020-02-08",32009,123,14,3421,412,153,1234
"Downstream ","2023-03-24","Uber","2021-09-16",11049,112,11,1234,112,278,355
"Capital Goods","2023-03-24","IHG","2019-10-14",47151,2200,3,2207,234,322,221
"Investments","2023-03-24","Vand Enterprises, Inc.","2023-12-22",42155,234,1,2312,120,123,345
"Capital Goods","2023-03-24","Xcel Energy","2022-06-16",19136,2200,19,3112,234,278,355
"Business Travel","2023-03-24","Test Supplier","2023-09-21",22632,123,11,1234,112,123,345
"Downstream ","2023-03-24","Roseburg Products Co","2022-10-09",47398,750,17,3421,120,153,1234
"Upstream Transportation and Distribution","2023-03-24","Hyatt","2020-07-12",16294,234,7,3112,412,322,221
"Upstream Leased Assest","2023-03-24","Alamo","2019-11-03",34592,123,10,2207,120,278,345
"Investments","2023-03-24","Harmon Consulting","2021-03-31",46225,112,16,2312,234,322,221
"Purchase Goods and Services","2023-03-24","RCE, Inc.","2022-05-01",32488,800,7,3421,112,153,355
"Upstream Leased Assest","2023-03-24","United Airline","2020-01-27",28526,112,18,3112,412,123,1234
"Purchase Goods and Services","2023-03-24","Valley Supply Inc.","2019-12-15",37152,800,7,1234,120,153,345
"Business Travel","2023-03-24","Haven Enterprises","2023-07-16",49905,123,10,2207,412,322,221
"Capital Goods","2023-03-24","Pinnacle Partners","2021-02-18",44050,2200,4,2312,234,123,355
"Downstream ","2023-03-24","Advanced Communications","2022-09-16",45688,112,15,3421,112,278,1234
"Upstream Transportation and Distribution","2023-03-24","Constellation Energy","2019-02-20",33050,234,11,3112,112,278,355
"Investments","2023-03-24","Universal Services","2020-04-23",24391,234,5,2312,120,123,345
"Downstream ","2023-03-24","Budget","2021-12-01",44728,112,16,2207,412,153,1234
"Upstream Leased Assest","2023-03-24","Hertz","2023-03-01",22359,234,14,1234,234,322,221
"Upstream Transportation and Distribution","2023-03-24","Momentum Design","2022-08-22",40597,750,9,1234,120,123,221
"Capital Goods","2023-03-24","Marriott","2021-03-10",22556,2200,15,2312,234,153,355
"Investments","2023-03-24","UlyssesNet","2019-10-03",11060,123,5,2207,412,278,345
"Business Travel","2023-03-24","salesforce.com","2023-12-08",14375,123,6,3421,112,322,1234
"Purchase Goods and Services","2023-03-24","Green Fields Media","2020-07-12",37031,800,6,3112,234,322,355
"Downstream ","2023-03-24","JetBlue","2020-03-25",20698,112,5,1234,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Employnet","2022-10-11",23913,234,14,3421,112,123,221
"Capital Goods","2023-03-24","Avis","2023-09-26",18948,2200,2,2312,412,278,1234
"Upstream Leased Assest","2023-03-24","*Greenstone Products LTD","2021-03-17",14123,112,14,2207,112,278,221
"Purchase Goods and Services","2023-03-24","Big Sky & Sons","2019-11-01",34635,800,13,3112,412,322,345
"Business Travel","2023-03-24","Atlas Inc","2019-03-21",41599,234,14,3112,234,153,355
"Investments","2023-03-24","Gusto Sound and Audio","2021-02-26",19719,123,15,3421,120,123,1234
"Purchase Goods and Services","2023-03-24","Associated Supply Co.","2023-06-21",47449,800,3,2312,412,123,1234
"Downstream ","2023-03-24","Advanced Communications","2020-07-23",36049,123,16,1234,234,278,221
"Capital Goods","2023-03-24","United Airline","2022-10-04",27414,2200,17,2207,112,153,345
"Business Travel","2023-03-24","Haven Enterprises","2021-06-28",31218,234,10,3112,120,322,355
"Investments","2023-03-24","Constellation Energy","2022-10-02",14762,112,7,1234,120,153,355
"Upstream Transportation and Distribution","2023-03-24","Universal Containers","2023-01-26",14232,750,20,2207,234,278,345
"Upstream Leased Assest","2023-03-24","Atlas Inc","2020-06-28",49846,123,4,3421,112,123,221
"Upstream Leased Assest","2023-03-24","Meridian Partners","2019-03-25",11118,112,7,2312,412,322,1234
"Capital Goods","2023-03-24","Air Canada","2022-09-25",45446,2200,13,3421,120,278,221
"Investments","2023-03-24","Five Winds Project, LLC","2019-03-30",13609,123,9,2312,112,153,345
"Downstream ","2023-03-24","Harmon Consulting","2023-05-23",11393,234,18,2207,234,123,1234
"Upstream Transportation and Distribution","2023-03-24","CityCab","2020-01-10",41408,112,3,3112,412,322,355
"Business Travel","2023-03-24","Laine Ltd","2021-10-20",35471,123,19,1234,120,278,221
"Purchase Goods and Services","2023-03-24","Red Studio Designs","2021-01-12",24613,800,4,3112,234,322,355
"Investments","2023-03-24","Uber","2022-12-19",49210,234,2,2207,412,153,1234
"Upstream Leased Assest","2023-03-24","Valley Supply Inc.","2019-09-18",48889,234,2,2312,112,123,345
"Downstream ","2023-03-24","Glasgow Catering","2020-03-12",46356,112,17,1234,120,278,355
"Capital Goods","2023-03-24","Office Print & Ship Services","2023-01-06",36231,2200,17,3421,234,322,1234
"Business Travel","2023-03-24","Glasgow Water","2023-12-16",49848,123,18,1234,412,153,345
"Purchase Goods and Services","2023-03-24","British Airways","2022-08-29",36371,800,14,2207,112,123,221
"Upstream Transportation and Distribution","2023-03-24","Delta Airlines","2019-04-04",39279,234,19,3421,120,278,345
"Capital Goods","2023-03-24","Pinnacle Partners","2021-09-06",32629,2200,10,2312,112,322,1234
"Purchase Goods and Services","2023-03-24","Momentum Design","2020-03-22",22351,800,4,3112,234,123,355
"Investments","2023-03-24","Budget","2019-09-24",26831,750,4,3112,412,153,221
"Business Travel","2023-03-24","Southern Solutions","2021-06-25",13149,123,17,1234,120,153,355
"Downstream ","2023-03-24","Air France","2023-04-20",43188,112,16,2312,112,123,221
"Upstream Transportation and Distribution","2023-03-24","Allied Technologies","2022-08-12",39113,112,12,2207,412,278,345
"Upstream Leased Assest","2023-03-24","Vand Enterprises, Inc.","2020-01-21",12611,123,13,3421,234,322,1234
"Purchase Goods and Services","2023-03-24","Universal Services","2019-07-15",39769,750,17,2207,112,123,221
"Capital Goods","2023-03-24","*Greenstone Products LTD","2023-08-30",12714,2200,12,3112,412,322,1234
"Business Travel","2023-03-24","Lyft","2022-10-30",47474,112,7,3421,234,153,345
"Investments","2023-03-24","Roseburg Products Co","2021-10-25",22432,234,8,1234,120,278,355
"Upstream Transportation and Distribution","2023-03-24","Good Freight Co","2020-12-26",48741,234,6,2312,234,322,1234
"Upstream Leased Assest","2023-03-24","UlyssesNet","2019-03-04",34564,123,8,2207,120,153,355
"Downstream ","2023-03-24","Test Supplier","2022-12-21",43105,750,3,3421,412,278,345
"Business Travel","2023-03-24","Enterprise","2021-10-12",37041,112,6,1234,112,123,221
"Upstream Transportation and Distribution","2023-03-24","JetBlue","2020-03-07",17599,123,2,3112,112,322,345
"Upstream Leased Assest","2023-03-24","Hilton","2023-10-11",19877,112,14,2312,120,278,355
"Capital Goods","2023-03-24","Gusto Sound and Audio","2022-07-17",28931,2200,20,2207,412,123,221
"Downstream ","2023-03-24","Tech Labs","2019-02-03",10552,234,6,3112,234,153,1234
"Purchase Goods and Services","2023-03-24","Employnet","2023-08-30",33399,800,6,1234,120,123,1234
"Investments","2023-03-24","ABC Woodworks","2020-07-06",24820,234,16,3421,112,278,355
"Downstream ","2023-03-24","Xcel Energy","2021-07-07",35480,234,17,2312,234,322,221
"Upstream Transportation and Distribution","2023-03-24","salesforce.com","2020-05-30",16210,123,5,2312,412,153,345
"Capital Goods","2023-03-24","Big Sky & Sons","2022-03-10",39824,2200,9,2207,412,278,355
"Purchase Goods and Services","2023-03-24","Marriott","2019-03-22",15591,800,14,3421,120,322,221
"Business Travel","2023-03-24","KLM","2021-02-24",25699,112,6,1234,234,153,1234
"Investments","2023-03-24","SoloTaxi","2023-01-28",34905,234,7,3112,112,123,345
"Upstream Leased Assest","2023-03-24","IHG","2022-01-30",37727,123,2,2312,234,123,345
"Business Travel","2023-03-24","Green Fields Media","2019-08-06",37428,750,7,1234,412,153,1234
"Downstream ","2023-03-24","Hertz","2020-08-01",25094,112,11,3421,112,278,221
"Upstream Leased Assest","2023-03-24","General Utilities","2023-04-05",32645,112,3,2207,120,322,355
"Upstream Transportation and Distribution","2023-03-24","Alamo","2021-12-01",15837,234,4,3112,234,153,1234
"Capital Goods","2023-03-24","Hyatt","2019-03-13",23936,2200,12,1234,412,123,221
"Investments","2023-03-24","RCE, Inc.","2021-10-19",21339,123,3,3112,120,322,345
"Purchase Goods and Services","2023-03-24","Avis","2023-07-27",43019,800,14,2312,112,278,355
"Business Travel","2023-03-24","Roseburg Products Co","2022-08-29",49389,112,10,3421,234,123,345
"Purchase Goods and Services","2023-03-24","British Airways","2020-03-08",27653,800,15,2207,412,278,221
"Downstream ","2023-03-24","RCE, Inc.","2021-05-18",35178,123,10,3112,120,153,355
"Investments","2023-03-24","Green Fields Media","2022-03-24",24772,234,5,1234,112,322,1234
"Upstream Leased Assest","2023-03-24","*Greenstone Products LTD","2023-06-14",41527,123,17,2312,112,123,355
"Capital Goods","2023-03-24","Universal Services","2020-06-17",34842,2200,10,3421,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Delta Airlines","2019-10-25",11700,234,11,2207,412,278,221
"Upstream Transportation and Distribution","2023-03-24","Pinnacle Partners","2023-02-14",21711,112,18,3112,234,322,1234
"Purchase Goods and Services","2023-03-24","Hilton","2022-01-23",13989,800,9,2312,412,153,345
"Investments","2023-03-24","Five Winds Project, LLC","2021-06-02",34355,123,5,1234,234,322,1234
"Downstream ","2023-03-24","Red Studio Designs","2020-03-07",12440,750,3,3421,120,278,221
"Capital Goods","2023-03-24","ABC Woodworks","2019-09-12",18678,2200,3,2207,112,123,355
"Business Travel","2023-03-24","Allied Technologies","2023-08-18",18659,112,12,3112,112,278,1234
"Upstream Leased Assest","2023-03-24","salesforce.com","2020-03-04",31758,234,19,1234,412,123,221
"Investments","2023-03-24","Hertz","2019-05-24",42080,234,7,2312,234,153,345
"Business Travel","2023-03-24","Big Sky & Sons","2022-11-02",49999,112,3,2207,120,322,355
"Downstream ","2023-03-24","General Utilities","2021-03-02",30823,123,13,3421,412,322,355
"Purchase Goods and Services","2023-03-24","Xcel Energy","2023-02-25",38900,800,3,3112,120,123,1234
"Capital Goods","2023-03-24","KLM","2019-12-13",18333,2200,11,2312,234,278,345
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2020-05-04",44576,123,13,2207,112,153,221
"Upstream Leased Assest","2023-03-24","Momentum Design","2022-10-12",22528,234,9,1234,234,153,221
"Upstream Leased Assest","2023-03-24","SoloTaxi","2021-02-02",11769,112,10,3421,112,322,1234
"Investments","2023-03-24","Test Supplier","2019-03-11",19192,234,13,2312,120,123,345
"Capital Goods","2023-03-24","Lyft","2020-11-26",25551,2200,13,1234,412,278,355
"Upstream Transportation and Distribution","2023-03-24","Southern Solutions","2021-02-02",39889,123,8,2207,234,153,221
"Downstream ","2023-03-24","Budget","2022-06-19",41716,112,17,3112,412,123,355
"Business Travel","2023-03-24","Air France","2023-01-10",24456,123,8,3421,112,278,345
"Purchase Goods and Services","2023-03-24","Harmon Consulting","2021-11-20",29046,800,7,2207,120,322,1234
"Upstream Leased Assest","2023-03-24","Glasgow Catering","2022-04-08",32132,750,5,3421,112,278,1234
"Purchase Goods and Services","2023-03-24","Glasgow Water","2023-09-22",22245,750,8,2312,234,153,355
"Business Travel","2023-03-24","Advanced Communications","2019-12-24",11194,112,2,1234,120,322,345
"Upstream Transportation and Distribution","2023-03-24","Alamo","2020-05-22",21101,234,3,3112,412,123,221
"Investments","2023-03-24","IHG","2020-08-20",41348,123,17,3421,234,153,345
"Downstream ","2023-03-24","UlyssesNet","2019-10-30",12960,112,18,2207,112,278,221
"Capital Goods","2023-03-24","Haven Enterprises","2023-10-16",38913,2200,15,2312,120,123,355
"Downstream ","2023-03-24","CityCab","2022-03-26",15723,234,2,3112,412,322,1234
"Investments","2023-03-24","Universal Containers","2021-03-18",44938,123,16,1234,234,278,355
"Upstream Transportation and Distribution","2023-03-24","Employnet","2021-06-10",15012,234,7,3112,120,153,345
"Upstream Leased Assest","2023-03-24","Tech Labs","2020-04-01",45063,112,18,2207,412,322,1234
"Capital Goods","2023-03-24","Vand Enterprises, Inc.","2019-08-20",28756,2200,19,1234,112,123,221
"Purchase Goods and Services","2023-03-24","Avis","2022-08-29",21395,800,9,3421,412,322,1234
"Business Travel","2023-03-24","Valley Supply Inc.","2023-10-16",33956,750,8,2312,234,123,221
"Investments","2023-03-24","Laine Ltd","2023-01-04",32358,112,19,2312,120,153,355
"Capital Goods","2023-03-24","Good Freight Co","2020-04-26",25896,2200,4,3112,112,278,345
"Upstream Leased Assest","2023-03-24","JetBlue","2021-10-07",33664,234,19,2207,120,153,345
"Downstream ","2023-03-24","Gusto Sound and Audio","2019-06-30",41685,123,4,1234,412,322,1234
"Business Travel","2023-03-24","Meridian Partners","2022-01-17",36213,234,16,3421,112,123,221
"Upstream Transportation and Distribution","2023-03-24","Hyatt","2020-11-26",49165,123,17,1234,234,278,355
"Purchase Goods and Services","2023-03-24","Office Print & Ship Services","2023-07-17",30765,800,1,2207,412,123,221
"Business Travel","2023-03-24","Constellation Energy","2021-02-20",34255,112,14,2312,112,153,345
"Upstream Transportation and Distribution","2023-03-24","United Airline","2022-08-21",29873,234,13,3421,120,322,1234
"Upstream Leased Assest","2023-03-24","Uber","2019-01-02",28850,112,19,3112,234,278,355
"Purchase Goods and Services","2023-03-24","Marriott","2019-03-31",32287,800,16,3421,120,123,355
"Investments","2023-03-24","Enterprise","2023-06-23",47714,123,20,2312,112,278,345
"Downstream ","2023-03-24","Air Canada","2021-10-01",43522,234,1,3112,412,322,1234
"Capital Goods","2023-03-24","Associated Supply Co.","2022-03-17",44202,2200,2,1234,234,153,221
"Downstream ","2023-03-24","Southern Solutions","2020-03-05",26718,750,14,2207,234,322,1234
"Upstream Leased Assest","2023-03-24","Vand Enterprises, Inc.","2023-04-02",43861,123,17,1234,112,153,355
"Upstream Transportation and Distribution","2023-03-24","Allied Technologies","2021-08-28",11756,234,5,3112,120,278,345
"Investments","2023-03-24","salesforce.com","2019-09-26",40317,123,20,2207,412,123,221
"Purchase Goods and Services","2023-03-24","Lyft","2020-11-22",14953,800,15,3421,120,153,1234
"Capital Goods","2023-03-24","Good Freight Co","2022-10-23",24554,2200,17,2312,412,278,345
"Business Travel","2023-03-24","Employnet","2020-09-14",40311,112,17,2312,234,322,355
"Upstream Transportation and Distribution","2023-03-24","Hyatt","2022-05-01",40500,112,4,2207,112,123,221
"Upstream Leased Assest","2023-03-24","British Airways","2021-05-04",26800,234,6,1234,412,322,221
"Capital Goods","2023-03-24","Hilton","2019-04-10",20799,2200,20,3112,234,278,1234
"Downstream ","2023-03-24","Alamo","2023-05-12",45055,112,16,3421,112,153,345
"Investments","2023-03-24","Constellation Energy","2022-02-15",41234,123,8,2312,120,123,355
"Purchase Goods and Services","2023-03-24","Test Supplier","2019-10-02",28074,800,19,2207,120,153,221
"Business Travel","2023-03-24","Red Studio Designs","2023-05-03",23039,234,14,1234,412,322,355
"Upstream Transportation and Distribution","2023-03-24","Momentum Design","2020-06-29",19742,750,3,3421,234,278,345
"Business Travel","2023-03-24","Universal Services","2021-10-24",25787,123,20,3112,112,123,1234
"Upstream Leased Assest","2023-03-24","Big Sky & Sons","2020-02-04",26680,234,15,1234,112,278,345
"Investments","2023-03-24","Atlas Inc","2022-06-13",14292,123,12,3421,234,123,1234
"Purchase Goods and Services","2023-03-24","*Greenstone Products LTD","2019-12-18",25757,800,5,2312,412,153,355
"Downstream ","2023-03-24","Glasgow Catering","2021-11-12",45694,112,12,2207,120,322,221
"Capital Goods","2023-03-24","Hertz","2023-02-20",36513,2200,1,3112,112,153,355
"Upstream Leased Assest","2023-03-24","Associated Supply Co.","2022-06-14",13115,234,16,2312,412,322,345
"Business Travel","2023-03-24","Xcel Energy","2021-01-09",20021,112,20,1234,120,123,1234
"Capital Goods","2023-03-24","United Airline","2019-05-30",30805,2200,8,3112,234,278,221
"Investments","2023-03-24","Haven Enterprises","2023-06-29",14741,112,19,2207,412,123,355
"Upstream Transportation and Distribution","2023-03-24","Air France","2020-10-10",41116,123,6,3421,120,322,1234
"Purchase Goods and Services","2023-03-24","Green Fields Media","2022-10-09",20173,800,4,3421,234,278,221
"Downstream ","2023-03-24","Roseburg Products Co","2020-06-28",27997,234,17,3112,112,153,345
"Capital Goods","2023-03-24","RCE, Inc.","2019-07-09",15310,2200,19,2207,412,153,221
"Business Travel","2023-03-24","Uber","2021-01-22",47428,123,8,1234,112,278,355
"Purchase Goods and Services","2023-03-24","General Utilities","2023-02-23",37267,750,10,2312,120,123,1234
"Downstream ","2023-03-24","Laine Ltd","2021-10-04",27605,112,14,3112,234,322,345
"Upstream Transportation and Distribution","2023-03-24","KLM","2020-11-01",42110,234,7,3421,234,322,355
"Investments","2023-03-24","IHG","2022-11-16",35240,123,20,1234,412,278,1234
"Upstream Leased Assest","2023-03-24","Air Canada","2023-04-18",29315,112,10,2312,112,153,221
"Investments","2023-03-24","Universal Containers","2019-01-31",30430,750,17,2207,120,123,345
"Upstream Leased Assest","2023-03-24","Enterprise","2020-03-17",31221,234,15,1234,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Meridian Partners","2022-09-27",38483,112,4,3112,112,123,1234
"Purchase Goods and Services","2023-03-24","Pinnacle Partners","2023-04-10",27565,800,8,2312,234,278,221
"Business Travel","2023-03-24","ABC Woodworks","2021-03-18",37104,123,17,3421,412,322,355
"Capital Goods","2023-03-24","Marriott","2019-08-15",21495,2200,17,2207,120,153,1234
"Downstream ","2023-03-24","Budget","2022-07-15",18404,234,9,3421,112,123,345
"Upstream Transportation and Distribution","2023-03-24","SoloTaxi","2019-01-29",12987,112,5,1234,412,322,221
"Investments","2023-03-24","Harmon Consulting","2020-03-09",19961,750,8,2312,234,278,355
"Downstream ","2023-03-24","Advanced Communications","2021-09-24",35437,123,15,3112,120,123,355
"Purchase Goods and Services","2023-03-24","CityCab","2023-02-08",37172,800,15,2207,234,322,221
"Upstream Leased Assest","2023-03-24","Five Winds Project, LLC","2020-01-04",11019,234,10,3421,412,153,345
"Business Travel","2023-03-24","Tech Labs","2023-04-28",11585,112,8,1234,112,278,1234
"Capital Goods","2023-03-24","Valley Supply Inc.","2022-08-13",15420,2200,9,2207,234,322,1234
"Capital Goods","2023-03-24","Avis","2019-05-17",31618,2200,13,3112,120,123,221
"Business Travel","2023-03-24","UlyssesNet","2021-08-11",28624,234,2,2312,412,153,345
"Downstream ","2023-03-24","Gusto Sound and Audio","2023-05-31",34339,123,5,2312,112,278,355
"Investments","2023-03-24","Glasgow Water","2021-03-15",47326,112,9,1234,120,322,345
"Upstream Transportation and Distribution","2023-03-24","JetBlue","2019-04-02",11467,234,17,3112,112,123,221
"Upstream Leased Assest","2023-03-24","Delta Airlines","2020-11-14",28003,123,10,3421,234,278,355
"Purchase Goods and Services","2023-03-24","Office Print & Ship Services","2022-05-05",26836,800,7,2207,412,153,1234
"Investments","2023-03-24","Associated Supply Co.","2023-09-23",22775,123,5,3112,412,278,221
"Upstream Leased Assest","2023-03-24","UlyssesNet","2019-01-07",41982,112,12,2207,112,322,355
"Upstream Transportation and Distribution","2023-03-24","Pinnacle Partners","2021-04-02",16954,234,3,2312,234,153,345
"Capital Goods","2023-03-24","Vand Enterprises, Inc.","2020-12-03",45089,2200,13,3421,120,123,1234
"Downstream ","2023-03-24","Green Fields Media","2022-10-03",40102,750,9,1234,234,123,221
"Purchase Goods and Services","2023-03-24","IHG","2021-02-18",48875,800,11,2207,412,278,355
"Business Travel","2023-03-24","Delta Airlines","2019-11-12",13601,123,15,1234,112,322,1234
"Purchase Goods and Services","2023-03-24","Alamo","2020-10-08",45974,800,14,2312,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Xcel Energy","2023-02-01",13895,112,15,3421,112,123,355
"Downstream ","2023-03-24","Marriott","2022-09-06",26043,123,3,3112,412,322,1234
"Business Travel","2023-03-24","salesforce.com","2023-05-01",27578,234,10,1234,120,153,221
"Investments","2023-03-24","Harmon Consulting","2022-09-19",17457,234,6,3112,234,278,345
"Capital Goods","2023-03-24","Red Studio Designs","2020-05-14",49852,2200,12,3421,112,153,221
"Upstream Leased Assest","2023-03-24","Universal Services","2021-03-27",35845,112,15,2207,234,322,345
"Purchase Goods and Services","2023-03-24","Budget","2019-09-28",47371,800,9,2312,120,278,1234
"Investments","2023-03-24","Lyft","2023-07-06",11559,123,9,1234,412,123,355
"Upstream Leased Assest","2023-03-24","Glasgow Catering","2019-08-02",16660,112,2,3421,412,322,355
"Upstream Transportation and Distribution","2023-03-24","Constellation Energy","2022-11-13",37066,234,8,2312,112,278,1234
"Downstream ","2023-03-24","Roseburg Products Co","2020-03-08",48397,123,8,2207,120,123,221
"Business Travel","2023-03-24","Office Print & Ship Services","2021-07-05",38251,750,9,3112,234,153,345
"Capital Goods","2023-03-24","Southern Solutions","2019-11-06",36851,2200,10,2312,112,153,221
"Purchase Goods and Services","2023-03-24","Tech Labs","2020-10-05",49835,800,13,3421,412,278,355
"Business Travel","2023-03-24","JetBlue","2022-12-30",31213,234,14,3112,234,322,345
"Downstream ","2023-03-24","Universal Containers","2023-11-13",21603,112,12,1234,120,123,1234
"Upstream Transportation and Distribution","2023-03-24","*Greenstone Products LTD","2021-12-30",38165,112,18,2207,412,123,345
