"ProjectName","ProjectId","LastProcessedDate","MitigationType","ProjectExternaId","ReportDate","BusinessRegion","CountryCode3Digits","AdditionalBenefits","ProjectType","Country","TotalPurchasedCredits","CostPerUnit","AvgCreditsPurchased","TotalAllocatedCredits","CreditsAvailable","CreditsAllocated","AvgPrice","TotalAvailableCredits","SustainabilityCredits","CreditsPurchased"
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2014-01-31","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,20,90,1150,4,3,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2018-07-05","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,20,1150,4,1,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2022-12-13","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,70,1150,5,2,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2015-03-21","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,30,10,1150,5,3,24,1350,750,2
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2016-04-09","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,30,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2015-10-12","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,80,1150,2,3,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2021-07-11","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,30,40,1150,3,1,24,1350,750,1
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2014-01-02","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,30,80,1150,3,2,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2014-09-06","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,30,10,1150,3,3,24,1350,750,1
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2018-02-02","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,20,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2023-01-01","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,30,1150,2,4,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2016-05-12","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,10,1150,3,2,24,1350,750,2
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2020-04-06","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,20,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2022-04-27","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,10,1150,2,2,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2018-08-19","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,20,1150,1,2,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2014-04-14","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,30,30,1150,2,2,24,1350,750,1
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2023-10-11","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,30,90,1150,2,3,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2014-10-05","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,30,1150,3,3,24,1350,750,1
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2021-12-23","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,20,90,1150,2,1,24,1350,750,2
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2023-09-25","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,20,1150,3,4,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2017-12-14","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,30,1150,1,5,24,1350,750,1
"Carbon Credit Project 75",,"2023-09-18","Reduction","SDO.1075","2016-09-19","EMEA","ETH","Biodiversity","Waste Disposal","Ethiopia",2500,40,60,1150,4,2,24,1350,750,1
"Carbon Credit Project 95",,"2023-09-18","Sequestration","SDO.1095","2021-05-30","EMEA","SVK","Biodiversity","Agriculture","Slovakia",2500,20,30,1150,4,1,24,1350,750,2
"Canadian Reforestation","0uhB00000008OMUIA2","2023-09-18","Removal","SDO.003","2014-07-09","AMER","CAN","Biodiversity","Forestry and Land Use","Canada",2500,20,80,1150,4,3,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2021-01-30","AMER","CAN","Biodiversity","Agriculture","Canada",2500,30,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2022-02-26","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2023-03-28","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,4,3,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2019-11-12","AMER","CAN","Biodiversity","Agriculture","Canada",2500,30,80,1150,2,3,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2017-04-17","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,90,1150,1,5,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2022-05-12","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,3,2,24,1350,750,2
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2016-04-06","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,80,1150,3,3,24,1350,750,2
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2018-05-22","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,5,2,24,1350,750,2
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2021-09-01","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,4,1,24,1350,750,2
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2021-10-26","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,90,1150,5,1,24,1350,750,2
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2022-05-14","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2023-11-24","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,5,4,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2014-08-23","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2015-12-31","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2018-04-03","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,4,1,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2021-09-22","AMER","CAN","Biodiversity","Agriculture","Canada",2500,30,90,1150,5,1,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2020-11-25","AMER","CAN","Biodiversity","Agriculture","Canada",2500,20,80,1150,4,1,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2022-08-16","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 18 - CAN",,"2023-09-18","Avoidance","SDO.1018","2014-02-12","AMER","CAN","Biodiversity","Agriculture","Canada",2500,30,80,1150,5,3,24,1350,750,1
"Carbon Credit Project 4 - BRA",,"2023-09-18","Sequestration","SDO.104","2021-08-13","LATAM","BRA","Energy Access","Waste Disposal","Brazil",2500,40,90,1150,4,1,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2018-08-15","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,30,1150,1,1,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2016-09-10","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2015-11-10","APAC","IND","Energy Access","Renewable Energy","India",2500,30,100,1150,1,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2014-09-26","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,50,70,1150,2,2,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2017-08-20","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,30,30,1150,2,5,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2021-04-27","APAC","IND","Health","Waste Disposal","India",2500,40,100,1150,1,1,24,1350,750,2
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2017-09-13","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,40,20,1150,3,5,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2023-08-31","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,10,1150,3,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2016-10-23","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,10,20,1150,1,2,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2015-10-11","APAC","IND","Health","Waste Disposal","India",2500,40,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2014-10-07","APAC","IND","Energy Access","Renewable Energy","India",2500,30,100,1150,1,3,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2020-05-14","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,10,1150,5,2,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2019-06-17","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,30,1150,3,3,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2014-05-05","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,100,1150,1,3,24,1350,750,2
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2016-08-19","APAC","IND","Health","Waste Disposal","India",2500,40,90,1150,4,2,24,1350,750,2
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2020-01-25","APAC","IND","Energy Access","Renewable Energy","India",2500,30,100,1150,1,2,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2018-08-04","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,80,1150,3,2,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2019-10-28","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,60,1150,2,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2021-12-22","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,60,10,1150,4,1,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2022-11-04","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,50,1150,1,2,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2017-03-01","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,90,1150,3,4,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2023-11-28","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,10,1150,3,4,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2015-01-21","APAC","IND","Energy Access","Renewable Energy","India",2500,30,100,1150,1,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2019-12-22","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,20,50,1150,3,3,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2021-08-18","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,50,1150,4,1,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2022-06-08","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,60,1150,1,2,24,1350,750,2
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2023-09-09","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,100,1150,4,3,24,1350,750,2
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2018-02-26","APAC","IND","Health","Waste Disposal","India",2500,40,100,1150,4,1,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2019-09-27","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,50,30,1150,4,3,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2020-09-12","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,30,100,1150,5,1,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2015-05-04","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,30,10,1150,2,3,24,1350,750,2
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2020-05-01","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,3,2,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2022-07-26","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,20,1150,1,2,24,1350,750,2
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2016-07-26","APAC","IND","Health","Waste Disposal","India",2500,40,90,1150,2,2,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2022-10-29","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,20,1150,1,1,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2019-01-30","APAC","IND","Health","Waste Disposal","India",2500,40,90,1150,4,3,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2016-06-27","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,50,1150,2,2,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2023-02-24","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,30,90,1150,1,3,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2021-09-19","APAC","IND","Energy Access","Renewable Energy","India",2500,30,100,1150,5,1,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2021-02-18","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,20,1150,2,1,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2018-01-17","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,30,30,1150,1,2,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2021-03-04","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,10,1150,1,1,24,1350,750,2
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2016-03-24","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,10,1150,4,3,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2021-08-29","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,80,1150,1,1,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2023-03-22","APAC","IND","Health","Waste Disposal","India",2500,40,100,1150,3,4,24,1350,750,2
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2015-05-23","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,20,1150,1,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2023-11-27","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,50,30,1150,3,4,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2019-11-10","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,3,3,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2019-04-05","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,70,1150,2,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2021-06-26","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,80,30,1150,5,1,24,1350,750,2
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2023-12-03","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,30,20,1150,2,3,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2017-07-18","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,10,1150,3,4,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2015-10-25","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,20,1150,1,3,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2014-07-10","APAC","IND","Health","Waste Disposal","India",2500,40,100,1150,3,2,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2019-03-12","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,90,1150,3,3,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2020-01-02","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,1,1,24,1350,750,2
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2015-03-11","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,10,1150,1,3,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2014-09-13","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,30,20,1150,4,3,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2020-11-25","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,100,1150,2,1,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2022-05-01","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,40,10,1150,5,2,24,1350,750,2
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2016-05-08","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2016-08-03","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,100,40,1150,1,2,24,1350,750,1
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2019-04-02","APAC","IND","Health","Waste Disposal","India",2500,40,100,1150,3,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2016-01-05","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,50,60,1150,5,3,24,1350,750,2
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2021-10-05","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,40,1150,4,1,24,1350,750,1
"Carbon Credit Project 69",,"2023-09-18","Sequestration","SDO.1069","2020-07-05","APAC","AUS","Biodiversity","Waste Disposal","Australia",2500,40,20,1150,5,2,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2015-09-22","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,30,1150,5,3,24,1350,750,1
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2014-07-01","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,80,1150,2,3,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2021-06-27","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,4,1,24,1350,750,2
"Carbon Credit Project 27 - IND",,"2023-09-18","Reduction","SDO.1027","2020-04-03","APAC","IND","Health","Waste Disposal","India",2500,30,100,1150,2,1,24,1350,750,1
"Carbon Credit Project 25 - IND",,"2023-09-18","Avoidance","SDO.1025","2015-09-28","APAC","IND","Energy Access","Renewable Energy","India",2500,30,90,1150,1,3,24,1350,750,2
"Carbon Credit Project 36 - ESP",,"2023-09-18","Avoidance","SDO.1036","2017-07-01","EMEA","ESP","Biodiversity","Agriculture","Spain",2500,20,100,1150,1,5,24,1350,750,1
"Carbon Credit Project 81",,"2023-09-18","Sequestration","SDO.1081","2019-11-22","EMEA","AGO","Biodiversity","Industrial Manufacturing","Angola",2500,30,10,1150,5,3,24,1350,750,1
"Carbon Credit Project 92",,"2023-09-18","Reduction","SDO.1092","2015-05-25","LATAM","MEX","Biodiversity","Fuel Switching","Mexico",2500,20,30,1150,3,3,24,1350,750,1
"Carbon Credit Project 94",,"2023-09-18","Reduction","SDO.1094","2018-12-14","EMEA","DNK","Biodiversity","Household Devices","Denmark",2500,40,10,1150,2,1,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2022-08-28","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,20,90,1150,3,2,24,1350,750,2
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2019-01-13","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,1,3,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2017-09-10","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,20,90,1150,2,4,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2014-02-13","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2015-08-27","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,3,3,24,1350,750,2
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2021-03-12","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,5,1,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2023-02-20","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,90,1150,1,4,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2022-02-04","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,20,90,1150,3,2,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2017-06-01","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,4,5,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2017-12-08","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,90,1150,2,4,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2014-02-24","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,3,3,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2019-09-01","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,5,2,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2018-04-03","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,1,1,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2018-03-09","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,90,1150,2,1,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2021-08-13","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,5,1,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2021-03-25","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,5,1,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2023-09-28","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,2,4,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2018-05-25","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,40,90,1150,3,2,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2015-02-26","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,20,100,1150,3,3,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2016-10-17","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,90,1150,4,2,24,1350,750,1
"Carbon Credit Project 28 - IND",,"2023-09-18","Avoidance","SDO.1028","2018-08-01","APAC","IND","Biodiversity","Forestry and Land Use","India",2500,30,100,1150,2,2,24,1350,750,1
"Carbon Credit Project 21 - CAN",,"2023-09-18","Removal","SDO.1021","2019-09-02","AMER","CAN","Biodiversity","Industrial Manufacturing","Canada",2500,30,80,1150,2,2,24,1350,750,1
"Carbon Credit Project 93",,"2023-09-18","Sequestration","SDO.1093","2019-01-10","LATAM","ECU","Biodiversity","Forestry and Land Use","Ecuador",2500,30,40,1150,4,3,24,1350,750,1
"Carbon Credit Project 14 - CAN",,"2023-09-18","Removal","SDO.1014","2021-04-03","AMER","CAN","Health","Industrial Manufacturing","Canada",2500,30,90,1150,1,1,24,1350,750,2
"Carbon Credit Project 14 - CAN",,"2023-09-18","Removal","SDO.1014","2016-03-28","AMER","CAN","Health","Industrial Manufacturing","Canada",2500,40,80,1150,5,2,24,1350,750,1
"Carbon Credit Project 93",,"2023-09-18","Sequestration","SDO.1093","2017-04-13","LATAM","ECU","Biodiversity","Forestry and Land Use","Ecuador",2500,20,10,1150,4,4,24,1350,750,1
"Carbon Credit Project 14 - CAN",,"2023-09-18","Removal","SDO.1014","2016-08-28","AMER","CAN","Health","Industrial Manufacturing","Canada",2500,40,80,1150,2,3,24,1350,750,1
