"AccountId","ReportPeriod","LastProcessedDate","BusinessRegion","CountryCode3Digits","ActivitySourceType","AssetType","Asset","Country","AssetExternalId","AccountExternalId","AssetId","AccountName","AverageRisk","WaterRisk","WaterStress","AverageWithdrawal","AverageQuantifiedRisk","QuantifiedRisk","AverageConsumption","AverageDischarge","AverageStress"
"001B000001SklaNIAR","2014-08-01","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,70,17101,15043,40
,"2021-12-17","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2022-04-10","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,100,17101,15043,40
"001B000001SklaNIAR","2016-04-20","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,50,16041,486,20,17101,15043,40
,"2015-05-18","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,20,1255,278,100,1255,1255,50
,"2020-07-29","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2014-06-03","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,50,16041,486,10,17101,15043,40
,"2017-04-24","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,70,1255,1255,50
"001B000001SklaNIAR","2021-09-14","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,70,16041,486,80,17101,15043,40
,"2021-03-07","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2012-04-09","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,50,50,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2014-01-10","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,30,16041,486,100,17101,15043,40
,"2019-01-18","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,50,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2017-11-24","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,70,16041,486,30,17101,15043,40
,"2020-08-06","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,50,1255,278,30,1255,1255,50
,"2015-09-16","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,10,40,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2017-01-05","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,50,16041,486,30,17101,15043,40
,"2022-10-04","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,70,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2018-12-08","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,70,16041,486,30,17101,15043,40
,"2017-12-06","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,40,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2023-09-24","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
,"2015-05-16","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,40,80,1255,278,60,1255,1255,50
"001B000001SklaNIAR","2014-10-07","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,50,40,16041,486,50,17101,15043,40
"001B000001SklaNIAR","2016-12-21","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,50,16041,486,30,17101,15043,40
,"2012-02-09","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,90,1255,278,70,1255,1255,50
"001B000001SklaNIAR","2020-03-12","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,70,17101,15043,40
,"2019-10-05","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,50,1255,278,40,1255,1255,50
,"2020-09-02","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,50,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2020-07-27","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,80,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2017-05-08","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,60,16041,486,30,17101,15043,40
,"2023-02-15","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,70,70,1255,278,50,1255,1255,50
,"2013-02-04","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,80,10,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2020-06-21","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,70,17101,15043,40
,"2017-12-01","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,70,1255,1255,50
"001B000001SklaNIAR","2022-02-28","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,90,17101,15043,40
"001B000001SklaNIAR","2016-07-31","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,60,16041,486,30,17101,15043,40
,"2020-07-14","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,60,1255,278,40,1255,1255,50
,"2017-03-26","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2022-08-04","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,90,17101,15043,40
,"2013-12-21","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,80,80,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2015-05-27","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,10,16041,486,80,17101,15043,40
"001B000001SklaNIAR","2023-07-06","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
,"2020-08-12","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,50,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2020-06-09","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,70,17101,15043,40
,"2015-01-20","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,30,1255,278,40,1255,1255,50
,"2021-06-24","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2013-10-07","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,60,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2015-10-22","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,80,16041,486,100,17101,15043,40
,"2014-06-15","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,10,1255,278,70,1255,1255,50
,"2012-02-24","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,10,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2023-06-22","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
"001B000001SklaNIAR","2021-09-18","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,80,16041,486,90,17101,15043,40
,"2020-10-28","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2012-08-15","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,20,16041,486,50,17101,15043,40
,"2022-07-28","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,70,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2016-02-14","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,60,16041,486,20,17101,15043,40
,"2019-01-06","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,40,50,1255,278,30,1255,1255,50
,"2013-06-17","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,10,1255,278,80,1255,1255,50
"001B000001SklaNIAR","2018-07-27","2023-09-18","AMER","USA","Reused Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,70,16041,486,40,17101,15043,40
,"2021-09-21","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2020-07-23","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,70,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2013-04-10","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,30,16041,486,90,17101,15043,40
,"2014-08-14","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,80,1255,278,80,1255,1255,50
"001B000001SklaNIAR","2013-07-23","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,70,17101,15043,40
,"2021-09-03","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2014-09-29","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,90,16041,486,10,17101,15043,40
,"2023-07-07","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,70,70,1255,278,60,1255,1255,50
,"2021-11-08","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,60,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2015-09-24","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,10,16041,486,80,17101,15043,40
,"2012-05-09","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,30,1255,278,90,1255,1255,50
"001B000001SklaNIAR","2022-08-17","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,100,17101,15043,40
,"2018-12-04","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,40,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2020-05-22","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,70,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2018-04-01","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,70,16041,486,40,17101,15043,40
,"2020-10-17","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,60,1255,278,40,1255,1255,50
,"2019-10-22","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,50,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2022-06-05","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,80,16041,486,100,17101,15043,40
,"2014-02-23","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,80,30,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2014-02-20","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,90,16041,486,90,17101,15043,40
,"2014-02-27","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,80,10,1255,278,10,1255,1255,50
"001B000001SklaNIAR","2016-11-11","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,60,16041,486,30,17101,15043,40
"001B000001SklaNIAR","2016-10-15","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,50,16041,486,30,17101,15043,40
,"2012-02-27","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,30,1255,278,30,1255,1255,50
,"2019-04-30","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,50,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2014-05-13","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,20,17101,15043,40
,"2023-06-12","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,70,70,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2021-07-18","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,80,16041,486,90,17101,15043,40
"001B000001SklaNIAR","2012-02-25","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,30,20,16041,486,80,17101,15043,40
,"2017-04-19","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,70,1255,1255,50
,"2021-08-27","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2012-10-27","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,20,16041,486,40,17101,15043,40
"001B000001SklaNIAR","2017-04-21","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,60,16041,486,30,17101,15043,40
,"2018-09-17","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,50,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2012-02-21","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,30,16041,486,40,17101,15043,40
,"2020-12-15","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,50,1255,278,30,1255,1255,50
,"2012-05-11","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,60,1255,278,90,1255,1255,50
"001B000001SklaNIAR","2022-03-02","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,100,17101,15043,40
,"2023-10-13","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,70,70,1255,278,60,1255,1255,50
"001B000001SklaNIAR","2019-06-27","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,60,17101,15043,40
"001B000001SklaNIAR","2023-01-28","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
,"2016-03-15","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,30,1255,278,20,1255,1255,50
,"2021-06-05","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2013-07-18","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,20,90,16041,486,20,17101,15043,40
"001B000001SklaNIAR","2022-08-16","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,70,16041,486,100,17101,15043,40
,"2014-03-15","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,80,20,1255,278,70,1255,1255,50
,"2017-04-09","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,20,1255,1255,50
"001B000001SklaNIAR","2020-01-07","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,70,16041,486,70,17101,15043,40
,"2021-01-06","2023-09-18","EMEA","GRB","Sea Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2013-09-30","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,90,16041,486,10,17101,15043,40
"001B000001SklaNIAR","2020-06-15","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,70,70,16041,486,70,17101,15043,40
,"2017-08-23","2023-09-18","EMEA","GRB","Fresh Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,40,1255,278,30,1255,1255,50
,"2020-10-03","2023-09-18","EMEA","GRB","Reused Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,50,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2012-07-11","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,40,16041,486,40,17101,15043,40
"001B000001SklaNIAR","2023-05-22","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
,"2017-01-12","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,70,1255,1255,50
,"2017-09-22","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,20,40,1255,278,70,1255,1255,50
"001B000001SklaNIAR","2020-02-05","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,80,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2014-12-08","2023-09-18","AMER","USA","Ground Water - Non-Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,90,16041,486,10,17101,15043,40
,"2018-06-30","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,40,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2023-11-26","2023-09-18","AMER","USA","Recycled Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,90,16041,486,100,17101,15043,40
,"2015-12-17","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,10,80,1255,278,100,1255,1255,50
,"2014-07-20","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,30,90,1255,278,30,1255,1255,50
"001B000001SklaNIAR","2016-02-29","2023-09-18","AMER","USA","Third-Party Reserve","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,50,16041,486,30,17101,15043,40
,"2022-03-26","2023-09-18","EMEA","GRB","Ground Water - Non-Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,70,60,1255,278,50,1255,1255,50
"001B000001SklaNIAR","2020-05-13","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,60,80,16041,486,70,17101,15043,40
"001B000001SklaNIAR","2016-03-18","2023-09-18","AMER","USA","Sea Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,10,60,16041,486,30,17101,15043,40
,"2022-07-30","2023-09-18","EMEA","GRB","Ground Water - Renewable","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,70,1255,278,50,1255,1255,50
,"2012-06-30","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,60,1255,1255,50
"001B000001SklaNIAR","2015-09-04","2023-09-18","AMER","USA","Ground Water - Renewable","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,40,90,16041,486,50,17101,15043,40
,"2020-11-23","2023-09-18","EMEA","GRB","Third-Party Reserve","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,50,60,1255,278,40,1255,1255,50
"001B000001SklaNIAR","2022-09-13","2023-09-18","AMER","USA","Fresh Water","Manufacturing","WMDV Square North","United States","SDO.007","SupplierAcct203","0phB00000004MmtIAE","Yubo Corporation",50,80,80,16041,486,90,17101,15043,40
,"2021-12-03","2023-09-18","EMEA","GRB","Recycled Water","Office","Addison","United Kingdom","SDO.013",,"0phB00000004MmzIAE",,60,60,60,1255,278,40,1255,1255,50
