"Supplier_Tier","HasScoreCard","Emission_Calculation_Method","Rank","Date","Emissions_Reduction_Type","Reporting_Scope","Score_Card_Status","SBTI_Target_Status","Supplier","Location","Reported_Emissions","Procurement_Expense","ScoreCardOrder","Calculated_Emissions","Procurement_Emissions","Expense_Ratio","Contribution_to_Total_Emissions","Contribution_total_Emissions_Card","RankNro"
"Tier 1","Yes","Spend Based","2","2022-05-12","2°C",,"Response Recived","None","Universal Containers","UK",5500,30000,2,4125,403,0.013433,1,0.1613,2
"Tier 1","No","None","52","2021-06-13","3°C",,,"None","Uber","Australia",4500,400000,,3375,87,0.000218,1,0.034995,52
"Tier 1","No","None","24","2022-03-10","2°C",,,"None","Delta Airlines","Canada",6500,500000,,4875,137,0.000274,1,0.054995,24
"Tier 1","No","None","15","2021-01-28","1.5 °C","all scopes",,"None","Alamo","India",3500,20000,,2625,2199,0.10995,1,0.8795,15
"Tier 1","No","None","12","2022-12-27","2°C","Scope 1 and 2",,"None","Advanced Communications","USA",6500,15000,,4875,149,0.009933,1,0.0595,12
"Tier 1","No","None","42","2021-01-06","1.5 °C","all scopes",,"None","Laine Ltd","Canada",4500,200,,3375,86,0.43,1,0.0346,42
"Tier 1","No","None","53","2022-02-01","2°C",,,"None","UlyssesNet","India",5500,250,,4125,75,0.3,1,0.02995,53
"Tier 1","No","None","56","2021-01-26","3°C",,,"None","Xcel Energy","UK",3500,150000,,2625,275,0.001833,1,0.10995,56
"Tier 1","No","None","37","2021-10-04","2°C",,,"None","Hilton","Australia",5500,400000,,4125,231,0.000578,1,0.092346,37
"Tier 1","No","None","45","2022-05-06","2°C",,,"None","Meridian Partners","Germany",3500,200,,2625,73,0.365,1,0.02936,45
"Tier 1","No","None","10","2022-11-13","1.5 °C",,,"None","Red Studio Designs","Germany",4500,250,,3375,54,0.216,1,0.0215,10
"Tier 1","No","None","14","2021-01-23","1.5 °C",,,"None","Air France","India",6500,20000,,4875,1424,0.0712,1,0.5695,14
"Tier 1","No","None","16","2021-08-27","2°C","Scope 1 and 2",,"None","Allied Technologies","UK",4500,30000,,3375,2194,0.073133,1,0.8775,16
"Tier 1","Yes","Supplier Provided","3","2022-01-14","2°C","Scope 1 and 2","Validated","Multiple","*Acme","Canada",6500,300,3,4875,249,0.83,1,0.0995,3
"Tier 1","No","None","20","2021-06-08","2°C",,,"None","British Airways","Australia",5500,15000,,4125,233,0.015533,1,0.093395,20
"Tier 1","No","None","43","2022-07-17","3°C",,,"None","Lyft","USA",3500,500000,,2625,236,0.000472,1,0.09454,43
"Tier 1","No","None","26","2022-09-10","1.5 °C",,,"None","Enterprise","Canada",3500,15000,,2625,234,0.0156,1,0.093495,26
"Tier 1","No","None","22","2021-05-21","1.5 °C",,,"None","CityCab","UK",6500,400000,,4875,234,0.000585,1,0.09343,22
"Tier 1","Yes","Spend Based","4","2022-05-13","2°C",,"New","None","Vand Enterprises, Inc.","Australia",5500,20000,1,4125,243,0.01215,1,0.0971,4
"Tier 1","No","None","18","2021-04-04","2°C",,,"None","Avis","USA",4500,200,,3375,60,0.3,1,0.02395,18
"Tier 1","Yes","Spend Based","6","2021-06-01","2°C",,"Complete","Multiple","Universal Services","India",5500,30000,4,4125,209,0.006967,1,0.0834,6
"Tier 1","No","None","44","2022-05-17","1.5 °C",,,"None","Marriott","Germany",4500,150000,,3375,86,0.000573,1,0.03436,44
"Tier 1","No","None","25","2022-10-31","2°C",,,"None","Employnet","UK",3500,500000,,2625,231,0.000462,1,0.092395,25
"Tier 1","No","None","51","2021-01-19","2°C",,,"None","Test Supplier","Canada",6500,300,,4875,1077,3.59,1,0.430995,51
"Tier 1","No","None","26","2021-10-20","3°C",,,"None","Enterprise","Germany",4500,250,,3375,234,0.936,1,0.093495,26
"Tier 1","No","None","12","2022-02-08","2°C","Scope 1 and 2",,"None","Advanced Communications","Australia",5500,500000,,4125,149,0.000298,1,0.0595,12
"Tier 1","No","None","10","2021-09-07","1.5 °C",,,"None","Red Studio Designs","USA",6500,400000,,4875,54,0.000135,1,0.0215,10
"Tier 1","No","None","36","2022-07-17","1.5 °C",,,"None","Hertz","India",3500,30000,,2625,239,0.007967,1,0.095695,36
"Tier 1","No","None","24","2021-06-02","2°C",,,"None","Delta Airlines","India",4500,200,,3375,137,0.685,1,0.054995,24
"Tier 1","No","None","20","2022-10-20","2°C",,,"None","British Airways","Canada",3500,150000,,2625,233,0.001553,1,0.093395,20
"Tier 1","No","None","46","2022-12-01","1.5 °C",,,"None","Momentum Design","USA",5500,300,,4125,233,0.776667,1,0.093244,46
"Tier 1","No","None","28","2021-03-08","3°C",,,"None","General Utilities","Australia",6500,250,,4875,232,0.928,1,0.09295,28
"Tier 1","No","None","52","2021-01-15","2°C",,,"None","Uber","UK",4500,20000,,3375,87,0.00435,1,0.034995,52
"Tier 1","No","None","27","2022-06-10","2°C",,,"None","Five Winds Project, LLC","Germany",3500,15000,,2625,234,0.0156,1,0.093495,27
"Tier 1","Yes","Spend Based","4","2021-06-17","2°C",,"New","None","Vand Enterprises, Inc.","USA",5500,150000,1,4125,243,0.00162,1,0.0971,4
"Tier 1","No","None","22","2022-04-11","1.5 °C",,,"None","CityCab","Australia",6500,400000,,4875,234,0.000585,1,0.09343,22
"Tier 1","No","None","39","2021-07-20","2°C",,,"None","IHG","Canada",3500,20000,,2625,239,0.01195,1,0.095495,39
"Tier 1","Yes","Spend Based","6","2022-11-10","1.5 °C",,"Complete","Multiple","Universal Services","India",4500,200,4,3375,209,1.045,1,0.0834,6
"Tier 1","No","None","30","2022-10-20","2°C",,,"None","Glasgow Water","Germany",5500,300,,4125,241,0.803333,1,0.09647,30
"Tier 1","No","None","21","2021-11-26","3°C","all scopes",,"None","Budget","UK",6500,250,,4875,87,0.348,1,0.034995,21
"Tier 1","No","None","49","2021-09-02","2°C",,,"None","Southern Solutions","India",3500,30000,,2625,59,0.001967,1,0.0235,49
"Tier 1","No","None","54","2022-06-25","1.5 °C",,,"None","United Airline","Germany",5500,15000,,4125,75,0.005,1,0.02995,54
"Tier 1","No","None","42","2022-06-25","2°C","all scopes",,"None","Laine Ltd","UK",4500,500000,,3375,86,0.000172,1,0.0346,42
"Tier 1","No","None","31","2021-09-21","2°C",,,"None","Good Freight Co","Canada",6500,150000,,4875,241,0.001607,1,0.096595,31
"Tier 1","No","None","55","2022-01-04","1.5 °C",,,"None","Valley Supply Inc.","Australia",3500,20000,,2625,239,0.01195,1,0.095595,55
"Tier 1","No","None","11","2021-05-18","2°C",,,"None","ABC Woodworks","USA",4500,500000,,3375,124,0.000248,1,0.0495,11
"Tier 1","No","None","48","2022-11-06","1.5 °C",,,"None","SoloTaxi","Germany",5500,400000,,4125,602,0.001505,1,0.240995,48
"Tier 1","No","None","44","2021-07-29","3°C",,,"None","Marriott","Australia",6500,300,,4875,86,0.286667,1,0.03436,44
"Tier 1","Yes","Spend Based","1","2022-01-15","2°C",,"Validated","None","Pinnacle Partners","USA",6500,200,3,4875,422,2.11,1,0.1686,1
"Tier 1","No","None","43","2021-04-17","2°C",,,"None","Lyft","India",5500,30000,,4125,236,0.007867,1,0.09454,43
"Tier 1","No","None","23","2022-03-16","2°C",,,"None","Constellation Energy","Canada",3500,250,,2625,234,0.936,1,0.093495,23
"Tier 1","No","None","16","2021-02-17","1.5 °C","Scope 1 and 2",,"None","Allied Technologies","UK",4500,15000,,3375,2194,0.146267,1,0.8775,16
"Tier 1","No","None","37","2021-10-13","1.5 °C",,,"None","Hilton","Germany",6500,200,,4875,231,1.155,1,0.092346,37
"Tier 1","No","None","7","2022-08-12","2°C",,,"None","Office Print & Ship Services","USA",4500,150000,,3375,160,0.001067,1,0.0639,7
"Tier 1","No","None","14","2022-10-27","2°C",,,"None","Air France","UK",3500,300,,2625,1424,4.746667,1,0.5695,14
"Tier 1","No","None","25","2021-10-04","3°C",,,"None","Employnet","Canada",5500,20000,,4125,231,0.01155,1,0.092395,25
"Tier 1","Yes","Supplier Provided","3","2022-03-12","2°C","Scope 1 and 2","Complete","Multiple","*Acme","India",6500,250,4,4875,249,0.996,1,0.0995,3
"Tier 1","No","None","5","2021-03-23","1.5 °C",,,"None","salesforce.com","Australia",5500,400000,,4125,242,0.000605,1,0.0966,5
"Tier 1","No","None","32","2021-09-16","2°C","all scopes",,"None","Green Fields Media","India",3500,30000,,2625,241,0.008033,1,0.096595,32
"Tier 1","No","None","47","2022-02-22","2°C",,,"None","RCE, Inc.","Germany",4500,15000,,3375,59,0.003933,1,0.0235,47
"Tier 1","No","None","18","2022-07-30","1.5 °C",,,"None","Avis","USA",3500,500000,,2625,60,0.00012,1,0.02395,18
"Tier 1","No","None","34","2021-10-28","2°C",,,"None","Harmon Consulting","Canada",6500,20000,,4875,239,0.01195,1,0.095695,34
"Tier 1","No","None","51","2022-10-04","1.5 °C",,,"None","Test Supplier","UK",5500,500000,,4125,1077,0.002154,1,0.430995,51
"Tier 1","No","None","53","2021-01-12","2°C",,,"None","UlyssesNet","Australia",4500,250,,3375,75,0.3,1,0.02995,53
"Tier 1","No","None","29","2021-11-21","2°C",,,"None","Glasgow Catering","India",4500,300,,3375,228,0.76,1,0.091295,29
"Tier 1","No","None","8","2022-07-14","1.5 °C",,,"None","Associated Supply Co.","UK",6500,30000,,4875,81,0.0027,1,0.0322,8
"Tier 1","No","None","41","2021-07-30","2°C",,,"None","KLM","Australia",5500,200,,4125,236,1.18,1,0.09454,41
"Tier 1","No","None","33","2022-11-14","3°C",,,"None","Gusto Sound and Audio","Canada",3500,400000,,2625,239,0.000598,1,0.09565,33
"Tier 1","No","None","17","2021-04-18","2°C",,,"None","Atlas Inc","Germany",6500,15000,,4875,199,0.013267,1,0.0795,17
"Tier 1","No","None","9","2022-02-18","1.5 °C",,,"None","Roseburg Products Co","USA",4500,150000,,3375,56,0.000373,1,0.0226,9
"Tier 1","No","None","40","2022-02-20","2°C",,,"None","JetBlue","UK",5500,150000,,4125,236,0.001573,1,0.094595,40
"Tier 1","No","None","45","2021-03-26","3°C",,,"None","Meridian Partners","India",3500,250,,2625,73,0.292,1,0.02936,45
"Tier 1","No","None","15","2021-07-10","1.5 °C","all scopes",,"None","Alamo","Germany",3500,20000,,2625,2199,0.10995,1,0.8795,15
"Tier 1","Yes","Spend Based","50","2022-12-06","2°C",,"Validated","Multiple","Tech Labs","Australia",6500,200,3,4875,827,4.135,1,0.330995,50
"Tier 1","Yes","Spend Based","2","2021-04-02","2°C",,"Response Recived","None","Universal Containers","Canada",4500,300,2,3375,403,1.343333,1,0.1613,2
"Tier 1","No","None","19","2022-12-20","1.5 °C",,,"None","Big Sky & Sons","USA",5500,400000,,4125,234,0.000585,1,0.093495,19
"Tier 1","No","None","13","2021-05-24","2°C",,,"None","Air Canada","Australia",5500,15000,,4125,149,0.009933,1,0.0595,13
"Tier 1","No","None","38","2022-02-01","2°C",,,"None","Hyatt","India",6500,30000,,4875,236,0.007867,1,0.09454,38
"Tier 1","No","None","35","2022-11-07","1.5 °C",,,"None","Haven Enterprises","Canada",3500,500000,,2625,241,0.000482,1,0.096595,35
"Tier 1","No","None","56","2021-03-04","3°C",,,"None","Xcel Energy","USA",4500,400000,,3375,275,0.000688,1,0.10995,56
"Tier 1","No","None","48","2022-03-31","2°C",,,"None","SoloTaxi","Germany",6500,20000,,4875,602,0.0301,1,0.240995,48
"Tier 1","No","None","46","2021-07-31","1.5 °C",,,"None","Momentum Design","UK",5500,150000,,4125,233,0.001553,1,0.093244,46
"Tier 1","No","None","5","2022-05-18","2°C",,,"None","salesforce.com","India",4500,500000,,3375,242,0.000484,1,0.0966,5
"Tier 1","Yes","Spend Based","6","2021-06-15","2°C",,"Complete","Multiple","Universal Services","Germany",3500,30000,4,2625,209,0.006967,1,0.0834,6
"Tier 1","No","None","20","2022-08-15","2°C",,,"None","British Airways","Australia",4500,200,,3375,233,1.165,1,0.093395,20
"Tier 1","No","None","10","2021-05-27","1.5 °C",,,"None","Red Studio Designs","Canada",6500,250,,4875,54,0.216,1,0.0215,10
"Tier 1","No","None","15","2022-12-12","2°C","all scopes",,"None","Alamo","USA",5500,300,,4125,2199,7.33,1,0.8795,15
"Tier 1","No","None","56","2021-11-19","3°C",,,"None","Xcel Energy","UK",3500,15000,,2625,275,0.018333,1,0.10995,56
"Tier 1","No","None","45","2022-05-25","2°C",,,"None","Meridian Partners","Canada",6500,400000,,4875,73,0.000183,1,0.02936,45
"Tier 1","No","None","7","2021-03-13","1.5 °C",,,"None","Office Print & Ship Services","UK",5500,250,,4125,160,0.64,1,0.0639,7
"Tier 1","No","None","42","2022-02-12","2°C","all scopes",,"None","Laine Ltd","USA",3500,20000,,2625,86,0.0043,1,0.0346,42
"Tier 1","No","None","23","2021-08-23","1.5 °C",,,"None","Constellation Energy","Germany",4500,500000,,3375,234,0.000468,1,0.093495,23
"Tier 1","No","None","55","2022-03-14","2°C",,,"None","Valley Supply Inc.","India",5500,30000,,4125,239,0.007967,1,0.095595,55
"Tier 1","No","None","44","2021-09-14","2°C",,,"None","Marriott","Australia",4500,200,,3375,86,0.43,1,0.03436,44
"Tier 1","No","None","16","2021-10-06","1.5 °C","Scope 1 and 2",,"None","Allied Technologies","India",3500,15000,,2625,2194,0.146267,1,0.8775,16
"Tier 1","No","None","34","2022-05-05","3°C",,,"None","Harmon Consulting","UK",6500,300,,4875,239,0.796667,1,0.095695,34
"Tier 1","No","None","53","2022-03-21","2°C",,,"None","UlyssesNet","USA",6500,150000,,4875,75,0.0005,1,0.02995,53
"Tier 1","No","None","37","2021-02-19","1.5 °C",,,"None","Hilton","Canada",3500,250,,2625,231,0.924,1,0.092346,37
"Tier 1","No","None","38","2022-07-03","2°C",,,"None","Hyatt","Germany",5500,300,,4125,236,0.786667,1,0.09454,38
"Tier 1","No","None","54","2021-04-16","2°C",,,"None","United Airline","Australia",4500,200,,3375,75,0.375,1,0.02995,54
"Tier 1","No","None","26","2021-03-06","1.5 °C",,,"None","Enterprise","India",3500,400000,,2625,234,0.000585,1,0.093495,26
"Tier 1","No","None","17","2022-03-09","2°C",,,"None","Atlas Inc","UK",5500,15000,,4125,199,0.013267,1,0.0795,17
"Tier 1","No","None","51","2022-03-29","2°C",,,"None","Test Supplier","Canada",6500,20000,,4875,1077,0.05385,1,0.430995,51
"Tier 1","No","None","24","2021-11-06","3°C",,,"None","Delta Airlines","Australia",4500,30000,,3375,137,0.004567,1,0.054995,24
"Tier 1","No","None","35","2022-02-07","2°C",,,"None","Haven Enterprises","USA",6500,150000,,4875,241,0.001607,1,0.096595,35
"Tier 1","No","None","28","2021-09-20","1.5 °C",,,"None","General Utilities","Germany",3500,500000,,2625,232,0.000464,1,0.09295,28
"Tier 1","No","None","31","2022-12-17","2°C",,,"None","Good Freight Co","USA",5500,20000,,4125,241,0.01205,1,0.096595,31
"Tier 1","No","None","30","2021-12-02","1.5 °C",,,"None","Glasgow Water","Canada",4500,300,,3375,241,0.803333,1,0.09647,30
"Tier 1","No","None","13","2022-09-24","2°C",,,"None","Air Canada","Germany",3500,400000,,2625,149,0.000373,1,0.0595,13
"Tier 1","No","None","41","2021-05-09","2°C",,,"None","KLM","UK",4500,150000,,3375,236,0.001573,1,0.09454,41
"Tier 1","No","None","19","2021-05-16","1.5 °C",,,"None","Big Sky & Sons","India",5500,250,,4125,234,0.936,1,0.093495,19
"Tier 1","No","None","29","2022-08-05","2°C",,,"None","Glasgow Catering","Australia",6500,200,,4875,228,1.14,1,0.091295,29
"Tier 1","No","None","12","2021-09-04","3°C","Scope 1 and 2",,"None","Advanced Communications","Australia",4500,500000,,3375,149,0.000298,1,0.0595,12
"Tier 1","No","None","40","2022-11-19","2°C",,,"None","JetBlue","UK",6500,30000,,4875,236,0.007867,1,0.094595,40
"Tier 1","Yes","Spend Based","50","2021-11-30","2°C",,"Validated","Multiple","Tech Labs","Germany",5500,15000,3,4125,827,0.055133,1,0.330995,50
"Tier 1","No","None","43","2022-04-29","1.5 °C",,,"None","Lyft","Canada",3500,250,,2625,236,0.944,1,0.09454,43
"Tier 1","No","None","22","2022-07-22","2°C",,,"None","CityCab","USA",6500,500000,,4875,234,0.000468,1,0.09343,22
"Tier 1","No","None","27","2021-10-20","1.5 °C",,,"None","Five Winds Project, LLC","India",3500,15000,,2625,234,0.0156,1,0.093495,27
"Tier 1","Yes","Spend Based","2","2022-02-02","2°C",,"Response Recived","None","Universal Containers","Canada",4500,300,2,3375,403,1.343333,1,0.1613,2
"Tier 1","No","None","52","2021-09-23","1.5 °C",,,"None","Uber","India",5500,150000,,4125,87,0.00058,1,0.034995,52
"Tier 1","No","None","11","2021-03-13","3°C",,,"None","ABC Woodworks","Germany",3500,20000,,2625,124,0.0062,1,0.0495,11
"Tier 1","No","None","32","2022-09-14","2°C","all scopes",,"None","Green Fields Media","USA",6500,200,,4875,241,1.205,1,0.096595,32
"Tier 1","No","None","25","2022-06-03","2°C",,,"None","Employnet","UK",4500,400000,,3375,231,0.000578,1,0.092395,25
"Tier 1","No","None","49","2021-05-19","2°C",,,"None","Southern Solutions","Australia",5500,30000,,4125,59,0.001967,1,0.0235,49
"Tier 1","No","None","33","2022-07-05","1.5 °C",,,"None","Gusto Sound and Audio","Germany",5500,20000,,4125,239,0.01195,1,0.09565,33
"Tier 1","No","None","21","2021-04-14","2°C","all scopes",,"None","Budget","India",4500,400000,,3375,87,0.000218,1,0.034995,21
"Tier 1","No","None","14","2022-12-05","1.5 °C",,,"None","Air France","Canada",6500,200,,4875,1424,7.12,1,0.5695,14
"Tier 1","No","None","39","2021-11-12","2°C",,,"None","IHG","Australia",3500,250,,2625,239,0.956,1,0.095495,39
"Tier 1","No","None","47","2021-09-23","3°C",,,"None","RCE, Inc.","USA",5500,150000,,4125,59,0.000393,1,0.0235,47
"Tier 1","No","None","8","2022-02-19","1.5 °C",,,"None","Associated Supply Co.","UK",3500,500000,,2625,81,0.000162,1,0.0322,8
"Tier 1","Yes","Spend Based","1","2022-11-19","2°C",,"Validated","None","Pinnacle Partners","UK",4500,30000,3,3375,422,0.014067,1,0.1686,1
"Tier 1","No","None","36","2021-07-17","2°C",,,"None","Hertz","Australia",6500,15000,,4875,239,0.015933,1,0.095695,36
"Tier 1","No","None","18","2022-11-25","1.5 °C",,,"None","Avis","USA",4500,300,,3375,60,0.2,1,0.02395,18
"Tier 1","Yes","Spend Based","4","2021-10-26","2°C",,"New","None","Vand Enterprises, Inc.","Canada",5500,30000,1,4125,243,0.0081,1,0.0971,4
"Tier 1","Yes","Supplier Provided","3","2022-08-30","2°C","Scope 1 and 2","Complete","Multiple","*Acme","India",3500,300,4,2625,249,0.83,1,0.0995,3
"Tier 1","No","None","9","2021-05-15","1.5 °C",,,"None","Roseburg Products Co","Germany",6500,400000,,4875,56,0.00014,1,0.0226,9
"Tier 1","No","None","22","2021-08-01","3°C",,,"None","CityCab","India",5500,200,,4125,234,1.17,1,0.09343,22
"Tier 1","No","None","46","2022-01-20","2°C",,,"None","Momentum Design","Canada",6500,150000,,4875,233,0.001553,1,0.093244,46
"Tier 1","No","None","16","2021-11-23","2°C","Scope 1 and 2",,"None","Allied Technologies","UK",3500,15000,,2625,2194,0.146267,1,0.8775,16
"Tier 1","No","None","33","2022-02-14","2°C",,,"None","Gusto Sound and Audio","Germany",4500,500000,,3375,239,0.000478,1,0.09565,33
"Tier 1","No","None","38","2022-05-25","1.5 °C",,,"None","Hyatt","Australia",3500,250,,2625,236,0.944,1,0.09454,38
"Tier 1","No","None","5","2021-04-20","2°C",,,"None","salesforce.com","USA",6500,20000,,4875,242,0.0121,1,0.0966,5
"Tier 1","No","None","43","2022-11-08","1.5 °C",,,"None","Lyft","Germany",5500,15000,,4125,236,0.015733,1,0.09454,43
"Tier 1","No","None","49","2021-12-04","2°C",,,"None","Southern Solutions","India",4500,250,,3375,59,0.236,1,0.0235,49
"Tier 1","No","None","54","2021-08-13","3°C",,,"None","United Airline","Canada",3500,400000,,2625,75,0.000188,1,0.02995,54
"Tier 1","No","None","47","2022-01-04","2°C",,,"None","RCE, Inc.","UK",6500,500000,,4875,59,0.000118,1,0.0235,47
"Tier 1","No","None","28","2022-09-07","2°C",,,"None","General Utilities","USA",4500,200,,3375,232,1.16,1,0.09295,28
"Tier 1","No","None","21","2021-10-11","1.5 °C","all scopes",,"None","Budget","Australia",5500,150000,,4125,87,0.00058,1,0.034995,21
"Tier 1","No","None","29","2022-06-23","1.5 °C",,,"None","Glasgow Catering","UK",6500,300,,4875,228,0.76,1,0.091295,29
"Tier 1","Yes","Spend Based","4","2021-12-16","2°C",,"New","None","Vand Enterprises, Inc.","India",3500,20000,1,2625,243,0.01215,1,0.0971,4
"Tier 1","No","None","7","2022-02-16","2°C",,,"None","Office Print & Ship Services","USA",5500,30000,,4125,160,0.005333,1,0.0639,7
"Tier 1","No","None","41","2021-05-17","3°C",,,"None","KLM","Australia",4500,150000,,3375,236,0.001573,1,0.09454,41
"Tier 1","No","None","10","2022-11-14","2°C",,,"None","Red Studio Designs","Canada",3500,30000,,2625,54,0.0018,1,0.0215,10
"Tier 1","No","None","45","2021-03-30","1.5 °C",,,"None","Meridian Partners","Germany",4500,200,,3375,73,0.365,1,0.02936,45
"Tier 1","No","None","52","2022-12-24","2°C",,,"None","Uber","USA",6500,500000,,4875,87,0.000174,1,0.034995,52
"Tier 1","No","None","30","2021-08-06","1.5 °C",,,"None","Glasgow Water","India",5500,250,,4125,241,0.964,1,0.09647,30
"Tier 1","No","None","26","2021-12-05","2°C",,,"None","Enterprise","Canada",4500,15000,,3375,234,0.0156,1,0.093495,26
"Tier 1","No","None","37","2022-01-10","2°C",,,"None","Hilton","Germany",3500,300,,2625,231,0.77,1,0.092346,37
"Tier 1","No","None","14","2021-03-24","1.5 °C",,,"None","Air France","UK",5500,20000,,4125,1424,0.0712,1,0.5695,14
"Tier 1","No","None","12","2022-02-05","2°C","Scope 1 and 2",,"None","Advanced Communications","Australia",6500,400000,,4875,149,0.000373,1,0.0595,12
"Tier 1","No","None","42","2022-09-10","3°C","all scopes",,"None","Laine Ltd","Germany",5500,15000,,4125,86,0.005733,1,0.0346,42
"Tier 1","No","None","18","2021-01-08","2°C",,,"None","Avis","Canada",4500,400000,,3375,60,0.00015,1,0.02395,18
"Tier 1","No","None","40","2021-08-29","1.5 °C",,,"None","JetBlue","UK",3500,500000,,2625,236,0.000472,1,0.094595,40
"Tier 1","Yes","Supplier Provided","3","2022-04-01","2°C","Scope 1 and 2","Validated","Multiple","*Acme","India",6500,300,3,4875,249,0.83,1,0.0995,3
"Tier 1","No","None","32","2022-10-26","2°C","all scopes",,"None","Green Fields Media","Australia",6500,30000,,4875,241,0.008033,1,0.096595,32
"Tier 1","Yes","Spend Based","1","2021-09-13","1.5 °C",,"Validated","None","Pinnacle Partners","USA",5500,150000,3,4125,422,0.002813,1,0.1686,1
"Tier 1","No","None","24","2022-03-07","2°C",,,"None","Delta Airlines","Australia",3500,250,,2625,137,0.548,1,0.054995,24
"Tier 1","Yes","Spend Based","50","2021-06-05","3°C",,"Validated","Multiple","Tech Labs","USA",4500,200,3,3375,827,4.135,1,0.330995,50
"Tier 1","No","None","17","2022-04-23","2°C",,,"None","Atlas Inc","UK",6500,20000,,4875,199,0.00995,1,0.0795,17
"Tier 1","No","None","53","2021-09-14","1.5 °C",,,"None","UlyssesNet","India",4500,250,,3375,75,0.3,1,0.02995,53
"Tier 1","No","None","15","2022-05-21","2°C","all scopes",,"None","Alamo","Canada",3500,30000,,2625,2199,0.0733,1,0.8795,15
"Tier 1","No","None","51","2021-01-02","2°C",,,"None","Test Supplier","Germany",5500,500000,,4125,1077,0.002154,1,0.430995,51
"Tier 1","No","None","20","2022-11-21","1.5 °C",,,"None","British Airways","India",4500,15000,,3375,233,0.015533,1,0.093395,20
"Tier 1","No","None","9","2021-09-16","2°C",,,"None","Roseburg Products Co","Canada",5500,200,,4125,56,0.28,1,0.0226,9
"Tier 1","No","None","55","2021-04-25","1.5 °C",,,"None","Valley Supply Inc.","USA",3500,300,,2625,239,0.796667,1,0.095595,55
"Tier 1","No","None","34","2022-08-27","2°C",,,"None","Harmon Consulting","UK",6500,400000,,4875,239,0.000598,1,0.095695,34
"Tier 1","No","None","56","2021-06-30","3°C",,,"None","Xcel Energy","Australia",5500,20000,,4125,275,0.01375,1,0.10995,56
"Tier 1","No","None","44","2022-04-07","2°C",,,"None","Marriott","Germany",3500,150000,,2625,86,0.000573,1,0.03436,44
"Tier 1","No","None","19","2021-09-15","2°C",,,"None","Big Sky & Sons","Germany",4500,150000,,3375,234,0.00156,1,0.093495,19
"Tier 1","No","None","31","2022-09-09","1.5 °C",,,"None","Good Freight Co","Canada",6500,500000,,4875,241,0.000482,1,0.096595,31
"Tier 1","No","None","35","2021-03-12","1.5 °C",,,"None","Haven Enterprises","UK",5500,20000,,4125,241,0.01205,1,0.096595,35
"Tier 1","Yes","Spend Based","2","2022-09-26","2°C",,"Response Recived","None","Universal Containers","USA",3500,300,2,2625,403,1.343333,1,0.1613,2
"Tier 1","Yes","Spend Based","6","2022-05-20","2°C",,"Complete","Multiple","Universal Services","Australia",6500,250,4,4875,209,0.836,1,0.0834,6
"Tier 1","No","None","48","2021-08-28","1.5 °C",,,"None","SoloTaxi","India",4500,400000,,3375,602,0.001505,1,0.240995,48
"Tier 1","No","None","13","2021-11-14","2°C",,,"None","Air Canada","Australia",3500,15000,,2625,149,0.009933,1,0.0595,13
"Tier 1","No","None","8","2022-09-03","3°C",,,"None","Associated Supply Co.","USA",6500,30000,,4875,81,0.0027,1,0.0322,8
"Tier 1","No","None","23","2022-04-06","1.5 °C",,,"None","Constellation Energy","India",4500,200,,3375,234,1.17,1,0.093495,23
"Tier 1","No","None","11","2021-06-03","2°C",,,"None","ABC Woodworks","Germany",5500,200,,4125,124,0.62,1,0.0495,11
"Tier 1","No","None","25","2022-09-27","2°C",,,"None","Employnet","Canada",6500,15000,,4875,231,0.0154,1,0.092395,25
"Tier 1","No","None","27","2021-06-25","2°C",,,"None","Five Winds Project, LLC","UK",5500,400000,,4125,234,0.000585,1,0.093495,27
"Tier 1","No","None","36","2022-04-04","1.5 °C",,,"None","Hertz","UK",3500,250,,2625,239,0.956,1,0.095695,36
"Tier 1","No","None","39","2021-06-30","2°C",,,"None","IHG","USA",4500,20000,,3375,239,0.01195,1,0.095495,39
"Tier 1","No","None","47","2022-12-18","3°C",,,"None","RCE, Inc.","Germany",6500,150000,,4875,59,0.000393,1,0.0235,47
"Tier 1","No","None","32","2021-07-21","1.5 °C","all scopes",,"None","Green Fields Media","India",4500,300,,3375,241,0.803333,1,0.096595,32
"Tier 1","No","None","42","2021-11-16","2°C","all scopes",,"None","Laine Ltd","Canada",5500,30000,,4125,86,0.002867,1,0.0346,42
"Tier 1","No","None","15","2022-01-06","2°C","all scopes",,"None","Alamo","Australia",3500,500000,,2625,2199,0.004398,1,0.8795,15
"Tier 1","No","None","12","2021-09-13","1.5 °C","Scope 1 and 2",,"None","Advanced Communications","India",6500,200,,4875,149,0.745,1,0.0595,12
"Tier 1","No","None","33","2022-05-18","2°C",,,"None","Gusto Sound and Audio","UK",5500,500000,,4125,239,0.000478,1,0.09565,33
"Tier 1","No","None","19","2022-10-31","2°C",,,"None","Big Sky & Sons","Australia",3500,400000,,2625,234,0.000585,1,0.093495,19
"Tier 1","No","None","49","2021-05-29","1.5 °C",,,"None","Southern Solutions","Canada",4500,300,,3375,59,0.196667,1,0.0235,49
"Tier 1","No","None","23","2021-08-06","2°C",,,"None","Constellation Energy","Germany",6500,150000,,4875,234,0.00156,1,0.093495,23
"Tier 1","Yes","Spend Based","1","2022-05-16","3°C",,"Validated","None","Pinnacle Partners","USA",5500,250,3,4125,422,1.688,1,0.1686,1
