"AccountId","BusinessRegion","Asset","AssetExternalId","AccountExternalId","ReportPeriod","ActivityType","LastProcessedDate","ActivitySourceType","TreatmentMethod","AssetType","Country","AssetId","AccountName","FloorArea","WithdrawnWater","ConsumedWater","ConsumedPerDay","DischargedPerDay","EmployeeCount","WithdrawnPerDay","UnitsManufactured","DischargedWater","TreatedWater","WaterManagementCost"
,"EMEA","Bremington Commons","SDO.005",,"2012-10-30","Consumption","2023-03-24","Ground Water - Renewable","Primary","Other","United Kingdom","0phB00000004MmrIAE",,21000,5,0,0,0.01,17000,0.01,16000,3,6797.7,120
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2014-02-20","Discharge","2023-03-24","Reused Water","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",38500,6,46,0.13,0.03,29000,0.02,28500,12,836.64,960
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2020-08-10","Discharge","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,6,0,0,0.95,29000,0.02,35000,346,522.9,5280
,"EMEA","Bremington Commons","SDO.005",,"2023-05-08","Consumption","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,48500,490,208,0.57,0.02,29000,1.34,35000,9,522.9,10605
,"EMEA","Bremington Commons","SDO.005",,"2022-07-04","Consumption","2023-03-24","Fresh Water","Secondary","Other","United Kingdom","0phB00000004MmrIAE",,18000,498,103,0.28,0,10000,1.36,12000,0,836.64,9015
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-11-07","Consumption","2023-03-24","Ground Water - Non-Renewable","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,654,0,0,0.95,10000,1.79,12000,346,1254.96,15000
,"EMEA","Bremington Commons","SDO.005",,"2015-08-27","Discharge","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,28000,2,1167,3.2,0.02,15000,0.01,20000,9,1254.96,17670
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-04-23","Consumption","2023-03-24","Ground Water - Renewable","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,654,346,0.95,0.03,15000,1.79,20000,12,941.22,15180
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2012-09-12","Discharge","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",21000,490,46,0.13,0.95,17000,1.34,16000,346,1254.96,13230
,"EMEA","Bremington Commons","SDO.005",,"2022-07-08","Discharge","2023-03-24","Fresh Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,18000,2,1167,3.2,0.03,10000,0.01,12000,12,6797.7,17715
,"EMEA","Bremington Commons","SDO.005",,"2015-03-03","Consumption","2023-03-24","Third-Party Reserve","Secondary","Other","United Kingdom","0phB00000004MmrIAE",,28000,490,98,0.27,0.95,15000,1.34,20000,346,836.64,14010
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-07-28","Discharge","2023-03-24","Ground Water - Renewable","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,654,346,0.95,0.03,15000,1.79,20000,12,6797.7,15180
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-11-28","Consumption","2023-03-24","Recycled Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,1200,1690,4.63,0.02,15000,3.29,20000,9,104.58,43485
,"EMEA","Bremington Commons","SDO.005",,"2023-01-19","Consumption","2023-03-24","Third-Party Reserve","Secondary","Other","United Kingdom","0phB00000004MmrIAE",,48500,0,98,0.27,0.03,29000,0,35000,12,836.64,1650
,"EMEA","Bremington Commons","SDO.005",,"2014-04-30","Withdrawal","2023-03-24","Ground Water - Renewable","Primary","Other","United Kingdom","0phB00000004MmrIAE",,38500,5,0,0,0.03,29000,0.01,28500,12,6797.7,255
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-02-17","Withdrawal","2023-03-24","Fresh Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,2,208,0.57,0.02,15000,0.01,20000,9,104.58,3285
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2013-11-16","Discharge","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",12000,0,1540,4.22,0.03,19000,0,38500,12,522.9,23280
,"EMEA","Bremington Commons","SDO.005",,"2018-12-14","Withdrawal","2023-03-24","Recycled Water","Secondary","Other","United Kingdom","0phB00000004MmrIAE",,28000,490,208,0.57,0.15,15000,1.34,20000,54,836.64,11280
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2022-08-17","Discharge","2023-03-24","Ground Water - Renewable","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,5,208,0.57,0,10000,0.01,12000,0,836.64,3195
,"EMEA","Bremington Commons","SDO.005",,"2014-11-04","Consumption","2023-03-24","Reused Water","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,38500,654,0,0,0.02,29000,1.79,28500,9,941.22,9945
,"EMEA","Bremington Commons","SDO.005",,"2021-07-30","Discharge","2023-03-24","Ground Water - Renewable","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,28000,5,208,0.57,0.32,15000,0.01,20000,118,522.9,4965
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2018-12-02","Consumption","2023-03-24","Fresh Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,130,46,0.13,0.02,15000,0.36,20000,9,104.58,2775
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2013-12-17","Consumption","2023-03-24","Ground Water - Renewable","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",12000,498,46,0.13,0.01,19000,1.36,38500,3,6797.7,8205
,"EMEA","Bremington Commons","SDO.005",,"2018-05-18","Consumption","2023-03-24","Sea Water","Other","Other","United Kingdom","0phB00000004MmrIAE",,28000,0,103,0.28,0,15000,0,20000,0,104.58,1545
,"EMEA","Bremington Commons","SDO.005",,"2018-09-06","Discharge","2023-03-24","Third-Party Reserve","Other","Other","United Kingdom","0phB00000004MmrIAE",,28000,1200,208,0.57,0.15,15000,3.29,20000,54,104.58,21930
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-10-23","Discharge","2023-03-24","Reused Water","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,5,103,0.28,0.29,10000,0.01,12000,106,6797.7,3210
,"EMEA","Bremington Commons","SDO.005",,"2012-12-13","Consumption","2023-03-24","Third-Party Reserve","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,21000,498,346,0.95,0.15,17000,1.36,16000,54,941.22,13470
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2013-12-03","Discharge","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",12000,490,208,0.57,0.03,19000,1.34,38500,12,1254.96,10650
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-05-01","Consumption","2023-03-24","Reused Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,5,98,0.27,0.32,15000,0.01,20000,118,941.22,3315
,"EMEA","Bremington Commons","SDO.005",,"2019-03-29","Withdrawal","2023-03-24","Ground Water - Renewable","Primary","Other","United Kingdom","0phB00000004MmrIAE",,18000,60,346,0.95,0,10000,0.16,12000,0,6797.7,6090
,"EMEA","Bremington Commons","SDO.005",,"2022-02-02","Consumption","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,18000,2,0,0,0.03,10000,0.01,12000,12,522.9,210
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2016-08-25","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,654,2000,5.48,0.03,10000,1.79,12000,12,522.9,39990
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2013-11-11","Withdrawal","2023-03-24","Reused Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",12000,0,1167,3.2,0.02,19000,0,38500,9,104.58,17640
,"EMEA","Bremington Commons","SDO.005",,"2014-02-22","Consumption","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,38500,490,376,1.03,0,29000,1.34,28500,0,1254.96,12990
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-12-22","Consumption","2023-03-24","Third-Party Reserve","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,490,1960,5.37,0.01,15000,1.34,20000,3,941.22,36795
,"EMEA","Bremington Commons","SDO.005",,"2012-01-21","Consumption","2023-03-24","Fresh Water","Discharge to Env w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,21000,0,376,1.03,0.03,17000,0,16000,12,1254.96,5820
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-06-26","Consumption","2023-03-24","Sea Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,0,208,0.57,0.95,15000,0,20000,346,1254.96,8310
,"EMEA","Bremington Commons","SDO.005",,"2012-07-12","Consumption","2023-03-24","Third-Party Reserve","Other","Other","United Kingdom","0phB00000004MmrIAE",,21000,6,376,1.03,0.38,17000,0.02,16000,138,104.58,7800
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2014-09-18","Consumption","2023-03-24","Recycled Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",38500,120,376,1.03,0.01,29000,0.33,28500,3,1254.96,7485
,"EMEA","Bremington Commons","SDO.005",,"2019-05-13","Withdrawal","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,18000,498,1167,3.2,0.95,10000,1.36,12000,346,522.9,30165
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2016-05-20","Discharge","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,2,98,0.27,0.95,10000,0.01,12000,346,1254.96,6690
,"EMEA","Bremington Commons","SDO.005",,"2013-05-16","Discharge","2023-03-24","Third-Party Reserve","Other","Other","United Kingdom","0phB00000004MmrIAE",,12000,498,346,0.95,0.33,19000,1.36,38500,121,104.58,14475
,"EMEA","Bremington Commons","SDO.005",,"2023-04-27","Consumption","2023-03-24","Reused Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,2,46,0.13,0.01,29000,0.01,35000,3,6797.7,765
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2017-01-20","Withdrawal","2023-03-24","Third-Party Reserve","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,1200,208,0.57,0.01,29000,3.29,35000,3,6797.7,21165
,"EMEA","Bremington Commons","SDO.005",,"2020-01-16","Consumption","2023-03-24","Ground Water - Non-Renewable","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,48500,130,376,1.03,0.15,29000,0.36,35000,54,941.22,8400
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2023-01-05","Discharge","2023-03-24","Fresh Water","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,498,1930,5.29,0.95,29000,1.36,35000,346,836.64,41610
,"EMEA","Bremington Commons","SDO.005",,"2021-10-28","Discharge","2023-03-24","Third-Party Reserve","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,28000,6,1770,4.85,0.32,15000,0.02,20000,117,941.22,28395
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2018-05-25","Consumption","2023-03-24","Fresh Water","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,654,208,0.57,0.15,15000,1.79,20000,54,6797.7,13740
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-08-06","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,2,46,0.13,0.15,10000,0.01,12000,54,522.9,1530
,"EMEA","Bremington Commons","SDO.005",,"2013-04-13","Consumption","2023-03-24","Sea Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,12000,654,208,0.57,0.02,19000,1.79,38500,9,6797.7,13065
,"EMEA","Bremington Commons","SDO.005",,"2020-05-24","Consumption","2023-03-24","Fresh Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,490,46,0.13,0.15,29000,1.34,35000,54,6797.7,8850
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2012-11-02","Withdrawal","2023-03-24","Ground Water - Non-Renewable","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",21000,1200,346,0.95,0.02,17000,3.29,16000,9,104.58,23325
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2020-12-18","Withdrawal","2023-03-24","Sea Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,498,1167,3.2,0.03,29000,1.36,35000,12,941.22,25155
,"EMEA","Bremington Commons","SDO.005",,"2014-05-25","Discharge","2023-03-24","Fresh Water","Other","Other","United Kingdom","0phB00000004MmrIAE",,38500,2,98,0.27,0.15,29000,0.01,28500,54,104.58,2310
,"EMEA","Bremington Commons","SDO.005",,"2015-06-20","Discharge","2023-03-24","Ground Water - Renewable","Primary","Other","United Kingdom","0phB00000004MmrIAE",,28000,0,1167,3.2,0.01,15000,0,20000,3,6797.7,17550
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-12-19","Withdrawal","2023-03-24","Ground Water - Renewable","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,6,46,0.13,0,15000,0.02,20000,0,836.64,780
,"EMEA","Bremington Commons","SDO.005",,"2019-11-17","Consumption","2023-03-24","Recycled Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,18000,2,208,0.57,0,10000,0.01,12000,0,6797.7,3150
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-03-03","Discharge","2023-03-24","Sea Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,5,103,0.28,0.15,15000,0.01,20000,54,104.58,2430
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-08-10","Consumption","2023-03-24","Third-Party Reserve","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,490,1167,3.2,0.15,15000,1.34,20000,54,941.22,25665
,"EMEA","Bremington Commons","SDO.005",,"2019-10-13","Withdrawal","2023-03-24","Ground Water - Renewable","Primary","Other","United Kingdom","0phB00000004MmrIAE",,18000,80,103,0.28,0.01,10000,0.22,12000,3,6797.7,2790
,"EMEA","Bremington Commons","SDO.005",,"2016-09-06","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,18000,5,376,1.03,0.41,10000,0.01,12000,148,522.9,7935
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2022-07-30","Consumption","2023-03-24","Third-Party Reserve","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,0,103,0.28,0,10000,0,12000,0,104.58,1545
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-05-12","Withdrawal","2023-03-24","Sea Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,498,1167,3.2,0.02,10000,1.36,12000,9,104.58,25110
,"EMEA","Bremington Commons","SDO.005",,"2016-05-09","Discharge","2023-03-24","Fresh Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,18000,6,1550,4.25,0.03,10000,0.02,12000,12,6797.7,23520
,"EMEA","Bremington Commons","SDO.005",,"2016-07-26","Withdrawal","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,18000,5,98,0.27,0.4,10000,0.01,12000,146,522.9,3735
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-03-18","Consumption","2023-03-24","Reused Water","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,0,208,0.57,0.15,15000,0,20000,54,6797.7,3930
,"EMEA","Bremington Commons","SDO.005",,"2015-06-29","Consumption","2023-03-24","Reused Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,28000,0,46,0.13,0,15000,0,20000,0,6797.7,690
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2022-01-02","Withdrawal","2023-03-24","Ground Water - Renewable","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,5,346,0.95,0.39,10000,0.01,12000,144,836.64,7425
,"EMEA","Bremington Commons","SDO.005",,"2017-08-09","Consumption","2023-03-24","Recycled Water","Secondary","Other","United Kingdom","0phB00000004MmrIAE",,48500,130,103,0.28,0.02,29000,0.36,35000,9,836.64,3630
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-07-01","Discharge","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,498,208,0.57,0.01,10000,1.36,12000,3,522.9,10635
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-11-05","Discharge","2023-03-24","Third-Party Reserve","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,498,0,0,0.15,15000,1.36,20000,54,941.22,8280
,"EMEA","Bremington Commons","SDO.005",,"2022-11-10","Discharge","2023-03-24","Fresh Water","Other","Other","United Kingdom","0phB00000004MmrIAE",,18000,5,376,1.03,0,10000,0.01,12000,0,104.58,5715
,"EMEA","Bremington Commons","SDO.005",,"2016-05-20","Consumption","2023-03-24","Ground Water - Renewable","Other","Other","United Kingdom","0phB00000004MmrIAE",,18000,490,46,0.13,0.95,10000,1.34,12000,346,104.58,13230
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2022-03-16","Discharge","2023-03-24","Fresh Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,2,0,0,0.02,10000,0.01,12000,9,941.22,165
,"EMEA","Bremington Commons","SDO.005",,"2019-06-05","Discharge","2023-03-24","Third-Party Reserve","Other","Other","United Kingdom","0phB00000004MmrIAE",,18000,490,1167,3.2,0.01,10000,1.34,12000,3,104.58,24900
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2014-08-05","Consumption","2023-03-24","Ground Water - Non-Renewable","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",38500,654,103,0.28,0.15,29000,1.79,28500,54,836.64,12165
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2015-02-17","Withdrawal","2023-03-24","Recycled Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,2,1800,4.93,0.15,15000,0.01,20000,54,941.22,27840
,"EMEA","Bremington Commons","SDO.005",,"2018-12-10","Withdrawal","2023-03-24","Recycled Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,28000,654,46,0.13,0.3,15000,1.79,20000,111,6797.7,12165
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2016-09-17","Consumption","2023-03-24","Fresh Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,6,376,1.03,0,10000,0.02,12000,0,1254.96,5730
,"EMEA","Bremington Commons","SDO.005",,"2013-12-13","Consumption","2023-03-24","Ground Water - Renewable","Other","Other","United Kingdom","0phB00000004MmrIAE",,12000,0,1167,3.2,0.01,19000,0,38500,3,104.58,17550
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2013-12-18","Discharge","2023-03-24","Fresh Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",12000,1200,376,1.03,0.95,19000,3.29,38500,346,1254.96,28830
,"EMEA","Bremington Commons","SDO.005",,"2014-03-06","Discharge","2023-03-24","Sea Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,38500,2,1167,3.2,0.03,29000,0.01,28500,12,6797.7,17715
,"EMEA","Bremington Commons","SDO.005",,"2017-05-19","Withdrawal","2023-03-24","Third-Party Reserve","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,48500,498,103,0.28,0.03,29000,1.36,35000,12,522.9,9195
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2023-03-03","Consumption","2023-03-24","Recycled Water","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,1200,376,1.03,0.01,29000,3.29,35000,3,104.58,23685
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2014-04-10","Discharge","2023-03-24","Sea Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",38500,0,208,0.57,0,29000,0,28500,0,1254.96,3120
,"EMEA","Bremington Commons","SDO.005",,"2017-04-03","Withdrawal","2023-03-24","Sea Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,6,1167,3.2,0,29000,0.02,35000,0,6797.7,17595
,"EMEA","Bremington Commons","SDO.005",,"2015-10-22","Discharge","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,28000,6,46,0.13,0.15,15000,0.02,20000,54,1254.96,1590
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2014-05-05","Consumption","2023-03-24","Third-Party Reserve","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",38500,654,1510,4.14,0.01,29000,1.79,28500,3,1254.96,32505
,"EMEA","Bremington Commons","SDO.005",,"2013-11-18","Withdrawal","2023-03-24","Reused Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,12000,654,346,0.95,0.02,19000,1.79,38500,9,6797.7,15135
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-04-06","Consumption","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,5,0,0,0,15000,0.01,20000,0,522.9,75
,"EMEA","Bremington Commons","SDO.005",,"2014-10-30","Discharge","2023-03-24","Sea Water","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,38500,498,376,1.03,0.28,29000,1.36,28500,102,941.22,14640
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-06-02","Consumption","2023-03-24","Ground Water - Renewable","Other","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,1200,1680,4.6,0.39,15000,3.29,20000,144,104.58,45360
,"EMEA","Bremington Commons","SDO.005",,"2023-05-26","Consumption","2023-03-24","Third-Party Reserve","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,498,103,0.28,0.02,29000,1.36,35000,9,6797.7,9150
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2020-12-03","Consumption","2023-03-24","Sea Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,490,376,1.03,0,29000,1.34,35000,0,941.22,12990
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2017-04-04","Discharge","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",48500,654,0,0,0.31,29000,1.79,35000,113,1254.96,11505
,"EMEA","Bremington Commons","SDO.005",,"2022-09-11","Discharge","2023-03-24","Sea Water","Other","Other","United Kingdom","0phB00000004MmrIAE",,18000,498,1167,3.2,0.02,10000,1.36,12000,9,104.58,25110
,"EMEA","Bremington Commons","SDO.005",,"2023-04-05","Discharge","2023-03-24","Recycled Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,654,103,0.28,0,29000,1.79,35000,0,6797.7,11355
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2018-12-08","Discharge","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,1200,376,1.03,0.33,15000,3.29,20000,119,522.9,25425
,"EMEA","Bremington Commons","SDO.005",,"2019-09-27","Discharge","2023-03-24","Third-Party Reserve","Tertiary","Other","United Kingdom","0phB00000004MmrIAE",,18000,5,1890,5.18,0.15,10000,0.01,12000,54,941.22,29235
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2022-06-14","Withdrawal","2023-03-24","Recycled Water","Secondary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,100,376,1.03,0,10000,0.27,12000,0,836.64,7140
,"EMEA","Bremington Commons","SDO.005",,"2015-07-11","Consumption","2023-03-24","Ground Water - Non-Renewable","Other","Other","United Kingdom","0phB00000004MmrIAE",,28000,2,0,0,0.03,15000,0.01,20000,12,104.58,210
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-02-21","Consumption","2023-03-24","Fresh Water","Tertiary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,120,46,0.13,0.02,15000,0.33,20000,9,941.22,2625
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2021-08-16","Discharge","2023-03-24","Reused Water","Primary","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",28000,654,103,0.28,0.35,15000,1.79,20000,126,6797.7,13245
,"EMEA","Bremington Commons","SDO.005",,"2017-06-20","Withdrawal","2023-03-24","Sea Water","Primary","Other","United Kingdom","0phB00000004MmrIAE",,48500,498,46,0.13,0.01,29000,1.36,35000,3,6797.7,8205
,"EMEA","Bremington Commons","SDO.005",,"2022-11-22","Withdrawal","2023-03-24","Ground Water - Renewable","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,18000,5,98,0.27,0.02,10000,0.01,12000,9,522.9,1680
"001B000001SklaNIAR","AMER","WMDV Square North","SDO.007","SupplierAcct203","2019-02-26","Consumption","2023-03-24","Recycled Water","Discharge to Env w/o Treatment","Manufacturing","United States","0phB00000004MmtIAE","Yubo Corporation",18000,70,208,0.57,0,10000,0.19,12000,0,1254.96,4170
,"EMEA","Bremington Commons","SDO.005",,"2015-06-19","Consumption","2023-03-24","Ground Water - Non-Renewable","Discharge to 3rd Party w/o Treatment","Other","United Kingdom","0phB00000004MmrIAE",,28000,110,208,0.57,0.02,15000,0.3,20000,9,522.9,4905
