"Fuel_Type","AccountId","Asset_Category","Asset","AssetExternalId","AccountExternalId","Asset_Type","CountryCode","LastProcessedDate","Date","Business_Region","AssetId","AccountName","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Natural Gas","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","USA","2023-09-18","2022-09-17","EMEA","0phB00000004MmtIAE","Yubo Corporation",39,2164,350000,13,135000,250000,67688,22,0.24,38571,140,3139,23454,123678,14000000,2034,22345,6,0.59,13880,6749,45443,60018,29000000,454000,53423,15929,3473000,201,10,18608,829,0.8,27000
"Cooling",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","ARG","2023-09-18","2021-06-06","APAC",,,44,1076,350000,17,120000,350000,56634,12,0.19,51429,183,3560,34345,100000,15000000,2217,21234,10,0.37,15900,3740,34124,80426,35000000,473000,12354,16719,15000,100,13.5,21323,941,3.4,36000
"Refrigerant",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","GBR","2023-09-18","2023-11-17","AMER",,,84,4790,350000,20,120000,300000,67688,16,5.99,34286,215,3560,23454,123678,14000000,763,21234,3,12.14,19891,7550,45443,99830,29000000,431000,12454,85079,22000,445,10.6,18608,941,0.4,24000
"Cooling","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","ARG","2023-09-18","2020-05-14","LATAM","0phB00000004MmtIAE","Yubo Corporation",40,2982,250000,23,154000,250000,67688,7,0.19,33000,248,500,23454,100000,14000000,530,22345,8,0.37,10293,8256,66544,18281,35000000,444000,12454,19193,13000,277,12.8,15000,132,2.4,23100
"Refrigerant","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","GBR","2023-09-18","2022-10-25","Middle East","0phB00000004MmtIAE","Yubo Corporation",50,667,400000,18,135000,300000,76855,20,5.99,48214,194,3139,34345,150000,14000000,1980,34543,9,12.14,13799,5068,45443,56563,29000000,435000,12454,15356,3065000,62,11.6,18608,829,2.3,33750
"FuelOil",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","FRA","2023-09-18","2020-03-06","ANZ",,,72,2390,250000,30,154000,250000,56634,7,3.39,44000,323,3139,34345,100000,14000000,1486,21234,3,6.87,12319,7843,66544,43023,31023124,483000,53423,3943,34000,222,14.2,15000,829,2.4,30800
"Propane",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","JPN","2023-09-18","2023-04-06","LATAM",,,88,2077,300000,27,120000,250000,76855,13,2.52,42857,291,3560,34345,123678,17000000,1032,21234,3,5.15,14215,5287,34124,22601,31023124,451000,12454,84558,25000,193,12,15000,941,3.8,30000
"Propane","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","SGP","2023-09-18","2020-05-02","ANZ","0phB00000004MmtIAE","Yubo Corporation",51,1292,350000,11,154000,250000,56634,20,0.42,44000,118,3139,34345,150000,17000000,1029,34543,3,0.85,14216,8891,66544,91171,35000000,354000,53423,16055,2591000,120,12.2,18608,829,0.3,30800
"Heat",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","IRL","2023-09-18","2022-11-25","Central Asia",,,73,2702,350000,27,135000,250000,76855,16,0.01,48214,291,3139,23454,100000,14000000,1089,22345,9,0.02,12125,8521,45443,73000,29000000,420000,12354,90414,34000,251,12.9,21323,829,5.6,33750
"Electricity","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IND","2023-09-18","2023-04-13","Europe","0phB00000004MmtIAE","Yubo Corporation",49,1453,400000,14,135000,250000,56634,30,4.97,38571,151,3560,23454,100000,17000000,822,21234,6,10.02,18096,4543,34124,43623,31023124,436000,12454,3742,18000,135,10.6,18608,941,4.3,27000
"Steam","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","AUS","2023-09-18","2021-12-20","Central Asia","0phB00000004MmtIAE","Yubo Corporation",49,1701,450000,18,120000,250000,56634,16,4.19,34286,194,3139,43566,100000,14000000,1728,21234,5,8.45,15780,5957,45443,93303,35000000,375000,12454,18693,3391000,158,10.5,21323,829,1.4,24000
"Heat",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IRL","2023-09-18","2020-04-15","Middle East",,,43,710,400000,19,120000,350000,56634,18,0.01,25714,205,500,34345,150000,14000000,2088,34543,10,0.02,19647,5191,45443,53601,29000000,484000,12354,3902,26000,66,14.6,18608,132,5.5,18000
"Diesel",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","CHN","2023-09-18","2022-10-28","Central America",,,87,4144,400000,13,120000,250000,76855,2,3.2,51429,140,3139,23454,150000,14000000,1740,34543,8,3.12,13556,8161,45443,88432,31023124,481000,12354,81302,19000,385,13.4,18608,829,3.9,36000
"Heat","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","SGP","2023-09-18","2022-09-29","APAC","0phB00000004MmtIAE","Yubo Corporation",62,3649,350000,12,154000,300000,67688,13,0.42,66000,129,3139,43566,150000,15000000,671,34543,10,0.85,11645,4780,66544,46987,29000000,458000,12354,81924,2649000,339,14.7,18608,829,4.7,46200
"Steam",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","FRA","2023-09-18","2021-08-09","AMER",,,75,721,400000,10,120000,150000,67688,15,3.39,25714,108,3139,23454,150000,17000000,1272,34543,10,6.87,16465,5646,66544,85695,29000000,473000,12454,5787,11000,67,12.9,21323,829,5.2,18000
"Diesel","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IRL","2023-09-18","2022-10-16","EMEA","0phB00000004MmtIAE","Yubo Corporation",49,2691,350000,23,154000,250000,67688,26,0.01,44000,248,3139,43566,100000,15000000,1746,21234,4,0.02,15479,3705,66544,53354,31023124,498000,12354,19373,3320000,250,11.6,18608,829,4,30800
"Propane","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","GBR","2023-09-18","2023-07-02","ANZ","0phB00000004MmtIAE","Yubo Corporation",97,2917,400000,26,154000,350000,67688,5,5.99,44000,280,3139,34345,150000,14000000,638,21234,9,12.14,18311,7140,45443,38008,29000000,397000,12354,7155,2120000,271,10.4,21323,829,3,30800
"Electricity",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","CHN","2023-09-18","2022-04-30","AMER",,,64,161,400000,9,120000,250000,56634,29,3.2,42857,97,3139,43566,150000,15000000,1548,22345,10,3.12,19230,3281,66544,93471,29000000,385000,12354,17523,31000,15,13.7,15000,829,3.1,30000
"Natural Gas",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","USA","2023-09-18","2020-04-08","North America",,,75,4478,350000,1,135000,350000,56634,6,0.24,28929,11,500,34345,150000,15000000,1471,22345,8,0.59,19454,8248,34124,65218,31023124,432000,53423,3764,31000,416,12.1,15000,132,3.5,20250
"Propane","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IND","2023-09-18","2020-11-02","Southeast Asia","0phB00000004MmtIAE","Yubo Corporation",49,2852,400000,21,120000,250000,67688,23,4.97,25714,226,3139,23454,123678,14000000,2294,22345,3,10.02,19561,9431,34124,81648,35000000,402000,12354,4253,32000,265,12.8,15000,829,4.6,18000
"Natural Gas","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","MAR","2023-09-18","2023-02-15","North America","0phB00000004MmtIAE","Yubo Corporation",90,3875,350000,29,135000,250000,56634,16,0.22,48214,312,3560,34345,123678,14000000,1429,22345,6,0.45,10199,7792,66544,44341,31023124,395000,12454,17796,3364000,360,12.1,18608,941,3.8,33750
"Diesel",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","USA","2023-09-18","2022-04-23","Central America",,,33,3778,400000,6,135000,250000,76855,4,0.24,48214,65,3139,34345,123678,17000000,2084,34543,6,0.59,14204,6883,45443,65162,31023124,498000,12454,18917,2006000,351,12.9,15000,829,2.9,33750
"Electricity",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","SGP","2023-09-18","2022-05-31","EMEA",,,74,840,400000,26,120000,300000,56634,18,0.42,34286,280,3139,34345,123678,17000000,840,21234,9,0.85,10037,9777,45443,57517,29000000,461000,12354,16079,10000,78,11.4,21323,829,3.7,24000
"Steam","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","FRA","2023-09-18","2021-12-03","Southeast Asia","0phB00000004MmtIAE","Yubo Corporation",55,1475,350000,5,135000,300000,67688,5,3.39,48214,54,3139,34345,123678,14000000,610,34543,5,6.87,14271,8653,34124,53365,35000000,479000,53423,91793,2407000,137,13.4,18608,829,3.8,33750
"Electricity",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IND","2023-09-18","2020-04-26","APAC",,,65,4004,450000,11,120000,250000,76855,25,4.97,51429,118,3139,43566,100000,15000000,487,21234,10,10.02,13000,5745,34124,38726,31023124,431000,53423,91322,10000,372,10.2,21323,829,5.1,36000
"Propane","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","USA","2023-09-18","2022-08-06","Southeast Asia","0phB00000004MmtIAE","Yubo Corporation",76,614,250000,6,135000,250000,76855,3,0.24,28929,65,3139,34345,100000,15000000,1042,22345,10,0.59,13914,9195,34124,55536,35000000,410000,12354,18916,2967000,57,14.3,21323,829,3,20250
"Natural Gas",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","JPN","2023-09-18","2020-03-26","North America",,,90,1270,400000,7,135000,150000,56634,13,2.52,57857,75,500,34345,150000,15000000,1110,21234,5,5.15,11940,6647,45443,33038,29000000,360000,53423,92782,28000,118,11.1,15000,132,2,40500
"Cooling","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","BRA","2023-09-18","2022-11-26","Central America","0phB00000004MmtIAE","Yubo Corporation",70,1733,400000,19,154000,250000,67688,22,1.05,33000,205,3139,34345,123678,14000000,1607,34543,4,2.13,13132,7853,66544,95139,35000000,370000,12454,6388,3153000,161,13.1,18608,829,0.9,23100
"Electricity",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IRL","2023-09-18","2020-11-01","ANZ",,,62,1776,350000,23,154000,250000,67688,6,0.01,55000,248,500,43566,100000,17000000,516,21234,9,0.02,14147,5524,66544,22324,35000000,375000,12454,8311,3073000,165,10.4,15000,132,4.8,38500
"FuelOil","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IRL","2023-09-18","2020-02-09","South America","0phB00000004MmtIAE","Yubo Corporation",76,1464,350000,8,120000,150000,56634,22,0.01,34286,86,500,43566,123678,14000000,2221,34543,8,0.02,19339,4462,34124,75934,29000000,393000,53423,82001,26000,136,10.5,18608,132,5.7,24000
"Propane",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IND","2023-09-18","2020-10-14","Central Asia",,,42,1367,350000,13,120000,350000,76855,20,4.97,42857,140,500,43566,150000,14000000,1459,21234,6,10.02,15631,6168,45443,22665,29000000,429000,12454,4391,2694000,127,13.8,15000,132,4.9,30000
"Cooling","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","ARG","2023-09-18","2021-10-19","Middle East","0phB00000004MmtIAE","Yubo Corporation",57,1109,250000,19,120000,300000,67688,11,0.19,25714,205,3139,23454,100000,14000000,681,34543,5,0.37,11064,4486,34124,19128,29000000,418000,12354,16730,20000,103,10.2,18608,829,2.8,18000
"FuelOil",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","IND","2023-09-18","2022-12-22","APAC",,,85,215,350000,21,135000,150000,56634,10,4.97,28929,226,3139,34345,123678,17000000,840,22345,6,10.02,12244,5780,66544,24170,35000000,406000,12354,9603,10000,20,11.7,21323,829,0.4,20250
"Electricity","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IRL","2023-09-18","2022-12-16","ANZ","0phB00000004MmtIAE","Yubo Corporation",76,1948,450000,1,135000,250000,67688,11,0.01,28929,11,3139,23454,150000,17000000,2161,21234,4,0.02,15149,7674,45443,22264,35000000,429000,12354,18599,3422000,181,14.8,21323,829,5.6,20250
"Cooling","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IND","2023-09-18","2020-08-26","Middle East","0phB00000004MmtIAE","Yubo Corporation",78,4069,400000,14,120000,350000,76855,17,4.97,51429,151,500,43566,150000,15000000,635,34543,3,10.02,12745,4917,34124,25148,35000000,457000,53423,17342,33000,378,14.7,21323,132,2.9,36000
"Cooling",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","SGP","2023-09-18","2021-01-05","Southeast Asia",,,43,4327,400000,2,154000,250000,76855,30,0.42,55000,22,500,43566,123678,14000000,414,34543,6,0.85,14959,8857,66544,22567,31023124,472000,53423,92957,2006000,402,13.4,18608,132,0.1,38500
"Refrigerant","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","MAR","2023-09-18","2021-08-17","Europe","0phB00000004MmtIAE","Yubo Corporation",59,4026,400000,11,135000,250000,76855,17,0.22,28929,118,3139,34345,100000,14000000,2201,22345,8,0.45,18760,4093,45443,16133,29000000,396000,12354,19812,34000,374,10.4,18608,829,4.3,20250
"Cooling",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IND","2023-09-18","2020-12-17","South America",,,50,1970,350000,1,120000,250000,67688,21,4.97,34286,11,3560,34345,150000,17000000,1363,21234,8,10.02,19945,7105,66544,27693,31023124,360000,53423,95630,3392000,183,10.1,18608,941,4.9,24000
"Cooling",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","ARG","2023-09-18","2020-12-26","EMEA",,,85,1259,400000,8,135000,250000,67688,21,0.19,28929,86,3560,43566,150000,14000000,1693,34543,10,0.37,10296,4616,45443,14375,31023124,380000,53423,18596,2502000,117,14.2,21323,941,5.1,20250
"FuelOil","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","CAN","2023-09-18","2023-01-10","Central Asia","0phB00000004MmtIAE","Yubo Corporation",88,4704,250000,8,154000,150000,56634,9,2.68,66000,86,3560,34345,150000,14000000,517,22345,3,5.4,12375,4936,66544,43428,31023124,431000,12454,17539,2956000,437,14.4,18608,941,2.2,46200
"FuelOil","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","CHN","2023-09-18","2023-03-31","Middle East","0phB00000004MmtIAE","Yubo Corporation",32,872,400000,9,154000,150000,76855,6,3.2,55000,97,3560,43566,100000,14000000,1908,21234,8,3.12,11400,6063,34124,47603,29000000,375000,12354,86674,3240000,81,10.9,15000,941,2.3,38500
"Natural Gas",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","MAR","2023-09-18","2020-08-21","South America",,,97,818,400000,11,135000,150000,76855,9,0.22,38571,118,3560,43566,100000,14000000,1263,22345,8,0.45,10744,9143,34124,15638,31023124,352000,12354,2574,2195000,76,13.4,21323,941,5.7,27000
"FuelOil","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","JPN","2023-09-18","2021-06-06","Southeast Asia","0phB00000004MmtIAE","Yubo Corporation",88,4811,350000,4,120000,250000,76855,13,2.52,25714,43,3560,43566,150000,15000000,2080,22345,6,5.15,17307,6228,34124,91571,29000000,364000,12454,19276,22000,447,10.1,15000,941,3.5,18000
"Steam",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","SGP","2023-09-18","2020-09-23","Europe",,,62,4133,450000,4,135000,150000,67688,22,0.42,48214,43,3139,34345,100000,14000000,1806,34543,9,0.85,12210,7887,45443,52026,31023124,458000,12354,15024,21000,384,12.4,21323,829,1.1,33750
"Propane",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","ARG","2023-09-18","2023-03-17","LATAM",,,98,592,300000,16,135000,300000,67688,27,0.19,38571,172,3560,23454,100000,15000000,505,22345,7,0.37,13870,8361,45443,43334,31023124,356000,53423,97689,2040000,55,13.9,18608,941,2.6,27000
"Steam","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","SGP","2023-09-18","2022-08-11","Southeast Asia","0phB00000004MmtIAE","Yubo Corporation",94,3541,400000,29,154000,250000,56634,23,0.42,44000,312,3139,34345,123678,14000000,2231,34543,6,0.85,13734,7309,45443,35488,29000000,423000,53423,15678,3150000,329,10.4,15000,829,4.4,30800
"Diesel",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","JPN","2023-09-18","2020-02-06","EMEA",,,36,4639,300000,12,120000,350000,67688,1,2.52,42857,129,3139,43566,123678,15000000,2122,21234,10,5.15,18556,5454,34124,45957,29000000,472000,53423,9918,28000,431,15,21323,829,5.1,30000
"Electricity","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","MAR","2023-09-18","2020-04-17","Central Asia","0phB00000004MmtIAE","Yubo Corporation",48,2605,450000,29,154000,350000,56634,10,0.22,44000,312,500,43566,100000,15000000,1897,21234,6,0.45,11338,8534,66544,52256,35000000,437000,12354,75785,34000,242,13.2,15000,132,4,30800
"Heat",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","GBR","2023-09-18","2023-05-11","LATAM",,,81,1001,250000,20,154000,300000,76855,28,5.99,33000,215,3560,34345,100000,15000000,460,21234,5,12.14,15436,8086,45443,70387,29000000,449000,12354,3751,3047000,93,10.6,15000,941,5.5,23100
"Electricity","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","USA","2023-09-18","2021-03-28","Middle East","0phB00000004MmtIAE","Yubo Corporation",59,1690,450000,28,154000,150000,67688,21,0.24,66000,301,500,34345,123678,15000000,374,34543,7,0.59,14670,5776,34124,65469,31023124,354000,12454,17241,24000,157,14.8,15000,132,1.9,46200
"Steam",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","CHN","2023-09-18","2020-11-10","North America",,,48,3488,400000,22,120000,300000,67688,19,3.2,42857,237,500,43566,100000,17000000,979,21234,3,3.12,18806,4296,45443,37083,35000000,461000,53423,6730,19000,324,12.5,18608,132,3.2,30000
"Natural Gas","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","BRA","2023-09-18","2021-02-12","Central America","0phB00000004MmtIAE","Yubo Corporation",76,753,450000,26,135000,250000,56634,24,1.05,48214,280,500,43566,150000,14000000,2293,21234,4,2.13,15958,8589,34124,29377,31023124,470000,53423,16954,20000,70,12.5,18608,132,4.4,33750
"Diesel",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","AUS","2023-09-18","2020-04-10","ANZ",,,92,3423,300000,21,154000,250000,67688,20,4.19,66000,226,3139,34345,123678,15000000,1555,34543,7,8.45,13372,3275,34124,31508,35000000,478000,53423,19625,2977000,318,14.3,21323,829,0.3,46200
"Propane","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","USA","2023-09-18","2022-10-11","EMEA","0phB00000004MmtIAE","Yubo Corporation",31,689,400000,12,154000,150000,67688,30,0.24,44000,129,3139,23454,100000,14000000,958,21234,8,0.59,14536,5039,34124,71609,31023124,401000,12454,17151,2309000,64,12.8,21323,829,1.2,30800
"Steam","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","FRA","2023-09-18","2020-07-04","ANZ","0phB00000004MmtIAE","Yubo Corporation",52,4252,400000,25,154000,150000,67688,16,3.39,33000,269,3560,43566,100000,14000000,553,34543,6,6.87,15007,4019,34124,79573,35000000,379000,53423,19544,3415000,395,13,18608,941,1.1,23100
"Refrigerant",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","IND","2023-09-18","2020-10-07","Central Asia",,,69,2917,250000,27,154000,250000,56634,8,4.97,55000,291,3139,34345,100000,15000000,860,21234,8,10.02,17639,8447,66544,94527,31023124,372000,53423,2834,2654000,271,12.2,15000,829,1.8,38500
"Diesel","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","GBR","2023-09-18","2020-02-06","ANZ","0phB00000004MmtIAE","Yubo Corporation",39,3046,400000,28,135000,350000,76855,8,5.99,57857,301,3139,43566,100000,14000000,1137,21234,8,12.14,12016,3561,66544,82047,31023124,478000,12354,80287,14000,283,11.5,21323,829,0.3,40500
"FuelOil",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","JPN","2023-09-18","2023-10-23","Middle East",,,89,4456,350000,15,154000,150000,76855,14,2.52,33000,161,3560,43566,123678,17000000,1622,22345,7,5.15,12031,3028,45443,80537,31023124,399000,12454,16542,22000,414,12.7,15000,941,4.2,23100
"Refrigerant","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","CHN","2023-09-18","2022-06-29","North America","0phB00000004MmtIAE","Yubo Corporation",59,2992,350000,24,154000,250000,76855,29,3.2,55000,258,3139,34345,150000,17000000,983,21234,10,3.12,12017,6584,45443,92394,29000000,475000,53423,19198,34000,278,14.5,18608,829,4.3,38500
"Propane",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","JPN","2023-09-18","2022-02-24","Southeast Asia",,,55,2799,400000,4,135000,350000,67688,7,2.52,38571,43,3560,43566,100000,14000000,552,21234,7,5.15,15445,8446,66544,10841,35000000,436000,12354,17298,2084000,260,14.8,15000,941,0.1,27000
"Electricity","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","BRA","2023-09-18","2023-04-08","Central Asia","0phB00000004MmtIAE","Yubo Corporation",49,1755,450000,27,154000,250000,56634,7,1.05,33000,291,3560,23454,100000,15000000,1632,34543,9,2.13,19408,7718,66544,25774,29000000,371000,12354,85800,23000,163,10.4,15000,941,4.8,23100
"Natural Gas",,"Scope 3","Business Travel FY22","S3DO.009",,"Scope 3","CHN","2023-09-18","2022-11-25","EMEA",,,33,506,400000,8,154000,350000,67688,8,3.2,66000,86,3139,34345,100000,14000000,1550,34543,3,3.12,16221,9891,45443,13568,35000000,491000,53423,5688,3208000,47,13.2,15000,829,3.6,46200
"Heat","001B000001SklaNIAR","Vehicle","WMDV Square North","SDO.007","SupplierAcct203","Fleet Vehicle","IND","2023-09-18","2020-06-25","Central America","0phB00000004MmtIAE","Yubo Corporation",80,538,350000,3,120000,300000,56634,27,4.97,42857,32,3560,34345,100000,17000000,854,22345,10,10.02,11916,6702,66544,67326,35000000,444000,12454,19816,22000,50,14.9,18608,941,1.9,30000
"FuelOil",,"Data Center","Business Travel FY22","S3DO.009",,"Data Center","CHN","2023-09-18","2021-05-09","ANZ",,,39,452,400000,8,120000,150000,67688,8,3.2,25714,86,3560,43566,100000,14000000,1076,21234,6,3.12,12232,5569,66544,40080,35000000,430000,12354,77288,28000,42,12.8,21323,941,3.8,18000
"Refrigerant",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2022-05-01","AMER","0phB00000004MmoIAE",,41,398,350000,14,135000,250000,56634,4,0.24,57857,151,3139,34345,100000,17000000,723,21234,9,0.59,15946,9388,45443,19092,31023124,359000,12354,16154,25000,37,14,21323,829,4.7,40500
"Propane",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2023-03-16","AMER","0phB00000004MmoIAE",,92,1572,350000,12,120000,350000,76855,13,0.24,51429,129,3560,43566,150000,15000000,1937,21234,9,0.59,16139,8747,66544,23671,31023124,355000,53423,1736,2598000,146,12.2,21323,941,1,36000
"Heat",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2021-05-04","AMER","0phB00000004MmoIAE",,43,1938,350000,4,154000,150000,56634,10,0.24,66000,43,3560,34345,150000,17000000,2072,34543,3,0.59,12630,4427,45443,88588,29000000,433000,12454,6165,2701000,180,13.4,21323,941,5.7,46200
"FuelOil",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2020-01-01","AMER","0phB00000004MmoIAE",,55,527,250000,12,135000,250000,56634,10,0.24,38571,129,3560,43566,150000,14000000,1847,21234,6,0.59,10911,8546,34124,56620,29000000,435000,53423,75513,27000,49,11,21323,941,4.6,27000
"Heat",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2022-01-20","AMER","0phB00000004MmoIAE",,51,172,400000,27,154000,250000,56634,12,0.24,44000,291,3560,34345,123678,15000000,534,22345,6,0.59,19371,3016,34124,87420,29000000,386000,12354,93745,23000,16,12,18608,941,1.6,30800
"Heat",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2021-10-05","AMER","0phB00000004MmoIAE",,92,1959,400000,17,135000,250000,67688,21,0.24,57857,183,3560,23454,100000,15000000,1995,21234,10,0.59,19217,6695,66544,68500,31023124,438000,12354,99874,2666000,182,13.3,18608,941,1.4,40500
"Cooling",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2022-12-26","AMER","0phB00000004MmoIAE",,61,2422,250000,18,135000,250000,76855,20,0.24,38571,194,3139,34345,100000,15000000,1868,21234,7,0.59,12371,4277,45443,40270,29000000,382000,53423,80794,2454000,225,14.7,18608,829,2.9,27000
"Cooling",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2022-11-02","AMER","0phB00000004MmoIAE",,55,2573,300000,12,154000,300000,76855,16,0.24,66000,129,3139,43566,150000,15000000,557,21234,6,0.59,12472,8744,66544,56858,29000000,498000,12454,79230,29000,239,10,15000,829,0.2,46200
"Heat",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2020-04-26","AMER","0phB00000004MmoIAE",,64,4198,350000,18,120000,250000,67688,3,0.24,34286,194,3139,34345,123678,17000000,342,22345,10,0.59,19433,3989,66544,28544,31023124,432000,12454,71241,2583000,390,12.4,15000,829,1.3,24000
"Refrigerant",,"Stationary","140 Mission St","SDO.002",,"Commercial Building","USA","2023-09-18","2020-05-18","AMER","0phB00000004MmoIAE",,36,3175,350000,10,120000,250000,67688,8,0.24,34286,108,3560,23454,150000,15000000,315,34543,7,0.59,12457,6064,45443,86097,35000000,449000,53423,19729,2441000,295,14.8,21323,941,2.3,24000
