"LastProcessedDate","SpendBasedPredictedEmissionBucket","Date","SpendBasedEmissionBucket","DateBucket","Supplier_Type","Spend_Based_Emission","Qty_Based_Emission","Spend_Based_Predicted_Emission","Floor_Area","Headcount","Qty_Based_Predicted_Emission","Revenue"
"2023-09-18","Null - No Value","2019-02-05","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-09-27","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","CY / 62 K Total / Data Processing 6K","2023-02-28","CY / 62 K Total / Data Processing 6K  ","Current Year","Data Processing",6000,2000,6000,900,900,2000,900
"2023-09-18","Null - No Value","2022-08-05","CY-7 / 46 K Total / Business Support 9K","Last Year - 2022","Software",9000,5000,,200,1400,,3000
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-09-12","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2013-12-24","CY-8 / 78 K Total / Software 14K","10 Years Ago - 2013","Telecommunication",14000,9000,,850,100,,1900
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-10-01","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2015-02-08","CY-8 / 78 K Total / Business Support 13K","8 Years Ago - 2015","Business Support",13000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2016-01-23","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2021-08-22","CY-9 / 73 K Total / Legal Services 11K","2 Years Ago - 2021","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2014-01-23","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2017-06-21","CY-9 / 73 K Total / Business Support 12K","6 Years Ago - 2017","Other Real Estate",12000,8000,,1600,250,,1600
"2023-09-18","Null - No Value","2020-03-16","CY-10 / 57 K Total / Other Real Estate 7K  ","3 Years Ago - 2020","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2018-07-03","CY-10 / 57 K Total / Data Processing 6K  ","5 Years Ago - 2018","Software",6000,2000,,200,1400,,3000
"2023-09-18","Null - No Value","2019-07-11","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2018-10-01","CY-4 / 72 K Total / Data Processing 8K","5 Years Ago - 2018","Business Support",8000,4000,,700,500,,2800
"2023-09-18","Null - No Value","2017-01-11","CY / 62 K Total / Other Real Estate 7K  ","6 Years Ago - 2017","Business Support",7000,3000,,700,500,,2800
"2023-09-18","Null - No Value","2014-09-12","CY-9 / 73 K Total / Other Real State 9K","9 Years Ago - 2014","Other Real Estate",9000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-03-08","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","CY+1 / 52 K Total / Legal Services 8K","2025-06-29","NULL - No Value","2 Years Later","Employment Service",,,8000,700,700,4000,700
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-02-15","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","Null - No Value","2021-11-05","CY-9 / 73 K Total / Employment Service 8K","2 Years Ago - 2021","Software",8000,4000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-04-08","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2013-04-22","CY / 62 K Total / Software 13K  ","10 Years Ago - 2013","Software",13000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-05-25","CY-8 / 78 K Total / Business Support 13K","Last Year - 2022","Employment Service",13000,9000,,700,700,,700
"2023-09-18","CY / 62 K Total / Telecommunication 9K","2023-04-23","CY / 62 K Total / Telecommunication 9K  ","Current Year","Telecommunication",9000,5000,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2019-11-07","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2020-02-18","CY / 62 K Total / Data Processing 6K  ","3 Years Ago - 2020","Data Processing",6000,2000,,900,900,,900
"2023-09-18","Null - No Value","2014-08-18","CY-9 / 73 K Total / Business Support 12K","9 Years Ago - 2014","Business Support",12000,7000,,700,500,,2800
"2023-09-18","Null - No Value","2021-10-24","CY-8 / 78 K Total / Legal Services 12K","2 Years Ago - 2021","Other Real Estate",12000,8000,,1600,250,,1600
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-06-11","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2016-09-11","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2022-10-21","CY / 62 K Total / Legal Services 10K  ","Last Year - 2022","Legal Services",10000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2019-04-02","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Software 9K","2024-01-19","NULL - No Value","Next Year","Software",,,9000,200,1400,5000,3000
"2023-09-18","Null - No Value","2013-10-22","CY-10 / 57 K Total / Telecommunication 8K  ","10 Years Ago - 2013","Telecommunication",8000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2017-10-22","CY-9 / 73 K Total / Software 14K","6 Years Ago - 2017","Business Support",14000,10000,,700,500,,2800
"2023-09-18","Null - No Value","2018-03-28","CY-9 / 73 K Total / Other Real State 9K","5 Years Ago - 2018","Software",9000,5000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-05-19","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-10-17","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2020-11-21","CY-4 / 72 K Total / Software 13K","3 Years Ago - 2020","Other Real Estate",13000,9000,,1600,250,,1600
"2023-09-18","Null - No Value","2014-03-05","CY-9 / 73 K Total / Data Processing 9K","9 Years Ago - 2014","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-09-27","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2013-12-30","CY-9 / 73 K Total / Software 14K","10 Years Ago - 2013","Employment Service",14000,9000,,700,700,,700
"2023-09-18","Null - No Value","2022-06-27","CY-4 / 72 K Total / Business Support 12K","Last Year - 2022","Other Real Estate",12000,8000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-05-06","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2017-11-20","CY-10 / 57 K Total / Telecommunication 8K  ","6 Years Ago - 2017","Telecommunication",8000,4000,,850,100,,1900
"2023-09-18","Null - No Value","2018-07-09","CY-7 / 46 K Total / Other Real State 5K","5 Years Ago - 2018","Business Support",5000,1000,,700,500,,2800
"2023-09-18","Null - No Value","2020-01-15","CY-4 / 72 K Total / Software 13K","3 Years Ago - 2020","Data Processing",13000,9000,,900,900,,900
"2023-09-18","Null - No Value","2019-04-14","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-07-27","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","CY / 62 K Total / Legal Services 10K","2023-05-27","CY / 62 K Total / Legal Services 10K  ","Current Year","Legal Services",10000,6000,10000,800,600,6000,2300
"2023-09-18","Null - No Value","2021-01-20","CY / 62 K Total / Data Processing 6K  ","2 Years Ago - 2021","Software",6000,2000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-09-05","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2014-09-20","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-02-11","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","Null - No Value","2017-05-26","CY-9 / 73 K Total / Employment Service 8K","6 Years Ago - 2017","Business Support",8000,4000,,700,500,,2800
"2023-09-18","Null - No Value","2021-06-19","CY / 62 K Total / Software 13K  ","2 Years Ago - 2021","Employment Service",13000,9000,,700,700,,700
"2023-09-18","Null - No Value","2020-01-28","CY-9 / 73 K Total / Legal Services 11K","3 Years Ago - 2020","Employment Service",11000,7000,,700,700,,700
"2023-09-18","Null - No Value","2015-04-07","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2022-07-01","CY-4 / 72 K Total / Legal Services 11K","Last Year - 2022","Data Processing",11000,7000,,900,900,,900
"2023-09-18","Null - No Value","2018-12-30","CY-7 / 46 K Total / Telecommunication 7K","5 Years Ago - 2018","Legal Services",7000,3000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Software 13K","2023-07-20","CY / 62 K Total / Software 13K  ","Current Year","Software",13000,9000,13000,200,1400,9000,3000
"2023-09-18","Null - No Value","2019-10-04","CY-4 / 72 K Total / Business Support 12K","4 Years Ago - 2019","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2013-10-15","CY-8 / 78 K Total / Software 14K","10 Years Ago - 2013","Other Real Estate",14000,9000,,1600,250,,1600
"2023-09-18","Null - No Value","2016-10-25","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-06-14","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2018-07-28","CY / 62 K Total / Business Support 12K  ","5 Years Ago - 2018","Software",12000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2017-10-01","CY-4 / 72 K Total / Data Processing 8K","6 Years Ago - 2017","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2016-07-11","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2013-05-18","CY-10 / 57 K Total / Business Support 10K  ","10 Years Ago - 2013","Business Support",10000,5000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-08-05","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2022-01-04","CY-9 / 73 K Total / Business Support 12K","Last Year - 2022","Data Processing",12000,8000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-07-16","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2021-10-27","CY-8 / 78 K Total / Data Processing 9K","2 Years Ago - 2021","Business Support",9000,5000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Other Real State 7K","2024-08-09","NULL - No Value","Next Year","Other Real Estate",,,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2020-03-23","CY-9 / 73 K Total / Telecommunication 10K","3 Years Ago - 2020","Telecommunication",10000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2014-08-10","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2019-04-11","CY-4 / 72 K Total / Employment Service 7K","4 Years Ago - 2019","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2015-07-20","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Other Real State 7K","2025-05-22","NULL - No Value","2 Years Later","Employment Service",,,7000,700,700,3000,700
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-02-05","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","CY / 62 K Total / Software 13K","2023-11-24","CY / 62 K Total / Software 13K  ","Current Year","Software",13000,9000,13000,200,1400,9000,3000
"2023-09-18","Null - No Value","2022-11-08","CY-10 / 57 K Total / Legal Services 9K  ","Last Year - 2022","Telecommunication",9000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2020-09-19","CY-10 / 57 K Total / Software 12K  ","3 Years Ago - 2020","Data Processing",12000,8000,,900,900,,900
"2023-09-18","Null - No Value","2015-05-26","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2013-12-28","CY / 62 K Total / Telecommunication 9K  ","10 Years Ago - 2013","Business Support",9000,4000,,700,500,,2800
"2023-09-18","Null - No Value","2018-02-06","CY-9 / 73 K Total / Other Real State 9K","5 Years Ago - 2018","Software",9000,5000,,200,1400,,3000
"2023-09-18","Null - No Value","2021-03-13","CY-7 / 46 K Total / Employment Service 3K","2 Years Ago - 2021","Legal Services",3000,-1000,,800,600,,2300
"2023-09-18","Null - No Value","2016-01-29","CY-7 / 46 K Total / Data Processing 4K","7 Years Ago - 2016","Data Processing",4000,0,,900,900,,900
"2023-09-18","Null - No Value","2017-01-05","CY-10 / 57 K Total / Employment Service 5K  ","6 Years Ago - 2017","Employment Service",5000,1000,,700,700,,700
"2023-09-18","Null - No Value","2019-07-27","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2014-12-10","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2014-03-31","CY-9 / 73 K Total / Other Real State 9K","9 Years Ago - 2014","Other Real Estate",9000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2020-01-03","CY-7 / 46 K Total / Software 10K","3 Years Ago - 2020","Legal Services",10000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2021-06-05","CY-10 / 57 K Total / Business Support 10K  ","2 Years Ago - 2021","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2022-08-01","CY-7 / 46 K Total / Data Processing 4K","Last Year - 2022","Employment Service",4000,0,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-03-09","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2016-01-04","CY-7 / 46 K Total / Telecommunication 7K","7 Years Ago - 2016","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2013-04-26","CY-10 / 57 K Total / Other Real Estate 7K  ","10 Years Ago - 2013","Software",7000,2000,,200,1400,,3000
"2023-09-18","Null - No Value","2018-04-25","CY-4 / 72 K Total / Business Support 12K","5 Years Ago - 2018","Legal Services",12000,8000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-01-12","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2017-05-22","CY-9 / 73 K Total / Software 14K","6 Years Ago - 2017","Other Real Estate",14000,10000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-06-20","CY-8 / 78 K Total / Data Processing 9K","8 Years Ago - 2015","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-01-22","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2019-01-09","CY-4 / 72 K Total / Employment Service 7K","4 Years Ago - 2019","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2018-08-19","CY / 62 K Total / Telecommunication 9K  ","5 Years Ago - 2018","Software",9000,5000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-09-10","CY-7 / 46 K Total / Legal Services 8K","Last Year - 2022","Employment Service",8000,4000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-10-27","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","Null - No Value","2017-03-19","CY-4 / 72 K Total / Other Real State 10K","6 Years Ago - 2017","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-10-07","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2021-08-06","CY-10 / 57 K Total / Data Processing 6K  ","2 Years Ago - 2021","Business Support",6000,2000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Legal Services 10K","2023-07-08","CY / 62 K Total / Legal Services 10K  ","Current Year","Legal Services",10000,6000,10000,800,600,6000,2300
"2023-09-18","Null - No Value","2013-06-03","CY / 62 K Total / Telecommunication 9K  ","10 Years Ago - 2013","Telecommunication",9000,4000,,850,100,,1900
"2023-09-18","Null - No Value","2014-01-04","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2020-10-21","CY-8 / 78 K Total / Other Real State 11K","3 Years Ago - 2020","Data Processing",11000,7000,,900,900,,900
"2023-09-18","Null - No Value","2015-09-16","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2019-12-30","CY-4 / 72 K Total / Business Support 12K","4 Years Ago - 2019","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2016-06-05","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-09-20","CY-7 / 46 K Total / Business Support 9K","2 Years Ago - 2021","Employment Service",9000,5000,,700,700,,700
"2023-09-18","CY / 62 K Total / Telecommunication 9K","2023-04-17","CY / 62 K Total / Telecommunication 9K  ","Current Year","Telecommunication",9000,5000,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2013-09-12","CY / 62 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","CY+1 / 52 K Total / Legal Services 8K","2024-10-11","NULL - No Value","Next Year","Legal Services",,,8000,800,600,4000,2300
"2023-09-18","Null - No Value","2015-02-15","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-03-08","CY-4 / 72 K Total / Employment Service 7K","9 Years Ago - 2014","Employment Service",7000,2000,,700,700,,700
"2023-09-18","Null - No Value","2018-11-16","CY-4 / 72 K Total / Telecommunication 11K","5 Years Ago - 2018","Business Support",11000,7000,,700,500,,2800
"2023-09-18","Null - No Value","2020-03-12","NULL - No Value","3 Years Ago - 2020","Telecommunication",,-4000,,850,100,,1900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-03-05","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2022-11-21","CY-8 / 78 K Total / Software 14K","Last Year - 2022","Telecommunication",14000,10000,,850,100,,1900
"2023-09-18","Null - No Value","2016-05-23","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2019-05-14","CY-4 / 72 K Total / Business Support 12K","4 Years Ago - 2019","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2017-08-26","CY-8 / 78 K Total / Employment Service 8K","6 Years Ago - 2017","Other Real Estate",8000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-01-16","CY-4 / 72 K Total / Other Real State 10K","8 Years Ago - 2015","Employment Service",10000,5000,,700,700,,700
"2023-09-18","Null - No Value","2016-02-12","CY-7 / 46 K Total / Data Processing 4K","7 Years Ago - 2016","Data Processing",4000,0,,900,900,,900
"2023-09-18","Null - No Value","2019-11-10","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2025-12-15","NULL - No Value","2 Years Later","Employment Service",,,9000,700,700,5000,700
"2023-09-18","Null - No Value","2018-12-14","CY-8 / 78 K Total / Telecommunication 11K","5 Years Ago - 2018","Other Real Estate",11000,7000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-08-30","CY / 62 K Total / Employment Service 5K  ","2 Years Ago - 2021","Legal Services",5000,1000,,800,600,,2300
"2023-09-18","Null - No Value","2013-08-28","CY-10 / 57 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-04-27","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2020-04-21","CY-8 / 78 K Total / Business Support 13K","3 Years Ago - 2020","Telecommunication",13000,9000,,850,100,,1900
"2023-09-18","Null - No Value","2017-11-30","CY-10 / 57 K Total / Other Real Estate 7K  ","6 Years Ago - 2017","Software",7000,3000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-11-28","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-04-16","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","Null - No Value","2022-08-05","CY-8 / 78 K Total / Legal Services 12K","Last Year - 2022","Legal Services",12000,8000,,800,600,,2300
"2023-09-18","Null - No Value","2013-04-21","CY / 62 K Total / Other Real Estate 7K  ","10 Years Ago - 2013","Other Real Estate",7000,2000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-01-03","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","Null - No Value","2018-07-24","CY / 62 K Total / Legal Services 10K  ","5 Years Ago - 2018","Business Support",10000,6000,,700,500,,2800
"2023-09-18","Null - No Value","2022-10-11","CY-4 / 72 K Total / Employment Service 7K","Last Year - 2022","Data Processing",7000,3000,,900,900,,900
"2023-09-18","Null - No Value","2014-05-23","CY-9 / 73 K Total / Data Processing 9K","9 Years Ago - 2014","Data Processing",9000,4000,,900,900,,900
"2023-09-18","Null - No Value","2015-03-15","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-01-02","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2020-08-02","CY / 62 K Total / Other Real Estate 7K  ","3 Years Ago - 2020","Employment Service",7000,3000,,700,700,,700
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-05-14","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2021-07-30","CY-9 / 73 K Total / Data Processing 9K","2 Years Ago - 2021","Business Support",9000,5000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-01-05","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2019-03-12","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2017-02-12","CY-7 / 46 K Total / Legal Services 8K","6 Years Ago - 2017","Business Support",8000,4000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Software 9K","2024-09-15","NULL - No Value","Next Year","Software",,,9000,200,1400,5000,3000
"2023-09-18","Null - No Value","2021-07-13","CY-4 / 72 K Total / Data Processing 8K","2 Years Ago - 2021","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-10-11","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2013-03-16","CY-4 / 72 K Total / Business Support 12K","10 Years Ago - 2013","Employment Service",12000,7000,,700,700,,700
"2023-09-18","CY / 62 K Total / Legal Services 10K","2023-01-06","CY / 62 K Total / Legal Services 10K  ","Current Year","Legal Services",10000,6000,10000,800,600,6000,2300
"2023-09-18","Null - No Value","2015-12-04","CY-4 / 72 K Total / Software 13K","8 Years Ago - 2015","Employment Service",13000,8000,,700,700,,700
"2023-09-18","Null - No Value","2020-07-29","CY-8 / 78 K Total / Data Processing 9K","3 Years Ago - 2020","Data Processing",9000,5000,,900,900,,900
"2023-09-18","Null - No Value","2017-10-14","CY-9 / 73 K Total / Employment Service 8K","6 Years Ago - 2017","Other Real Estate",8000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2018-10-09","CY-7 / 46 K Total / Data Processing 4K","5 Years Ago - 2018","Business Support",4000,0,,700,500,,2800
"2023-09-18","Null - No Value","2016-09-07","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2014-08-08","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2019-05-21","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2022-09-16","CY-9 / 73 K Total / Legal Services 11K","Last Year - 2022","Data Processing",11000,7000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-01-01","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2018-03-19","CY-4 / 72 K Total / Employment Service 7K","5 Years Ago - 2018","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2020-09-02","CY-10 / 57 K Total / Legal Services 9K  ","3 Years Ago - 2020","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2014-05-16","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2024-11-11","NULL - No Value","Next Year","Employment Service",,,5000,700,700,1000,700
"2023-09-18","Null - No Value","2022-07-12","CY-9 / 73 K Total / Software 14K","Last Year - 2022","Software",14000,10000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-01-27","CY-8 / 78 K Total / Business Support 13K","8 Years Ago - 2015","Business Support",13000,8000,,700,500,,2800
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-11-16","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","Null - No Value","2016-11-16","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2017-06-05","CY-4 / 72 K Total / Software 13K","6 Years Ago - 2017","Telecommunication",13000,9000,,850,100,,1900
"2023-09-18","Null - No Value","2013-09-03","CY-10 / 57 K Total / Software 12K  ","10 Years Ago - 2013","Software",12000,7000,,200,1400,,3000
