"TPM__c","Discount__c","Month__c","Product","Retailer__c","Daily_Unit_Volume"
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fine Goods",753
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",1078
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fare Merchants",638
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Sure Store",842
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","WaySafe",1225
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",1001
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Huge Store",1100
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sanesberry",565
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Nutrition Stop",425
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",696
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fine Goods",648
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",529
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fare Merchants",470
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sure Store",588
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","WaySafe",366
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",358
"BOGO","0","JUL","Alpine Energy - Energy Gels","Huge Store",275
"BOGO","0","JUL","Alpine Energy - Energy Gels","Sanesberry",274
"BOGO","0","JUL","Alpine Energy - Energy Gels","Nutrition Stop",309
"BOGO","0","JUL","Alpine Energy - Energy Gels","Rondel",316
"BOGO","0","JUL","Alpine Energy - Energy Gels","Fine Goods",317
"BOGO","0","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",264
"BOGO","0","JUL","Alpine Energy - Energy Gels","Fare Merchants",401
"BOGO","0","JUL","Alpine Energy - Energy Gels","Sure Store",262
"BOGO","0","JUL","Alpine Energy - Energy Gels","WaySafe",250
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",55
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Huge Store",50
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sanesberry",88
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Nutrition Stop",59
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",79
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fine Goods",47
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",88
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fare Merchants",134
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sure Store",128
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","WaySafe",175
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",153
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Huge Store",190
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Sanesberry",193
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Nutrition Stop",545
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Rondel",364
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fine Goods",631
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",255
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fare Merchants",291
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sure Store",819
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","WaySafe",932
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",1352
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Huge Store",1189
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sanesberry",426
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Nutrition Stop",403
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",862
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fine Goods",769
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",836
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fare Merchants",464
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Sure Store",320
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","WaySafe",420
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",486
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Huge Store",302
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Sanesberry",274
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Nutrition Stop",397
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Rondel",370
"BOGO","0.2","JUL","Alpine Energy - Energy Gels","Fine Goods",385
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",254
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Fare Merchants",238
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Sure Store",283
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","WaySafe",165
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",148
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Huge Store",160
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Sanesberry",191
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Nutrition Stop",314
"BOGO","0.15","JUL","Alpine Energy - Energy Gels","Rondel",365
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fine Goods",84
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",64
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fare Merchants",69
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Sure Store",80
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","WaySafe",115
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",62
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Huge Store",97
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Sanesberry",69
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Nutrition Stop",91
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",119
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fine Goods",46
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",111
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fare Merchants",211
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sure Store",63
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","WaySafe",31
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",180
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Huge Store",95
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sanesberry",205
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Nutrition Stop",997
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Rondel",645
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fine Goods",1316
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",729
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Fare Merchants",647
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Sure Store",525
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","WaySafe",1408
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",942
"BOGO","0.1","JUL","Alpine Energy - Energy Gels","Huge Store",1583
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sanesberry",551
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Nutrition Stop",580
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",530
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fine Goods",603
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Northern Trails Outfitters",423
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Fare Merchants",550
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Sure Store",482
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","WaySafe",360
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Alpine Nutrition",382
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Huge Store",320
"BOGO","0","JUL","Alpine Energy - Energy Gels","Sanesberry",225
"BOGO","0","JUL","Alpine Energy - Energy Gels","Nutrition Stop",387
"BOGO","0.05","JUL","Alpine Energy - Energy Gels","Rondel",400
"BOGO","0","JUL","Alpine Energy - Energy Gels","Fine Goods",443
"BOGO","0","AUG","Alpine Energy - Energy Gels","Fare Merchants",432
"BOGO","0","AUG","Alpine Energy - Energy Gels","Sure Store",465
"BOGO","0","AUG","Alpine Energy - Energy Gels","WaySafe",281
"BOGO","0","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",260
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",58
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",48
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",72
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",39
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",61
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",70
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",59
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",95
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",80
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",185
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",118
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",238
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",177
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",504
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fine Goods",496
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",499
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",291
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",252
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",1304
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",932
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",1012
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",1279
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",416
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",336
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",757
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",677
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",563
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Sure Store",370
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",400
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",459
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Huge Store",530
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Sanesberry",236
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Nutrition Stop",178
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Rondel",381
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Fine Goods",337
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",427
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Fare Merchants",183
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Sure Store",271
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","WaySafe",274
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",256
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Huge Store",179
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Sanesberry",142
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Nutrition Stop",151
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Rondel",356
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Fine Goods",194
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",90
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",81
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",67
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","WaySafe",72
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",61
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",80
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",94
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",95
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",56
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",78
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",24
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",53
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",215
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",126
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",23
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",106
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",157
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",128
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",780
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fine Goods",523
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",864
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",759
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",1109
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","WaySafe",550
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",1196
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",1177
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",1520
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",565
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",413
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",547
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",536
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",471
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",504
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",563
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",337
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",391
"BOGO","0","AUG","Alpine Energy - Energy Gels","Sanesberry",343
"BOGO","0","AUG","Alpine Energy - Energy Gels","Nutrition Stop",212
"BOGO","0","AUG","Alpine Energy - Energy Gels","Rondel",471
"BOGO","0","AUG","Alpine Energy - Energy Gels","Fine Goods",406
"BOGO","0","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",350
"BOGO","0","AUG","Alpine Energy - Energy Gels","Fare Merchants",310
"BOGO","0","AUG","Alpine Energy - Energy Gels","Sure Store",466
"BOGO","0","AUG","Alpine Energy - Energy Gels","WaySafe",278
"BOGO","0","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",299
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",59
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",50
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",73
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",46
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",66
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",52
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",70
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",121
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",136
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",211
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",212
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",194
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",172
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",581
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fine Goods",496
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",489
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",285
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",267
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",1261
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",1013
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",1397
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",1567
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",693
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",238
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",652
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",513
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",837
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Sure Store",376
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","WaySafe",319
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",609
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Huge Store",519
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Sanesberry",295
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Nutrition Stop",173
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Rondel",311
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Fine Goods",330
"BOGO","0.2","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",395
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Fare Merchants",187
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Sure Store",157
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","WaySafe",235
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",192
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Huge Store",171
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Sanesberry",158
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Nutrition Stop",202
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Rondel",288
"BOGO","0.15","AUG","Alpine Energy - Energy Gels","Fine Goods",258
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",25
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",29
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",45
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","WaySafe",38
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",124
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",62
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",113
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",62
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",70
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",132
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",44
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",120
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",145
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",68
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",26
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",177
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",131
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",191
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Rondel",1080
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fine Goods",600
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",1157
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",774
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",613
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","WaySafe",512
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",1011
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",1030
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",1195
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",601
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Rondel",425
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",652
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",675
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",520
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",481
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",533
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",383
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",427
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Sanesberry",299
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Nutrition Stop",289
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Rondel",398
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Fine Goods",348
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",431
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Fare Merchants",320
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Sure Store",452
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","WaySafe",278
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",281
"EndAisle Display","0","AUG","Alpine Energy - Energy Gels","Huge Store",38
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",76
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",67
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Rondel",59
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",68
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",52
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",65
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",111
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",80
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",205
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",133
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",270
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",268
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Rondel",599
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Fine Goods",354
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",457
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",242
"EndAisle Display","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",221
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",1331
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",1330
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",1406
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",1360
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Nutrition Stop",426
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Rondel",550
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",916
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",595
"EndAisle Display","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",702
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Sure Store",372
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","WaySafe",320
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",429
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Huge Store",459
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Sanesberry",220
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Nutrition Stop",269
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Rondel",316
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Fine Goods",392
"EndAisle Display","0.2","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",408
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Fare Merchants",191
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Sure Store",236
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","WaySafe",260
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",172
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Huge Store",170
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Sanesberry",158
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Nutrition Stop",178
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Rondel",379
"EndAisle Display","0.15","AUG","Alpine Energy - Energy Gels","Fine Goods",382
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",54
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Fare Merchants",57
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sure Store",46
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","WaySafe",98
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",86
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Huge Store",44
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Sanesberry",64
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Nutrition Stop",36
"BOGO","0.1","AUG","Alpine Energy - Energy Gels","Rondel",58
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fine Goods",50
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Northern Trails Outfitters",121
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Fare Merchants",141
"Digital Coupon","0.05","AUG","Alpine Energy - Energy Gels","Sure Store",86
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","WaySafe",31
"Digital Coupon","0.05","AUG","Alpine Energy - Energy Gels","Alpine Nutrition",181
"Digital Coupon","0.05","AUG","Alpine Energy - Energy Gels","Huge Store",173
"BOGO","0.05","AUG","Alpine Energy - Energy Gels","Sanesberry",182
