"ProductFamily","OrderEffectiveDate","ProductName","TotalsInterval","LastProcessedDate","OrderAccountName","OrderAccountParent","UnitPrice","TotalPrice","Quantity"
"Consumables","2020-07-27","Gloves and Gowns","From 50 to 250","2020-09-04","Mercy Hospital","United Central",325,56875,175
"Kits","2020-01-14","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,80400,150
"Wholesales Acquisition Cost","2020-10-27","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Partners","United Central",120,6000,50
"Capital Equipment","2020-12-12","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,22000,100
"Consumables","2020-11-07","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,18550,350
"Product","2020-03-16","Sharps Containers","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",520,91000,175
"X-Ray","2020-09-10","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,20000,100
"Consumables","2020-12-06","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Physicians Group","United Central",738,129150,175
"Product","2020-12-06","Dialysis Tubing","From 50 to 250","2020-09-04","Tyconet","United Central",550,96250,175
"Product","2020-05-16","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,60000,200
"Wholesales Acquisition Cost","2020-07-13","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,26500,50
"Product","2020-03-09","Dialysis Tubing","From 50 to 250","2020-09-04","Mercy Hospital","United Central",550,137500,250
"Vision","2020-04-09","Protective Eyewear","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",177,8850,50
"X-Ray","2020-12-13","CRM 8000 X-Ray","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",25920,3240000,125
"AutoSense","2020-08-15","Renal Dialysis Device","From 50 to 250","2020-09-04","United Physicians Group","United Central",11800,1770000,150
"AutoSense","2020-01-20","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,212625,225
"Product","2020-08-18","Personal Protection Equipment","From 50 to 250","2020-09-04","United Partners","United Central",1760,352000,200
"Kits","2020-09-01","Cardiac Closure Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",536,53600,100
"Attachment","2020-06-03","Enhanced Scanner Package","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",15360,1920000,125
"Consumables","2020-02-03","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,65000,200
"Product","2020-10-20","Sharps Containers","From 500 to 1000","2020-09-04","United Hospital","United Central",520,312000,600
"Consumables","2020-11-21","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,55350,75
"Consumables","2020-10-09","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,129150,175
"Product","2020-11-26","Focalized Mounting System","From 50 to 250","2020-09-04","Mercy Hospital","United Central",175,8750,50
"Accessories","2020-07-02","Remote Control Keypad","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",440,99000,225
"Consumables","2020-11-08","Hypodermic Needles","From 350 to 550","2020-09-04","Allied Technologies","United Central",53,26500,500
"Product","2020-10-31","Power Modulator","From 50 to 250","2020-09-04","United Partners","United Central",300,52500,175
"Consumables","2020-06-09","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Physicians Group","United Central",738,184500,250
"Accessories","2020-03-30","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,66000,150
"X-Ray","2020-12-17","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,30000,150
"Product","2020-09-04","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,91000,175
"Product","2020-04-07","Dialysis Tubing","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",550,96250,175
"Consumables","2020-02-11","Gloves and Gowns","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",325,56875,175
"Wholesales Acquisition Cost","2020-12-19","Alpha Knee","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",530,79500,150
"Kits","2020-11-09","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,40200,75
"Product","2020-10-16","Focalized Mounting System","From 50 to 250","2020-09-04","United Partners","United Central",175,30625,175
"Product","2020-08-19","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",4349,1087250,250
"Consumables","2020-09-06","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,29150,550
"Consumables","2020-07-10","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,36900,50
"Product","2020-12-04","Sharps Containers","From 50 to 250","2020-09-04","Mercy Hospital","United Central",520,39000,75
"Consumables","2020-05-29","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,24375,75
"Accessories","2020-01-23","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,33000,75
"Wholesales Acquisition Cost","2020-11-25","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,27000,225
"X-Ray","2020-03-24","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Mercy Hospital","United Central",200,40000,200
"Wholesales Acquisition Cost","2020-04-22","Blood Pressure Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",120,18000,150
"Consumables","2020-05-27","Hypodermic Needles","From 350 to 550","2020-09-04","Allied Technologies","United Central",53,29150,550
"Capital Equipment","2020-12-10","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,38500,175
"Wholesales Acquisition Cost","2020-02-25","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Partners","United Central",120,15000,125
"AutoSense","2020-07-09","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,165375,175
"Wholesales Acquisition Cost","2020-11-13","Blood Pressure Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",120,84000,700
"Product","2020-08-28","Dialysis Tubing","From 50 to 250","2020-09-04","United Partners","United Central",550,123750,225
"AutoSense","2020-10-11","Enhanced Analytics License","From 50 to 250","2020-09-04","Mercy Hospital","United Central",945,118125,125
"Product","2020-05-13","Power Modulator","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",300,37500,125
"Product","2020-10-13","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,43750,250
"AutoSense","2020-09-26","Renal Dialysis Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",11800,1770000,150
"Consumables","2020-06-15","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,110700,150
"Wholesales Acquisition Cost","2020-01-09","Blood Pressure Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",120,15000,125
"Capital Equipment","2020-08-12","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,49500,225
"Wholesales Acquisition Cost","2020-12-19","Alpha Knee","From 50 to 250","2020-09-04","United Physicians Group","United Central",530,66250,125
"Accessories","2020-07-26","Remote Control Keypad","From 50 to 250","2020-09-04","Universal Containers","United Central",440,110000,250
"Consumables","2020-11-23","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Partners","United Central",738,55350,75
"Kits","2020-10-20","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,120600,225
"X-Ray","2020-09-14","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,30000,150
"Capital Equipment","2020-03-04","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,49500,225
"Product","2020-12-22","Personal Protection Equipment","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",1760,440000,250
"Consumables","2020-08-29","Hypodermic Needles","From 350 to 550","2020-09-04","Mercy Hospital","United Central",53,26500,500
"Capital Equipment","2020-05-18","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,55000,250
"Capital Equipment","2020-02-22","Glucose Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",220,38500,175
"Product","2020-04-04","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,68750,125
"Product","2020-04-01","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,17500,100
"Vision","2020-07-22","Protective Eyewear","From 50 to 250","2020-09-04","Tyconet","United Central",177,8850,50
"Product","2020-09-11","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,22500,75
"Wholesales Acquisition Cost","2020-06-11","Blood Pressure Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",120,12000,100
"Product","2020-12-13","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,26000,50
"AutoSense","2020-11-08","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,70875,75
"Consumables","2020-10-11","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,92250,125
"Consumables","2020-01-10","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,18550,350
"Attachment","2020-03-05","Enhanced Scanner Package","From 50 to 250","2020-09-04","Universal Containers","United Central",15360,768000,50
"Consumables","2020-10-15","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,48750,150
"Accessories","2020-06-28","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,110000,250
"Product","2020-06-25","Personal Protection Equipment","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",1760,352000,200
"Capital Equipment","2020-02-27","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,16500,75
"Capital Equipment","2020-05-22","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,49500,225
"Kits","2020-08-01","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,40200,75
"Consumables","2020-04-20","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,24375,75
"X-Ray","2020-07-24","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,20000,100
"Kits","2020-12-01","Cardiac Closure Device","From 500 to 1000","2020-09-04","United Hospital","United Central",536,268000,500
"Consumables","2020-09-06","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,65000,200
"Wholesales Acquisition Cost","2020-03-08","Blood Pressure Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",120,24000,200
"Wholesales Acquisition Cost","2020-12-02","Alpha Knee","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",530,119250,225
"Consumables","2020-09-03","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,26500,500
"Product","2020-08-09","Sharps Containers","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",520,52000,100
"Consumables","2020-06-13","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,147600,200
"Consumables","2020-10-24","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,147600,200
"AutoSense","2020-07-27","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,70875,75
"Capital Equipment","2020-05-29","Glucose Monitor","From 50 to 250","2020-09-04","United Partners","United Central",220,44000,200
"Kits","2020-04-02","Cardiac Closure Device","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",536,53600,100
"Consumables","2020-10-18","Gloves and Gowns","From 50 to 250","2020-09-04","United Physicians Group","United Central",325,32500,100
"Product","2020-11-28","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Allied Technologies","United Central",4349,217450,50
"Wholesales Acquisition Cost","2020-12-10","Blood Pressure Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",120,15000,125
"Wholesales Acquisition Cost","2020-11-07","Alpha Knee","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",530,79500,150
"Consumables","2020-02-02","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,23850,450
"Product","2020-09-02","Power Modulator","From 50 to 250","2020-09-04","Tyconet","United Central",300,37500,125
"X-Ray","2020-11-24","CRM 8000 X-Ray","From 50 to 250","2020-09-04","United Physicians Group","United Central",25920,6480000,250
"Accessories","2020-11-26","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,55000,125
"Accessories","2020-12-04","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,110000,250
"Consumables","2020-10-24","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,147600,200
"X-Ray","2020-06-24","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",200,50000,250
"Capital Equipment","2020-07-09","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,27500,125
"Wholesales Acquisition Cost","2020-08-08","Alpha Knee","From 50 to 250","2020-09-04","Mercy Hospital","United Central",530,53000,100
"Product","2020-09-22","Sharps Containers","From 50 to 250","2020-09-04","Allied Technologies","United Central",520,117000,225
"Consumables","2020-01-01","Gloves and Gowns","From 50 to 250","2020-09-04","Mercy Hospital","United Central",325,32500,100
"AutoSense","2020-08-02","Enhanced Analytics License","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",945,141750,150
"Product","2020-03-11","Personal Protection Equipment","From 50 to 250","2020-09-04","United Physicians Group","United Central",1760,132000,75
"Consumables","2020-12-13","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,147600,200
"Consumables","2020-04-15","Gloves and Gowns","From 500 to 1000","2020-09-04","United Hospital","United Central",325,227500,700
"Consumables","2020-05-01","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,21200,400
"Wholesales Acquisition Cost","2020-10-16","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,24000,200
"Kits","2020-03-15","Cardiac Closure Device","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",536,93800,175
"Product","2020-01-20","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,8750,50
"AutoSense","2020-11-28","Renal Dialysis Device","From 50 to 250","2020-09-04","Tyconet","United Central",11800,2065000,175
"Attachment","2020-06-10","Enhanced Scanner Package","From 50 to 250","2020-09-04","United Partners","United Central",15360,1152000,75
"Capital Equipment","2020-05-08","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,11000,50
"Accessories","2020-02-01","Remote Control Keypad","From 50 to 250","2020-09-04","Mercy Hospital","United Central",440,99000,225
"AutoSense","2020-12-16","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,47250,50
"Consumables","2020-04-07","Gloves and Gowns","From 50 to 250","2020-09-04","United Physicians Group","United Central",325,32500,100
"Product","2020-07-08","Dialysis Tubing","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",550,27500,50
"Product","2020-08-02","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,35000,200
"Accessories","2020-11-30","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,110000,250
"Consumables","2020-09-20","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,73800,100
"Capital Equipment","2020-03-21","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,16500,75
"Product","2020-10-19","Sharps Containers","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",520,65000,125
"X-Ray","2020-06-16","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,45000,225
"Vision","2020-12-29","Protective Eyewear","From 50 to 250","2020-09-04","United Partners","United Central",177,26550,150
"Product","2020-02-03","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,35000,200
"Product","2020-08-25","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,104000,200
"Consumables","2020-11-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,36900,50
"Product","2020-01-10","Dialysis Tubing","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",550,137500,250
"Wholesales Acquisition Cost","2020-11-09","Alpha Knee","From 50 to 250","2020-09-04","Mercy Hospital","United Central",530,53000,100
"Wholesales Acquisition Cost","2020-10-31","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,27000,225
"Kits","2020-12-09","Cardiac Closure Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",536,134000,250
"Product","2020-11-22","Power Modulator","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",300,45000,150
"Capital Equipment","2020-04-01","Glucose Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",220,33000,150
"Product","2020-07-16","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,37500,125
"Consumables","2020-07-20","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,65000,200
"X-Ray","2020-05-28","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Physicians Group","United Central",200,40000,200
"AutoSense","2020-06-12","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,236250,250
"Product","2020-10-29","Personal Protection Equipment","From 500 to 1000","2020-09-04","United Hospital","United Central",1760,1408000,800
"Wholesales Acquisition Cost","2020-09-08","Alpha Knee","From 50 to 250","2020-09-04","Allied Technologies","United Central",530,132500,250
"Product","2020-08-29","Dialysis Tubing","From 50 to 250","2020-09-04","Universal Containers","United Central",550,137500,250
"Wholesales Acquisition Cost","2020-12-15","Blood Pressure Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",120,15000,125
"Consumables","2020-02-05","Hypodermic Needles","From 350 to 550","2020-09-04","Mercy Hospital","United Central",53,21200,400
"Product","2020-09-15","Personal Protection Equipment","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",1760,440000,250
"Wholesales Acquisition Cost","2020-05-12","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,18000,150
"Product","2020-03-06","Focalized Mounting System","From 50 to 250","2020-09-04","United Partners","United Central",175,26250,150
"Consumables","2020-04-15","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Tyconet","United Central",738,147600,200
"Capital Equipment","2020-11-03","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,16500,75
"Accessories","2020-10-01","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,44000,100
"Accessories","2020-11-22","Remote Control Keypad","From 50 to 250","2020-09-04","Universal Containers","United Central",440,99000,225
"Consumables","2020-06-06","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,18550,350
"Consumables","2020-01-17","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,16250,50
"AutoSense","2020-08-16","Renal Dialysis Device","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",11800,1475000,125
"Product","2020-03-12","Focalized Mounting System","From 50 to 250","2020-09-04","Universal Containers","United Central",175,26250,150
"Consumables","2020-12-11","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,18550,350
"Wholesales Acquisition Cost","2020-12-29","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,18000,150
"Product","2020-05-18","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Tyconet","United Central",4349,434900,100
"Kits","2020-11-16","Cardiac Closure Device","From 50 to 250","2020-09-04","Mercy Hospital","United Central",536,80400,150
"Consumables","2020-07-13","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,56875,175
"Attachment","2020-02-25","Enhanced Scanner Package","From 50 to 250","2020-09-04","United Partners","United Central",15360,2304000,150
"Product","2020-07-11","Dialysis Tubing","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",550,137500,250
"Product","2020-09-19","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,39000,75
"Consumables","2020-10-13","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,147600,200
"Capital Equipment","2020-04-08","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,33000,150
"Consumables","2020-12-04","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,18550,350
"Product","2020-06-29","Dialysis Tubing","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",550,123750,225
"Product","2020-09-17","Sharps Containers","From 500 to 1000","2020-09-04","United Hospital","United Central",520,260000,500
"AutoSense","2020-10-18","Enhanced Analytics License","From 50 to 250","2020-09-04","United Physicians Group","United Central",945,94500,100
"Product","2020-11-20","Power Modulator","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",300,60000,200
"Product","2020-07-09","Sharps Containers","From 50 to 250","2020-09-04","Allied Technologies","United Central",520,91000,175
"Accessories","2020-11-11","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,88000,200
"Product","2020-08-03","Focalized Mounting System","From 50 to 250","2020-09-04","Tyconet","United Central",175,17500,100
"Wholesales Acquisition Cost","2020-05-27","Alpha Knee","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",530,66250,125
"Kits","2020-01-18","Cardiac Closure Device","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",536,120600,225
"Wholesales Acquisition Cost","2020-08-03","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,24000,200
"X-Ray","2020-12-27","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Partners","United Central",200,25000,125
"Product","2020-04-08","Personal Protection Equipment","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",1760,220000,125
"AutoSense","2020-06-11","Enhanced Analytics License","From 50 to 250","2020-09-04","Mercy Hospital","United Central",945,94500,100
"Vision","2020-11-13","Protective Eyewear","From 50 to 250","2020-09-04","Tyconet","United Central",177,8850,50
"X-Ray","2020-03-03","CRM 8000 X-Ray","From 50 to 250","2020-09-04","Universal Containers","United Central",25920,5832000,225
"Consumables","2020-10-27","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,184500,250
"Consumables","2020-07-16","Hypodermic Needles","From 350 to 550","2020-09-04","Mercy Hospital","United Central",53,29150,550
"Consumables","2020-02-27","Gloves and Gowns","From 50 to 250","2020-09-04","Universal Containers","United Central",325,48750,150
"X-Ray","2020-03-22","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Physicians Group","United Central",200,15000,75
"Wholesales Acquisition Cost","2020-11-29","Blood Pressure Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",120,12000,100
"Wholesales Acquisition Cost","2020-08-25","Alpha Knee","From 50 to 250","2020-09-04","Mercy Hospital","United Central",530,132500,250
"Consumables","2020-12-04","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,184500,250
"Product","2020-05-17","Dialysis Tubing","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",550,96250,175
"Consumables","2020-09-27","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,48750,150
"Product","2020-01-10","Sharps Containers","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",520,39000,75
"AutoSense","2020-09-24","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,236250,250
"X-Ray","2020-09-24","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,50000,250
"Capital Equipment","2020-10-24","Glucose Monitor","From 50 to 250","2020-09-04","United Partners","United Central",220,38500,175
"Consumables","2020-11-06","Hypodermic Needles","From 350 to 550","2020-09-04","Vand Enterprises, INC","United Central",53,26500,500
"Wholesales Acquisition Cost","2020-04-02","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,9000,75
"Consumables","2020-06-24","Gloves and Gowns","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",325,32500,100
"Accessories","2020-10-18","Remote Control Keypad","From 50 to 250","2020-09-04","Mercy Hospital","United Central",440,99000,225
"Product","2020-02-03","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Tyconet","United Central",4349,652350,150
"Consumables","2020-07-14","CBGM Sensor Pack (50)","From 500 to 1000","2020-09-04","United Hospital","United Central",738,590400,800
"Capital Equipment","2020-12-09","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,11000,50
"Product","2020-03-23","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,43750,250
"Product","2020-05-24","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,67500,225
"Accessories","2020-12-21","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,55000,125
"Consumables","2020-09-10","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Physicians Group","United Central",738,129150,175
"Consumables","2020-09-17","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Partners","United Central",738,166050,225
"Kits","2020-10-17","Cardiac Closure Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",536,67000,125
"Product","2020-04-01","Power Modulator","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",300,75000,250
"Capital Equipment","2020-06-30","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,27500,125
"AutoSense","2020-12-02","Renal Dialysis Device","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",11800,2950000,250
"Kits","2020-11-24","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,40200,75
"Consumables","2020-07-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,73800,100
"Capital Equipment","2020-01-15","Glucose Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",220,38500,175
"X-Ray","2020-03-29","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Physicians Group","United Central",200,45000,225
"Product","2020-08-12","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,75000,250
"Wholesales Acquisition Cost","2020-05-29","Alpha Knee","From 50 to 250","2020-09-04","United Partners","United Central",530,132500,250
"Wholesales Acquisition Cost","2020-02-12","Blood Pressure Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",120,12000,100
"Product","2020-08-06","Focalized Mounting System","From 50 to 250","2020-09-04","Allied Technologies","United Central",175,17500,100
"Product","2020-12-25","Personal Protection Equipment","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",1760,220000,125
"Consumables","2020-07-29","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,36900,50
"Product","2020-09-12","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,117000,225
"Wholesales Acquisition Cost","2020-11-26","Alpha Knee","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",530,53000,100
"Accessories","2020-10-01","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,99000,225
"AutoSense","2020-08-06","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,118125,125
"Product","2020-11-01","Dialysis Tubing","From 50 to 250","2020-09-04","Mercy Hospital","United Central",550,96250,175
"Accessories","2020-04-02","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,44000,100
