Account_CUSTOM2,Account_CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,Account_COUNTRY,TARGET_DATE,TargetDate,Account_CUSTOMER,Account_TARGET,Account_CUSTOM1,Activities,BEHIND_TARGET,AHEAD_TARGET,Hours,Account_LAT,Account_LONG,ON_TARGET,Offset,Target
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/9/17,25/08/2020,Northern Trails Outfitters,ON,MEDIUM,5,10400,4400,59,37.75154,-122.4278,6200,-15564390,6200
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/10/17,26/07/2020,Northern Trails Outfitters,ON,MEDIUM,3,11000,5100,24,37.75154,-122.4278,6700,-12972390,6700
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/11/17,25/06/2020,Northern Trails Outfitters,ON,MEDIUM,1,4300,2000,72,37.75154,-122.4278,2600,-10293990,2600
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/12/17,26/05/2020,Northern Trails Outfitters,ON,MEDIUM,0,-1800,-700,52,37.75154,-122.4278,-1100,-7701990,-1100
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/1/18,25/04/2020,Northern Trails Outfitters,ON,MEDIUM,14,-10300,-3400,66,37.75154,-122.4278,-7500,-5023590,-7500
Negative Growth over 20%,MEDIUM QTY,Chantelle Rep,San Francisco,CA,A0095,NTO Store - Noe Valley,West,United States,1/2/18,25/03/2020,Northern Trails Outfitters,ON,MEDIUM,31,13400,4900,72,37.75154,-122.4278,9600,-2345190,9600
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/2/17,25/03/2021,Better Buy,ON,VERY SMALL,36,8900,1300,31,39.71171,-75.5985,5300,-33881190,5300
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/3/17,25/02/2021,Better Buy,ON,VERY SMALL,64,12000,1700,30,39.71171,-75.5985,7600,-31461990,7600
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/4/17,25/01/2021,Better Buy,ON,VERY SMALL,88,11900,1700,42,39.71171,-75.5985,6800,-28783590,6800
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/5/17,26/12/2020,Better Buy,ON,VERY SMALL,78,13600,2000,28,39.71171,-75.5985,7200,-26191590,7200
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/6/17,25/11/2020,Better Buy,ON,VERY SMALL,51,12800,1900,21,39.71171,-75.5985,5900,-23513190,5900
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/7/17,26/10/2020,Better Buy,ON,VERY SMALL,110,13400,2800,41,39.71171,-75.5985,7000,-20921190,7000
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/8/17,25/09/2020,Better Buy,ON,VERY SMALL,40,13100,2500,19,39.71171,-75.5985,6400,-18242790,6400
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/9/17,25/08/2020,Better Buy,ON,VERY SMALL,50,19400,2700,20,39.71171,-75.5985,8500,-15564390,8500
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/10/17,26/07/2020,Better Buy,ON,VERY SMALL,56,27000,2800,20,39.71171,-75.5985,11900,-12972390,11900
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/11/17,25/06/2020,Better Buy,ON,VERY SMALL,36,25900,3400,14,39.71171,-75.5985,14800,-10293990,14800
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/12/17,26/05/2020,Better Buy,ON,VERY SMALL,38,24000,5800,17,39.71171,-75.5985,14900,-7701990,14900
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/1/18,25/04/2020,Better Buy,ON,VERY SMALL,24,17400,5200,21,39.71171,-75.5985,12300,-5023590,12300
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Wilmington,DE,A0101,Better Buy - Wilmington,East,United States,1/2/18,25/03/2020,Better Buy,ON,VERY SMALL,3,8700,3300,12,39.71171,-75.5985,6200,-2345190,6200
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/2/17,25/03/2021,Sure Store,AHEAD,SMALL,1,-5600,-1200,15,35.86845,-95.8278,-2700,-33881190,-1200
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/3/17,25/02/2021,Sure Store,AHEAD,SMALL,1,8600,1900,5,35.86845,-95.8278,4500,-31461990,1900
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/4/17,25/01/2021,Sure Store,AHEAD,SMALL,10,15500,4200,18,35.86845,-95.8278,8200,-28783590,4200
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/5/17,26/12/2020,Sure Store,AHEAD,SMALL,4,12700,2400,8,35.86845,-95.8278,6000,-26191590,2400
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/6/17,25/11/2020,Sure Store,AHEAD,SMALL,35,22300,4200,24,35.86845,-95.8278,10400,-23513190,4200
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/7/17,26/10/2020,Sure Store,AHEAD,SMALL,23,33000,4300,15,35.86845,-95.8278,13700,-20921190,4300
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/8/17,25/09/2020,Sure Store,AHEAD,SMALL,6,17400,2300,13,35.86845,-95.8278,6900,-18242790,2300
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/9/17,25/08/2020,Sure Store,AHEAD,SMALL,3,16200,2100,9,35.86845,-95.8278,6400,-15564390,2100
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/10/17,26/07/2020,Sure Store,AHEAD,SMALL,0,-6300,-800,2,35.86845,-95.8278,-2400,-12972390,-800
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/11/17,25/06/2020,Sure Store,AHEAD,SMALL,10,25200,3300,11,35.86845,-95.8278,9900,-10293990,3300
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/12/17,26/05/2020,Sure Store,AHEAD,SMALL,0,4200,900,10,35.86845,-95.8278,1900,-7701990,900
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/1/18,25/04/2020,Sure Store,AHEAD,SMALL,0,6400,1300,5,35.86845,-95.8278,2900,-5023590,1300
Negative Growth over 20%,LOW MIX,Fred Dials,Bixby,OK,A0102,Sure Store - Tulsa,Central,United States,1/2/18,25/03/2020,Sure Store,AHEAD,SMALL,37,28100,8800,15,35.86845,-95.8278,14700,-2345190,8800
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/2/17,25/03/2021,Sure Store,ON,MEDIUM,60,45100,16700,61,40.7561,-73.9902,30400,-33881190,30400
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/3/17,25/02/2021,Sure Store,ON,MEDIUM,67,39600,17500,62,40.7561,-73.9902,29300,-31461990,29300
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/4/17,25/01/2021,Sure Store,ON,MEDIUM,86,47900,21200,54,40.7561,-73.9902,34100,-28783590,34100
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/5/17,26/12/2020,Sure Store,ON,MEDIUM,127,53000,23400,65,40.7561,-73.9902,37300,-26191590,37300
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/6/17,25/11/2020,Sure Store,ON,MEDIUM,195,55100,24400,93,40.7561,-73.9902,42000,-23513190,42000
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/7/17,26/10/2020,Sure Store,ON,MEDIUM,126,51400,29900,69,40.7561,-73.9902,41900,-20921190,41900
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/8/17,25/09/2020,Sure Store,ON,MEDIUM,98,49000,28500,59,40.7561,-73.9902,39100,-18242790,39100
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/9/17,25/08/2020,Sure Store,ON,MEDIUM,81,69800,30300,43,40.7561,-73.9902,46100,-15564390,46100
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/10/17,26/07/2020,Sure Store,ON,MEDIUM,33,57100,24700,26,40.7561,-73.9902,39700,-12972390,39700
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/11/17,25/06/2020,Sure Store,ON,MEDIUM,50,54100,32800,44,40.7561,-73.9902,39800,-10293990,39800
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/12/17,26/05/2020,Sure Store,ON,MEDIUM,62,52900,28500,73,40.7561,-73.9902,37900,-7701990,37900
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/1/18,25/04/2020,Sure Store,ON,MEDIUM,59,57500,31000,59,40.7561,-73.9902,40700,-5023590,40700
20% Positive Growth,POPULAR + NO P4,John Central,New York,NY,A0103,Sure Store - New York,East,United States,1/2/18,25/03/2020,Sure Store,ON,MEDIUM,92,72100,42000,58,40.7561,-73.9902,54000,-2345190,54000
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/2/17,25/03/2021,Sure Store,AHEAD,MEDIUM,44,30400,14200,39,44.0211,-92.4932,19300,-33881190,14200
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/3/17,25/02/2021,Sure Store,AHEAD,MEDIUM,50,31200,14900,42,44.0211,-92.4932,21700,-31461990,14900
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/4/17,25/01/2021,Sure Store,AHEAD,MEDIUM,35,29100,13900,34,44.0211,-92.4932,20700,-28783590,13900
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/5/17,26/12/2020,Sure Store,AHEAD,MEDIUM,26,25000,13400,27,44.0211,-92.4932,18700,-26191590,13400
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/6/17,25/11/2020,Sure Store,AHEAD,MEDIUM,35,29100,15600,27,44.0211,-92.4932,22100,-23513190,15600
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/7/17,26/10/2020,Sure Store,AHEAD,MEDIUM,41,31600,17000,27,44.0211,-92.4932,25000,-20921190,17000
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/8/17,25/09/2020,Sure Store,AHEAD,MEDIUM,36,24200,13000,40,44.0211,-92.4932,18800,-18242790,13000
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/9/17,25/08/2020,Sure Store,AHEAD,MEDIUM,54,23700,15700,62,44.0211,-92.4932,19500,-15564390,15700
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/10/17,26/07/2020,Sure Store,AHEAD,MEDIUM,8,19600,10900,19,44.0211,-92.4932,13900,-12972390,10900
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/11/17,25/06/2020,Sure Store,AHEAD,MEDIUM,21,24400,13600,33,44.0211,-92.4932,17500,-10293990,13600
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/12/17,26/05/2020,Sure Store,AHEAD,MEDIUM,25,24100,13400,40,44.0211,-92.4932,17000,-7701990,13400
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/1/18,25/04/2020,Sure Store,AHEAD,MEDIUM,35,28000,15600,41,44.0211,-92.4932,18800,-5023590,15600
-10 to -20% Negative Growth,POPULAR + NO P4,John Central,Rochester,MN,A0104,Sure Store - Olmsted,Central,United States,1/2/18,25/03/2020,Sure Store,AHEAD,MEDIUM,28,33400,18600,23,44.0211,-92.4932,22500,-2345190,18600
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/2/17,25/03/2021,Better Buy,ON,VERY SMALL,30,10500,900,13,36.84887,-76.2914,4700,-33881190,4700
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/3/17,25/02/2021,Better Buy,ON,VERY SMALL,66,11400,2000,24,36.84887,-76.2914,5500,-31461990,5500
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/4/17,25/01/2021,Better Buy,ON,VERY SMALL,62,10600,1800,26,36.84887,-76.2914,4900,-28783590,4900
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/5/17,26/12/2020,Better Buy,ON,VERY SMALL,50,10900,2400,20,36.84887,-76.2914,5400,-26191590,5400
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/6/17,25/11/2020,Better Buy,ON,VERY SMALL,33,9300,2000,18,36.84887,-76.2914,5100,-23513190,5100
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/7/17,26/10/2020,Better Buy,ON,VERY SMALL,10,7300,1600,9,36.84887,-76.2914,4300,-20921190,4300
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/8/17,25/09/2020,Better Buy,ON,VERY SMALL,33,8100,1800,24,36.84887,-76.2914,4200,-18242790,4200
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/9/17,25/08/2020,Better Buy,ON,VERY SMALL,46,7000,2100,23,36.84887,-76.2914,4500,-15564390,4500
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/10/17,26/07/2020,Better Buy,ON,VERY SMALL,15,9100,2400,6,36.84887,-76.2914,5900,-12972390,5900
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/11/17,25/06/2020,Better Buy,ON,VERY SMALL,36,11900,3500,17,36.84887,-76.2914,6700,-10293990,6700
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/12/17,26/05/2020,Better Buy,ON,VERY SMALL,16,9800,2900,11,36.84887,-76.2914,5800,-7701990,5800
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/1/18,25/04/2020,Better Buy,ON,VERY SMALL,15,10100,3000,10,36.84887,-76.2914,5700,-5023590,5700
20% Positive Growth,"NO P4, POPULAR",Woodrow Gordillo,Norfolk,VA,A0105,Better Buy - Norfolk,East,United States,1/2/18,25/03/2020,Better Buy,ON,VERY SMALL,19,11200,3300,10,36.84887,-76.2914,6900,-2345190,6900
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/2/17,25/03/2021,Better Buy,ON,MEDIUM,131,71700,15400,154,38.02122,-78.4555,42700,-33881190,42700
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/3/17,25/02/2021,Better Buy,ON,MEDIUM,136,77300,38600,138,38.02122,-78.4555,51900,-31461990,51900
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/4/17,25/01/2021,Better Buy,ON,MEDIUM,116,49100,21800,157,38.02122,-78.4555,38400,-28783590,38400
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/5/17,26/12/2020,Better Buy,ON,MEDIUM,118,57600,25600,116,38.02122,-78.4555,44400,-26191590,44400
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/6/17,25/11/2020,Better Buy,ON,MEDIUM,112,54700,24300,123,38.02122,-78.4555,42900,-23513190,42900
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/7/17,26/10/2020,Better Buy,ON,MEDIUM,77,47300,21000,113,38.02122,-78.4555,37500,-20921190,37500
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/8/17,25/09/2020,Better Buy,ON,MEDIUM,105,46300,20600,161,38.02122,-78.4555,37500,-18242790,37500
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/9/17,25/08/2020,Better Buy,ON,MEDIUM,144,59600,26400,133,38.02122,-78.4555,46800,-15564390,46800
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/10/17,26/07/2020,Better Buy,ON,MEDIUM,75,52300,23500,87,38.02122,-78.4555,40500,-12972390,40500
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/11/17,25/06/2020,Better Buy,ON,MEDIUM,159,62900,31100,128,38.02122,-78.4555,49100,-10293990,49100
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/12/17,26/05/2020,Better Buy,ON,MEDIUM,167,51500,25500,200,38.02122,-78.4555,41100,-7701990,41100
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/1/18,25/04/2020,Better Buy,ON,MEDIUM,135,53300,26300,151,38.02122,-78.4555,41500,-5023590,41500
-10 to -20% Negative Growth,POPULAR + NO P4,Sal Lobaugh,Charlottesville,VA,A0106,Better Buy - Charlottesville,East,United States,1/2/18,25/03/2020,Better Buy,ON,MEDIUM,429,86600,38900,221,38.02122,-78.4555,64300,-2345190,64300
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/2/17,25/03/2021,Better Buy,ON,MEDIUM,64,84400,29600,67,27.17094,-80.2324,44600,-33881190,44600
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/3/17,25/02/2021,Better Buy,ON,MEDIUM,192,107300,39600,124,27.17094,-80.2324,62700,-31461990,62700
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/4/17,25/01/2021,Better Buy,ON,MEDIUM,69,91800,15600,61,27.17094,-80.2324,47700,-28783590,47700
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/5/17,26/12/2020,Better Buy,ON,MEDIUM,157,104400,17800,107,27.17094,-80.2324,51100,-26191590,51100
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/6/17,25/11/2020,Better Buy,ON,MEDIUM,77,78300,13300,93,27.17094,-80.2324,43000,-23513190,43000
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/7/17,26/10/2020,Better Buy,ON,MEDIUM,40,58700,10000,86,27.17094,-80.2324,33800,-20921190,33800
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/8/17,25/09/2020,Better Buy,ON,MEDIUM,55,48000,10400,110,27.17094,-80.2324,29900,-18242790,29900
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/9/17,25/08/2020,Better Buy,ON,MEDIUM,90,78100,16900,68,27.17094,-80.2324,53700,-15564390,53700
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/10/17,26/07/2020,Better Buy,ON,MEDIUM,3,73000,15800,3,27.17094,-80.2324,44400,-12972390,44400
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/11/17,25/06/2020,Better Buy,ON,MEDIUM,7,51300,18400,13,27.17094,-80.2324,36000,-10293990,36000
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/12/17,26/05/2020,Better Buy,ON,MEDIUM,11,-80600,-32500,8,27.17094,-80.2324,-58600,-7701990,-58600
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/1/18,25/04/2020,Better Buy,ON,MEDIUM,649,-698500,-283800,6,27.17094,-80.2324,-470900,-5023590,-470900
Negative Growth over 20%,"NO P4, POPULAR",Sal Lobaugh,Stuart,FL,A0107,Better Buy - Stuart,East,United States,1/2/18,25/03/2020,Better Buy,ON,MEDIUM,388,-764000,-310400,3,27.17094,-80.2324,-525300,-2345190,-525300
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/2/17,25/03/2021,Huge Store,ON,GIANT,225,53600,35600,177,38.97253,-95.2374,42400,-33881190,42400
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/3/17,25/02/2021,Huge Store,ON,GIANT,317,69300,40600,196,38.97253,-95.2374,52000,-31461990,52000
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/4/17,25/01/2021,Huge Store,ON,GIANT,238,60000,38000,196,38.97253,-95.2374,46500,-28783590,46500
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/5/17,26/12/2020,Huge Store,ON,GIANT,193,59600,26700,161,38.97253,-95.2374,43600,-26191590,43600
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/6/17,25/11/2020,Huge Store,ON,GIANT,220,77400,25800,196,38.97253,-95.2374,47900,-23513190,47900
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/7/17,26/10/2020,Huge Store,ON,GIANT,225,79100,26400,192,38.97253,-95.2374,47400,-20921190,47400
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/8/17,25/09/2020,Huge Store,ON,GIANT,181,71800,24000,188,38.97253,-95.2374,41900,-18242790,41900
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/9/17,25/08/2020,Huge Store,ON,GIANT,223,77600,25900,198,38.97253,-95.2374,47100,-15564390,47100
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/10/17,26/07/2020,Huge Store,ON,GIANT,258,82800,27700,201,38.97253,-95.2374,48600,-12972390,48600
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/11/17,25/06/2020,Huge Store,ON,GIANT,106,65300,21800,133,38.97253,-95.2374,38400,-10293990,38400
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/12/17,26/05/2020,Huge Store,ON,GIANT,179,71000,29900,190,38.97253,-95.2374,44500,-7701990,44500
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/1/18,25/04/2020,Huge Store,ON,GIANT,120,39400,25000,182,38.97253,-95.2374,34400,-5023590,34400
0 to -10% Negative Growth,GIANT QTY NO P4/P2,Fred Dials,Lawrence,KS,A0108,Huge Store - Lawrence,Central,United States,1/2/18,25/03/2020,Huge Store,ON,GIANT,568,66400,55500,303,38.97253,-95.2374,60500,-2345190,60500
0-10% Positive Growth,PRIME ONLY NO P4,Chantelle Rep,San Francisco,CA,A0109,Fare Merchants - Market St,West,United States,1/2/17,25/03/2021,Fare Merchants,BEHIND,LARGE CHAIN,116,141600,53700,78,37.76832,-122.4271,85300,-33881190,141600
0-10% Positive Growth,PRIME ONLY NO P4,Chantelle Rep,San Francisco,CA,A0109,Fare Merchants - Market St,West,United States,1/3/17,25/02/2021,Fare Merchants,BEHIND,LARGE CHAIN,260,156300,59300,143,37.76832,-122.4271,93200,-31461990,156300
