"Product_Family","Product_Name","Account_Name","Discount_Percent","Total_Price"
"Car Accessories","Replacement Parts","Spectrum Telecorp",0.01,17000
"Car Accessories","Batteries","Spectrum Telecorp",0.18,8139
"Car Accessories","Replacement Parts","E. & J. Gallo Winery",0.03,13000
"Performance & Non-auto","Motorcycle Parts","E. & J. Gallo Winery",0.04,20000
"Car Accessories","Car Care","Crown Logic Corp",0.02,9036
"Car Accessories","Interior Accessories","Sales Consultants",0.08,31002
"Performance & Non-auto","RV Shelters","Sales Consultants",0,125000
"Performance & Non-auto","Motorcycle Parts","Sales Consultants",0,30000
"Performance & Non-auto","RV Shelters","Carter Ryley Thomas",0,90000
"Car Accessories","Towing Equioment","Trapeze Software Group",0,80000
"Performance & Non-auto","RV Shelters","MercuryMD",0.01,200000
"Car Accessories","Towing Equioment","Andes Networks",0.01,60000
"Car Accessories","Batteries","MBIA",0.04,50000
"Performance & Non-auto","Performance","Boston Institutional Svc Inc",0.22,12000
"Car Accessories","Replacement Parts","Free Rein",0.21,6000
"Car Accessories","Batteries","Free Rein",0.01,118827
"Performance & Non-auto","Motorcycle Parts","Mission College",1,0
"Car Accessories","Car Care","Cfl Holdings",0.02,3000
"Car Accessories","Batteries","Sullivan Consulting",0.06,30000
"Performance & Non-auto","RV Shelters","The Rogers Co.",0.03,2000
"Car Accessories","Batteries","The Harvard Computing Group",0.06,30000
"Car Accessories","Exterior Accessories","Technology Brokerage Group/ Broadband.com",0.02,51000
"Performance & Non-auto","Performance","Convergys Corp",0.13,10000
"Performance & Non-auto","Motorcycle Parts","Trans  I Technologies Inc",0,15000
"Car Accessories","Replacement Parts","Foodbuy.com",0.06,21600
"Car Accessories","Car Care","Foodbuy.com",0.04,10000
"Performance & Non-auto","Motorcycle Parts","Foodbuy.com",0.01,70000
"Car Accessories","Replacement Parts","Foodbuy.com",0.02,15000
"Car Accessories","Exterior Accessories","Stratalign",0.02,26600
"Car Accessories","Exterior Accessories","Statistical Services Corporation of Austin",0.04,15200
"Car Accessories","Batteries","Statistical Services Corporation of Austin",0.04,50000
"Performance & Non-auto","RV Shelters","BlueStep",0.01,100000
"Car Accessories","Car Care","BlueStep",0.1,5000
"Performance & Non-auto","Motorcycle Parts","ThreeCore",0.01,100000
"Car Accessories","Batteries","Worldwide Magnifi",0.04,50000
"Car Accessories","Replacement Parts","Worldwide Magnifi",0.06,25000
"Performance & Non-auto","RV Shelters","Align Technology",0.01,100000
"Car Accessories","Batteries","KMGI",0.05,34000
"Car Accessories","Car Care","PQC International",0.05,9342
"Car Accessories","Batteries","ViaSense Inc",0.02,100000
"Performance & Non-auto","RV Shelters","Journal Communications",0.09,15000
"Car Accessories","Exterior Accessories","Kohler Co.",0.01,60000
"Car Accessories","Car Care","Evans Communications",0.01,20000
"Performance & Non-auto","Performance","Ameron International Corporation",0.02,30000
"Car Accessories","Exterior Accessories","Ameron International Corporation",1,0
"Car Accessories","Car Care","nThrive",0.06,6329
"Performance & Non-auto","RV Shelters","nThrive",0.51,1000
"Car Accessories","Interior Accessories","Intelligent Decisions",0.03,65000
"Performance & Non-auto","Motorcycle Parts","Intelligent Decisions",0.01,55000
"Performance & Non-auto","Performance","Sterling Commerce",0.07,50000
"Performance & Non-auto","Motorcycle Parts","Grubb & Ellis/Northland Real Estate",0.02,50000
"Car Accessories","Car Care","The Jackson Laboratory",0.05,7598
"Car Accessories","Exterior Accessories","DynTek   Inc",0.06,12400
"Performance & Non-auto","Performance","Engyro",0.14,23000
"Car Accessories","Exterior Accessories","Icars Inc Telecomp Sys Div",0.05,13360
"Car Accessories","Exterior Accessories","Nashua Hollis Cvs Inc",0.04,11000
"Car Accessories","Towing Equioment","Nashua Hollis Cvs Inc",0,670000
"Car Accessories","Car Care","UtopiaNetwork.com",0,110000
"Car Accessories","Exterior Accessories","Meta Blue",0,28000
"Car Accessories","Exterior Accessories","National Print Group",0.01,80000
"Car Accessories","Car Care","InterAmerica Technologies",0.02,3000
"Car Accessories","Exterior Accessories","CCNG Intl",0.05,15000
"Performance & Non-auto","Motorcycle Parts","Com  Link Inc",0.03,28000
"Car Accessories","Batteries","Ninaza",0.51,974
"Performance & Non-auto","Motorcycle Parts","Cybelius Software",0.02,50000
"Car Accessories","Exterior Accessories","Synergenic",0,50000
"Car Accessories","Batteries","CareerShop",0.04,50000
"Performance & Non-auto","Motorcycle Parts","CareerShop",0.02,50000
"Car Accessories","Car Care","CareerShop",0.67,200
"Car Accessories","Interior Accessories","Sun Industries",0.01,150000
"Car Accessories","Replacement Parts","Global Crossing North America Inc",0.11,8496
"Car Accessories","Car Care","Ag Partners",0.01,20000
"Car Accessories","Car Care","Monster",0.06,5198
"Car Accessories","Car Care","DecisionOne Corporation",0.1,5000
"Car Accessories","Exterior Accessories","DecisionOne Corporation",0,100000
"Performance & Non-auto","Motorcycle Parts","Solista",0.03,34852
"Performance & Non-auto","RV Shelters","American Republic Insurance Co.",0.01,55000
"Car Accessories","Replacement Parts","American Republic Insurance Co.",0.01,20839
"Performance & Non-auto","RV Shelters","Fisher-Price, Inc",0.03,50000
"Car Accessories","Exterior Accessories","Speechforms",0,100000
"Performance & Non-auto","Motorcycle Parts","CashFlowSystems",0,45000
"Car Accessories","Replacement Parts","Floracraft Corporation",0,160000
"Car Accessories","Car Care","Ennis",0.07,8000
"Car Accessories","Exterior Accessories","Carolina Handling",0.02,51000
"Car Accessories","Exterior Accessories","Korn Ferry International",0.02,12000
"Car Accessories","Car Care","American Syscomptel Inc",0.03,13091
"Performance & Non-auto","Motorcycle Parts","Global Internet Sales",0.02,25000
"Performance & Non-auto","RV Shelters","Help4Life",0.01,100000
"Performance & Non-auto","RV Shelters","IDC  MCS   Inc",0,400000
"Performance & Non-auto","Motorcycle Parts","Municipal Services Group, Inc",0,15000
"Car Accessories","Interior Accessories","Clearlogic",0.01,100000
"Performance & Non-auto","RV Shelters","HP - Knightsbridge Solutions",0.01,150000
"Car Accessories","Car Care","Diversified Computer Cnsltnts",0.02,29617
"Performance & Non-auto","Motorcycle Parts","Capitolimpact",0,30000
"Car Accessories","Car Care","Capitolimpact",0,465000
"Car Accessories","Replacement Parts","T & M Supply Co",0.03,50000
"Car Accessories","Batteries","Siemens Energy & Automation",0.04,40000
"Performance & Non-auto","Motorcycle Parts","Siemens Energy & Automation",0,15000
"Car Accessories","Interior Accessories","W.W. Grainger",0.15,42800
"Car Accessories","Exterior Accessories","Today Media",0,100000
"Performance & Non-auto","Motorcycle Parts","Media Infosystems Inc",0,30000
"Car Accessories","Exterior Accessories","GISDATA",0.08,3248
"Performance & Non-auto","Motorcycle Parts","SRS2",0.01,59700
"Car Accessories","Batteries","iRW Services",0.01,110000
"Performance & Non-auto","RV Shelters","Magnifi",0.01,200000
"Car Accessories","Exterior Accessories","Infoamericas Inc Corp",0.02,30000
"Car Accessories","Exterior Accessories","OAKLEAF Waste Management",0.24,2000
"Performance & Non-auto","Motorcycle Parts","Ventana Consulting",0.01,100000
"Car Accessories","Car Care","Ventana Consulting",0.03,13091
"Performance & Non-auto","Motorcycle Parts","Falvey Cargo Underwriting",0,15000
"Car Accessories","Batteries","Mirantis",0.02,100000
"Performance & Non-auto","Motorcycle Parts","eCoachpro.com",0.02,51000
"Performance & Non-auto","RV Shelters","Randstad North America, L.P.",0.01,100000
"Car Accessories","Car Care","Einstone Inc",0.01,20000
"Performance & Non-auto","RV Shelters","HEROIX",0.01,200000
"Performance & Non-auto","Motorcycle Parts","MemTech SSD Corp.",0.02,50000
"Car Accessories","Exterior Accessories","TF Logic",0.01,20000
"Car Accessories","Interior Accessories","Televisa Internacional",0.01,200000
"Performance & Non-auto","Motorcycle Parts","UBS Jersey City",0.01,130000
"Car Accessories","Exterior Accessories","Cloud Peak Energy",0.05,10000
"Performance & Non-auto","Motorcycle Parts","Certes Solutions",0.12,8204
"Performance & Non-auto","Motorcycle Parts","SteelTorch Software",0.02,25000
"Performance & Non-auto","RV Shelters","Telco Systems",1,1
"Performance & Non-auto","Motorcycle Parts","Intermaticorporated",0.01,40000
"Car Accessories","Exterior Accessories","DeBeers",0,100000
"Car Accessories","Exterior Accessories","DeBeers",0.04,11000
"Car Accessories","Replacement Parts","Integrated Computer Systems",0.02,15000
"Car Accessories","Batteries","Integrated Computer Systems",0.02,100000
"Performance & Non-auto","Performance","Technical Analysis Inc",0.03,100000
"Performance & Non-auto","Motorcycle Parts","Affinitas Corporation",0,75000
"Performance & Non-auto","Motorcycle Parts","Affinitas Corporation",0.01,100000
"Performance & Non-auto","Performance","Affinitas Corporation",0.01,250000
"Car Accessories","Exterior Accessories","Affinitas Corporation",0.05,15000
"Tires & Wheels","Tires and Wheels","Swinerton Incorporated",0.06,20000
"Performance & Non-auto","Motorcycle Parts","Murphy & Co",0.09,7394
"Car Accessories","Exterior Accessories","Tenagra Corp.",0,50000
"Performance & Non-auto","RV Shelters","Rainmaker Systems",0.03,50000
"Performance & Non-auto","RV Shelters","Rainmaker Systems",0.03,50000
"Car Accessories","Replacement Parts","Rainmaker Systems",0.01,64000
"Car Accessories","Towing Equioment","Wayside Inn",0.04,15000
"Performance & Non-auto","RV Shelters","Viewlocity- 1 sales user",0.03,42000
"Car Accessories","Towing Equioment","Federal Realty Investment Trust",0.01,30000
"Performance & Non-auto","Motorcycle Parts","Federal Realty Investment Trust",0.02,9120
"Car Accessories","Batteries","ViaSat",0.02,100000
"Car Accessories","Exterior Accessories","ViaSat",0.01,20000
"Performance & Non-auto","Motorcycle Parts","MAPICS",0.2,1860
"Car Accessories","Towing Equioment","MAPICS",0.01,100000
"Car Accessories","Car Care","Surgical Information Systems",0.1,5000
"Car Accessories","Batteries","Bright & Assoc Inc",0.16,10000
"Performance & Non-auto","RV Shelters","Bright & Assoc Inc",0.02,103000
"Car Accessories","Exterior Accessories","Bright & Assoc Inc",1,0
"Car Accessories","Car Care","Why Web Internet Services",0.04,10000
"Performance & Non-auto","Motorcycle Parts","Intellibot",0.04,20000
"Car Accessories","Towing Equioment","Sun Gard Data Management Solutions",0.01,150000
"Car Accessories","Replacement Parts","Sun Gard Data Management Solutions",0.02,15000
"Car Accessories","Towing Equioment","Virtual It Inc",0.02,50000
"Car Accessories","Batteries","Cyber Merchants Exchange",0.06,30000
"Car Accessories","Exterior Accessories","Codman Group",0.24,2000
"Car Accessories","Replacement Parts","Projects In Knowledge",0.13,10000
"Car Accessories","Car Care","Wifinder",0.01,78000
"Performance & Non-auto","Motorcycle Parts","Price Computer Resources",0,30000
"Performance & Non-auto","RV Shelters","Highwoods Properties",0,350000
"Performance & Non-auto","RV Shelters","Enterprise Consulting Group",0.01,200000
"Car Accessories","Replacement Parts","Portera Systems",1,0
"Car Accessories","Replacement Parts","Mailco Inc",0.69,600
"Car Accessories","Car Care","Intelliworks",0.01,48800
"Performance & Non-auto","Motorcycle Parts","Internet Coml Yellow Pages",0,15000
"Car Accessories","Interior Accessories","Tridant Data Systems",0.01,100000
"Car Accessories","Car Care","St Paul Pioneer Press",0.01,40000
"Performance & Non-auto","Motorcycle Parts","Clearview Project",0.02,21590
"Car Accessories","Interior Accessories","Yardmaster Landscape Architect",0.01,50000
"Performance & Non-auto","Motorcycle Parts","PrimeGrafx",0.02,50000
"Car Accessories","Exterior Accessories","IMPAX Corp",1,0
"Car Accessories","Exterior Accessories","IMPAX Corp",0.43,1000
"Car Accessories","Towing Equioment","Vistronix",0,300000
"Performance & Non-auto","RV Shelters","Vistronix",0,80000
"Car Accessories","Batteries","Quintron Systems",0.09,20000
"Car Accessories","Replacement Parts","Quintron Systems",0.02,15000
"Car Accessories","Car Care","Automon Corporation",0,620000
"Car Accessories","Exterior Accessories","Dorfman-Pacific Co.",0.01,80000
"Car Accessories","Car Care","Stemilt Growers, Inc",0.02,35000
"Car Accessories","Batteries","Imprimis Group",0.02,100000
"Performance & Non-auto","RV Shelters","Precision Traffic Systems",0,435000
"Performance & Non-auto","RV Shelters","CAR",0.03,10000
"Car Accessories","Exterior Accessories","Sage Technologies",0,300000
"Car Accessories","Car Care","Olin Corp. / Brass Division",0.01,17000
"Performance & Non-auto","Motorcycle Parts","Lee Supply Company.",0,150000
"Performance & Non-auto","Motorcycle Parts","LiDCO Ltd.",0,150000
"Performance & Non-auto","Motorcycle Parts","Equity Now Mortgage Corporation",0.14,3000
"Performance & Non-auto","Motorcycle Parts","Farmscom Ltd",0.04,20000
"Car Accessories","Exterior Accessories","MetrixPoint",0.01,45000
"Car Accessories","Batteries","MetrixPoint",0.04,50000
"Car Accessories","Car Care","MetrixPoint",0,30000
"Performance & Non-auto","Motorcycle Parts","MetrixPoint",0.03,35000
"Car Accessories","Batteries","MetrixPoint",0.03,27000
"Performance & Non-auto","Motorcycle Parts","MetrixPoint",0,30000
"Car Accessories","Batteries","The Harmon Club",0.03,29000
"Car Accessories","Batteries","TreasuryConnect",0.02,100000
"Car Accessories","Batteries","Centaur Building Services",0.16,10000
"Car Accessories","Interior Accessories","MiracleMedia",0.01,100000
"Car Accessories","Replacement Parts","Round Table Group",0,160000
"Car Accessories","Replacement Parts","Round Table Group",0.05,20000
"Car Accessories","Batteries","Pallet Reefer International",0.09,20000
"Car Accessories","Exterior Accessories","Pallet Reefer International",0.15,1500
"Car Accessories","Exterior Accessories","IBM Software Group",0.01,40000
"Performance & Non-auto","Performance","IBM Software Group",0.07,25000
"Car Accessories","Exterior Accessories","Empoint",0.04,11000
"Car Accessories","Exterior Accessories","Ideal Credit Union",0,105000
"Tires & Wheels","Tires and Wheels","wagerworks",0,210000
"Car Accessories","Towing Equioment","SegueSolutions Inc",0.07,10000
"Performance & Non-auto","Motorcycle Parts","Microvisions",0.02,50000
"Car Accessories","Exterior Accessories","Brigh Tech Consulting Inc",0.05,15000
"Car Accessories","Replacement Parts","Carlson Restaurants Worldwide",0,184077
"Car Accessories","Towing Equioment","Carlson Restaurants Worldwide",0.01,110000
"Car Accessories","Exterior Accessories","Amphenol Pcd",0,200000
"Performance & Non-auto","Motorcycle Parts","Invensys SimSci  Esscor",0.16,5868
"Car Accessories","Interior Accessories","Longitude",0.05,40000
"Performance & Non-auto","RV Shelters","Longitude",0.03,30000
"Performance & Non-auto","RV Shelters","Visions Technology",0,80000
"Performance & Non-auto","Performance","Visions Technology",0.05,40000
"Car Accessories","Car Care","Pentek",0.02,13792
"Performance & Non-auto","RV Shelters","Acapel",0.09,15000
"Performance & Non-auto","Motorcycle Parts","Porini Usa",0.03,28000
"Car Accessories","Exterior Accessories","epipeline",0,700000
"Performance & Non-auto","Motorcycle Parts","Technical Marketing Inc",0.04,10000
"Performance & Non-auto","Motorcycle Parts","InfoGain Corporation",0,500000
"Car Accessories","Interior Accessories","Valhi",0.76,2000
"Performance & Non-auto","Motorcycle Parts","Harlequin",0,900000
"Performance & Non-auto","Motorcycle Parts","Goodby, Silverstein & Partners",0,15000
"Car Accessories","Interior Accessories","CompassLearning",0,1000000
"Car Accessories","Batteries","CompassLearning",0.25,6000
"Performance & Non-auto","Motorcycle Parts","CompassLearning",0.02,50000
"Car Accessories","Exterior Accessories","Atlantic Business Technologies",1,0
"Car Accessories","Exterior Accessories","Invision.com",0.01,20000
"Car Accessories","Replacement Parts","Invision.com",0.1,13656
"Car Accessories","Car Care","Invision.com",0,135000
"Performance & Non-auto","Motorcycle Parts","Invision.com",0,30000
"Performance & Non-auto","RV Shelters","Blockbuster",0.38,2557
"Performance & Non-auto","Motorcycle Parts","Colorfx Inc",0,15000
"Performance & Non-auto","RV Shelters","CB Richard Ellis-N.E. Partners, LP",0.03,30000
"Car Accessories","Batteries","CB Richard Ellis-N.E. Partners, LP",0.01,200000
"Performance & Non-auto","Motorcycle Parts","CB Richard Ellis-N.E. Partners, LP",0.01,24000
"Car Accessories","Exterior Accessories","Agero",0,128500
"Performance & Non-auto","RV Shelters","The RxFiles.Net Corporation",0.03,60000
"Performance & Non-auto","Motorcycle Parts","The RxFiles.Net Corporation",0.02,50000
"Performance & Non-auto","Motorcycle Parts","Kiva Networking",0.02,50000
"Performance & Non-auto","Motorcycle Parts","Mastercard Technologies",0.01,100000
"Car Accessories","Exterior Accessories","Careerium Search Group",1,0
"Performance & Non-auto","Motorcycle Parts","Pop Art",0,200000
"Car Accessories","Replacement Parts","Graphic Converting",0.02,105000
"Car Accessories","Interior Accessories","Graphic Converting",0.07,102000
"Car Accessories","Exterior Accessories","Eclipse",0.05,15000
"Car Accessories","Batteries","Weber-Stephen Products Co.",0.06,30000
"Car Accessories","Exterior Accessories","World Wide Communications",0.01,40000
"Car Accessories","Exterior Accessories","World Wide Communications",0.05,10000
"Performance & Non-auto","Motorcycle Parts","Murphy Tractor & Equipment Co",0.02,25000
"Car Accessories","Replacement Parts","Telcom NetLink",0.08,7000
"Performance & Non-auto","Motorcycle Parts","Bzcom",0.04,20000
"Performance & Non-auto","Motorcycle Parts","Bzcom",0,15000
"Car Accessories","Replacement Parts","CMS - Florida",0.13,5000
"Car Accessories","Car Care","Euclid Inc",0.02,35000
"Performance & Non-auto","RV Shelters","Alcone Marketing Group",0.01,150000
"Car Accessories","Exterior Accessories","Alcone Marketing Group",0.05,10000
"Performance & Non-auto","RV Shelters","Alcone Marketing Group",0.03,20000
"Car Accessories","Replacement Parts","5207",0.02,30000
"Car Accessories","Batteries","Maytag Corp",0.02,47000
"Car Accessories","Car Care","Advanced Remote Comm. Solutions",0.19,2000
"Car Accessories","Car Care","Cognex Corporation",0.04,13000
"Car Accessories","Batteries","TargetX.com",0.02,100000
"Car Accessories","Replacement Parts","West Corporation",0.02,105000
"Performance & Non-auto","RV Shelters","West Corporation",0.01,200000
"Performance & Non-auto","Motorcycle Parts","Electrospec Inc",0,110000
"Car Accessories","Exterior Accessories","Internet Business Results",0.01,20000
"Car Accessories","Exterior Accessories","jornagco",0.02,30000
"Performance & Non-auto","Motorcycle Parts","Novologic",0.04,20000
"Car Accessories","Exterior Accessories","Cisco - Topspin Communications",0.05,10000
"Car Accessories","Exterior Accessories","Cisco - Topspin Communications",0,50000
"Performance & Non-auto","Motorcycle Parts","Concrete.com",0.02,65000
"Car Accessories","Car Care","Concrete.com",0.01,20000
"Car Accessories","Car Care","Concrete.com",0.01,21840
"Performance & Non-auto","Motorcycle Parts","plantation ford",0,200000
"Car Accessories","Batteries","Smarthealth",0.5,1000
"Performance & Non-auto","Motorcycle Parts","Reach Global Services",0,504000
"Car Accessories","Car Care","Xora",0.02,6000
"Car Accessories","Car Care","Talent Logic",0.07,572
"Performance & Non-auto","RV Shelters","Anywhereyougocom Inc",0.01,200000
"Car Accessories","Exterior Accessories","SSA Global Technologies / Grand Rapids",0.01,20000
"Performance & Non-auto","RV Shelters","SSA Global Technologies / Grand Rapids",0.01,100000
"Performance & Non-auto","Motorcycle Parts","Tavoca",0.04,10000
"Performance & Non-auto","Motorcycle Parts","Children With AIDS Project",0.08,7500
"Performance & Non-auto","Motorcycle Parts","Children With AIDS Project",0.03,9000
"Car Accessories","Exterior Accessories","Children With AIDS Project",0.05,15000
"Performance & Non-auto","Motorcycle Parts","AM Pappas & Associates",0.03,35000
"Car Accessories","Batteries","AM Pappas & Associates",0,329964
"Performance & Non-auto","Motorcycle Parts","Nor  Cal Products",0.06,12000
"Car Accessories","Replacement Parts","Active Navigation",0.02,60000
"Car Accessories","Replacement Parts","Capital District Home Guide",0.05,20000
"Car Accessories","Car Care","TARGET",0,31200
"Performance & Non-auto","Motorcycle Parts","Powerit Solutions",0,30000
"Car Accessories","Car Care","Powerit Solutions",0.1,5000
"Performance & Non-auto","Motorcycle Parts","Gold Access Inc",0.04,10000
"Performance & Non-auto","Motorcycle Parts","Engineered Technical Solutions",0.01,100001
"Car Accessories","Interior Accessories","Regence Blue Shield Of Idaho",0.05,40000
"Performance & Non-auto","RV Shelters","AirWave Wireless",0.01,100000
"Car Accessories","Exterior Accessories","Impact Engine",0.02,25000
"Performance & Non-auto","Motorcycle Parts","Impact Engine",0.01,101000
"Car Accessories","Batteries","Impact Engine",0.04,50000
"Performance & Non-auto","RV Shelters","Diagnostic Products Corporation",0.02,105000
"Performance & Non-auto","Motorcycle Parts","Reinsurance Group of America, Incorporated",0.04,20000
"Car Accessories","Exterior Accessories","Reinsurance Group of America, Incorporated",0,150000
"Performance & Non-auto","Motorcycle Parts","SalesHeads",0.04,20000
"Car Accessories","Replacement Parts","ChicagOne Developers",0,101000
"Car Accessories","Exterior Accessories","Compulan",0,140000
"Car Accessories","Batteries","Compulan",0.16,10000
"Car Accessories","Exterior Accessories","Client Growth Resources",0.05,10000
"Car Accessories","Car Care","The Hibbert Group",0.01,105000
"Performance & Non-auto","Motorcycle Parts","Digi International",0.02,50000
"Performance & Non-auto","RV Shelters","Digi International",0.01,120000
"Car Accessories","Car Care","XServ",0,55000
"Performance & Non-auto","Motorcycle Parts","XServ",0,184000
"Performance & Non-auto","Motorcycle Parts","Coradiant",0.04,10000
"Performance & Non-auto","RV Shelters","Coradiant",0.01,200000
"Performance & Non-auto","Motorcycle Parts","Systemax",0.04,20000
"Car Accessories","Exterior Accessories","Cleartran   Inc",0,35000
"Performance & Non-auto","RV Shelters","Symbionic Technologies",0.03,2000
"Car Accessories","Replacement Parts","Insurity",0.08,7000
"Car Accessories","Exterior Accessories","Delta Centrifugal Corporation",0.01,40000
"Car Accessories","Batteries","Pfeiffer Vacuum",0.09,20000
"Performance & Non-auto","Motorcycle Parts","Internotes Strategy",0.02,50000
"Car Accessories","Interior Accessories","Geisler & Assoc",0.05,40000
"Car Accessories","Batteries","Sanofi Pasteur.",0.06,30000
"Car Accessories","Batteries","Sanofi Pasteur.",0.04,40000
"Car Accessories","Batteries","Sanofi Pasteur.",0.16,10000
"Performance & Non-auto","RV Shelters","PBM Graphics",0.01,150000
"Car Accessories","Replacement Parts","PBM Graphics",0.13,5000
"Performance & Non-auto","Motorcycle Parts","Burke Williams & Sorensen Llp",0.04,20000
"Car Accessories","Exterior Accessories","Burke Williams & Sorensen Llp",0,50000
"Performance & Non-auto","RV Shelters","Russell Stover Candies",0,350000
"Car Accessories","Replacement Parts","Illumitek",0.13,5000
"Car Accessories","Exterior Accessories","FuelQuest",0.01,110000
"Performance & Non-auto","Performance","FuelQuest",0.01,102000
"Car Accessories","Car Care","Mack Cleveland Sales Inc",0.02,15000
"Performance & Non-auto","Motorcycle Parts","Horizon Milling",0,230000
"Car Accessories","Batteries","Horizon Milling",0.2,8000
"Performance & Non-auto","Motorcycle Parts","Union Pacific Distribution Services",0.01,100000
"Car Accessories","Batteries","RxBazaar",1,0
"Performance & Non-auto","RV Shelters","Kriz-Davis Co",0.03,59900
"Car Accessories","Replacement Parts","Applied Magic",0.05,20000
"Performance & Non-auto","RV Shelters","NBT Industrial",0,650000
"Performance & Non-auto","RV Shelters","NBT Industrial",0.51,1000
"Performance & Non-auto","Motorcycle Parts","Action Floor System Inc",0.02,50000
"Car Accessories","Exterior Accessories","NextCorp, Ltd",0,173000
"Performance & Non-auto","RV Shelters","Vovici Corporation",0.01,200000
"Car Accessories","Interior Accessories","Vovici Corporation",0.01,50000
"Car Accessories","Batteries","Executive Office Furniture,Inc",0.06,30000
"Car Accessories","Batteries","Executive Office Furniture,Inc",0.04,50000
"Performance & Non-auto","RV Shelters","Information Technology SLTNS",0.01,123600
"Car Accessories","Car Care","Showexperience Incorporated",0.06,6320
"Car Accessories","Car Care","Showexperience Incorporated",0.04,4733
"Car Accessories","Car Care","HOW2.COM",0.1,5000
"Car Accessories","Car Care","HOW2.COM",1,0
"Car Accessories","Exterior Accessories","HOW2.COM",0,7000
"Car Accessories","Batteries","Distribution Systems International",0.01,150000
"Performance & Non-auto","Motorcycle Parts","Cox Communications Herndon",0.04,20000
"Performance & Non-auto","RV Shelters","CarrierPoint",0.03,50000
"Car Accessories","Exterior Accessories","Viable Alternatives",0.02,25000
"Car Accessories","Interior Accessories","Aravali Technologies",0.04,105000
"Car Accessories","Car Care","Tri-Smith",0,99209
"Car Accessories","Batteries","Congoleum Corporation",0.02,80000
"Performance & Non-auto","RV Shelters","TerraData",0.02,105000
"Car Accessories","Replacement Parts","Iscribe",0.01,100000
"Car Accessories","Car Care","Iscribe",0,117312
"Performance & Non-auto","RV Shelters","Twenty  First Century Marketing",0.02,105000
"Performance & Non-auto","Motorcycle Parts","Techline",0.04,20000
"Performance & Non-auto","RV Shelters","Dialpad Communications",0.03,50000
"Car Accessories","Batteries","Massillon Cable TV",0.01,120000
"Performance & Non-auto","Motorcycle Parts","Massillon Cable TV",0,30000
"Car Accessories","Interior Accessories","Massillon Cable TV",0.04,105000
"Car Accessories","Batteries","Massillon Cable TV",0.02,100000
"Car Accessories","Car Care","Massillon Cable TV",0,52000
"Car Accessories","Car Care","NetIDEAS",0.04,10000
"Car Accessories","Exterior Accessories","NetIDEAS",0.02,20700
"Car Accessories","Interior Accessories","Prologic Management Systems",0.01,250000
"Performance & Non-auto","RV Shelters","Pop n Go",0.03,50000
"Car Accessories","Car Care","CPU",1,0
"Performance & Non-auto","Performance","FastPlanet Technologies",0,319825
"Performance & Non-auto","RV Shelters","Toluna Usa",0.01,150000
"Performance & Non-auto","Performance","Sega Networks",0.02,30000
"Car Accessories","Car Care","TheoFinance",0.04,10000
"Car Accessories","Batteries","TheoFinance",0.04,40000
"Car Accessories","Towing Equioment","TheoFinance",1,0
"Car Accessories","Exterior Accessories","Communications International",0,200000
"Performance & Non-auto","RV Shelters","Haverstick(dup)",0.01,300000
"Car Accessories","Batteries","Haverstick(dup)",0.09,20000
"Car Accessories","Exterior Accessories","Consolidated Laboratory Services",0.05,15000
"Car Accessories","Interior Accessories","Consolidated Laboratory Services",0.03,90000
"Car Accessories","Car Care","Computercare",0,90000
"Performance & Non-auto","Motorcycle Parts","United Refrigeration",0.01,55000
"Car Accessories","Interior Accessories","Glovia International",0.01,100000
"Car Accessories","Exterior Accessories","Glovia International",0.01,40000
"Performance & Non-auto","Motorcycle Parts","Glovia International",0.01,40000
"Performance & Non-auto","Motorcycle Parts","Glovia International",0.04,10000
"Car Accessories","Car Care","Glovia International",0.01,105000
"Car Accessories","Towing Equioment","Amerimax Building Products",0,40000
"Car Accessories","Exterior Accessories","The Martin Group",0.01,80000
"Car Accessories","Exterior Accessories","Boulder Weekly",0.05,10000
"Performance & Non-auto","Motorcycle Parts","Vanguard Computers Inc",0,83200
"Car Accessories","Replacement Parts","eStudio",0.05,20000
"Performance & Non-auto","Motorcycle Parts","Pro-Tec Products",0,60000
"Car Accessories","Exterior Accessories","Certes Networks",0.05,10000
"Car Accessories","Batteries","Certes Networks",0.04,50000
"Car Accessories","Batteries","CellExchange",0.02,100000
"Car Accessories","Exterior Accessories","CellExchange",0.01,20000
"Car Accessories","Exterior Accessories","Ten-Pac International",0.24,2000
"Performance & Non-auto","Motorcycle Parts","Integration One",0,15000
"Car Accessories","Exterior Accessories","Straight Hire",0.24,2000
"Performance & Non-auto","Motorcycle Parts","M. S. Walker",0.04,20000
"Performance & Non-auto","RV Shelters","LCI Shipholdings Inc",0.01,91000
"Car Accessories","Exterior Accessories","LCI Shipholdings Inc",0.02,25000
"Performance & Non-auto","Motorcycle Parts","LCI Shipholdings Inc",0,22000
"Car Accessories","Batteries","Geo Fields",1,0
"Car Accessories","Interior Accessories","Douglas Machine",0.01,50000
"Car Accessories","Replacement Parts","Douglas Machine",0.02,30000
"Car Accessories","Exterior Accessories","Thruport Technologies",0.02,20711
"Performance & Non-auto","Motorcycle Parts","Thruport Technologies",0,75000
"Performance & Non-auto","Performance","Tudor Publishing Co.",0.01,300000
"Performance & Non-auto","RV Shelters","FileTek",0.01,100000
"Car Accessories","Batteries","Midwest Mechanical",0.16,5000
"Car Accessories","Towing Equioment","Midwest Mechanical",0.01,60000
"Car Accessories","Car Care","Watley & Associates",0.04,10000
