"ccrz__SEOTitle__c","LastModifiedDate","ccrz__InventoryType__c","ccrz__Storefront__c","ccrz__Is_Subscription_Auto_Renewal__c","ccrz__HazardousFlag__c","ccrz__CoolerpakFlag__c","ccrz__Employment_Level__c","ccrz__Is_Subscription_Available__c","ccrz__SKU__c","Name","ccrz__ServiceFlag__c","ccrz__SEODescription__c","ccrz__ProductId__c","ProductCategory.Category.Name","IsDeleted","ccrz__ProductStatus__c","ccrz__StartDate__c","ccrz__ProductType__c","LastViewedDate","ccrz__DryiceFlag__c","ccrz__SEOKeywords__c","ccrz__Subscription_Disclaimer__c","ccrz__AvailabilityMessage__c","ccrz__AvailabilityMessageRT__c","ccrz__ShortDesc__c","ccrz__LongDescRT__c","CreatedDate","Id","ccrz__LongDesc__c","ccrz__OvernightFlag__c","ccrz__HazardousOutside48Flag__c","ccrz__EndDate__c","LastReferencedDate","ccrz__ReviewFlag__c","ccrz__ShippedIndividually__c","ccrz__TaxRateId__c","ccrz__Is_Subscription_Only__c","ccrz__RequiredItemDialogText__c","ccrz__UnitOfMeasure__c","RecordTypeId","ccrz__ShortDescRT__c","ccrz__AlternateName__c","ccrz__ParentProduct__c","ccrz__PortalSiteURL__c","ccrz__GroundFlag__c","ccrz__Industry__c","ccrz__Taxable__c","ProductCategory.Category.Id","SystemModstamp","ccrz__FilterData__c","ccrz__Available_Subscription_Frequencies__c","LastActivityDate","ccrz__ShipSeparately__c","ccrz__NumberOfReviews__c","ccrz__DryiceWeight__c","ccrz__Sequence__c","ccrz__ProductWeight__c","ccrz__Subscription_Frequency__c","ccrz__TotalRating__c","ccrz__Quantityperunit__c","ccrz__ShippingWeight__c","ccrz__LeadTime__c","ccrz__AverageRating__c","ccrz__Subscription_Duration__c"
"GoScreen","2020-05-27T14:48:00.000Z","STANDARD","AlpinePartner","false","false","false",,"false","alpine-goscreen-spf50-12","GoScreen Sunscreen - SPF 50, 2 oz tube - 12 Pack","false",,,"GoScreen","false","Released","2019-03-27","Product",,"false",,,,,"<p>Alpine Blends athlete engineered Sunscreen with SPF50. 2 oz tube</p>","<p>Alpine Blend GoScreen is an athlete-inspired sport formula with sunblock and SPF-packed moisturizing ingredients for athletes who ll be spending at least a few hours exercising outdoors. A premium sports sunscreen that blocks harmful UV rays while also","2020-04-14T14:25:48.000Z","a8P3A0000008ZNyUAM","<p>Alpine Blend GoScreen is an athlete-inspired sport formula with sunblock and SPF-packed moisturizing ingredients for athletes who ll be spending at least a few hours exercising outdoors. A premium sports sunscreen that blocks harmful UV rays while also","false","false","2099-12-31",,"false","false",,"false",,"Each",,"<p>Alpine Blends athlete engineered Sunscreen with SPF50. 2 oz tube</p>",,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=alpine-goscreen-spf50-12"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JHOUA2","2020-05-27T14:48:00.000Z","Category=Accessories|Type=GoScreen|Classification=Skin Protection|Size=2 oz|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"GoScreen","2020-05-27T14:48:00.000Z","STANDARD","AlpinePartner","false","false","false",,"false","alpine-goscreen-spf35-24","GoScreen Sunscreen - SPF 35, 2 oz tube - 24 Pack","false",,,"GoScreen","false","Released","2019-03-27","Product",,"false",,,,,"<p>Alpine Blends athlete engineered Sunscreen with SPF35. 2 oz tube</p>","<p>Alpine Blend GoScreen is an athlete-inspired sport formula with sunblock and SPF-packed moisturizing ingredients for athletes who ll be spending at least a few hours exercising outdoors. A premium sports sunscreen that blocks harmful UV rays while also","2020-04-14T14:25:48.000Z","a8P3A0000008ZNzUAM","<p>Alpine Blend GoScreen is an athlete-inspired sport formula with sunblock and SPF-packed moisturizing ingredients for athletes who ll be spending at least a few hours exercising outdoors. A premium sports sunscreen that blocks harmful UV rays while also","false","false","2099-12-31",,"false","false",,"false",,"Each",,"<p>Alpine Blends athlete engineered Sunscreen with SPF35. 2 oz tube</p>",,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=alpine-goscreen-spf35-24"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JHOUA2","2020-05-27T14:48:00.000Z","Category=Accessories|Type=GoScreen|Classification=Skin Protection|Size=2 oz|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Alpine Nutrition Endcap - Runner 2","2020-05-27T14:48:00.000Z","STANDARD","AlpinePartner","false","false","false",,"false","EC-992166","Alpine Nutrition Endcap - Runner 2","false",,,"Endcaps","false","Released","2019-03-28","Product",,"false",,,,,,,"2020-04-14T14:25:48.000Z","a8P3A0000008ZO0UAM",,"false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=EC-992166"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JHQUA2","2020-05-27T14:48:00.000Z","Category=Endcaps|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"YetiBar Tart Cherry Chicken","2020-05-27T14:48:00.000Z","STANDARD","AlpinePartner","false","false","false",,"false","alpine-nutrition-yetibar-tart-cherry-chicken-24","YetiBar Tart Cherry/Chicken - Paleo, 2oz bar - 24 Pack (Case)","false",,,"YetiBar","false","Released","2019-03-27","Product",,"false",,,,,"<p>This Yeti is a bit wild, yet something to worship. Yetibar made from grass-fed chicken, but with a tart cherry flavor. Paleo philosophy - a healthier choice. Contains nuts, whole unprocessed foods.</p>","<p>Yetibar made from grass-fed chicken, but with a tart cherry flavor. Yeti products are based on the Paleo diet philosophy. Paleo is about balance and taking the best from our ancestors and mixing it with the best of today. Made with whole unprocessed fo","2020-04-14T14:25:48.000Z","a8P3A0000008ZO1UAM","<p>Yetibar made from grass-fed chicken, but with a tart cherry flavor. Yeti products are based on the Paleo diet philosophy. Paleo is about balance and taking the best from our ancestors and mixing it with the best of today. Made with whole unprocessed fo","false","false","2099-12-31",,"false","false",,"false",,"Each",,"<p>This Yeti is a bit wild, yet something to worship. Yetibar made from grass-fed chicken, but with a tart cherry flavor. Paleo philosophy - a healthier choice. Contains nuts, whole unprocessed foods.</p>",,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=alpine-nutrition-yetibar-tart-cherry-chicken-24"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JHPUA2","2020-05-27T14:48:00.000Z","Pack=24pk|Category=Energy Bars|Flavor=Tart Cherry|Type=YetiBar|Vegan=No|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"GoGoo Chai","2020-05-27T14:48:00.000Z","STANDARD","AlpinePartner","false","false","false",,"false","alpine-energy-gogoo-chai-caffeine-12","GoGoo Chai Caffeinated, 1oz - 12 Pack","false",,,"GoGoo","false","Released","2019-03-27","Product",,"false",,,,,"<p>Alpine Sport Energy GoGoo Caffeinated Gel Pack. Performance and Endurance when you need it. </p>","<p>Alpine GoGoo is designed to be consumed without water, minimizing the risk of being bloated that can sometimes occur with over-drinking. Each GoGoo contains 22 grams of rapidly absorbable cars to help restore glycogen levels to optimize endurance and e","2020-04-14T14:25:48.000Z","a8P3A0000008ZO2UAM","<p>Alpine GoGoo is designed to be consumed without water, minimizing the risk of being bloated that can sometimes occur with over-drinking. Each GoGoo contains 22 grams of rapidly absorbable cars to help restore glycogen levels to optimize endurance and e","false","false","2099-12-31",,"false","false",,"false",,"Each",,"<p>Alpine Sport Energy GoGoo Caffeinated Gel Pack. Performance and Endurance when you need it. </p>",,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=alpine-energy-gogoo-chai-caffeine-12"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JHGUA2","2020-05-27T14:48:00.000Z","Pack=12pk|Category=Energy Gels|Flavor=Chai|Type=GoGoo|Caffeine=Yes|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Nimble Zip Shirt","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1205100","Men's Nimble Zip Shirt","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"Cover ground quickly during fast-moving outdoor activities on moderately inclement spring days wearing a breathable quarter-zip shirt. Breathable, four-way stretch TNF Apex Aerobic technology provides exceptional moisture management during bursts of high ","2020-04-14T14:25:48.000Z","a8P3A0000008ZJ5UAM","Cover ground quickly during fast-moving outdoor activities on moderately inclement spring days wearing a breathable quarter-zip shirt. Breathable, four-way stretch TNF Apex Aerobic technology provides exceptional moisture management during bursts of high ","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1205100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Alpine Hybrid Full Zip","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1209100","Men's Alpine Hybrid Full Zip","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"Be prepared for the trail, and save space in your pack, when you carry this highly compressible, fleece mid-layer. Breathable FlashDry panels are strategically placed under the arms and down the sides of this woven jacquard fleece jacket for improved wick","2020-04-14T14:25:48.000Z","a8P3A0000008ZJ6UAM","Be prepared for the trail, and save space in your pack, when you carry this highly compressible, fleece mid-layer. Breathable FlashDry panels are strategically placed under the arms and down the sides of this woven jacquard fleece jacket for improved wick","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1209100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Kannon Midlayer","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1210100","Men's Kannon Midlayer","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"Stay covered and cool in the backcountry with this innovative new hybrid quarter-zip.  When worn as a layer, this wool-based pullover provides unmatched breathability with moisture-wicking fabrication that combines with FlashDry technology embedded into t","2020-04-14T14:25:48.000Z","a8P3A0000008ZJ7UAM","Stay covered and cool in the backcountry with this innovative new hybrid quarter-zip.  When worn as a layer, this wool-based pullover provides unmatched breathability with moisture-wicking fabrication that combines with FlashDry technology embedded into t","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1210100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Winter|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's TKA 100 Texture Cap Rock Full Zip","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1211100","Men's TKA 100 Texture Cap Rock Full Zip","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"Versatile new lightweight Polartec fleece full-zip designed to be both packable and zip-in compatible with complementing The North Face outerwear.  This product contains at least 90% bluesign approved fabric -- a standard for environmentally responsible p","2020-04-14T14:25:48.000Z","a8P3A0000008ZJ8UAM","Versatile new lightweight Polartec fleece full-zip designed to be both packable and zip-in compatible with complementing The North Face outerwear.  This product contains at least 90% bluesign approved fabric -- a standard for environmentally responsible p","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1211100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Merced Peak Full Zip Hoodie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1214100","Men's Merced Peak Full Zip Hoodie","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"A comfortable, casual hoodie for those rare moments of downtime when you&#39;re not in perpetual motion. Layer up for spring in this sporty striped sweatshirt with split kangaroo-style pockets.","2020-04-14T14:25:48.000Z","a8P3A0000008ZJ9UAM","A comfortable, casual hoodie for those rare moments of downtime when you're not in perpetual motion. Layer up for spring in this sporty striped sweatshirt with split kangaroo-style pockets.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1214100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Barker Blocked Full Zip Hoodie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1215100","Men's Barker Blocked Full Zip Hoodie","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"New cotton-fleece full-zip hoodie freshens up your uniform with a contrast color stripe panel that runs across front, arms and back.  Sweatshirt-style ribbing at hem and cuffs provides a secure, casual fit.","2020-04-14T14:25:48.000Z","a8P3A0000008ZJAUA2","New cotton-fleece full-zip hoodie freshens up your uniform with a contrast color stripe panel that runs across front, arms and back.  Sweatshirt-style ribbing at hem and cuffs provides a secure, casual fit.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1215100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Men's Cape River Full Zip Hoodie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","1216100","Men's Cape River Full Zip Hoodie","false",,,"Shirts And Sweaters","false","Released","2018-06-29","Product",,"false",,,,,,"Our casual full-zip sweatshirt has got you covered, whether you&#39;re hanging out at home doing maintenance on your mountain bike, or going for a light morning hike on local trails. This soft sweatshirt is garment washed and features comfortable ribbing ","2020-04-14T14:25:48.000Z","a8P3A0000008ZJBUA2","Our casual full-zip sweatshirt has got you covered, whether you're hanging out at home doing maintenance on your mountain bike, or going for a light morning hike on local trails. This soft sweatshirt is garment washed and features comfortable ribbing at t","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=1216100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JGzUAM","2020-05-27T14:48:00.000Z","Activity=Camping|Gender=Mens|Subcategory=Shirts And Sweaters|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Alpine Project Soft Shell Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2059100","Women's Alpine Project Soft Shell Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Free up your range of motion on the wall, or alpine climbing, while reaping the windproof and water-resistant benefits of GORE WINDSTOPPER woven nylon. This four-way stretch soft-shell jacket offers burly weather protection that remains lightweight and st","2020-04-14T14:25:48.000Z","a8P3A0000008ZKtUAM","Free up your range of motion on the wall, or alpine climbing, while reaping the windproof and water-resistant benefits of GORE WINDSTOPPER woven nylon. This four-way stretch soft-shell jacket offers burly weather protection that remains lightweight and st","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2059100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Alpine Project Hybrid Hoodie","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2060100","Women's Alpine Project Hybrid Hoodie","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Head out of bounds wearing a versatile, stretch soft-shell hooded jacket that can be worn as a windproof outer layer on cool spring days, or a lightweight mid-layer in harsher conditions. Windproof GORE WINDSTOPPER SCUBA blocks bone-chilling wind during y","2020-04-14T14:25:48.000Z","a8P3A0000008ZKuUAM","Head out of bounds wearing a versatile, stretch soft-shell hooded jacket that can be worn as a windproof outer layer on cool spring days, or a lightweight mid-layer in harsher conditions. Windproof GORE WINDSTOPPER SCUBA blocks bone-chilling wind during y","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2060100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Alpine Project Hybrid Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2061100","Women's Alpine Project Hybrid Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Kick-start aerobic assaults on the mountain wearing this windproof soft shell jacket designed for maximum mobility. Windproof GORE WINDSTOPPER SCUBA blocks bone-chilling wind during your ascent when worn as an outer layer, or as a lightweight mid-layer in","2020-04-14T14:25:48.000Z","a8P3A0000008ZKvUAM","Kick-start aerobic assaults on the mountain wearing this windproof soft shell jacket designed for maximum mobility. Windproof GORE WINDSTOPPER SCUBA blocks bone-chilling wind during your ascent when worn as an outer layer, or as a lightweight mid-layer in","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2061100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Climbing|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Windwall I Vest","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2068100","Women's Windwall I Vest","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Keep your core windchill-free this winter with this updated fleece vest.  Constructed from 100-weight WindWall fleece fabrication, this durable exterior features a soft fleece backer for warmth and comfort against skin.","2020-04-14T14:25:48.000Z","a8P3A0000008ZKwUAM","Keep your core windchill-free this winter with this updated fleece vest.  Constructed from 100-weight WindWall fleece fabrication, this durable exterior features a soft fleece backer for warmth and comfort against skin.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2068100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Stormy Trail Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2069100","Women's Stormy Trail Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"For maximum protection on runs in the foulest weather, this waterproof, windproof, highly breathable jacket features new FlashDry technology that dramatically improves drying time and breathability to keep you as cool and as comfortable as possible in wet","2020-04-14T14:25:48.000Z","a8P3A0000008ZKxUAM","For maximum protection on runs in the foulest weather, this waterproof, windproof, highly breathable jacket features new FlashDry technology that dramatically improves drying time and breathability to keep you as cool and as comfortable as possible in wet","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2069100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Running|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Animagi Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2070100","Women's Animagi Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Ultralight, hybrid performance jacket features ample PrimaLoft Eco insulation at the core with stretch knit panels at sides and sleeves for unrestricted mobility. Sleek design achieves body-mapped thermal protection, making it a new favorite insulated per","2020-04-14T14:25:48.000Z","a8P3A0000008ZKyUAM","Ultralight, hybrid performance jacket features ample PrimaLoft Eco insulation at the core with stretch knit panels at sides and sleeves for unrestricted mobility. Sleek design achieves body-mapped thermal protection, making it a new favorite insulated per","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2070100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Running|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Downspout Jacket","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2073100","Women's Downspout Jacket","false",,,"Jackets","false","Released","2018-06-29","Product",,"false",,,,,,"Power through challenging, wet trail conditions wearing our XC mountain-bike jacket that&#39;s constructed of durable, water-resistant ripstop nylon. Multi-layer HyVent 2.5L technology manages moisture and maximizes breathability during taxing, uphill cli","2020-04-14T14:25:48.000Z","a8P3A0000008ZKzUAM","Power through challenging, wet trail conditions wearing our XC mountain-bike jacket that's constructed of durable, water-resistant ripstop nylon. Multi-layer HyVent 2.5L technology manages moisture and maximizes breathability during taxing, uphill climbs.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2073100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH1UAM","2020-05-27T14:48:00.000Z","Activity=Biking|Gender=Womens|Subcategory=Jackets|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Wreck GTX","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2810100","Women's Wreck GTX","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"Discover this lightweight, waterproof hiking shoe&#39;s supportive CRADLE construction with each step you take across rugged terrain. Dual-density EVA midsole features supportive CRADLE technology to guide the heel into position and encourage proper align","2020-04-14T14:25:48.000Z","a8P3A0000008ZMWUA2","Discover this lightweight, waterproof hiking shoe's supportive CRADLE construction with each step you take across rugged terrain. Dual-density EVA midsole features supportive CRADLE technology to guide the heel into position and encourage proper alignment","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2810100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH5UAM","2020-05-27T14:48:00.000Z","Activity=Biking|Gender=Womens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Wreck Mid GTX","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2811100","Women's Wreck Mid GTX","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"Rely on this lightweight, waterproof hiking boot&#39;s solid foundation as you explore rugged terrain in variable conditions. Dual-density EVA midsole features supportive CRADLE technology to guide the heel into position and encourage proper alignment thr","2020-04-14T14:25:48.000Z","a8P3A0000008ZMXUA2","Rely on this lightweight, waterproof hiking boot's solid foundation as you explore rugged terrain in variable conditions. Dual-density EVA midsole features supportive CRADLE technology to guide the heel into position and encourage proper alignment through","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2811100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH5UAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Womens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Hedgehog III Shoe","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2812100","Women's Hedgehog III Shoe","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"Whether you&#39;re climbing Half Dome, or touring Moab, this new hiking shoe provides protection via a breathable upper , and a lightweight, supportive bottom-unit with grippy, Vibram rubber outsole.  Ideal for light hikes in warm weather.","2020-04-14T14:25:48.000Z","a8P3A0000008ZMYUA2","Whether you're climbing Half Dome, or touring Moab, this new hiking shoe provides protection via a breathable upper , and a lightweight, supportive bottom-unit with grippy, Vibram rubber outsole.  Ideal for light hikes in warm weather.","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2812100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH5UAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Womens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Hedgehog GTX XCR III","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2813100","Women's Hedgehog GTX XCR III","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"Women-specific silhouette designed for multisport athletes and adventure racers who require a lightweight, low-profile hiking shoe for all-mountain terrain.  It&#39;s lightweight, waterproof, breathable and durable. Added mesh panels on upper increase bre","2020-04-14T14:25:48.000Z","a8P3A0000008ZMZUA2","Women-specific silhouette designed for multisport athletes and adventure racers who require a lightweight, low-profile hiking shoe for all-mountain terrain.  It's lightweight, waterproof, breathable and durable. Added mesh panels on upper increase breatha","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2813100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH5UAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Womens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
"Women's Hedgehog Leather GTX XCR","2020-05-27T14:48:00.000Z","STANDARD","NTOFranchise","false","false","false",,"false","2814100","Women's Hedgehog Leather GTX XCR","false",,,"Footwear","false","Released","2018-06-29","Product",,"false",,,,,,"Designed for multisport athletes and adventure racers, these lightweight, leather hiking shoes perform well on any terrain. Made of a waterproof GORE-TEX membrane, these shoes are breathable and durable for lasting wear in foul weather. Grippy Vibram outs","2020-04-14T14:25:48.000Z","a8P3A0000008ZMaUAM","Designed for multisport athletes and adventure racers, these lightweight, leather hiking shoes perform well on any terrain. Made of a waterproof GORE-TEX membrane, these shoes are breathable and durable for lasting wear in foul weather. Grippy Vibram outs","false","false","2099-12-31",,"false","false",,"false",,"Each",,,,,"<a href=""/apex/ccrz__ProductDetails?viewState=DetailView&amp;prev=errdlog&amp;sku=2814100"" target=""_blank"">Product Detail View</a>","false",,"false","a7V3A0000004JH5UAM","2020-05-27T14:48:00.000Z","Activity=Hiking|Gender=Womens|Subcategory=Footwear|",,,"false",0,0,0,1,0,0,1,1,1,0,0
