"Catering_Event_Type","Id","Cleanliness","Experience","Quality_of_Food","Service_Speed","Overall_Rating"
"Field Trip","09-0487084",3,1,4,4,5
"Field Trip","89-6736697",2,1,5,2,1
"Field Trip","62-5310909",4,5,4,3,3
"Field Trip","57-8605832",1,3,2,1,2
"Field Trip","27-4443918",2,5,5,3,4
"Field Trip","88-4633805",5,4,5,3,2
"Field Trip","76-8654385",3,4,3,1,2
"Field Trip","14-1949278",2,1,3,2,4
"Field Trip","96-0642125",1,1,1,3,2
"Field Trip","24-3839516",4,2,4,5,3
"Field Trip","31-8427284",5,2,1,1,1
"Field Trip","35-4714663",2,5,5,3,1
"Field Trip","77-8864788",3,5,2,5,1
"Field Trip","15-7060656",1,3,2,5,3
"Field Trip","50-6648072",5,5,2,1,2
"Field Trip","86-7407786",3,5,5,1,1
"Field Trip","57-1386839",2,1,3,2,2
"Field Trip","12-1767745",5,2,3,3,4
"Field Trip","49-5672925",1,3,1,2,3
"Field Trip","68-0945505",1,2,4,3,3
"Field Trip","26-9157445",4,2,5,3,3
"Field Trip","34-2431106",1,4,2,2,2
"Field Trip","59-1417322",5,5,2,2,5
"Field Trip","74-2432826",5,4,3,2,1
"Field Trip","45-7001201",5,2,2,1,1
"Field Trip","55-6966805",4,4,2,2,4
"Field Trip","22-4983535",1,4,4,5,1
"Field Trip","36-3220390",1,5,5,1,4
"Field Trip","52-4336516",4,4,2,1,1
"Field Trip","91-1082280",2,1,1,5,5
"Field Trip","74-8358525",5,3,4,5,3
"Field Trip","93-8353206",2,4,5,5,2
"Field Trip","77-8009148",4,5,4,2,4
"Field Trip","03-3025711",3,5,4,4,3
"Field Trip","64-2773008",2,1,1,2,5
"Field Trip","78-1265814",2,2,4,1,5
"Field Trip","97-7842074",1,4,2,4,3
"Field Trip","48-9449129",4,1,2,5,4
"Field Trip","55-7706315",2,5,1,3,3
"Field Trip","85-6866476",3,1,3,1,1
"Field Trip","74-0629532",3,1,1,3,1
"Field Trip","22-2304493",1,5,5,2,2
"Field Trip","17-7262795",1,5,2,1,3
"Field Trip","08-5600434",2,2,2,5,2
"Field Trip","20-7991133",4,4,2,2,3
"Field Trip","08-5424093",1,1,2,1,5
"Field Trip","51-2733711",1,5,3,3,5
"Field Trip","83-5484702",1,1,4,5,3
"Field Trip","17-7148727",1,5,2,2,1
"Field Trip","44-2355207",3,3,4,2,1
"Field Trip","57-1764931",1,1,4,4,3
"Field Trip","35-4449130",1,5,3,2,3
"Field Trip","46-4656715",4,2,4,2,3
"Field Trip","03-6321633",2,4,5,5,1
"Field Trip","78-8064372",4,4,3,4,3
"Field Trip","05-6590070",4,2,1,4,3
"Field Trip","23-8916798",1,3,4,1,4
"Field Trip","62-1458748",1,2,4,5,1
"Field Trip","92-8488490",2,2,5,5,2
"Field Trip","73-5794050",1,2,4,4,1
"Field Trip","59-7902086",1,5,4,3,3
"Field Trip","53-2406751",1,5,2,1,3
"Field Trip","25-7888516",2,2,3,2,2
"Field Trip","91-2579700",2,5,1,4,1
"Field Trip","98-3151189",3,2,5,5,2
"Field Trip","16-2313569",3,1,4,2,2
"Field Trip","16-5946055",2,5,2,4,1
"Field Trip","27-5952585",1,1,1,3,2
"Field Trip","00-0780326",4,4,4,1,4
"Field Trip","70-5177145",3,4,1,4,4
"Field Trip","81-6689823",4,5,5,5,3
"Field Trip","19-1962254",3,4,1,1,5
"Field Trip","45-2155705",1,1,4,3,3
"Field Trip","10-4332697",3,2,5,4,3
"Field Trip","10-0076074",5,3,4,3,2
"Field Trip","50-1741696",3,2,4,4,3
"Field Trip","86-7034575",4,1,5,5,2
"Field Trip","21-7360540",3,2,2,4,4
"Field Trip","07-5377353",2,3,5,1,3
"Field Trip","26-1510432",2,1,1,5,4
"Field Trip","59-7560936",4,1,4,5,3
"Field Trip","91-8411068",3,1,1,1,1
"Field Trip","88-5661790",3,1,3,2,2
"Field Trip","37-9909675",2,1,2,5,2
"Field Trip","05-7598757",4,5,5,4,4
"Field Trip","90-2789056",4,1,2,3,1
"Field Trip","57-9761511",1,3,2,3,2
"Holiday Party","22-4278240",1,3,1,1,2
"Holiday Party","08-3167626",3,4,5,1,1
"Holiday Party","36-9190984",4,2,3,3,4
"Holiday Party","23-7866552",4,4,5,5,3
"Holiday Party","76-7868198",4,1,1,5,2
"Holiday Party","84-6474682",5,5,4,4,5
"Holiday Party","12-5364875",3,2,5,5,1
"Holiday Party","34-2636472",5,2,4,4,2
"Holiday Party","52-5108186",5,1,1,4,2
"Holiday Party","53-4177596",1,5,5,1,5
"Holiday Party","56-4896088",2,2,1,1,2
"Holiday Party","88-9881929",4,2,5,2,2
"Holiday Party","54-1053408",1,5,1,3,4
"Holiday Party","56-9136238",5,5,1,1,5
"Holiday Party","39-9983303",4,2,3,5,1
"Holiday Party","12-3814066",1,1,4,2,3
"Holiday Party","07-4621489",3,3,4,2,5
"Holiday Party","03-5055470",5,3,4,3,4
"Holiday Party","99-5017900",4,1,2,4,2
"Holiday Party","58-2932585",1,2,4,3,3
"Holiday Party","62-1260229",3,1,5,1,5
"Holiday Party","13-1480522",3,1,3,3,3
"Holiday Party","06-3691179",4,4,1,2,5
"Holiday Party","41-0969300",3,3,3,1,3
"Holiday Party","30-4242306",5,5,5,2,2
"Holiday Party","25-7882844",1,1,4,3,2
"Holiday Party","06-1877298",1,5,1,1,1
"Holiday Party","60-2878327",5,3,5,1,2
"Holiday Party","18-3533455",4,5,3,1,1
"Holiday Party","72-8882621",3,3,3,2,2
"Holiday Party","34-7533135",1,3,5,2,3
"Holiday Party","20-3770566",2,1,5,1,3
"Holiday Party","62-2341938",4,5,3,2,5
"Holiday Party","04-1297831",5,4,3,2,5
"Holiday Party","62-4999665",3,5,5,3,2
"Holiday Party","95-3078568",3,1,5,3,4
"Holiday Party","66-4223487",3,4,1,3,5
"Holiday Party","96-2234161",1,5,2,2,3
"Holiday Party","26-2417221",2,3,3,3,2
"Holiday Party","93-2407234",2,2,3,2,3
"Holiday Party","99-7829996",2,5,4,2,2
"Holiday Party","01-9405986",5,2,2,4,2
"Holiday Party","39-5430735",2,3,1,2,5
"Holiday Party","86-1448989",2,2,2,1,4
"Holiday Party","09-6483350",5,1,2,4,1
"Holiday Party","86-1657745",4,5,5,4,5
"Holiday Party","46-7259541",5,4,3,2,1
"Holiday Party","87-0456789",1,1,5,2,1
"Holiday Party","26-9671251",4,2,2,3,3
"Holiday Party","22-5724611",1,2,5,5,2
"Holiday Party","48-0432088",4,1,1,4,5
"Holiday Party","71-0575097",2,1,2,5,2
"Holiday Party","93-9202181",5,3,5,4,1
"Holiday Party","30-9939530",4,4,5,1,5
"Holiday Party","53-9897754",3,1,4,1,1
"Holiday Party","16-7370765",3,5,2,1,1
"Holiday Party","08-2941640",3,2,3,1,2
"Holiday Party","65-5520881",4,5,4,5,4
"Holiday Party","08-4036063",5,2,4,5,2
"Holiday Party","36-6615635",2,5,3,2,1
"Holiday Party","58-3103681",3,2,3,3,5
"Holiday Party","00-8513627",2,2,2,1,5
"Holiday Party","32-8910273",1,1,3,3,4
"Holiday Party","77-1536638",3,4,1,5,5
"Holiday Party","87-0445630",1,3,5,2,1
"Holiday Party","54-8826755",1,1,2,5,1
"Holiday Party","31-8486556",3,5,5,1,3
"Holiday Party","99-3837359",4,4,5,2,5
"Holiday Party","49-9169235",4,1,3,2,3
"Holiday Party","25-1406299",1,2,5,2,4
"Holiday Party","42-0941918",3,5,3,5,1
"Holiday Party","92-2152555",1,4,2,2,5
"Holiday Party","94-5918267",5,2,3,3,4
"Holiday Party","01-2989497",1,1,5,2,2
"Holiday Party","38-0377549",1,4,1,1,2
"Holiday Party","38-5007555",4,1,1,5,1
"Holiday Party","45-9766267",4,3,4,5,3
"Holiday Party","54-3569840",3,2,2,3,3
"Holiday Party","51-4436747",3,3,5,2,1
"Holiday Party","49-5911980",4,1,3,2,4
"Holiday Party","02-0984776",4,2,5,4,1
"Holiday Party","02-9517925",3,3,3,1,3
"Holiday Party","50-7286146",1,5,2,1,2
"Holiday Party","78-2479473",3,5,4,1,1
"Holiday Party","93-9149720",2,2,5,2,3
"Holiday Party","11-8015695",1,4,3,4,1
"Holiday Party","99-3582740",1,4,5,5,2
"Holiday Party","14-2362066",4,2,3,3,2
"Holiday Party","99-8763444",5,3,1,4,1
"Holiday Party","47-4494348",2,1,1,3,5
"Holiday Party","53-0004826",4,3,5,2,2
"Holiday Party","36-3550998",4,2,4,4,3
"Holiday Party","39-9202700",2,2,1,4,3
"Holiday Party","42-4118656",2,3,1,3,3
"Holiday Party","89-1777269",5,4,3,4,4
"Holiday Party","54-0242721",2,1,4,5,5
"Holiday Party","00-7234925",3,4,1,4,1
"Holiday Party","17-4855625",5,5,2,3,2
"Holiday Party","98-3116719",3,3,3,5,5
"Holiday Party","38-4969467",4,4,2,2,4
"Holiday Party","43-2026698",3,2,2,5,1
"Holiday Party","72-8957199",1,1,3,1,2
"Holiday Party","01-2203802",5,3,4,1,3
"Holiday Party","29-1407055",4,1,1,1,3
"Holiday Party","47-1701630",4,5,5,1,5
"Holiday Party","41-0534182",3,3,1,2,5
"Holiday Party","96-3772687",3,3,4,1,2
"Holiday Party","78-6692298",2,5,5,3,1
"Holiday Party","38-0424700",2,2,4,5,1
"Holiday Party","44-0392485",1,4,5,4,1
"Holiday Party","51-3635357",1,2,3,2,5
"Holiday Party","33-9686739",3,3,3,1,5
"Holiday Party","02-5990585",4,3,2,4,2
"Holiday Party","74-0722876",4,4,4,5,5
"Holiday Party","15-4169069",4,5,2,5,2
"Holiday Party","20-1955926",1,1,5,1,1
"Holiday Party","96-8668367",2,4,4,1,5
"Holiday Party","47-4187948",1,4,3,1,3
"Holiday Party","83-2957311",1,1,3,5,1
"Holiday Party","42-5679679",3,1,1,3,3
"Holiday Party","08-8023478",4,2,2,4,5
"Holiday Party","88-9249594",5,3,3,2,4
"Holiday Party","78-4107465",5,3,4,1,3
"Holiday Party","36-4985234",5,1,4,3,5
"Holiday Party","23-7420946",3,3,1,4,4
"Holiday Party","12-7746554",2,1,2,1,1
"Holiday Party","63-9837322",2,2,1,4,1
"Holiday Party","35-6463383",5,4,4,2,4
"Holiday Party","35-1964231",4,2,1,1,2
"Holiday Party","71-6247686",3,3,1,2,5
"Holiday Party","78-3808964",1,5,1,5,4
"Holiday Party","80-9603905",2,3,4,2,4
"Holiday Party","34-7336733",4,2,2,2,1
"Holiday Party","87-8855390",2,1,1,5,2
"Holiday Party","21-3254897",4,2,4,4,1
"Holiday Party","92-3585656",3,4,4,4,4
"Holiday Party","84-8722784",2,2,2,5,3
"Holiday Party","87-6173260",3,3,4,1,5
"Holiday Party","78-6533825",2,1,3,1,5
"Holiday Party","79-1217926",1,3,4,3,2
"Holiday Party","42-5314558",2,5,2,2,2
"Holiday Party","81-7308330",4,1,1,1,4
"Holiday Party","81-2420295",2,2,2,4,4
"Holiday Party","55-5500922",2,1,5,2,4
"Holiday Party","48-8785631",2,4,5,2,5
"Holiday Party","00-1759613",3,3,2,2,4
"Holiday Party","60-9126595",4,5,1,2,2
"Holiday Party","02-0058578",4,5,2,3,4
"Holiday Party","97-2357774",3,1,1,1,2
"Holiday Party","71-1849958",2,3,4,1,2
"Holiday Party","57-3564190",3,1,3,2,2
"Holiday Party","59-1090751",4,5,5,3,4
"Holiday Party","64-9697339",4,2,1,1,1
"Holiday Party","45-8323870",3,3,5,1,5
"Holiday Party","13-4308453",4,4,5,4,2
"Holiday Party","49-8501058",5,2,2,3,1
"Holiday Party","06-5600509",4,5,1,1,5
"Holiday Party","36-5325779",1,1,2,2,2
"Holiday Party","00-2228737",1,1,5,5,2
"Holiday Party","81-8938750",4,4,4,2,2
"Holiday Party","88-5509960",1,2,4,5,3
"Holiday Party","19-0509673",5,3,5,2,3
"Holiday Party","92-1997323",1,1,2,3,4
"Holiday Party","76-9090028",2,5,3,5,4
"Holiday Party","09-3817324",2,2,4,3,1
"Holiday Party","98-9924016",3,3,3,2,5
"Holiday Party","92-9997059",2,3,5,4,2
"Holiday Party","18-2801170",5,5,1,1,4
"Holiday Party","08-7479042",1,3,3,4,2
"Holiday Party","07-8011229",2,4,1,2,1
"Holiday Party","08-7564055",4,2,5,3,5
"Holiday Party","38-7323386",1,1,2,5,1
"Holiday Party","75-2261423",3,2,2,5,5
"Holiday Party","32-9188926",5,1,4,2,1
"Holiday Party","23-2894994",3,3,2,1,5
"Holiday Party","10-9347323",4,4,4,2,2
"Holiday Party","20-5613871",3,1,5,4,4
"Holiday Party","99-1045087",3,2,5,3,4
"Holiday Party","19-9199195",3,4,5,5,2
"Holiday Party","15-4961840",4,2,4,1,1
"Holiday Party","60-1547277",4,1,1,3,4
"Holiday Party","24-3559585",4,5,2,1,1
"Holiday Party","57-5939357",2,3,4,4,1
"Holiday Party","67-8319223",5,5,5,1,3
"Holiday Party","34-0805492",4,4,5,3,1
"Holiday Party","17-8860396",5,2,2,1,5
"Holiday Party","04-1088848",2,3,5,5,3
"Holiday Party","19-5001102",2,1,5,1,2
"Holiday Party","21-0341530",5,5,3,2,4
"Holiday Party","84-6977947",5,5,3,3,4
"Holiday Party","88-4224080",3,4,2,1,2
"Holiday Party","20-7502632",4,3,4,1,3
"Holiday Party","81-8330795",3,4,5,1,4
"Holiday Party","73-9688028",3,3,1,2,5
"Holiday Party","29-7070267",3,5,2,3,3
"Holiday Party","64-7172520",3,4,4,1,1
"Holiday Party","05-2383247",1,3,4,1,1
"Holiday Party","75-3805805",4,1,1,5,4
"Holiday Party","34-0898444",1,3,3,4,5
"Holiday Party","41-2110935",2,4,1,3,4
"Holiday Party","46-4807726",3,3,1,4,5
"Holiday Party","43-5065343",5,2,5,3,1
"Holiday Party","91-8138861",3,1,4,1,5
"Holiday Party","39-0209108",5,4,3,2,2
"Holiday Party","37-1319806",1,2,1,2,5
"Holiday Party","25-1245663",5,4,5,2,1
"Holiday Party","54-7427971",3,5,4,1,3
"Holiday Party","15-6528078",3,5,5,5,1
"Holiday Party","17-4268749",4,4,5,1,3
"Holiday Party","12-1549892",4,2,5,1,4
"Holiday Party","37-4988891",1,2,1,4,2
"Holiday Party","80-0514670",1,4,3,4,5
"Holiday Party","06-5894302",3,2,5,5,4
"Holiday Party","93-6404990",4,5,4,2,5
"Holiday Party","26-3220808",2,4,5,3,1
"Holiday Party","04-7157901",1,3,3,5,4
"Holiday Party","78-0865036",5,1,2,1,2
"Holiday Party","88-0963410",4,2,1,3,5
"Holiday Party","78-7676764",4,1,1,5,2
"Holiday Party","27-4137838",2,1,5,5,4
"Holiday Party","38-9449308",1,3,3,3,2
"Holiday Party","11-8983171",3,3,1,2,4
"Holiday Party","81-9988738",4,1,3,4,1
"Holiday Party","34-6504501",5,5,4,1,3
"Holiday Party","81-4165849",4,3,3,5,4
"Holiday Party","32-3913974",5,3,5,3,5
"Holiday Party","67-0322115",2,5,4,2,1
"Holiday Party","14-7760103",4,5,1,2,5
"Holiday Party","94-4755614",2,2,3,5,1
"Holiday Party","53-3915288",5,5,4,5,1
"Holiday Party","82-9540698",5,5,2,2,2
"Holiday Party","70-2273433",4,3,3,1,4
"Holiday Party","32-1907539",3,2,2,5,4
"Holiday Party","72-6145621",5,5,4,1,4
"Holiday Party","89-8649990",4,1,3,1,5
"Holiday Party","09-6047617",4,5,3,1,3
"Holiday Party","66-6662541",1,5,3,1,2
"Holiday Party","45-7490554",3,4,3,2,5
"Holiday Party","83-2175458",2,3,5,1,3
"Holiday Party","40-3806370",3,1,1,1,2
"Holiday Party","82-4544352",4,1,4,1,2
"Holiday Party","37-0441723",3,1,1,2,3
"Holiday Party","75-0111700",1,2,2,4,5
"Holiday Party","09-3135424",4,5,2,2,1
"Holiday Party","77-3963078",2,5,2,1,3
"Holiday Party","14-2120943",2,4,2,5,2
"Holiday Party","17-3636410",2,3,4,2,1
"Holiday Party","05-0962336",2,3,2,4,1
"Holiday Party","88-0454499",5,2,5,2,2
"Holiday Party","79-5167994",2,2,2,5,1
"Holiday Party","82-7725191",2,4,4,4,3
"Holiday Party","65-7784509",2,5,4,5,3
"Holiday Party","13-5579412",2,4,3,3,3
"Holiday Party","04-3478875",2,1,1,3,2
"Holiday Party","54-5273567",1,1,5,1,4
"Holiday Party","10-3800933",2,4,2,2,3
"Holiday Party","53-4044956",4,1,3,1,5
"Holiday Party","21-0566545",4,4,4,4,5
"Holiday Party","88-0616105",4,4,1,3,5
"Holiday Party","64-4362356",1,5,1,5,3
"Holiday Party","76-7201305",3,1,2,2,5
"Holiday Party","30-5964177",4,3,5,1,2
"Holiday Party","27-4839915",2,4,2,1,4
"Holiday Party","99-4129705",5,1,3,3,5
"Holiday Party","97-7599605",5,3,3,4,5
"Holiday Party","08-7455368",4,4,5,5,3
"Holiday Party","32-0908372",1,4,5,2,1
"Holiday Party","89-5273527",2,3,2,3,3
"Holiday Party","10-4084440",2,3,1,3,2
"Holiday Party","34-8507273",4,4,5,5,5
"Holiday Party","75-5342842",1,1,4,1,5
"Holiday Party","21-5582498",2,2,4,3,5
"Holiday Party","52-6643534",1,2,3,3,4
"Holiday Party","87-4879995",4,4,5,1,1
"Holiday Party","08-9424576",5,1,5,1,3
"Holiday Party","13-5780801",5,3,4,5,3
"Holiday Party","15-4434353",3,5,4,4,5
"Holiday Party","71-3271987",3,4,3,4,5
"Holiday Party","24-3520182",2,3,5,4,3
"Holiday Party","12-9510419",4,3,2,3,1
"Holiday Party","42-9203445",4,2,3,5,2
"Holiday Party","41-5402625",1,1,1,3,1
"Holiday Party","15-0445383",2,3,5,1,2
"Holiday Party","00-5511145",1,1,4,1,1
"Holiday Party","23-2921956",5,4,5,2,4
"Holiday Party","33-0569762",1,5,5,3,4
"Holiday Party","98-3180534",4,3,2,5,2
"Holiday Party","72-0197790",4,5,3,2,2
"Holiday Party","23-9788051",4,3,2,1,5
"Holiday Party","84-5293193",4,4,3,5,3
"Holiday Party","37-7468135",3,5,3,5,1
"Holiday Party","03-7912222",2,3,4,3,2
"Holiday Party","46-5182347",2,5,1,3,4
"Holiday Party","07-4251842",3,1,3,4,4
"Holiday Party","97-4419205",5,5,4,4,4
"Holiday Party","00-4646389",3,2,1,5,1
"Holiday Party","15-0170812",3,5,3,3,5
"Holiday Party","13-8646871",2,4,3,1,3
"Holiday Party","72-5885124",3,2,5,3,4
"Holiday Party","02-2332504",4,4,5,5,1
"Holiday Party","39-7697725",4,3,1,5,1
"Holiday Party","00-7689878",1,1,1,4,4
"Holiday Party","54-1009268",2,5,3,5,1
"Holiday Party","35-8272553",5,4,1,1,4
"Holiday Party","37-7508175",1,1,4,1,4
"Holiday Party","37-0098257",4,4,2,2,3
"Holiday Party","69-7210686",3,4,4,3,4
"Holiday Party","33-2113991",2,1,5,4,3
"Holiday Party","43-3462602",1,2,5,5,4
"Holiday Party","26-2749211",2,2,3,5,2
"Holiday Party","89-1199732",5,2,1,2,3
"Holiday Party","60-9917457",1,4,3,2,5
"Holiday Party","66-3645068",2,1,3,5,4
"Holiday Party","09-2040441",1,2,2,3,5
"Holiday Party","84-8331029",5,1,5,1,5
"Holiday Party","17-5866435",4,2,2,2,1
"Holiday Party","34-6494205",3,1,5,1,3
"Holiday Party","65-9953621",2,2,2,2,1
"Holiday Party","50-8195444",1,4,4,5,5
"Holiday Party","04-5291601",4,3,2,1,4
"Holiday Party","02-8145627",3,2,4,1,2
"Holiday Party","57-1632616",1,2,2,2,1
"Holiday Party","07-6623253",4,1,4,3,5
"Holiday Party","49-2268169",4,4,4,5,4
"Holiday Party","06-0816032",2,4,3,2,3
"Holiday Party","55-5223278",3,5,1,5,1
"Holiday Party","41-7741775",5,1,2,5,1
"Holiday Party","36-8867065",2,3,5,4,3
"Holiday Party","21-2224910",4,2,1,5,5
"Office Meeting","94-1165121",2,1,5,1,1
"Office Meeting","69-2664125",4,5,5,1,3
"Office Meeting","65-6263130",2,3,3,5,5
"Office Meeting","00-3079523",1,1,2,1,5
"Office Meeting","05-3143988",4,4,4,5,5
"Office Meeting","00-1182628",3,4,1,1,1
"Office Meeting","67-5847063",1,1,5,3,3
"Office Meeting","28-2834509",2,4,4,2,2
"Office Meeting","25-2452059",5,2,4,5,3
"Office Meeting","45-8026994",2,5,2,3,4
"Office Meeting","23-0725049",4,3,1,3,5
"Office Meeting","68-8143294",1,1,4,5,5
"Office Meeting","25-6815846",1,5,1,4,4
"Office Meeting","18-3828344",1,2,5,5,3
"Office Meeting","40-8432913",3,4,2,3,3
"Office Meeting","79-5653136",1,5,4,5,3
"Office Meeting","17-6122724",4,5,3,4,5
"Office Meeting","46-9914186",2,5,5,2,3
"Office Meeting","36-2333393",1,4,4,5,4
"Office Meeting","18-6579989",5,4,3,1,4
"Office Meeting","85-6652308",5,5,2,1,3
"Office Meeting","19-3984673",1,2,5,1,1
"Office Meeting","59-7317433",5,2,2,1,2
"Office Meeting","42-9492712",5,3,1,5,5
"Office Meeting","09-8814470",2,5,4,2,4
"Office Meeting","37-8484952",3,1,5,3,4
"Office Meeting","01-0984817",3,1,4,1,3
"Office Meeting","67-0272732",2,5,3,3,5
"Office Meeting","45-3409334",2,4,1,3,1
"Office Meeting","22-7996349",3,3,3,5,1
"Office Meeting","22-6466013",3,3,5,2,5
"Office Meeting","39-9818979",2,1,1,2,4
"Office Meeting","79-2918359",1,2,1,3,1
"Office Meeting","87-8328933",4,1,3,2,3
"Office Meeting","86-5855196",4,2,2,5,1
"Office Meeting","00-8578039",4,2,2,3,1
"Office Meeting","39-7255258",2,1,2,2,3
"Office Meeting","61-9477749",3,1,3,3,5
"Office Meeting","52-1586689",1,2,3,1,2
"Office Meeting","45-6683631",4,1,3,5,2
"Office Meeting","23-3051521",3,5,3,3,4
"Office Meeting","58-7990433",1,3,2,3,4
"Office Meeting","06-3864878",1,4,3,1,5
"Office Meeting","91-3198185",2,2,4,3,1
"Office Meeting","17-8749863",2,5,2,2,2
"Office Meeting","38-0056178",3,1,2,4,4
"Office Meeting","70-2110899",1,1,2,2,2
"Office Meeting","33-3944224",1,4,1,1,3
"Office Meeting","02-3150486",4,5,2,4,4
"Office Meeting","32-6327058",5,3,4,4,3
"Office Meeting","46-6776831",3,1,5,5,1
"Office Meeting","90-4918449",2,1,4,1,1
"Office Meeting","29-2105169",1,1,2,5,4
"Office Meeting","73-1817670",2,5,3,2,5
"Office Meeting","49-3063606",4,4,3,5,2
"Office Meeting","21-2784924",1,5,4,5,2
"Office Meeting","92-3637239",2,4,2,5,5
"Office Meeting","22-7256297",5,5,2,3,5
"Office Meeting","22-7004720",1,5,1,3,5
"Office Meeting","10-0951070",5,2,3,4,3
"Office Meeting","91-6114987",4,3,4,3,2
"Office Meeting","03-1434252",4,1,2,4,5
"Office Meeting","26-9936966",5,1,5,4,5
"Office Meeting","31-5290874",4,2,2,1,1
"Office Meeting","68-3523894",5,5,3,4,2
"Office Meeting","50-7719771",5,2,3,1,4
"Office Meeting","61-9078190",2,2,1,2,4
"Office Meeting","17-4244661",2,4,2,1,2
"Office Meeting","60-4835961",3,1,4,3,2
"Office Meeting","86-7479625",1,2,4,1,2
"Office Meeting","39-3827704",1,1,4,5,2
"Office Meeting","44-5749697",3,3,2,2,5
"Office Meeting","61-2786670",3,4,3,5,4
"Office Meeting","69-1906341",1,2,4,2,5
"Office Meeting","30-7579486",1,1,4,4,3
"Office Meeting","64-9490343",3,5,3,1,5
"Office Meeting","62-9785411",3,2,3,3,3
"Office Meeting","20-4642267",3,5,2,1,5
"Office Meeting","55-5761303",2,4,1,5,5
"Office Meeting","64-6789630",3,1,4,1,2
"Office Meeting","35-2505057",2,5,2,4,3
"Office Meeting","85-9845820",5,1,2,3,5
"Office Meeting","09-3078079",4,1,4,5,4
"Office Meeting","72-1497143",4,1,4,2,1
"Office Meeting","80-9092715",1,4,4,1,5
"Office Meeting","26-9180578",5,3,1,3,4
"Office Meeting","06-2476950",2,3,5,4,3
"Office Meeting","98-4236212",2,5,5,2,3
"Office Meeting","19-8486583",4,3,3,5,2
"Office Meeting","11-0416770",1,1,4,4,5
"Office Meeting","12-5909016",2,4,3,4,5
"Office Meeting","08-5805355",5,3,4,5,2
"Office Meeting","89-0832436",3,3,2,2,5
"Office Meeting","73-9571066",3,1,5,4,1
"Office Meeting","49-8626149",4,2,1,4,2
"Office Meeting","30-3237264",2,3,4,5,2
"Office Meeting","42-6113671",1,5,5,3,3
"Office Meeting","87-1930939",4,2,1,4,5
"Office Meeting","42-1575369",3,4,2,2,5
"Office Meeting","34-5734550",1,4,2,3,2
"Office Meeting","99-5391186",1,3,1,3,4
"Office Meeting","03-9325280",5,4,1,4,4
"Office Meeting","74-4818935",5,1,1,1,4
"Office Meeting","08-8504549",3,2,4,2,2
"Office Meeting","47-7100875",5,2,2,1,3
"Office Meeting","87-7758724",4,1,3,2,4
"Office Meeting","00-8774517",5,3,2,2,4
"Office Meeting","56-3246226",5,5,3,1,4
"Office Meeting","75-4009432",1,5,4,3,3
"Office Meeting","23-8105184",1,2,3,2,4
"Office Meeting","64-9692128",3,5,1,4,2
"Office Meeting","21-8592586",3,2,4,4,2
"Office Meeting","71-7916608",5,4,1,3,2
"Office Meeting","30-4589759",4,1,4,5,1
"Office Meeting","10-2719957",3,2,3,2,1
"Office Meeting","57-5557498",2,1,2,5,2
"Office Meeting","84-9991559",4,3,1,1,5
"Office Meeting","33-9618376",4,3,2,5,5
"Office Meeting","86-3708185",2,4,4,1,4
"Office Meeting","65-1863187",2,4,5,3,4
"Office Meeting","74-7600058",2,3,2,3,3
"Office Meeting","01-4120250",3,5,4,1,5
"Office Meeting","25-0673037",2,1,4,2,2
"Office Meeting","72-2223532",5,4,3,4,3
"Office Meeting","60-8151697",4,5,2,5,4
"Office Meeting","66-3873287",4,5,1,2,5
"Office Meeting","65-6070979",2,5,2,5,3
"Office Meeting","74-2380644",1,1,1,3,4
"Office Meeting","07-5458410",5,1,3,2,4
"Office Meeting","74-9821210",4,3,2,3,2
"Office Meeting","24-4202456",1,2,4,2,1
"Office Meeting","12-6356317",3,4,5,4,2
"Office Meeting","10-0790091",2,4,3,5,3
"Office Meeting","31-5959679",3,4,4,1,3
"Office Meeting","74-6557169",5,4,4,4,1
"Office Meeting","30-8097310",2,4,1,5,2
"Office Meeting","57-5931055",4,5,5,4,4
"Office Meeting","48-3283985",3,4,5,5,5
"Office Meeting","88-3423222",5,1,3,3,4
"Office Meeting","23-5621323",2,3,1,2,1
"Office Meeting","08-9280119",2,3,1,2,5
"Office Meeting","24-8885471",1,3,3,3,3
"Office Meeting","99-3563465",4,2,4,5,5
"Office Meeting","08-0713486",4,1,1,1,4
"Office Meeting","57-2514643",3,4,4,2,2
"Office Meeting","50-2673706",3,1,1,3,2
"Office Meeting","59-5269071",4,3,1,4,5
"Office Meeting","34-2476207",5,2,1,1,1
"Office Meeting","92-1438291",4,1,4,1,2
"Office Meeting","85-2000312",4,5,5,1,3
"Office Meeting","63-1383311",3,5,4,2,5
"Office Meeting","68-8519702",2,5,4,2,3
"Office Meeting","01-0610302",1,3,4,2,4
"Office Meeting","47-3599113",1,2,5,5,1
"Office Meeting","62-4038163",4,1,3,1,4
"Office Meeting","82-7188728",2,3,3,1,2
"Office Meeting","56-6969208",1,3,4,4,5
"Office Meeting","85-7563276",2,4,1,3,1
"Office Meeting","40-0296095",2,1,1,1,5
"Office Meeting","78-2497472",3,2,5,1,3
"Office Meeting","29-1474275",2,2,5,1,5
"Office Meeting","01-6510538",3,1,3,1,4
"Office Meeting","10-1450419",5,3,2,2,3
"Office Meeting","54-6590205",2,5,1,5,1
"Office Meeting","00-3566820",2,1,2,4,4
"Office Meeting","59-4780258",4,1,2,4,5
"Office Meeting","63-1488002",5,5,4,3,5
"Office Meeting","39-0865317",2,5,2,3,2
