"Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2032-12-25","Scope 3","Scope 3 Use of Sold Products",,100000,150000,50000,50,100000,,150000,50,200000,0,0,0,150,200000,150000,,150000
"2019-09-16","Scope 3","Scope 3 Downstream Leased Assets",10,250000,200000,0,,,70,100000,350,,,10,,200,250000,,150000,
"2032-01-19","Scope 1","Private Jet",0,250000,0,100000,0,150000,,,300,150000,,20,100000,200,150000,50000,,250000
"2028-09-19","Scope 2","Commercial Building",30,150000,150000,150000,,200000,,200000,200,,150000,,250000,150,100000,50000,,50000
"2037-09-07","Scope 3","Scope 3 Business Travel",20,200000,100000,250000,40,50000,,0,250,250000,200000,0,200000,200,,200000,,100000
"2027-04-22","Scope 1","Data Center",15,50000,50000,200000,20,100000,,150000,150,0,0,30,0,150,50000,0,,
"2020-09-23","Scope 2","Data Center",,100000,250000,150000,,,0,250000,50,,,15,,250,200000,50000,50000,
"2026-07-26","Scope 3","Private Jet",30,150000,,100000,10,0,,50000,100,100000,100000,25,150000,150,0,,,0
"2024-08-12","Scope 2","Fleet Vehicles",20,100000,,200000,30,250000,,150000,50,200000,50000,20,50000,150,250000,250000,,150000
"2038-04-08","Scope 1","Commercial Building",15,200000,0,150000,50,,,50000,200,50000,250000,10,,200,200000,200000,,200000
"2035-03-28","Scope 2","Fleet Vehicles",0,250000,200000,50000,50,100000,,250000,350,0,100000,0,150000,200,150000,100000,,0
"2021-06-16","Scope 1","Private Jet",10,150000,50000,,,,90,0,250,,,15,,100,0,150000,200000,
"2033-10-06","Scope 3","Fleet Vehicles",,50000,100000,250000,30,50000,,,100,200000,,,200000,200,50000,0,,250000
"2031-11-13","Scope 2","Data Center",0,50000,150000,0,,150000,,100000,150,50000,250000,30,250000,150,,50000,,50000
"2039-10-19","Scope 3","Scope 3 Fuel and Energy-Related Activity",20,100000,250000,100000,10,,,200000,300,150000,200000,25,50000,200,100000,150000,,150000
"2030-07-14","Scope 1","Commercial Building",,150000,,200000,20,0,,,50,,0,10,,150,100000,200000,,100000
"2023-12-23","Scope 2","Private Jet",30,250000,200000,250000,40,200000,,250000,300,250000,50000,0,100000,150,50000,100000,,200000
"2036-01-29","Scope 1","Fleet Vehicles",15,200000,100000,50000,0,250000,,100000,200,100000,150000,20,0,200,250000,100000,,
"2025-05-29","Scope 3","Scope 3 Purchased Goods Services",10,100000,250000,,40,250000,,200000,150,250000,50000,15,200000,150,200000,,,200000
"2029-11-11","Scope 3","Data Center",0,200000,0,0,20,,,0,250,50000,0,25,150000,200,,250000,,50000
"2034-01-17","Scope 2","Private Jet",15,250000,150000,150000,0,0,,150000,350,200000,150000,30,100000,200,150000,100000,,0
"2022-05-14","Scope 1","Commercial Building",20,150000,50000,250000,30,100000,20,50000,100,0,200000,,250000,350,0,250000,100000,100000
"2040-08-29","Scope 2","Fleet Vehicles",30,50000,150000,200000,10,150000,,150000,350,150000,100000,,50000,200,,0,,150000
"2032-10-13","Scope 1","Data Center",,100000,,0,50,200000,,0,200,100000,,20,0,200,100000,150000,,250000
"2022-02-12","Scope 3","Scope 3 Purchased Goods Services",10,50000,250000,50000,,50000,50,100000,50,,250000,25,,300,250000,200000,,
"2033-08-16","Scope 3","Scope 3 Business Travel",20,200000,100000,,0,50000,,50000,150,150000,50000,30,200000,150,150000,50000,,50000
"2037-07-12","Scope 1","Private Jet",10,150000,0,100000,,0,,250000,250,50000,0,15,150000,200,50000,,,
"2020-04-27","Scope 2","Commercial Building",0,250000,50000,150000,,,30,,300,,,0,,150,0,,0,
"2030-10-06","Scope 1","Data Center",30,100000,200000,100000,30,200000,,200000,100,250000,200000,10,100000,150,200000,150000,,250000
"2031-11-25","Scope 2","Data Center",,150000,,150000,40,100000,,50000,200,100000,250000,25,250000,150,0,100000,,150000
"2025-01-13","Scope 3","Scope 3 Franchising",15,50000,250000,200000,50,250000,,200000,150,200000,,20,0,150,50000,,,100000
"2039-11-14","Scope 1","Private Jet",0,200000,100000,,20,150000,,0,300,0,100000,30,,250,200000,200000,,0
"2036-12-11","Scope 2","Fleet Vehicles",15,250000,0,50000,10,,,250000,100,,150000,10,50000,250,,0,,200000
"2024-11-23","Scope 3","Scope 3 Upstream Leased Assets",,150000,200000,0,50,50000,,100000,50,150000,100000,,100000,150,250000,50000,,250000
"2038-01-17","Scope 3","Fleet Vehicles",20,200000,150000,250000,0,200000,,,350,100000,,15,0,200,100000,250000,,200000
"2026-12-31","Scope 1","Commercial Building",30,250000,50000,,40,0,,150000,250,0,150000,0,50000,200,150000,150000,,
"2019-06-29","Scope 2","Data Center",10,100000,50000,0,,,,200000,50,,,25,,250,200000,50000,250000,
"2040-05-05","Scope 2","Private Jet",15,50000,100000,100000,10,,,250000,150,,50000,,150000,250,150000,,,0
"2027-05-16","Scope 1","Fleet Vehicles",10,100000,150000,250000,30,250000,,100000,250,200000,0,15,,150,100000,150000,,100000
"2034-09-14","Scope 3","Scope 3 Upstream Transportation Distribution",0,250000,250000,200000,,150000,,50000,350,250000,200000,0,250000,200,50000,100000,,50000
"2035-08-17","Scope 1","Commercial Building",30,150000,,50000,20,100000,,0,200,50000,250000,20,200000,200,250000,250000,,150000
"2023-01-06","Scope 2","Fleet Vehicles",20,50000,0,150000,40,0,,150000,100,200000,250000,30,200000,150,0,200000,,100000
"2021-07-14","Scope 3","Scope 3 Investments",,200000,200000,50000,,,70,,300,,,10,,150,,0,250000,
"2029-12-29","Scope 3","Scope 3 End-Life Treatment of Sold Product",15,250000,100000,200000,0,,,,250,50000,150000,20,150000,150,50000,150000,,
"2028-12-08","Scope 2","Data Center",30,50000,250000,250000,20,150000,,0,150,,200000,15,,200,200000,100000,,250000
"2026-08-27","Scope 1","Commercial Building",10,100000,,0,,50000,,50000,50,100000,,30,100000,150,250000,50000,,0
"2025-10-21","Scope 2","Fleet Vehicles",,150000,150000,150000,50,250000,,250000,350,0,100000,10,50000,150,,200000,,200000
"2034-04-11","Scope 3","Scope 3 Waste Generated in Operations",20,200000,0,100000,30,100000,,150000,100,150000,50000,0,250000,200,0,,,150000
"2021-12-08","Scope 1","Private Jet",0,200000,200000,,,,20,100000,200,,,25,,100,100000,250000,,
"2031-10-24","Scope 2","Data Center",,100000,50000,200000,10,200000,,200000,300,250000,0,,0,200,150000,0,,50000
"2023-03-22","Scope 3","Scope 3 Capital Goods",15,250000,0,0,,50000,,250000,300,150000,,10,250000,150,100000,250000,,150000
"2022-12-19","Scope 1","Private Jet",10,50000,200000,50000,30,,50,100000,350,100000,50000,30,50000,300,250000,150000,150000,
"2030-12-26","Scope 3","Scope 3 Processing Sold Products",30,150000,50000,250000,10,150000,,0,50,0,150000,20,0,200,0,100000,,250000
"2020-04-03","Scope 1","Commercial Building",0,50000,100000,100000,,,,50000,100,,,25,,350,150000,200000,0,
"2029-09-10","Scope 2","Data Center",20,200000,,150000,40,100000,,,200,250000,100000,,,150,200000,,,100000
"2040-09-17","Scope 3","Scope 3 Uncategorized Emissions",15,150000,150000,,0,200000,,200000,150,50000,0,0,200000,250,50000,0,,200000
"2033-03-21","Scope 1","Commercial Building",20,100000,250000,50000,50,250000,,150000,250,200000,250000,15,150000,200,,50000,,0
"2039-07-08","Scope 2","Private Jet",10,250000,,,20,0,,200000,100,,200000,30,100000,200,50000,0,,50000
"2037-07-07","Scope 2","Fleet Vehicles",30,200000,200000,150000,20,50000,,250000,300,250000,50000,,100000,250,250000,100000,,50000
"2027-12-02","Scope 1","Data Center",,50000,150000,0,,0,,100000,150,0,100000,15,50000,150,200000,200000,,200000
"2032-04-01","Scope 3","Private Jet",0,250000,50000,100000,40,,,0,350,200000,,10,150000,150,,150000,,100000
"2038-06-27","Scope 2","Fleet Vehicles",10,100000,250000,250000,30,100000,,,200,100000,0,20,0,250,150000,50000,,250000
"2024-05-01","Scope 3","Scope 3 Fuel and Energy-Related Activity",20,150000,0,200000,50,250000,,50000,250,,250000,0,200000,150,100000,250000,,
"2019-08-26","Scope 1","Commercial Building",15,150000,100000,,,,30,150000,50,,,25,,200,0,,100000,
"2028-11-27","Scope 1","Private Jet",30,100000,50000,200000,0,200000,,,200,50000,150000,,250000,150,200000,0,,0
"2036-03-31","Scope 3","Scope 3 Use of Sold Products",,250000,250000,0,10,150000,,0,350,150000,200000,30,,200,150000,50000,,150000
"2035-01-17","Scope 2","Data Center",0,50000,100000,250000,0,100000,,250000,100,100000,200000,20,0,200,0,,,250000
"2020-06-13","Scope 1","Fleet Vehicles",,200000,200000,50000,,,90,50000,300,,,25,,200,250000,,200000,
"2022-07-13","Scope 2","Private Jet",10,250000,0,100000,10,150000,0,100000,50,,150000,10,200000,350,50000,250000,50000,50000
"2038-02-28","Scope 3","Commercial Building",15,150000,,150000,50,200000,,200000,150,150000,250000,0,250000,200,100000,200000,,100000
"2034-09-10","Scope 3","Scope 3 Employee Commuting",30,100000,150000,100000,20,50000,,150000,250,200000,,15,50000,200,,100000,,
"2033-05-03","Scope 2","Fleet Vehicles",20,200000,0,150000,40,250000,,250000,150,250000,100000,20,,200,,150000,,0
"2023-08-07","Scope 1","Data Center",0,50000,200000,200000,30,,,,300,50000,50000,,100000,150,200000,50000,,200000
"2036-06-18","Scope 2","Commercial Building",30,200000,50000,150000,,0,,0,250,0,0,25,150000,200,50000,0,,150000
"2029-12-10","Scope 1","Private Jet",,200000,100000,50000,,,,200000,350,,,10,,150,0,,,
"2028-09-27","Scope 3","Scope 3 Downstream Transportation Distribution",20,250000,250000,250000,10,150000,,150000,50,200000,50000,0,150000,150,250000,150000,,200000
"2032-12-20","Scope 3","Scope 3 Downstream Leased Assets",15,100000,150000,,40,250000,,50000,200,250000,0,15,250000,200,100000,0,,250000
"2037-07-24","Scope 1","Commercial Building",0,50000,,0,30,50000,,100000,100,100000,150000,30,50000,200,150000,100000,,0
"2027-04-13","Scope 2","Fleet Vehicles",10,150000,,200000,50,100000,,50000,300,150000,200000,10,200000,150,150000,250000,,50000
"2031-07-23","Scope 3","Scope 3 Upstream Leased Assets",20,200000,150000,50000,0,200000,,150000,150,50000,250000,25,100000,150,250000,200000,,150000
"2019-01-31","Scope 2","Private Jet",,250000,250000,250000,,,50,,100,,,20,,150,,250000,250000,
"2021-01-18","Scope 1","Data Center",0,50000,200000,0,,,20,0,250,,,15,,250,0,100000,150000,
"2025-10-14","Scope 1","Fleet Vehicles",30,100000,100000,100000,20,0,,200000,200,0,100000,,0,150,50000,150000,,100000
"2040-10-08","Scope 3","Scope 3 Use of Sold Products",15,150000,50000,,10,200000,,250000,50,,,0,100000,250,200000,150000,,
"2035-01-16","Scope 2","Data Center",10,250000,0,150000,0,100000,,100000,350,100000,150000,30,150000,200,100000,50000,,0
"2039-03-21","Scope 1","Commercial Building",0,100000,200000,50000,40,150000,,200000,300,150000,250000,10,,250,50000,,,50000
"2024-02-04","Scope 3","Scope 3 Franchising",30,50000,50000,150000,20,50000,,100000,150,250000,200000,25,0,150,250000,0,,200000
"2030-06-27","Scope 2","Commercial Building",20,200000,100000,100000,,250000,,250000,350,200000,50000,20,200000,200,100000,100000,,100000
"2026-07-13","Scope 2","Fleet Vehicles",10,150000,150000,,30,0,,150000,50,0,0,,50000,150,,200000,,250000
"2019-07-15","Scope 1","Private Jet",15,200000,0,100000,,,90,,250,,,15,,100,0,150000,50000,
"2035-03-13","Scope 3","Fleet Vehicles",,250000,250000,0,50,,,0,100,50000,100000,30,250000,200,200000,0,,150000
"2024-02-15","Scope 1","Private Jet",,200000,,250000,0,100000,,50000,200,50000,200000,0,250000,150,150000,100000,,100000
"2033-12-16","Scope 3","Data Center",20,50000,150000,200000,50,,,0,150,0,,25,100000,150,,200000,,0
"2021-03-22","Scope 2","Data Center",0,150000,200000,0,,,70,150000,250,,,0,,300,100000,50000,200000,
"2032-09-11","Scope 1","Commercial Building",30,100000,50000,50000,40,150000,,50000,50,150000,250000,10,,200,200000,250000,,200000
"2022-11-13","Scope 2","Data Center",10,200000,100000,150000,30,250000,30,,200,100000,150000,,150000,250,0,,0,250000
"2023-03-09","Scope 3","Scope 3 Employee Commuting",15,150000,,100000,20,200000,,200000,350,250000,50000,30,50000,150,150000,100000,,
"2040-12-11","Scope 3","Scope 3 Investments",20,250000,0,,,0,,100000,100,,0,20,0,200,50000,,,50000
"2034-05-09","Scope 2","Private Jet",15,50000,250000,250000,10,50000,,250000,300,200000,100000,15,200000,200,250000,50000,,150000
"2030-09-05","Scope 1","Commercial Building",30,100000,50000,200000,30,100000,,100000,200,50000,200000,30,,150,250000,250000,,50000
"2031-09-25","Scope 2","Fleet Vehicles",0,50000,100000,,0,50000,,50000,150,100000,50000,15,50000,150,200000,150000,,
"2026-03-24","Scope 1","Data Center",10,100000,150000,50000,20,200000,,200000,350,150000,150000,10,150000,150,50000,200000,,200000
"2028-07-09","Scope 3","Commercial Building",,250000,250000,200000,,,,,100,250000,100000,,100000,200,0,0,,0
"2025-01-25","Scope 3","Scope 3 Waste Generated in Operations",,150000,,100000,50,150000,,0,250,200000,0,0,0,150,100000,,,100000
"2039-02-18","Scope 2","Commercial Building",15,200000,0,150000,10,250000,,150000,50,0,250000,25,250000,200,150000,0,,150000
"2027-09-18","Scope 1","Private Jet",0,200000,200000,150000,40,0,,250000,300,,,20,200000,150,,100000,,250000
"2029-04-12","Scope 3","Scope 3 Downstream Leased Assets",30,50000,250000,0,30,100000,,200000,50,150000,200000,25,250000,150,50000,250000,,250000
"2036-04-07","Scope 2","Fleet Vehicles",10,100000,200000,250000,40,200000,,100000,250,50000,150000,0,100000,200,150000,150000,,100000
"2020-10-07","Scope 1","Fleet Vehicles",20,150000,50000,0,,,0,0,200,,,,,350,0,,100000,
"2038-07-18","Scope 1","Commercial Building",10,250000,,,0,50000,,50000,150,,250000,10,0,250,250000,200000,,50000
"2037-01-23","Scope 2","Private Jet",,200000,150000,100000,10,0,,250000,350,0,,30,50000,200,100000,0,,
"2024-11-22","Scope 3","Scope 3 End-Life Treatment of Sold Product",0,100000,100000,50000,20,250000,,150000,300,250000,0,20,150000,150,,50000,,200000
"2025-10-25","Scope 1","Data Center",30,250000,0,250000,,,,,100,200000,50000,15,200000,150,200000,,,0
"2020-01-30","Scope 2","Fleet Vehicles",15,50000,,150000,,,,,50,,,15,,300,,200000,,
"2033-03-18","Scope 3","Scope 3 Processing Sold Products",20,150000,50000,200000,50,150000,,250000,150,100000,100000,0,,200,0,50000,,150000
"2023-03-21","Scope 3","Scope 3 Fuel and Energy-Related Activity",20,200000,150000,50000,40,200000,,50000,200,100000,100000,10,100000,200,200000,250000,,200000
"2036-06-07","Scope 1","Private Jet",30,250000,250000,100000,50,50000,,0,100,150000,0,20,,200,150000,0,,
"2031-11-18","Scope 2","Data Center",0,100000,200000,,20,,,100000,350,200000,250000,,0,200,100000,100000,,250000
"2032-02-05","Scope 1","Commercial Building",15,200000,100000,200000,30,150000,,200000,250,,200000,30,250000,150,250000,150000,,150000
"2026-01-25","Scope 2","Data Center",,50000,0,250000,,100000,,150000,300,50000,150000,25,50000,150,50000,200000,,0
"2022-11-03","Scope 3","Private Jet",10,150000,,150000,10,0,30,250000,100,250000,50000,30,200000,100,200000,50000,150000,100000
"2035-04-08","Scope 2","Fleet Vehicles",0,250000,100000,0,0,250000,,,200,0,,25,150000,200,,0,,50000
"2030-05-15","Scope 1","Commercial Building",15,200000,250000,,30,50000,,50000,250,250000,200000,15,0,200,100000,250000,,
"2037-01-15","Scope 3","Scope 3 Purchased Goods Services",30,50000,200000,0,,,,200000,150,100000,250000,0,150000,200,50000,100000,,50000
"2027-05-20","Scope 1","Private Jet",,150000,150000,50000,20,250000,,100000,50,,100000,,50000,150,250000,,,200000
"2021-07-16","Scope 3","Scope 3 Upstream Transportation Distribution",10,100000,0,150000,,,20,0,300,,,20,,200,150000,150000,,
"2039-09-05","Scope 2","Fleet Vehicles",20,50000,50000,100000,0,0,,150000,350,50000,,10,100000,250,0,200000,,0
"2028-01-07","Scope 2","Data Center",20,150000,100000,250000,10,200000,,100000,50,0,150000,10,250000,150,0,50000,,150000
"2019-01-06","Scope 3","Scope 3 Downstream Transportation Distribution",0,200000,150000,200000,,,50,,200,,,15,,150,250000,250000,200000,
"2034-07-12","Scope 1","Private Jet",10,250000,50000,200000,40,150000,,50000,350,200000,50000,0,,150,200000,0,,250000
"2038-10-23","Scope 2","Fleet Vehicles",,100000,200000,,50,100000,,150000,250,150000,0,25,200000,200,150000,100000,,100000
"2029-12-07","Scope 1","Commercial Building",15,200000,250000,150000,20,200000,,200000,300,250000,100000,,150000,150,50000,150000,,200000
"2040-07-19","Scope 3","Scope 3 Capital Goods",30,100000,0,250000,0,250000,,0,100,200000,50000,30,250000,250,,,,150000
"2026-04-16","Scope 2","Commercial Building",0,150000,,150000,50,100000,,250000,150,,0,20,0,150,100000,100000,,0
"2027-06-03","Scope 1","Data Center",10,150000,250000,100000,,150000,,150000,350,150000,200000,0,100000,150,50000,,,50000
"2028-12-26","Scope 3","Scope 3 Uncategorized Emissions",30,50000,150000,0,30,0,,200000,50,50000,250000,20,200000,150,250000,250000,,250000
"2037-03-02","Scope 1","Fleet Vehicles",20,250000,,50000,40,,,0,150,0,150000,25,,250,,100000,,
"2034-12-12","Scope 2","Private Jet",15,200000,200000,0,10,50000,,,300,100000,,15,50000,200,0,100000,,100000
"2022-06-03","Scope 3","Scope 3 Business Travel",,250000,100000,150000,20,200000,0,100000,100,,100000,,0,300,150000,0,0,0
"2040-09-28","Scope 2","Data Center",0,100000,0,,30,,,250000,250,0,50000,30,150000,250,200000,150000,,250000
"2030-12-14","Scope 1","Private Jet",10,50000,50000,200000,50,250000,,50000,200,200000,0,10,,150,100000,50000,,150000
"2033-03-31","Scope 3","Scope 3 Employee Commuting",15,150000,50000,50000,,50000,,50000,150,150000,,10,50000,200,0,200000,,200000
"2036-12-30","Scope 3","Scope 3 Investments",20,50000,200000,250000,10,0,,200000,300,100000,250000,20,100000,200,250000,100000,,50000
"2039-12-20","Scope 2","Commercial Building",,200000,100000,150000,0,100000,,100000,50,50000,200000,15,250000,250,100000,0,,100000
"2020-10-16","Scope 1","Fleet Vehicles",30,100000,,100000,,,90,0,100,,,30,,250,50000,,100000,
"2021-05-08","Scope 1","Commercial Building",0,200000,150000,250000,,,,250000,350,,,,,350,,200000,250000,
"2025-11-17","Scope 3","Scope 3 Purchased Goods Services",20,250000,0,200000,40,150000,,150000,200,250000,150000,0,200000,150,200000,50000,,
"2038-10-12","Scope 2","Private Jet",,150000,250000,100000,20,100000,,,250,0,250000,25,0,200,150000,,,200000
"2035-12-14","Scope 3","Scope 3 Fuel and Energy-Related Activity",15,200000,200000,0,10,150000,,,300,100000,0,,200000,250,150000,150000,,250000
"2032-03-27","Scope 2","Data Center",30,250000,,50000,40,,,100000,350,150000,200000,10,50000,200,200000,250000,,100000
"2029-09-07","Scope 1","Data Center",10,50000,150000,,50,250000,,250000,100,250000,,15,100000,150,0,0,,50000
"2024-10-17","Scope 2","Fleet Vehicles",30,100000,250000,150000,,0,,50000,50,50000,100000,0,,150,250000,200000,,150000
"2031-02-11","Scope 3","Data Center",,150000,0,200000,0,50000,,0,200,200000,150000,20,250000,150,,250000,,
"2023-07-29","Scope 1","Commercial Building",15,100000,100000,150000,30,200000,,150000,150,,50000,25,150000,150,100000,100000,,0
"2019-06-04","Scope 1","Private Jet",10,50000,50000,250000,,,70,200000,250,,,30,,200,50000,,50000,
"2021-07-29","Scope 2","Data Center",20,200000,200000,,,,90,0,100,,,,,100,100000,50000,0,
"2037-08-16","Scope 3","Scope 3 Upstream Transportation Distribution",0,250000,50000,100000,30,150000,,50000,50,0,150000,25,100000,200,50000,150000,,0
"2023-04-13","Scope 3","Scope 3 Downstream Leased Assets",30,150000,250000,0,40,0,,100000,200,50000,,30,50000,150,0,0,,
"2026-04-20","Scope 2","Fleet Vehicles",15,100000,150000,50000,0,250000,,200000,250,200000,50000,15,150000,150,,100000,,150000
"2033-10-21","Scope 1","Private Jet",,150000,100000,150000,10,50000,,,350,100000,100000,20,0,150,250000,,,250000
"2022-12-07","Scope 3","Scope 3 Use of Sold Products",0,200000,0,200000,,200000,0,250000,300,250000,200000,0,250000,150,200000,250000,100000,100000
"2031-02-14","Scope 2","Fleet Vehicles",20,250000,,250000,50,,,150000,150,,250000,10,,200,150000,0,,50000
"2028-08-30","Scope 1","Data Center",10,50000,250000,100000,20,100000,,250000,100,150000,0,15,200000,200,100000,50000,,200000
"2036-06-28","Scope 2","Private Jet",0,250000,150000,50000,0,100000,,100000,50,150000,0,0,150000,200,150000,150000,,200000
"2020-03-25","Scope 1","Commercial Building",10,150000,0,0,,,,150000,300,,,20,,200,0,200000,200000,
"2039-11-19","Scope 3","Commercial Building",15,200000,200000,,40,,,50000,200,200000,100000,25,50000,200,50000,250000,,100000
"2030-01-13","Scope 3","Scope 3 Upstream Leased Assets",,100000,100000,50000,50,0,,200000,250,250000,,10,250000,200,200000,,,150000
"2040-04-18","Scope 2","Fleet Vehicles",20,50000,,200000,,150000,,0,150,,150000,30,0,250,,150000,,50000
"2029-11-11","Scope 1","Commercial Building",30,150000,50000,150000,30,200000,,,350,0,50000,,,150,250000,100000,,250000
"2019-07-29","Scope 1","Commercial Building",0,200000,150000,,,,70,100000,200,,,15,,300,200000,0,250000,
"2027-02-01","Scope 2","Private Jet",15,250000,100000,250000,20,50000,,250000,100,50000,250000,25,100000,150,100000,50000,,0
"2035-02-05","Scope 3","Scope 3 End-Life Treatment of Sold Product",30,100000,,100000,10,250000,,50000,150,100000,200000,0,200000,200,,200000,,
"2032-03-07","Scope 2","Fleet Vehicles",10,50000,50000,0,30,150000,,0,350,100000,0,,250000,150,0,0,,0
"2034-05-30","Scope 1","Data Center",20,150000,200000,150000,,0,,200000,300,150000,100000,10,200000,200,50000,,,50000
"2025-12-28","Scope 3","Fleet Vehicles",,100000,250000,,40,,,,50,250000,150000,20,50000,200,250000,250000,,
"2024-06-18","Scope 2","Private Jet",15,50000,0,100000,0,50000,,150000,250,,200000,30,150000,150,150000,100000,,100000
"2038-03-29","Scope 3","Scope 3 Franchising",30,200000,50000,50000,50,200000,,150000,300,200000,50000,30,,250,200000,50000,,250000
"2031-03-04","Scope 1","Commercial Building",10,250000,250000,200000,10,100000,,100000,350,0,250000,10,0,200,150000,200000,,200000
"2032-06-11","Scope 1","Fleet Vehicles",,250000,0,250000,20,250000,,50000,150,50000,,0,100000,150,,150000,,150000
"2033-08-08","Scope 2","Data Center",0,200000,,0,50,150000,,0,200,150000,50000,15,,200,100000,150000,,0
"2028-07-22","Scope 3","Scope 3 Processing Sold Products",20,50000,200000,100000,30,200000,,250000,250,0,,,200000,150,50000,,,250000
"2034-12-23","Scope 3","Scope 3 Downstream Transportation Distribution",0,100000,100000,50000,,100000,,200000,50,100000,150000,20,250000,200,250000,0,,
"2036-02-16","Scope 2","Commercial Building",,200000,150000,150000,20,0,,,100,,0,25,50000,250,0,0,,150000
"2037-12-13","Scope 1","Data Center",15,150000,150000,0,0,,,100000,50,250000,250000,0,150000,200,200000,50000,,50000
"2029-03-09","Scope 3","Scope 3 Uncategorized Emissions",30,100000,50000,,10,250000,,,100,50000,200000,25,100000,150,150000,200000,,100000
"2020-08-08","Scope 2","Fleet Vehicles",20,250000,0,150000,,,30,0,350,,,10,,250,0,100000,150000,
"2021-05-15","Scope 1","Private Jet",10,50000,,200000,,,50,250000,150,,,30,,100,,250000,,
"2038-03-12","Scope 2","Data Center",0,150000,200000,250000,40,50000,,200000,300,200000,100000,15,0,200,50000,150000,,200000
"2027-10-15","Scope 1","Private Jet",30,200000,250000,250000,10,50000,,50000,200,50000,0,,150000,150,100000,50000,,50000
"2022-09-23","Scope 3","Scope 3 Waste Generated in Operations",,100000,100000,200000,20,,20,150000,250,150000,250000,20,0,150,250000,,50000,
"2019-05-05","Scope 3","Scope 3 Business Travel",20,200000,250000,100000,,,90,200000,250,,,15,,350,0,100000,,
"2024-08-24","Scope 1","Fleet Vehicles",15,150000,0,50000,30,150000,,100000,200,,,20,50000,150,,150000,,250000
"2035-12-29","Scope 2","Commercial Building",10,200000,100000,100000,,0,,,350,0,100000,10,250000,200,50000,0,,0
"2039-07-23","Scope 3","Scope 3 Capital Goods",15,50000,,0,40,200000,,250000,50,250000,150000,30,,250,150000,250000,,150000
"2030-09-28","Scope 1","Data Center",20,250000,50000,,0,250000,,150000,300,200000,50000,25,100000,200,200000,0,,100000
"2040-05-24","Scope 2","Private Jet",30,50000,150000,150000,50,100000,,0,150,100000,200000,0,200000,200,250000,200000,,200000
"2026-01-02","Scope 2","Fleet Vehicles",0,200000,200000,100000,50,100000,,50000,100,150000,,,250000,150,100000,150000,,
"2023-01-19","Scope 1","Data Center",,250000,0,,30,200000,,100000,300,50000,50000,,50000,150,150000,0,,100000
"2025-03-14","Scope 3","Private Jet",10,100000,100000,0,10,,,,50,200000,200000,10,150000,150,50000,100000,,0
"2022-11-11","Scope 2","Private Jet",30,150000,250000,50000,40,250000,50,150000,250,0,150000,20,0,300,100000,,100000,50000
"2037-08-21","Scope 1","Commercial Building",10,150000,50000,200000,0,150000,,0,100,100000,100000,25,,200,0,150000,,250000
"2024-01-11","Scope 3","Fleet Vehicles",20,100000,200000,150000,,0,,250000,150,250000,250000,15,200000,150,200000,50000,,200000
"2021-06-22","Scope 1","Fleet Vehicles",,200000,,250000,,,0,200000,200,,,30,,150,,,250000,
"2027-03-22","Scope 2","Data Center",0,50000,150000,0,20,50000,,50000,350,,0,0,100000,150,250000,250000,,150000
"2028-02-18","Scope 3","Scope 3 Processing Sold Products",15,250000,150000,150000,50,50000,,200000,250,250000,,,50000,200,150000,200000,,
"2038-09-01","Scope 2","Commercial Building",30,200000,50000,150000,30,250000,,,200,,50000,25,150000,250,50000,0,,0
"2031-10-03","Scope 1","Commercial Building",0,200000,,50000,10,,,100000,300,0,200000,15,,200,,0,,150000
"2020-05-26","Scope 3","Scope 3 Business Travel",15,100000,0,100000,,,,150000,50,,,20,,250,250000,50000,50000,
"2035-07-24","Scope 3","Scope 3 Use of Sold Products",10,50000,200000,,40,150000,,0,150,100000,150000,10,250000,200,200000,250000,,200000
"2033-02-21","Scope 1","Private Jet",,250000,250000,250000,20,0,,50000,350,200000,250000,0,100000,200,100000,200000,,50000
"2030-07-14","Scope 2","Data Center",20,150000,100000,200000,,200000,,250000,100,50000,100000,30,200000,150,0,100000,,100000
"2023-10-02","Scope 1","Commercial Building",15,50000,100000,0,0,100000,,,100,150000,0,15,0,150,50000,150000,,250000
"2019-04-18","Scope 2","Private Jet",20,200000,250000,150000,,,70,150000,50,,,25,,200,0,,150000,
"2032-08-18","Scope 3","Scope 3 Downstream Leased Assets",10,150000,,200000,0,100000,,0,150,50000,200000,30,150000,150,150000,,,
"2036-04-27","Scope 2","Data Center",0,100000,50000,250000,20,0,,100000,300,150000,250000,10,0,200,,100000,,100000
"2039-03-31","Scope 3","Scope 3 Capital Goods",,250000,200000,50000,50,50000,,250000,250,200000,0,0,100000,200,200000,50000,,200000
"2026-01-07","Scope 1","Fleet Vehicles",30,200000,0,,,250000,,50000,350,,150000,,250000,150,100000,150000,,50000
