"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Diesel","Stationary","JLP Square South","Comercial Building","ARG","2020-02-06","Europe",41,140,400000,12,120000,500000,67688,28,0.19,42857,129,3560,34345,100000,17000000,2258,22345,6,0.37,12301,123324,66544,52821,29000000,364000,12454,79463,2705000,13,12.8,15000,941,4,30000
"Electricity","Stationary","Centre St Tower 4","Comercial Building","USA","2019-02-15","AMER",92,3283,450000,26,154000,450000,56634,21,0.24,44000,280,3560,43566,123678,14000000,1182,21234,10,0.59,14857,123324,34124,73290,31023124,397000,12354,85872,2370000,305,10.4,18608,941,3.5,30800
"Refrigerant","Stationary","South Longs Peak","Comercial Building","IND","2021-03-08","Southeast Asia",94,2142,400000,13,135000,500000,76855,8,4.97,57857,140,3139,23454,123678,15000000,1691,21234,7,10.02,10983,123324,66544,23563,29000000,462000,12354,77604,35000,199,13.8,15000,829,4,40500
"Steam","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2022-04-15","Central Asia",45,3692,300000,1,120000,450000,56634,13,2.52,25714,11,3560,34345,150000,17000000,1165,34543,5,5.15,17297,123324,34124,32399,31023124,479000,53423,17487,15000,343,13.4,18608,941,2.3,18000
"Natural Gas","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2020-03-17","EMEA",96,4198,350000,5,154000,400000,67688,23,2.52,55000,54,3139,43566,100000,14000000,1215,22345,6,5.15,17379,123324,45443,37390,35000000,499000,12454,9556,2741000,390,12.8,21323,829,4.5,38500
"Electricity","Data Center","Business Travel FY22","Data Center","ARG","2019-04-30","Southeast Asia",60,614,450000,28,135000,350000,67688,13,0.19,48214,301,3139,34345,100000,14000000,484,34543,5,0.37,16564,123324,66544,58165,35000000,383000,53423,15476,3100000,57,14.2,15000,829,3.8,33750
"Cooling","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2022-12-31","Middle East",82,646,350000,24,120000,300000,76855,26,0.22,25714,258,3560,23454,150000,15000000,443,21234,3,0.45,18383,123324,34124,57418,31023124,456000,12454,85786,24000,60,12.2,21323,941,5.5,18000
"FuelOil","Stationary","513 Severing St","Comercial Building","SGP","2021-10-21","APAC",80,764,400000,19,154000,400000,56634,16,0.42,44000,205,3139,43566,123678,17000000,1516,22345,6,0.85,19230,123324,45443,64407,29000000,395000,12354,91059,3232000,71,10,18608,829,2.2,30800
"Propane","Stationary","Centre St Tower 8","Comercial Building","BRA","2020-09-05","North America",35,1023,250000,1,154000,300000,56634,26,1.05,66000,11,3560,43566,100000,15000000,1298,21234,4,2.13,12712,123324,34124,15779,31023124,382000,12354,8670,32000,95,12.5,15000,941,3,46200
"Diesel","Stationary","North Longs Peak","Comercial Building","ARG","2021-04-16","South America",88,4316,350000,7,135000,350000,76855,26,0.19,48214,75,3139,34345,123678,17000000,2032,34543,6,0.37,14596,123324,66544,58938,35000000,378000,53423,96341,2845000,401,11.1,18608,829,3.2,33750
"Heat","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","JPN","2020-12-10","LATAM",89,947,250000,28,120000,450000,67688,2,2.52,25714,301,3560,23454,150000,14000000,455,22345,6,5.15,10840,123324,45443,14045,29000000,482000,12454,19569,21000,88,13.9,21323,941,2.3,18000
"Refrigerant","Scope 3","Business Travel FY19","Scope 3","MAR","2019-03-07","Europe",97,1916,400000,26,120000,500000,67688,29,0.22,51429,280,3139,23454,100000,15000000,671,22345,8,0.45,10818,123324,34124,22419,31023124,438000,12354,89896,2016000,178,12.6,21323,829,1.6,36000
"Natural Gas","Stationary","140 Mission St","Comercial Building","USA","2022-05-26","AMER",74,1647,450000,26,135000,450000,56634,8,0.24,38571,280,3560,34345,150000,14000000,592,34543,4,0.59,17837,123324,45443,62799,35000000,447000,53423,77248,25000,153,12,18608,941,5.7,27000
"Electricity","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","SGP","2019-08-09","ANZ",92,1044,450000,3,154000,500000,76855,17,0.42,44000,32,3139,43566,123678,17000000,1471,21234,9,0.85,16775,123324,66544,81144,29000000,376000,12454,19306,2243000,97,12.1,15000,829,5.1,30800
"FuelOil","Vehicle","Company Jet #1","Private Jet","CHN","2020-01-04","Central Asia",71,700,400000,7,135000,350000,56634,23,3.2,57857,75,3560,34345,100000,17000000,1458,22345,7,3.12,18141,123324,45443,28584,29000000,483000,53423,8442,21000,65,11.8,18608,941,1.1,40500
"Diesel","Stationary","TX - Marion","Comercial Building","CHN","2022-07-06","APAC",67,4273,300000,19,154000,300000,76855,3,3.2,55000,205,3560,43566,150000,14000000,1023,34543,4,3.12,14647,123324,34124,26362,35000000,421000,12354,79761,20000,397,13.6,15000,941,4,38500
"Heat","Scope 3","Business Travel FY20","Scope 3","FRA","2021-07-03","EMEA",82,1216,350000,6,120000,400000,67688,2,3.39,25714,65,3560,23454,123678,15000000,2013,21234,6,6.87,17585,123324,66544,86359,31023124,364000,12454,3264,3163000,113,10.3,21323,941,1.7,18000
"Propane","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2022-12-02","ANZ",34,3358,350000,11,135000,500000,76855,12,0.42,38571,118,3560,34345,100000,14000000,611,22345,7,0.85,12771,123324,45443,91762,31023124,493000,53423,85435,3210000,312,13.7,21323,941,6,27000
"Steam","Stationary","West Longs Peak","Comercial Building","BRA","2021-08-16","South America",30,3897,350000,3,154000,300000,56634,12,1.05,55000,32,3139,23454,150000,17000000,1246,34543,10,2.13,15748,123324,66544,81642,35000000,477000,12354,19734,17000,362,11.4,18608,829,1.6,38500
"Cooling","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-01-18","EMEA",90,2863,400000,25,120000,400000,67688,5,3.39,25714,269,3560,43566,123678,15000000,2278,21234,8,6.87,14984,123324,34124,42592,29000000,496000,12454,81725,31000,266,14.1,15000,941,4,18000
"Diesel","Data Center","Value Chain","Data Center","MAR","2019-05-10","North America",56,1894,400000,17,154000,350000,56634,8,0.22,66000,183,3139,43566,100000,17000000,1742,22345,7,0.45,18436,123324,66544,99204,35000000,400000,12454,16664,3303000,176,12.8,15000,829,2.3,46200
"Electricity","Stationary","East Longs Peak","Comercial Building","IND","2022-01-11","Southeast Asia",53,4370,400000,28,120000,450000,76855,20,4.97,42857,301,3560,23454,150000,14000000,636,21234,5,10.02,11739,123324,45443,66580,31023124,367000,53423,99468,11000,406,12.7,21323,941,0.5,30000
"Heat","Stationary","ARL-WQ7 DC 9W","Comercial Building","AUS","2019-03-20","Middle East",58,2508,250000,21,135000,400000,67688,22,4.19,28929,226,3560,34345,123678,15000000,1709,34543,6,8.45,16202,123324,34124,88353,29000000,392000,12354,7429,2177000,233,10.1,18608,941,1.6,20250
"FuelOil","Stationary","West Longs Peak","Comercial Building","BRA","2020-05-01","South America",69,4445,400000,9,154000,500000,67688,11,1.05,44000,97,3139,23454,150000,17000000,1325,21234,10,2.13,14699,123324,45443,18283,31023124,464000,12454,95668,30000,413,10.4,21323,829,2.7,30800
"Propane","Data Center","*AMER Financed Emissions","Data Center","ARG","2021-06-14","AMER",100,3832,350000,19,135000,350000,56634,7,0.19,57857,205,3139,43566,100000,15000000,969,34543,9,0.37,12090,123324,66544,51091,35000000,382000,53423,95127,2106000,356,11.2,15000,829,4.4,40500
"Steam","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2019-10-29","LATAM",54,3175,450000,14,120000,300000,76855,11,0.19,42857,151,3560,34345,123678,14000000,1582,22345,10,0.37,18213,123324,34124,19488,29000000,473000,12354,88507,20000,295,13.6,18608,941,1.3,30000
"Cooling","Stationary","TX - Marion","Comercial Building","CHN","2022-08-21","APAC",51,969,250000,4,135000,450000,67688,9,3.2,38571,43,3560,43566,123678,17000000,2060,21234,4,3.12,18201,123324,34124,37015,31023124,427000,12454,78513,2511000,90,10.2,15000,941,1.1,27000
"Natural Gas","Stationary","Straight St Tower 4","Comercial Building","AUS","2021-01-15","AMER",36,1066,400000,1,120000,450000,56634,23,4.19,25714,11,3139,23454,100000,14000000,1302,34543,10,8.45,17804,123324,45443,14690,35000000,482000,12354,18207,15000,99,13,18608,829,5.3,18000
"Refrigerant","Stationary","Centre St Tower 8","Comercial Building","IND","2020-09-09","North America",78,4241,400000,1,154000,500000,76855,24,4.97,66000,11,3139,34345,150000,15000000,439,22345,4,10.02,16791,123324,66544,94851,29000000,433000,53423,3596,2025000,394,12.6,21323,829,5.5,46200
"Refrigerant","Scope 3","Freight Hauling - downstream distribution FY21","Scope 3","GBR","2020-03-31","Central Asia",57,818,300000,4,154000,400000,76855,24,5.99,33000,43,3139,43566,100000,17000000,1931,34543,8,12.14,10194,123324,45443,77987,35000000,500000,12354,17260,3326000,76,13.7,18608,829,1.8,23100
"Steam","Data Center","*Business Travel FY21","Data Center","JPN","2021-08-23","Central America",59,4273,400000,14,120000,300000,67688,23,2.52,51429,151,3139,23454,150000,14000000,1046,21234,6,5.15,15093,123324,34124,25581,31023124,367000,12454,7344,17000,397,11.5,15000,829,3.4,36000
"Heat","Stationary","East Longs Peak","Comercial Building","IND","2022-05-09","Southeast Asia",40,2831,350000,4,135000,350000,56634,28,4.97,48214,43,3560,34345,123678,15000000,790,22345,9,10.02,17731,123324,66544,39018,29000000,406000,53423,79085,12000,263,14.4,21323,941,3.9,33750
"Cooling","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2019-10-30","ANZ",86,1421,350000,12,135000,450000,76855,22,0.42,38571,129,3560,34345,100000,17000000,1680,22345,5,0.85,19608,123324,66544,15908,31023124,446000,12454,78683,2960000,132,14.7,21323,941,1.2,27000
"Electricity","Stationary","Billhaus CTAW P4A","Comercial Building","USA","2022-06-30","ANZ",66,3541,450000,2,120000,300000,56634,10,0.24,34286,22,3139,43566,150000,14000000,1220,21234,3,0.59,17255,123324,45443,81534,35000000,394000,12354,96024,24000,329,10.5,15000,829,1,24000
"Diesel","Stationary","217 Xevering St","Comercial Building","USA","2019-09-05","APAC",90,743,250000,26,154000,350000,67688,16,0.24,66000,280,3139,23454,123678,15000000,473,34543,5,0.59,14418,123324,34124,47518,29000000,352000,53423,95526,2179000,69,14.3,18608,829,0.7,46200
"FuelOil","Stationary","513 Severing St","Comercial Building","SGP","2020-07-29","APAC",85,1948,400000,27,135000,400000,76855,11,0.42,48214,291,3560,43566,150000,15000000,804,34543,3,0.85,12223,123324,45443,80069,35000000,421000,53423,87765,3118000,181,12.8,15000,941,0.6,33750
"Natural Gas","Stationary","Centre St Tower 4","Comercial Building","USA","2021-05-08","AMER",65,689,450000,3,120000,500000,56634,8,0.24,25714,32,3139,34345,123678,17000000,914,22345,6,0.59,18671,123324,34124,43015,31023124,404000,12454,16462,16000,64,14.8,18608,829,4.1,18000
"Propane","Scope 3","Business Travel FY19","Scope 3","CAN","2019-08-06","Southeast Asia",76,4768,400000,10,154000,400000,67688,18,2.68,44000,108,3139,23454,100000,14000000,332,21234,5,5.4,10871,123324,66544,72338,29000000,431000,12354,4530,2177000,443,13.5,21323,829,5.4,30800
"Natural Gas","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2022-01-25","EMEA",63,2745,350000,6,135000,450000,67688,9,2.52,57857,65,3560,34345,123678,17000000,1568,21234,3,5.15,16358,123324,45443,84862,31023124,453000,12354,19288,23000,255,11.5,18608,941,4.7,40500
"FuelOil","Stationary","140 Mission St","Comercial Building","USA","2020-04-17","AMER",46,3670,350000,10,154000,350000,56634,17,0.24,55000,108,3560,43566,150000,14000000,660,34543,10,0.59,19060,123324,34124,41340,35000000,449000,53423,2951,2943000,341,14.9,21323,941,3.7,38500
"Cooling","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","BRA","2021-04-27","South America",92,2573,400000,23,120000,500000,76855,1,1.05,25714,248,3139,23454,100000,15000000,1566,22345,5,2.13,14729,123324,66544,93759,29000000,378000,12454,6401,31000,239,10.7,15000,829,2.9,18000
"Refrigerant","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2019-06-01","Central Asia",60,2207,400000,10,120000,300000,56634,10,2.52,25714,108,3560,23454,123678,17000000,396,22345,6,5.15,19951,123324,34124,67592,31023124,451000,12454,99202,19000,205,13,21323,941,0.9,18000
"Steam","Scope 3","Value Chain","Scope 3","IRL","2022-08-14","Middle East",99,2874,400000,12,154000,300000,67688,19,0.01,44000,129,3560,34345,100000,14000000,1817,34543,3,0.02,11666,123324,45443,86819,35000000,362000,53423,17283,2037000,267,14.4,18608,941,0.1,30800
"Heat","Data Center","Business Travel FY18","Data Center","USA","2021-05-31","EMEA",42,592,250000,20,135000,500000,76855,13,0.24,48214,215,3139,43566,150000,15000000,1529,21234,3,0.59,12755,123324,66544,94971,29000000,414000,12354,85293,10000,55,14.4,15000,829,3.1,33750
"Propane","Stationary","230 Burlingame Ave.","Comercial Building","AUS","2020-10-14","Europe",84,635,400000,27,120000,350000,56634,11,4.19,51429,291,3139,34345,150000,15000000,2291,22345,7,8.45,11876,123324,45443,81426,35000000,495000,12354,98178,2866000,59,13.2,15000,829,0.1,36000
"Electricity","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2020-06-10","Middle East",97,4585,450000,16,154000,450000,67688,20,0.22,44000,172,3560,23454,123678,14000000,793,34543,5,0.45,15287,123324,66544,78964,29000000,394000,53423,87457,3054000,426,13.6,21323,941,0.6,30800
"Diesel","Vehicle","Company Jet #2","Private Jet","ARG","2021-08-31","LATAM",69,1173,300000,23,135000,400000,76855,26,0.19,48214,248,3139,43566,100000,17000000,812,21234,4,0.37,14429,123324,34124,61292,31023124,430000,12454,19525,21000,109,14.8,18608,829,4.9,33750
"Diesel","Vehicle","Company Shuttle #2","Fleet Vehicle","FRA","2022-11-08","ANZ",87,1873,350000,4,120000,350000,67688,8,3.39,51429,43,3560,23454,150000,15000000,1206,34543,7,6.87,10803,123324,45443,27993,29000000,489000,53423,77397,10000,174,12.7,18608,941,4.8,36000
"Heat","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2019-07-19","LATAM",81,3025,400000,23,154000,500000,56634,26,0.22,33000,248,3139,43566,100000,14000000,1866,21234,9,0.45,19615,123324,66544,45075,35000000,444000,12454,70441,2751000,281,10.5,15000,829,5.4,23100
"FuelOil","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","MAR","2022-12-16","APAC",73,161,250000,3,135000,400000,76855,25,0.22,57857,32,3560,34345,123678,17000000,2021,22345,7,0.45,15288,123324,34124,65785,31023124,368000,12354,19014,2525000,15,11.7,21323,941,2.1,40500
"Electricity","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2019-02-13","Central America",70,3757,450000,26,120000,450000,56634,24,0.24,25714,280,3560,23454,150000,17000000,1482,22345,7,0.59,11003,123324,45443,66842,29000000,471000,12454,6485,29000,349,15,18608,941,5.5,18000
"Cooling","Stationary","*Cirrus Tower","Comercial Building","USA","2020-07-03","AMER",66,2034,350000,19,154000,300000,76855,13,0.24,44000,205,3139,43566,123678,14000000,1719,21234,8,0.59,15400,123324,66544,87967,35000000,451000,53423,94893,2254000,189,13.9,21323,829,3,30800
"Steam","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2021-05-14","North America",30,743,400000,23,135000,300000,67688,9,1.05,48214,248,3139,34345,100000,15000000,491,34543,3,2.13,10473,123324,34124,35634,31023124,376000,12354,15554,17000,69,13.4,15000,829,3.1,33750
"Refrigerant","Data Center","Business Travel FY20","Data Center","CHN","2022-05-11","North America",87,4316,350000,15,135000,500000,76855,1,3.2,48214,161,3560,23454,100000,15000000,1883,22345,10,3.12,10181,123324,66544,10315,31023124,380000,12454,17245,2283000,401,10.4,21323,941,0.8,33750
"Propane","Stationary","JLP Square North","Comercial Building","FRA","2019-04-28","Europe",53,161,400000,9,154000,450000,56634,6,3.39,44000,97,3139,43566,150000,17000000,934,34543,8,6.87,11883,123324,34124,39807,35000000,499000,12354,5261,35000,15,13.5,15000,829,4.9,30800
"Natural Gas","Scope 3","Business Travel FY22","Scope 3","IND","2021-12-17","Southeast Asia",56,4284,400000,15,120000,400000,67688,10,4.97,25714,161,3139,34345,123678,14000000,1167,21234,6,10.02,10153,123324,45443,86359,29000000,497000,53423,78810,14000,398,14.2,18608,829,2.7,18000
"Diesel","Stationary","JLP Square South","Comercial Building","ARG","2020-06-10","Europe",79,3563,250000,12,120000,350000,76855,30,0.19,51429,129,3560,43566,100000,15000000,1968,21234,6,0.37,13602,123324,45443,84888,35000000,433000,12354,70614,2189000,331,12,21323,941,5.4,36000
"Steam","Vehicle","Company Jet #1","Private Jet","GBR","2022-04-09","South America",93,2067,400000,26,135000,300000,67688,8,5.99,48214,280,3560,23454,150000,14000000,1663,34543,6,12.14,19897,123324,66544,85271,29000000,413000,12454,78651,3156000,192,14.9,15000,941,3.4,33750
"FuelOil","Stationary","South Longs Peak","Comercial Building","IND","2020-12-07","Southeast Asia",73,172,400000,9,154000,450000,56634,13,4.97,66000,97,3560,34345,123678,17000000,1599,22345,10,10.02,13881,123324,34124,59972,31023124,439000,53423,73751,32000,16,12.1,18608,941,1.4,46200
"Natural Gas","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2019-09-02","Central America",86,3832,450000,23,120000,500000,76855,29,5.99,34286,248,3139,23454,150000,17000000,1344,22345,7,12.14,17179,123324,66544,12232,29000000,365000,12354,97869,11000,356,13.3,18608,829,4.7,24000
"Propane","Stationary","81 Rue Mocklie","Comercial Building","FRA","2021-12-23","EMEA",63,1722,400000,22,135000,400000,67688,4,3.39,28929,237,3139,43566,123678,15000000,1850,34543,5,6.87,18835,123324,34124,15010,31023124,483000,12454,17011,2369000,160,12.5,21323,829,5.4,20250
"Cooling","Stationary","ARL-WQ7 DC 9W","Comercial Building","SGP","2022-06-16","Middle East",44,1722,350000,11,154000,350000,56634,11,0.42,33000,118,3560,34345,100000,14000000,851,21234,6,0.85,13743,123324,45443,28218,35000000,373000,53423,83913,2161000,160,14.3,15000,941,1.7,23100
"Refrigerant","Stationary","North Longs Peak","Comercial Building","ARG","2021-06-28","South America",70,1001,400000,21,120000,450000,67688,8,0.19,42857,226,3139,23454,100000,14000000,1478,22345,3,0.37,11801,123324,66544,71564,29000000,393000,53423,82699,31000,93,15,15000,829,2.9,30000
"Electricity","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2020-11-02","Central Asia",48,3983,400000,9,135000,300000,56634,25,0.01,57857,97,3139,43566,123678,17000000,627,34543,10,0.02,18612,123324,45443,57571,31023124,439000,12454,94878,14000,370,12.8,21323,829,3,40500
"Heat","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2019-02-27","Central America",42,4413,350000,18,154000,500000,76855,10,5.99,44000,194,3560,34345,150000,15000000,1785,21234,4,12.14,18193,123324,34124,61869,35000000,430000,12354,9257,2414000,410,13.9,18608,941,5.7,30800
"Cooling","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","CAN","2020-01-24","Central Asia",57,4725,300000,6,135000,400000,56634,26,2.68,57857,65,3139,43566,100000,15000000,1976,22345,10,5.4,14786,123324,45443,95337,31023124,354000,53423,19809,25000,439,13.9,15000,829,3.3,40500
"Propane","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2019-05-20","Central Asia",66,2788,400000,2,154000,350000,76855,28,2.52,55000,22,3560,34345,123678,17000000,1353,21234,6,5.15,10456,123324,66544,90980,29000000,446000,12354,72523,2492000,259,13.8,18608,941,3.1,38500
"FuelOil","Data Center","Business Travel FY18","Data Center","JPN","2022-06-01","North America",71,2777,250000,15,120000,450000,67688,28,2.52,34286,161,3560,23454,150000,14000000,861,34543,8,5.15,11106,123324,34124,36584,35000000,487000,12454,2906,29000,258,10.9,21323,941,3.9,24000
"Refrigerant","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2021-11-11","EMEA",31,3670,350000,18,120000,300000,56634,21,2.52,25714,194,3139,34345,123678,15000000,2220,21234,7,5.15,16147,123324,45443,24550,31023124,426000,12454,17957,2646000,341,13.2,15000,829,2.6,18000
"Electricity","Stationary","East Longs Peak","Comercial Building","IND","2022-05-11","Southeast Asia",89,3143,350000,25,135000,350000,76855,20,4.97,28929,269,3560,23454,100000,17000000,1218,34543,5,10.02,17225,123324,66544,55752,35000000,357000,12354,15597,11000,292,12,18608,941,4.8,20250
"Steam","Scope 3","Business Travel FY20","Scope 3","USA","2021-03-14","EMEA",75,560,450000,2,154000,500000,67688,11,0.24,44000,22,3560,43566,150000,14000000,601,22345,5,0.59,17962,123324,34124,73746,29000000,354000,53423,18158,3446000,52,12.5,21323,941,0.7,30800
"Heat","Stationary","West Longs Peak","Comercial Building","BRA","2020-04-23","South America",62,420,400000,27,154000,400000,67688,12,1.05,66000,291,3139,23454,150000,15000000,871,34543,10,2.13,13834,123324,66544,75866,29000000,444000,12354,77461,23000,39,11.6,18608,829,5.3,46200
"Natural Gas","Data Center","Business Travel FY19","Data Center","BRA","2019-11-17","ANZ",68,893,400000,28,135000,350000,76855,28,1.05,48214,301,3560,34345,123678,14000000,880,21234,10,2.13,14922,123324,34124,24799,31023124,364000,53423,6853,3421000,83,11.2,21323,941,2.6,33750
"Diesel","Stationary","Centre St Tower 4","Comercial Building","USA","2021-06-21","AMER",85,2669,400000,8,120000,500000,56634,23,0.24,34286,86,3139,43566,100000,17000000,2215,22345,7,0.59,13610,123324,45443,11042,35000000,378000,12454,97619,11000,248,13.1,15000,829,1.5,24000
"FuelOil","Stationary","Billhaus CTAW P4A","Comercial Building","AUS","2022-07-29","ANZ",80,3810,350000,26,154000,450000,56634,24,4.19,66000,280,3560,43566,100000,14000000,1583,34543,8,8.45,19863,123324,34124,93814,31023124,376000,12454,78316,2760000,354,10.9,18608,941,0.7,46200
"Refrigerant","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2019-05-11","Middle East",88,1356,250000,20,135000,300000,76855,17,0.22,48214,215,3560,23454,150000,17000000,700,22345,5,0.45,16495,123324,66544,50285,29000000,401000,53423,78809,2673000,126,10.7,15000,941,3.1,33750
"Diesel","Stationary","Straight St Tower 4","Comercial Building","AUS","2020-11-10","AMER",31,4263,400000,30,120000,400000,67688,19,4.19,25714,323,3139,34345,123678,15000000,359,21234,6,8.45,11143,123324,45443,74850,35000000,408000,12354,16212,17000,396,11.4,21323,829,4.5,18000
"Propane","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2020-01-30","ANZ",91,915,350000,19,120000,500000,76855,23,0.42,42857,205,3560,34345,123678,17000000,434,34543,8,0.85,19777,123324,45443,87664,35000000,410000,12454,85223,2438000,85,11.2,21323,941,4.6,30000
"Cooling","Scope 3","Business Travel FY22","Scope 3","IRL","2019-05-09","LATAM",72,3380,300000,9,135000,400000,56634,20,0.01,28929,97,3139,23454,100000,15000000,526,21234,3,0.02,15952,123324,66544,97982,31023124,361000,53423,86820,34000,314,11.9,15000,829,4.7,20250
"Steam","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","AUS","2022-03-25","Europe",33,3595,350000,18,154000,350000,67688,23,4.19,66000,194,3560,43566,150000,14000000,445,22345,8,8.45,10466,123324,34124,48613,29000000,464000,12354,3198,2168000,334,11.5,18608,941,5.5,46200
"Electricity","Stationary","ARL-WQ7 DC 9W","Comercial Building","GBR","2021-08-08","Middle East",97,4284,450000,6,120000,300000,67688,18,5.99,34286,65,3139,34345,123678,15000000,920,22345,3,12.14,12502,123324,66544,41994,31023124,442000,12354,82741,21000,398,11.4,18608,829,1.8,24000
"Heat","Stationary","JLP Square North","Comercial Building","FRA","2019-06-27","Europe",94,3574,400000,23,154000,450000,56634,12,3.39,55000,248,3560,43566,100000,17000000,2122,21234,7,6.87,12686,123324,45443,47425,29000000,465000,53423,77616,17000,332,13.8,15000,941,4.1,38500
"Natural Gas","Stationary","230 Burlingame Ave.","Comercial Building","BRA","2022-12-21","AMER",73,1432,400000,10,135000,450000,76855,2,1.05,38571,108,3560,23454,150000,14000000,1866,34543,5,2.13,13851,123324,34124,65108,35000000,365000,12454,6474,2778000,133,14.6,21323,941,2.2,27000
"Diesel","Stationary","*Cirrus Tower","Comercial Building","USA","2020-07-07","AMER",45,4284,400000,22,120000,350000,76855,17,0.24,25714,237,3139,34345,123678,14000000,590,21234,9,0.59,15683,123324,45443,82690,35000000,424000,53423,71215,22000,398,10.9,18608,829,1.1,18000
"Cooling","Stationary","TX - Marion","Comercial Building","CHN","2021-11-25","APAC",97,4532,250000,13,135000,400000,67688,5,3.2,57857,140,3139,23454,100000,17000000,1638,34543,7,3.12,12370,123324,34124,21040,29000000,453000,12454,76782,3341000,421,10.7,21323,829,0.8,40500
"Steam","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2020-10-16","LATAM",95,527,400000,26,154000,500000,56634,25,0.19,33000,280,3560,43566,150000,15000000,1304,22345,10,0.37,18180,123324,66544,85237,31023124,364000,12354,17602,23000,49,11.9,15000,941,0.7,23100
"Propane","Stationary","217 Xevering St","Comercial Building","USA","2022-06-19","APAC",85,452,350000,24,135000,300000,76855,29,0.24,57857,258,3560,34345,100000,15000000,1348,34543,10,0.59,13726,123324,66544,41691,31023124,378000,53423,2938,2746000,42,12.7,15000,941,1.5,40500
"Electricity","Vehicle","Company Shuttle #2","Fleet Vehicle","SGP","2019-02-26","Central America",99,3165,450000,28,154000,500000,56634,16,0.42,55000,301,3139,23454,150000,17000000,2226,21234,8,0.85,12986,123324,34124,19367,35000000,478000,12354,17012,15000,294,10.5,18608,829,5,38500
"Natural Gas","Stationary","North Longs Peak","Comercial Building","ARG","2021-07-10","South America",63,4316,350000,26,120000,300000,67688,20,0.19,34286,280,3139,43566,123678,14000000,1662,22345,3,0.37,13361,123324,45443,54797,29000000,395000,12454,77856,2714000,401,10,21323,829,5.5,24000
"Heat","Stationary","81 Rue Mocklie","Comercial Building","FRA","2021-04-05","EMEA",83,3444,400000,5,135000,450000,67688,26,3.39,48214,54,3139,23454,150000,17000000,1207,21234,9,6.87,10977,123324,34124,55703,31023124,442000,12354,71905,2143000,320,11.4,18608,829,5.7,33750
"FuelOil","Stationary","140 Mission St","Comercial Building","USA","2022-03-17","AMER",82,2949,350000,2,154000,400000,56634,14,0.24,44000,22,3560,34345,123678,14000000,1090,34543,10,0.59,12895,123324,66544,50429,29000000,493000,12454,99839,20000,274,11.4,15000,941,4.5,30800
"Refrigerant","Vehicle","Company Jet #1","Private Jet","ARG","2020-10-22","Middle East",93,4585,400000,27,120000,350000,76855,16,0.19,25714,291,3139,43566,100000,15000000,437,22345,9,0.37,12082,123324,45443,74456,35000000,454000,53423,6163,27000,426,10.1,21323,829,4,18000
