"ProductFamily","OwnerName","AccountId","ProductName","Time","ParentName","PeriodEndDate","SalesAgreementName","Industry","StartDate","DerivedStatus","ValidFrom","ValidFromAux","IdValidFromToKey","SnapshotPeriod","IsLatestSnapshot","AccountProductPeriodForecastId","ForecastStatus","ExternalId","LastProcessedDate","AccountType","PeriodStartDate","ValidToAux","ValidTo","PeriodName","AccountName","ForecastedQuantity","ForecastedDailyQuantityBAdj","ForecastedQuantityFinal","Attainment","TopAgreements","ForecastedRevenue","ForecastedDailyQuantity","Years","ForecastedRevenueFinal","Plan","TopAccounts","UnitPrice","Price","Forecast","ForecastedDailyRevenueBAdj","Actual","ForecastedDailyRevenue"
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Sunflower","2021-08-26","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-26","Upcoming Renewal","2020-08-24","2020-08-03","Momentum Design-Hammer H700-Dec-20-2020-10-07-2020-10-22","Oct","Yes","Momentum Design-Hammer H700-Dec-20","Expired","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-11","2020-09-10","Jul-20","Anderson School District",6,0,6,99,0,17.94,0,2,35626,1472,190000,2.99,2.99,1561,1150,1545,1188
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-05-06","Ohana Technologies","2021-06-01","Anderson School District Sales Agreement","Consulting","2022-05-06","Approved","2020-03-21","2021-05-12","Momentum Design-Pulverizer P10-Jun-20-2020-06-18-2020-07-11","Jun","Yes","Momentum Design-Pulverizer P10-Jun-20","Expired","Account.045","2021-09-27","Mid-Market","2021-05-03","2021-06-09","2020-04-08","Apr-21","Anderson School District",8,0,8,99,0,39.92,0,2,35364,1472,190000,4.99,4.99,1565,1200,1549,1179
"GoBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Pistachio","2021-07-27","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-27","Approved","2020-07-06","2020-07-04","Momentum Design-Compactor 9500-Feb-20-2020-02-08-2020-03-03","Feb","Yes","Momentum Design-Compactor 9500-Feb-20","Expired","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-02","2020-08-05","Jun-20","Anderson School District",3,0,3,99,0,8.97,0,2,44623,1472,190000,2.99,2.99,1565,1300,1549,1487
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2022-08-16","Ohana Technologies","2021-09-01","Anderson School District Sales Agreement","Consulting","2022-08-16","Upcoming Renewal","2021-06-07","2021-08-12","Momentum Design-Ripper 19-Jul-20-2020-07-11-2020-08-04","Jul","Yes","Momentum Design-Ripper 19-Jul-20","Expired","Account.045","2021-09-27","Mid-Market","2021-08-02","2021-09-04","2021-06-18","Jul-21","Anderson School District",40,1,41,99,0,204.59,1,2,31957,1472,190000,4.99,4.99,1565,1067,1549,1065
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2022-08-28","Ohana Technologies","2021-09-01","Anderson School District Sales Agreement","Consulting","2022-08-28","Approved","2021-03-13","2021-08-07","Momentum Design-Ripper 34-Dec-21-2021-11-19-2021-12-19","Nov2","Yes","Momentum Design-Ripper 34-Dec-21","Active","Account.045","2021-09-27","Mid-Market","2021-08-02","2021-09-11","2021-03-25","Jul-21","Anderson School District",24,1,24,99,0,71.76,1,2,31313,1472,190000,2.99,2.99,1565,1080,1550,1044
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Pistachio","2021-04-28","Ohana Technologies","2020-05-02","Anderson School District Sales Agreement","Consulting","2021-04-28","Upcoming Renewal","2020-03-30","2020-04-07","Momentum Design-Sweeper S1000-Feb-21-2021-01-30-2021-02-10","Jan2","Yes","Momentum Design-Sweeper S1000-Feb-21","Active","Account.045","2021-09-27","Mid-Market","2020-04-02","2020-05-12","2020-04-20","Mar-20","Anderson School District",5,0,5,99,0,14.95,0,2,37699,1472,190000,2.99,2.99,1566,1250,1550,1257
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Apple Vegan","2021-03-08","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-08","Upcoming Renewal","2020-02-05","2020-03-07","Momentum Design-Pickup Broom PB200-Feb-21-2020-08-08-2020-08-29","Aug","Yes","Momentum Design-Pickup Broom PB200-Feb-21","Active","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-14","2020-02-19","Feb-20","Anderson School District",5,0,5,99,0,14.95,0,2,40712,1472,190000,2.99,2.99,1571,1250,1555,1357
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2021-10-03","Ohana Technologies","2020-11-01","Anderson School District Sales Agreement","Consulting","2021-10-03","Pending Approval","2020-10-01","2020-10-09","Momentum Design-Trencher T48-Jan-20-2020-01-23-2020-02-09","Jan","Yes","Momentum Design-Trencher T48-Jan-20","Active","Account.045","2021-09-27","Mid-Market","2020-10-03","2020-11-01","2020-10-13","Sep-20","Anderson School District",6,0,6,99,0,29.94,0,2,43245,1472,190000,4.99,4.99,1571,1280,1556,1442
"GoBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry High Protein","2021-05-18","Ohana Technologies","2020-06-01","Anderson School District Sales Agreement","Consulting","2021-05-18","Approved","2020-04-25","2020-05-04","Momentum Design-Compactor 9000-Dec-21-2021-12-20-2022-01-10","Dec2","Yes","Momentum Design-Compactor 9000-Dec-21","Active","Account.045","2021-09-27","Mid-Market","2020-05-03","2020-06-10","2020-05-13","Apr-20","Anderson School District",5,0,5,99,0,14.95,0,2,40096,1472,190000,2.99,2.99,1574,1350,1558,1337
"GoBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Pistachio","2021-06-13","Ohana Technologies","2020-07-02","Anderson School District Sales Agreement","Consulting","2021-06-13","Pending Approval","2020-06-01","2020-06-11","Momentum Design-Compactor 9500-Apr-21-2021-02-28-2021-03-23","Feb2","Yes","Momentum Design-Compactor 9500-Apr-21","Expired","Account.045","2021-09-27","Mid-Market","2020-06-02","2020-07-03","2020-06-11","May-20","Anderson School District",3,0,3,99,0,8.97,0,2,39616,1472,190000,2.99,2.99,1575,1300,1559,1321
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2021-10-10","Ohana Technologies","2020-11-01","Anderson School District Sales Agreement","Consulting","2021-10-10","Pending Approval","2020-07-26","2020-10-07","Momentum Design-Utility Broom UB1000-Jul-20-2020-06-30-2020-07-25","Jun","Yes","Momentum Design-Utility Broom UB1000-Jul-20","Active","Account.045","2021-09-27","Mid-Market","2020-10-03","2020-11-03","2020-08-10","Sep-20","Anderson School District",8,0,8,99,0,39.92,0,2,40880,1472,190000,4.99,4.99,1576,1200,1560,1363
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2021-05-20","Ohana Technologies","2020-06-01","Anderson School District Sales Agreement","Consulting","2021-05-20","Upcoming Renewal","2020-06-01","2020-05-10","Momentum Design-Ripper 27-May-21-2021-02-18-2021-03-01","Feb2","Yes","Momentum Design-Ripper 27-May-21","Active","Account.045","2021-09-27","Mid-Market","2020-05-03","2020-06-09","2020-06-21","Apr-20","Anderson School District",33,1,34,99,0,69.7,1,2,35526,1472,190000,2.05,2.05,1578,1100,1562,1184
"GoBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Blueberry/Sunflower","2021-03-12","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-12","Pending Approval","2020-03-15","2020-03-08","Momentum Design-Compactor 3500-Mar-20-2021-01-06-2021-01-26","Jan2","Yes","Momentum Design-Compactor 3500-Mar-20","Expired","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-13","2020-04-06","Feb-20","Anderson School District",6,0,6,99,0,17.94,0,2,39111,1472,190000,2.99,2.99,1580,1150,1564,1304
"GoBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Pistachio","2021-02-26","Ohana Technologies","2020-03-03","Anderson School District Sales Agreement","Consulting","2021-02-26","Approved","2020-03-01","2020-02-02","Momentum Design-Compactor 9500-Aug-21-2021-06-25-2021-07-25","Jun2","Yes","Momentum Design-Compactor 9500-Aug-21","Active","Account.045","2021-09-27","Mid-Market","2020-02-02","2020-03-15","2020-03-18","Jan-20","Anderson School District",3,0,3,99,0,8.97,0,2,38114,1472,190000,2.99,2.99,1580,1300,1565,1270
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2021-08-15","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-15","Approved","2020-06-10","2020-08-07","Momentum Design-Utility Broom UB1000-Dec-20-2020-11-12-2020-11-23","Nov","Yes","Momentum Design-Utility Broom UB1000-Dec-20","Expired","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-01","2020-07-05","Jul-20","Anderson School District",8,0,8,99,0,39.92,0,2,42019,1606,190000,4.99,4.99,1683,1200,1666,1401
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2022-05-27","Ohana Technologies","2021-06-01","Anderson School District Sales Agreement","Consulting","2022-05-27","Approved","2021-06-01","2021-05-13","Momentum Design-Pulverizer P10-Aug-20-2020-01-07-2020-01-17","Jan","Yes","Momentum Design-Pulverizer P10-Aug-20","Active","Account.045","2021-09-27","Mid-Market","2021-05-03","2021-06-04","2021-06-20","Apr-21","Anderson School District",8,0,8,99,0,39.92,0,2,37790,1606,190000,4.99,4.99,1684,1200,1667,1260
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2022-10-26","Ohana Technologies","2021-11-01","Anderson School District Sales Agreement","Consulting","2022-10-26","Upcoming Renewal","2021-09-04","2021-10-04","Momentum Design-Trencher T48-Nov-21-2021-09-22-2021-10-13","Sep2","Yes","Momentum Design-Trencher T48-Nov-21","Expired","Account.045","2021-09-27","Mid-Market","2021-10-03","2021-11-14","2021-09-16","Sep-21","Anderson School District",6,0,6,99,0,29.94,0,2,38320,1606,190000,4.99,4.99,1684,1280,1667,1277
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2022-12-31","Ohana Technologies","2022-01-01","Anderson School District Sales Agreement","Consulting","2022-12-31","Upcoming Renewal","2021-11-03","2021-12-13","Momentum Design-Ripper 27-Jun-20-2020-05-21-2020-06-06","May","Yes","Momentum Design-Ripper 27-Jun-20","Expired","Account.045","2021-09-27","Mid-Market","2021-12-03","2022-01-02","2021-11-29","Nov-21","Anderson School District",35,1,34,99,0,69.7,1,2,34781,1606,190000,2.05,2.05,1685,1167,1668,1159
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2021-09-10","Ohana Technologies","2020-10-02","Anderson School District Sales Agreement","Consulting","2021-09-10","Approved","2020-06-18","2020-09-05","Momentum Design-Ripper 27-Aug-20-2020-07-04-2020-07-14","Jul","Yes","Momentum Design-Ripper 27-Aug-20","Active","Account.045","2021-09-27","Mid-Market","2020-09-02","2020-10-13","2020-07-17","Aug-20","Anderson School District",35,1,35,99,0,71.75,1,2,35798,1606,190000,2.05,2.05,1686,1167,1669,1193
"GoBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry High Protein","2022-06-18","Ohana Technologies","2021-07-02","Anderson School District Sales Agreement","Consulting","2022-06-18","Approved","2021-04-23","2021-06-04","Momentum Design-Compactor 9000-Nov-20-2020-07-09-2020-07-29","Jul","Yes","Momentum Design-Compactor 9000-Nov-20","Active","Account.045","2021-09-27","Mid-Market","2021-06-02","2021-07-05","2021-05-16","May-21","Anderson School District",5,0,5,99,0,14.95,0,2,47422,1606,190000,2.99,2.99,1687,1350,1670,1581
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2022-09-21","Ohana Technologies","2021-10-02","Anderson School District Sales Agreement","Consulting","2022-09-21","Pending Approval","2020-09-30","2021-09-03","Momentum Design-Ripper 27-Jul-21-2021-06-17-2021-07-04","Jun2","Yes","Momentum Design-Ripper 27-Jul-21","Active","Account.045","2021-09-27","Mid-Market","2021-09-02","2021-10-09","2020-10-30","Aug-21","Anderson School District",35,1,35,99,0,71.75,1,2,35356,1606,190000,2.05,2.05,1687,1167,1670,1179
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2022-11-28","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-28","Upcoming Renewal","2021-10-21","2021-11-02","Momentum Design-Trencher T60-Jan-21-2021-01-20-2021-02-15","Jan2","Yes","Momentum Design-Trencher T60-Jan-21","Active","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-16","2021-11-15","Oct-21","Anderson School District",5,0,5,99,0,14.95,0,2,50732,1606,190000,2.99,2.99,1688,1500,1671,1691
"GoBar","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Pistachio","2021-03-26","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-26","Upcoming Renewal","2020-03-14","2020-03-06","Momentum Design-Compactor 9500-Feb-21-2021-02-23-2021-03-19","Feb2","Yes","Momentum Design-Compactor 9500-Feb-21","Active","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-05","2020-03-28","Feb-20","Anderson School District",4,0,4,99,0,11.96,0,2,60343,1606,190000,2.99,2.99,1688,1733,1671,2011
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2021-03-31","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-31","Approved","2020-02-25","2020-03-05","Momentum Design-Ripper 34-Sep-21-2021-09-27-2021-10-12","Sep2","Yes","Momentum Design-Ripper 34-Sep-21","Active","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-14","2020-03-25","Feb-20","Anderson School District",26,1,25,99,0,74.75,1,2,37407,1606,190000,2.99,2.99,1688,1170,1671,1247
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2021-09-08","Ohana Technologies","2020-10-02","Anderson School District Sales Agreement","Consulting","2021-09-08","Upcoming Renewal","2020-04-28","2020-09-04","Momentum Design-Trencher T48-Mar-20-2021-01-21-2021-02-19","Jan2","Yes","Momentum Design-Trencher T48-Mar-20","Active","Account.045","2021-09-27","Mid-Market","2020-09-02","2020-10-11","2020-05-25","Aug-20","Anderson School District",6,0,6,99,0,29.94,0,2,41996,1606,190000,4.99,4.99,1689,1280,1672,1400
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2022-11-08","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-11-08","Pending Approval","2021-09-14","2021-11-11","Momentum Design-Hammer H500-Nov-20-2020-11-03-2020-11-30","Nov","Yes","Momentum Design-Hammer H500-Nov-20","Expired","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-05","2021-10-08","Oct-21","Anderson School District",9,0,8,99,0,16.4,0,2,40704,1606,190000,2.05,2.05,1690,1260,1673,1357
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Green Tea","2022-10-13","Ohana Technologies","2021-11-01","Anderson School District Sales Agreement","Consulting","2022-10-13","Approved","2021-09-27","2021-10-10","Momentum Design-Hammer H500-Oct-20-2020-10-26-2020-11-05","Oct","Yes","Momentum Design-Hammer H500-Oct-20","Active","Account.045","2021-09-27","Mid-Market","2021-10-03","2021-11-09","2021-10-09","Sep-21","Anderson School District",9,0,8,99,0,16.4,0,2,40168,1606,190000,2.05,2.05,1691,1260,1674,1339
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2021-08-28","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-28","Approved","2020-03-21","2020-08-06","Momentum Design-Ripper 34-Dec-20-2020-10-28-2020-11-23","Oct","Yes","Momentum Design-Ripper 34-Dec-20","Active","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-15","2020-04-19","Jul-20","Anderson School District",26,1,24,99,0,71.76,1,2,36832,1606,190000,2.99,2.99,1692,1170,1675,1228
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry Vegan","2022-07-15","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-15","Approved","2021-07-30","2021-07-10","Momentum Design-Backhoe Attachment R1-Sep-20-2020-07-08-2020-07-21","Jul","Yes","Momentum Design-Backhoe Attachment R1-Sep-20","Active","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-03","2021-08-11","Jun-21","Anderson School District",3,0,3,99,0,8.97,0,2,66419,1606,190000,2.99,2.99,1694,1950,1677,2214
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2022-12-02","Ohana Technologies","2021-12-02","Anderson School District Sales Agreement","Consulting","2022-12-02","Upcoming Renewal","2021-02-08","2021-11-09","Momentum Design-Ripper 27-Feb-20-2020-02-25-2020-03-06","Feb","Yes","Momentum Design-Ripper 27-Feb-20","Expired","Account.045","2021-09-27","Mid-Market","2021-11-02","2021-12-13","2021-02-28","Oct-21","Anderson School District",35,1,33,99,0,67.65,1,2,40278,1606,190000,2.05,2.05,1695,1167,1678,1343
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2021-11-19","Ohana Technologies","2020-12-02","Anderson School District Sales Agreement","Consulting","2021-11-19","Pending Approval","2020-06-11","2020-11-12","Momentum Design-Pulverizer P10-Sep-20-2020-01-28-2020-02-18","Jan","Yes","Momentum Design-Pulverizer P10-Sep-20","Active","Account.045","2021-09-27","Mid-Market","2020-11-02","2020-12-05","2020-06-25","Oct-20","Anderson School District",9,0,8,99,0,39.92,0,2,47543,1606,190000,4.99,4.99,1695,1350,1678,1585
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2022-07-04","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-04","Approved","2021-07-24","2021-07-10","Momentum Design-Utility Broom UB1000-Nov-21-2020-07-20-2020-08-11","Jul","Yes","Momentum Design-Utility Broom UB1000-Nov-21","Expired","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-07","2021-08-09","Jun-21","Anderson School District",9,0,8,99,0,39.92,0,2,41623,1606,190000,4.99,4.99,1696,1350,1679,1387
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Bison Paleo","2021-08-09","Ohana Technologies","2020-09-01","Anderson School District Sales Agreement","Consulting","2021-08-09","Upcoming Renewal","2020-08-12","2020-08-05","Momentum Design-Ripper 19-Apr-21-2021-02-09-2021-02-19","Feb2","Yes","Momentum Design-Ripper 19-Apr-21","Expired","Account.045","2021-09-27","Mid-Market","2020-08-02","2020-09-13","2020-09-05","Jul-20","Anderson School District",43,1,44,99,0,219.56,1,2,36117,1606,190000,4.99,4.99,1697,1147,1680,1204
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Tart Cherry/Sunflower","2021-06-24","Ohana Technologies","2020-07-02","Anderson School District Sales Agreement","Consulting","2021-06-24","Upcoming Renewal","2020-06-16","2020-06-07","Momentum Design-Hammer H700-Jul-20-2020-05-07-2020-05-25","May","Yes","Momentum Design-Hammer H700-Jul-20","Active","Account.045","2021-09-27","Mid-Market","2020-06-02","2020-07-08","2020-07-03","May-20","Anderson School District",7,0,7,99,0,20.93,0,2,39374,1606,190000,2.99,2.99,1701,1342,1684,1312
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Veggie Vegan","2021-03-26","Ohana Technologies","2020-03-31","Anderson School District Sales Agreement","Consulting","2021-03-26","Pending Approval","2020-03-19","2020-03-05","Momentum Design-Trencher T60-Sep-20-2020-04-30-2020-05-24","Apr","Yes","Momentum Design-Trencher T60-Sep-20","Expired","Account.045","2021-09-27","Mid-Market","2020-03-04","2020-04-15","2020-04-11","Feb-20","Anderson School District",5,0,5,99,0,14.95,0,2,53302,1606,190000,2.99,2.99,1703,1500,1686,1777
"YetiBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Bison Paleo","2022-02-23","Ohana Technologies","2021-03-04","Anderson School District Sales Agreement","Consulting","2022-02-23","Upcoming Renewal","2021-01-28","2021-02-07","Momentum Design-Utility Broom UB1000-Oct-21-2021-01-07-2021-01-27","Jan2","Yes","Momentum Design-Utility Broom UB1000-Oct-21","Expired","Account.045","2021-09-27","Mid-Market","2021-02-02","2021-03-11","2021-02-12","Jan-21","Anderson School District",9,0,8,99,0,39.92,0,2,43591,1606,190000,4.99,4.99,1706,1350,1689,1453
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Pistachio","2022-12-25","Ohana Technologies","2022-01-01","Anderson School District Sales Agreement","Consulting","2022-12-25","Upcoming Renewal","2021-04-14","2021-12-08","Momentum Design-Sweeper S1000-Oct-21-2021-07-07-2021-08-06","Jul2","Yes","Momentum Design-Sweeper S1000-Oct-21","Expired","Account.045","2021-09-27","Mid-Market","2021-12-03","2022-01-06","2021-05-07","Nov-21","Anderson School District",6,0,6,99,0,17.94,0,2,44481,1606,190000,2.99,2.99,1706,1500,1689,1483
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Tart Cherry","2021-07-22","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-22","Upcoming Renewal","2020-03-27","2020-07-11","Momentum Design-Backhoe Attachment R2-Jul-20-2020-03-11-2020-04-08","Mar","Yes","Momentum Design-Backhoe Attachment R2-Jul-20","Expired","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-02","2020-04-12","Jun-20","Anderson School District",3,0,3,99,0,6.15,0,2,61335,1606,190000,2.05,2.05,1707,2050,1689,2045
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","YetiBar Tart Cherry/Chicken Paleo","2022-06-03","Ohana Technologies","2021-07-02","Anderson School District Sales Agreement","Consulting","2022-06-03","Upcoming Renewal","2021-06-11","2021-06-04","Momentum Design-Ripper 37-Aug-21-2021-04-30-2021-05-11","Apr2","Yes","Momentum Design-Ripper 37-Aug-21","Expired","Account.045","2021-09-27","Mid-Market","2021-06-02","2021-07-16","2021-06-30","May-21","Anderson School District",18,1,18,99,0,89.82,1,2,34987,1606,190000,4.99,4.99,1708,1200,1691,1166
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","GoBar Mixed Berry","2022-07-22","Ohana Technologies","2021-08-01","Anderson School District Sales Agreement","Consulting","2022-07-22","Approved","2021-06-29","2021-07-04","Momentum Design-Ripper 34-Sep-20-2020-05-31-2020-06-22","May","Yes","Momentum Design-Ripper 34-Sep-20","Active","Account.045","2021-09-27","Mid-Market","2021-07-03","2021-08-06","2021-07-11","Jun-21","Anderson School District",26,1,25,99,0,74.75,1,2,36461,1606,190000,2.99,2.99,1709,1170,1691,1215
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Blueberry/Chicken Paleo","2021-05-30","Ohana Technologies","2020-06-01","Anderson School District Sales Agreement","Consulting","2021-05-30","Upcoming Renewal","2020-03-16","2020-05-08","Momentum Design-Pulverizer P20-Apr-20-2020-01-17-2020-02-02","Jan","Yes","Momentum Design-Pulverizer P20-Apr-20","Active","Account.045","2021-09-27","Mid-Market","2020-05-03","2020-06-07","2020-04-01","Apr-20","Anderson School District",8,0,8,99,0,39.92,0,2,39212,1606,190000,4.99,4.99,1709,1267,1692,1307
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","BigfootBar Cranberry/Pistachio","2022-10-27","Ohana Technologies","2021-11-01","Anderson School District Sales Agreement","Consulting","2022-10-27","Upcoming Renewal","2021-10-06","2021-10-12","Momentum Design-Sweeper S1000-Mar-20-2020-04-30-2020-05-20","Apr","Yes","Momentum Design-Sweeper S1000-Mar-20","Expired","Account.045","2021-09-27","Mid-Market","2021-10-03","2021-11-10","2021-10-24","Sep-21","Anderson School District",6,0,6,99,0,17.94,0,2,46410,1606,190000,2.99,2.99,1713,1500,1696,1547
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","GoBar Cranberry Vegan","2021-11-30","Ohana Technologies","2020-12-02","Anderson School District Sales Agreement","Consulting","2021-11-30","Upcoming Renewal","2020-09-10","2020-11-10","Momentum Design-Backhoe Attachment R1-Oct-20-2020-04-30-2020-05-26","Apr","Yes","Momentum Design-Backhoe Attachment R1-Oct-20","Active","Account.045","2021-09-27","Mid-Market","2020-11-02","2020-12-04","2020-09-24","Oct-20","Anderson School District",3,0,3,99,0,8.97,0,2,59982,1606,190000,2.99,2.99,1714,1950,1697,1999
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Bison Paleo","2021-07-28","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-28","Approved","2020-06-24","2020-07-08","Momentum Design-Pulverizer P10-Dec-21-2020-11-11-2020-12-10","Nov","Yes","Momentum Design-Pulverizer P10-Dec-21","Active","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-08","2020-07-12","Jun-20","Anderson School District",9,0,8,99,0,39.92,0,2,46361,1606,190000,4.99,4.99,1716,1350,1698,1545
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Tart Cherry","2022-09-13","Ohana Technologies","2021-10-02","Anderson School District Sales Agreement","Consulting","2022-09-13","Upcoming Renewal","2021-08-10","2021-09-12","Momentum Design-Backhoe Attachment R2-Nov-21-2021-11-18-2021-12-14","Nov2","Yes","Momentum Design-Backhoe Attachment R2-Nov-21","Expired","Account.045","2021-09-27","Mid-Market","2021-09-02","2021-10-13","2021-09-06","Aug-21","Anderson School District",3,0,3,99,0,6.15,0,2,65911,1606,190000,2.05,2.05,1716,2050,1699,2197
"BigfootBar","Paul Morrison","0015e00000HchIAAAZ","Alpine Energy Drink - Chai","2021-07-15","Ohana Technologies","2020-08-01","Anderson School District Sales Agreement","Consulting","2021-07-15","Approved","2020-04-06","2020-07-08","Momentum Design-Ripper 27-Oct-21-2021-10-15-2021-10-31","Oct2","Yes","Momentum Design-Ripper 27-Oct-21","Expired","Account.045","2021-09-27","Mid-Market","2020-07-03","2020-08-16","2020-04-20","Jun-20","Anderson School District",35,1,33,99,0,67.65,1,2,35903,1606,190000,2.05,2.05,1717,1167,1700,1197
"Alpine Energy","Paul Morrison","0015e00000HchIAAAZ","YetiBar Cranberry/Chicken Paleo","2022-01-24","Ohana Technologies","2021-02-01","Anderson School District Sales Agreement","Consulting","2022-01-24","Pending Approval","2021-01-30","2021-01-04","Momentum Design-Trencher T48-Jul-21-2021-05-06-2021-05-17","May2","Yes","Momentum Design-Trencher T48-Jul-21","Active","Account.045","2021-09-27","Mid-Market","2021-01-02","2021-02-07","2021-02-27","Dec-20","Anderson School District",6,0,6,99,0,29.94,0,2,41953,1606,190000,4.99,4.99,1718,1280,1700,1398
