"OOS_Kpi_ActualValue","LatestPromotionEndDateFuture","RetailStore_Priority","StoreProduct_InStoreLocationType_Other","OutOfStock_OOS_Actual","StoreProduct_InStoreLocationType_Bin","RetailStore_Name","LatestPromotionEndDatePast","Product_ProductCategory_Name","StoreProduct_InStoreLocationType_Assets","StoreProduct_Favorite","LatestPromotionStartDatePast","RetailStore_StoreType","RetailStore_RetailStoreGroup_Name","Product_Name","StoreProduct_InStoreLocationType_Shelf","State_City","Product_Family","StoreProduct_InStoreLocationType_Backroom","Compliance_DaysSinceLastComplianceCheck","Quantity_Previous_Period","RetailVisitKpi_Number_of_Promotions","Facing_Compliance","Inventory_Compliance","Inventory_DaysSinceInventoryComplianceCheck","Inventory_Inventory_Actual","Quantity_Change_Percentage_vs_Coming_Period_LastYear","OutOfStock_DaysSinceOOSComplianceCheck","Promotion_Compliance","Quantity_Coming_Period_LastYear","Inventory_Inventory_Target","RetailVisitKpi_StoreProduct_Visits","LastYearSamePeriod_Number_of_Promotions","Quantity_Current_Period","OrderItem_DaysSinceLastOrder","ShareOfShelf_Compliance","OutOfStock_Compliance","Store_Visits","Quantity_Change_Percentage_vs_Previous_Period"
,"2020-06-03","High","No","True","No","Rondel Store - Evanston",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","TN - Mc Minnville","None","No",21,928,5,99.68,100,30,161,0,21,0,2438,161,55,5,2438,12,0,44,61,1.63
,,"Low","No",,"No","Alpine Nutrition - San Francisco",,"Product Category 7","No","No",,"Regular","Northeast","Pure Perfect","No","TX - Irving","None","No",2,2289,,91.72,90.95,32,164,0,,0,1232,257,49,,1232,14,90.99,0,58,-0.46
,,"Medium","No","False","No","Fare Merchants - Chelsea",,"Product Category 8","No","No",,"Regular","West","Tatva","No","NJ - Bridgeport","None","No",10,1300,,0,91.67,32,184,0,10,0,1190,276,50,,1190,12,78.72,39.58,56,-0.08
,,"Low","No",,"No","Rondel Store - Chicago South Loop",,"Product Category 8","No","No",,"Regular","Bay Area","Tatva","No","AZ - Phoenix","None","No",4,2081,,95.99,100,26,242,0,,0,1701,242,55,,1701,21,0,0,67,-0.18
,"2020-06-03","Medium","No","True","No","NTO Store - Berkeley",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","MD - Baltimore","None","No",6,1482,5,90.52,86.73,25,319,0,6,0,1791,319,56,5,1791,21,0,38.18,65,0.21
,,"Low","No","False","No","NTO Store - Alameda",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","MI - Brighton","None","No",8,1109,,0,0,,,0,8,0,994,,41,,994,31,0,50.68,47,-0.1
,,"High","No","False","No","Rondel Store - San Francisco Central",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","CA - Los Angeles","None","No",6,2276,,0,78.7,27,250,0,6,0,1781,250,54,,1781,5,92.65,34,64,-0.22
,"2020-06-03","Low","No","True","No","Alpine Nutrition - San Francisco",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","TX - Irving","None","No",2,2891,5,89.38,98.97,52,325,0,2,0,1697,325,51,5,1697,37,0,55.1,58,-0.41
,"2020-06-03","Low","No","True","No","Fare Merchants - Brooklyn",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","LA - New Orleans","None","No",23,1389,5,82.85,81.42,51,242,0,23,0,2216,325,41,5,2216,20,0,36.84,46,0.6
,"2020-06-03","High","No",,"No","NTO Store - Noe Valley",,"Product Category 11","No","No","2018-01-06","Regular","Bay Area","Kelloggs Muesli","No",,"None","No",4,1431,5,0,93.83,39,320,0,,0,2265,320,47,5,2265,12,73.35,0,54,0.58
,"2020-06-03","Medium","No","True","No","Alpine Nutrition - Austin",,"Product Category 11","No","No","2018-01-06","Regular","Northeast","Kelloggs Muesli","No","WI - Milwaukee","None","No",1,1660,5,88.29,93.01,20,325,0,1,0,1209,325,48,5,1209,117,0,43.18,56,-0.27
,"2020-06-03","Medium","No",,"No","Nutrition Stop - Elkhorn",,"Product Category 11","No","No","2018-01-06","Regular","Bay Area","Kelloggs Muesli","No","IL - Chicago","None","No",6,1722,5,0,68.69,21,318,0,,0,1965,381,48,5,1965,37,75.41,0,54,0.14
,,"High","No","True","No","Fare Merchants - Gold Coast",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","SD - Sioux Falls","None","No",26,1571,,85.56,92.53,35,348,0,29,0,1927,348,55,,1927,21,0,47.83,62,0.23
,"2020-06-03","Low","No","False","No","Fare Merchants - Austin",,"Product Category 11","No","No","2018-01-06","Regular","South","Kelloggs Muesli","No","NJ - Middlesex","None","No",22,1925,5,99.77,100,34,161,0,22,0,2165,161,52,5,2165,19,0,34.09,59,0.12
,"2020-06-03","Low","No",,"No","Alpine Nutrition - Glendale",,"Product Category 11","No","No","2018-01-06","Regular","Midwest","Kelloggs Muesli","No","MI - Taylor","None","No",5,1588,5,93.96,99.93,20,238,0,,0,2276,238,44,5,2276,1,95.13,0,52,0.43
,,"Low","No","True","No","Alpine Nutrition - San Francisco",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","TX - Irving","None","No",2,2173,,0,86.13,32,250,0,2,0,1360,250,50,,1360,37,89.83,45.65,58,-0.37
