"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Textiles","Rest of the Records","2018-08-26","3m - 3.5m",3202001
"Textiles","Rest of the Records","2021-04-14","3.5m - 4m",3566001
"Specialty Materials","Rest of the Records","2018-04-04","2m - 2.5m",2024001
"Coatings & Inks","Rest of the Records","2017-06-03","3.5m - 4m",3513001
"Paper & Packaging","Rest of the Records","2020-07-13","4.5m - 5m",4630000
"Specialty Materials","Rest of the Records","2019-01-15","1.5m - 2m",1960001
"Coatings & Inks","Rest of the Records","2020-11-30","4m - 4.5m",4325001
"Textiles","Rest of the Records","2019-10-31","3.5m - 4m",3530001
"Paper & Packaging","Rest of the Records","2021-01-01","1m - 1.5m",1188000
"Textiles","Rest of the Records","2019-01-28","4m - 4.5m",4356001
"Coatings & Inks","Rest of the Records","2020-11-23","3m - 3.5m",3017001
"Specialty Materials","Rest of the Records","2019-11-13","2.5m - 3m",2684001
"Paper & Packaging","Rest of the Records","2020-02-12","3m - 3.5m",3056001
"Coatings & Inks","Rest of the Records","2019-12-14","1m - 1.5m",1272000
"Textiles","Rest of the Records","2020-11-26","2.5m - 3m",2987001
"Paper & Packaging","Rest of the Records","2017-08-23","1.5m - 2m",1839001
"Specialty Materials","Rest of the Records","2018-03-22","4m - 4.5m",4498001
"Specialty Materials","Rest of the Records","2019-02-02","2m - 2.5m",2230001
"Coatings & Inks","Rest of the Records","2017-11-08","1.5m - 2m",1846001
"Paper & Packaging","Rest of the Records","2018-03-28","4.5m - 5m",4509000
"Textiles","Rest of the Records","2020-01-06","3.5m - 4m",3520001
"Coatings & Inks","Rest of the Records","2018-06-27","1.5m - 2m",1819001
"Paper & Packaging","Rest of the Records","2018-01-05","1m - 1.5m",1035000
"Textiles","Rest of the Records","2017-05-12","1.5m - 2m",1849001
"Specialty Materials","Rest of the Records","2018-12-19","4.5m - 5m",4762000
"Paper & Packaging","Rest of the Records","2020-05-25","3.5m - 4m",3909001
"Specialty Materials","Rest of the Records","2018-07-27","1m - 1.5m",1166000
"Textiles","Rest of the Records","2018-08-29","2m - 2.5m",2491001
"Coatings & Inks","Rest of the Records","2020-11-20","1.5m - 2m",1539001
"Textiles","Rest of the Records","2018-03-09","3m - 3.5m",3146001
"Paper & Packaging","Rest of the Records","2017-12-22","4m - 4.5m",4229001
"Coatings & Inks","Rest of the Records","2018-09-04","4m - 4.5m",4152001
"Specialty Materials","Rest of the Records","2021-03-31","3m - 3.5m",3339001
"Textiles","Rest of the Records","2019-06-10","2.5m - 3m",2548001
"Specialty Materials","Rest of the Records","2019-06-05","3.5m - 4m",3865001
"Paper & Packaging","Rest of the Records","2017-09-23","3m - 3.5m",3013001
"Coatings & Inks","Rest of the Records","2020-07-21","3.5m - 4m",3937001
"Textiles","Rest of the Records","2019-04-15","4.5m - 5m",4850000
"Specialty Materials","Rest of the Records","2018-11-06","1m - 1.5m",1371000
"Paper & Packaging","Rest of the Records","2019-03-21","4m - 4.5m",4312001
"Coatings & Inks","Rest of the Records","2019-06-12","4.5m - 5m",4656000
"Paper & Packaging","Rest of the Records","2019-01-30","1.5m - 2m",1801001
"Specialty Materials","Rest of the Records","2018-04-09","2.5m - 3m",2816001
"Textiles","Rest of the Records","2017-10-12","3.5m - 4m",3934001
"Coatings & Inks","Rest of the Records","2018-06-22","2m - 2.5m",2037001
"Specialty Materials","Rest of the Records","2020-05-24","1.5m - 2m",1764001
"Textiles","Rest of the Records","2017-08-17","2.5m - 3m",2744001
"Paper & Packaging","Rest of the Records","2018-04-27","4m - 4.5m",4192001
"Coatings & Inks","Rest of the Records","2020-08-15","3m - 3.5m",3200001
"Specialty Materials","Current Month","2021-09-05","3m - 3.5m",3236001
"Textiles","Four Months Ago","2021-05-20","4.5m - 5m",4799000
"Coatings & Inks","Rest of the Records","2020-09-05","1m - 1.5m",1131000
"Paper & Packaging","Three Months Ago","2021-06-23","2m - 2.5m",2222001
"Specialty Materials","One Month Ago","2021-08-20","1m - 1.5m",1414000
"Coatings & Inks","Two Months Ago","2021-07-04","2m - 2.5m",2401001
"Textiles","Rest of the Records","2020-04-19","3m - 3.5m",3477001
"Paper & Packaging","Rest of the Records","2020-07-26","3.5m - 4m",3666001
"Coatings & Inks","Rest of the Records","2021-01-11","2m - 2.5m",2274001
"Paper & Packaging","Rest of the Records","2019-09-15","4.5m - 5m",4896000
"Specialty Materials","Rest of the Records","2019-01-22","1.5m - 2m",1639001
"Textiles","Rest of the Records","2019-05-23","1m - 1.5m",1228000
"Specialty Materials","Rest of the Records","2018-10-13","2.5m - 3m",2737001
"Coatings & Inks","Rest of the Records","2018-05-03","3.5m - 4m",3713001
"Paper & Packaging","Rest of the Records","2018-06-26","4m - 4.5m",4317001
"Textiles","Rest of the Records","2020-09-28","3.5m - 4m",3875001
"Paper & Packaging","Rest of the Records","2020-11-02","2m - 2.5m",2335001
"Specialty Materials","Rest of the Records","2018-12-13","2m - 2.5m",2476001
"Textiles","Rest of the Records","2019-11-20","1.5m - 2m",1553001
"Coatings & Inks","Rest of the Records","2017-06-18","4m - 4.5m",4135001
"Paper & Packaging","Rest of the Records","2018-02-27","1m - 1.5m",1121000
"Specialty Materials","Rest of the Records","2020-11-16","4m - 4.5m",4428001
"Textiles","Rest of the Records","2018-05-07","4.5m - 5m",4709000
"Coatings & Inks","Rest of the Records","2021-03-01","4.5m - 5m",4720000
"Paper & Packaging","Rest of the Records","2019-04-22","3m - 3.5m",3230001
"Specialty Materials","Rest of the Records","2021-02-03","2.5m - 3m",2846001
"Textiles","Rest of the Records","2018-03-05","3m - 3.5m",3448001
"Coatings & Inks","Rest of the Records","2019-11-07","3m - 3.5m",3083001
"Paper & Packaging","Rest of the Records","2020-02-29","2m - 2.5m",2132001
"Textiles","Rest of the Records","2018-11-10","3.5m - 4m",3764001
"Specialty Materials","Rest of the Records","2019-09-06","2m - 2.5m",2466001
"Coatings & Inks","Rest of the Records","2020-01-30","2.5m - 3m",2841001
"Specialty Materials","Rest of the Records","2018-05-21","4m - 4.5m",4236001
"Textiles","Rest of the Records","2018-10-29","3.5m - 4m",3946001
"Paper & Packaging","Rest of the Records","2018-07-19","3m - 3.5m",3096001
"Coatings & Inks","Rest of the Records","2017-10-05","2.5m - 3m",2978001
"Specialty Materials","Rest of the Records","2017-11-04","1m - 1.5m",1347000
"Paper & Packaging","Rest of the Records","2018-05-31","2.5m - 3m",2881001
"Coatings & Inks","Rest of the Records","2018-01-01","3.5m - 4m",3541001
"Textiles","Rest of the Records","2018-01-20","4.5m - 5m",4955000
"Coatings & Inks","Rest of the Records","2019-09-05","2.5m - 3m",2721001
"Textiles","Rest of the Records","2018-10-30","1.5m - 2m",1868001
"Specialty Materials","Rest of the Records","2017-07-08","1.5m - 2m",1979001
"Paper & Packaging","Rest of the Records","2018-02-11","4m - 4.5m",4276001
"Paper & Packaging","Rest of the Records","2021-04-20","4.5m - 5m",4964000
"Coatings & Inks","Rest of the Records","2020-10-19","1.5m - 2m",1744001
"Textiles","Rest of the Records","2020-05-08","2.5m - 3m",2938001
"Specialty Materials","Rest of the Records","2017-05-18","1m - 1.5m",1382000
"Coatings & Inks","Rest of the Records","2019-03-21","3m - 3.5m",3112001
"Textiles","Rest of the Records","2020-06-25","2m - 2.5m",2110001
"Specialty Materials","Rest of the Records","2019-12-31","3.5m - 4m",3612001
"Paper & Packaging","Rest of the Records","2020-04-20","3.5m - 4m",3927001
"Paper & Packaging","Rest of the Records","2019-11-10","3m - 3.5m",3281001
"Coatings & Inks","Rest of the Records","2019-06-01","4m - 4.5m",4267001
"Specialty Materials","Rest of the Records","2017-08-20","4m - 4.5m",4057001
"Textiles","Rest of the Records","2019-06-09","1m - 1.5m",1304000
"Coatings & Inks","Rest of the Records","2021-01-31","2m - 2.5m",2012001
"Specialty Materials","Rest of the Records","2020-10-25","1.5m - 2m",1887001
"Textiles","Rest of the Records","2018-06-05","3m - 3.5m",3117001
"Paper & Packaging","Two Months Ago","2021-07-05","2.5m - 3m",2898001
"Specialty Materials","Four Months Ago","2021-05-05","2m - 2.5m",2051001
"Paper & Packaging","Three Months Ago","2021-06-04","3.5m - 4m",3703001
"Textiles","Current Month","2021-09-28","4.5m - 5m",4757000
"Coatings & Inks","One Month Ago","2021-08-20","2m - 2.5m",2495001
"Coatings & Inks","Rest of the Records","2020-06-17","1m - 1.5m",1373000
"Textiles","Rest of the Records","2021-03-19","3m - 3.5m",3186001
"Specialty Materials","Rest of the Records","2017-09-28","2.5m - 3m",2920001
"Paper & Packaging","Rest of the Records","2019-08-12","4m - 4.5m",4324001
"Coatings & Inks","Rest of the Records","2020-12-18","4.5m - 5m",4710000
"Paper & Packaging","Rest of the Records","2020-05-01","1.5m - 2m",1690001
"Textiles","Rest of the Records","2017-06-11","2m - 2.5m",2065001
"Specialty Materials","Rest of the Records","2020-07-14","3m - 3.5m",3103001
"Paper & Packaging","Rest of the Records","2020-01-16","3.5m - 4m",3708001
"Specialty Materials","Rest of the Records","2020-09-02","4.5m - 5m",4642000
"Textiles","Rest of the Records","2018-10-08","1m - 1.5m",1145000
"Coatings & Inks","Rest of the Records","2020-01-23","3.5m - 4m",3878001
"Textiles","Rest of the Records","2019-08-01","1.5m - 2m",1512001
"Paper & Packaging","Rest of the Records","2018-03-02","1m - 1.5m",1418000
"Specialty Materials","Rest of the Records","2018-04-28","2m - 2.5m",2338001
"Coatings & Inks","Rest of the Records","2020-09-22","2.5m - 3m",2948001
"Paper & Packaging","Rest of the Records","2019-03-03","4.5m - 5m",4599000
"Coatings & Inks","Rest of the Records","2020-06-23","1m - 1.5m",1152000
"Specialty Materials","Rest of the Records","2020-06-03","2.5m - 3m",2958001
"Textiles","Rest of the Records","2018-03-09","4m - 4.5m",4010001
"Coatings & Inks","Rest of the Records","2017-08-15","1.5m - 2m",1858001
"Specialty Materials","Rest of the Records","2019-04-19","3.5m - 4m",3588001
"Textiles","Rest of the Records","2017-10-12","3m - 3.5m",3416001
"Paper & Packaging","Rest of the Records","2019-10-04","4.5m - 5m",4520000
"Coatings & Inks","Rest of the Records","2019-01-26","4m - 4.5m",4241001
"Textiles","Rest of the Records","2020-08-25","1.5m - 2m",1523001
"Specialty Materials","Rest of the Records","2019-10-07","1m - 1.5m",1126000
"Paper & Packaging","Rest of the Records","2017-05-18","3.5m - 4m",3547001
"Coatings & Inks","Rest of the Records","2020-03-25","1.5m - 2m",1705001
"Specialty Materials","Rest of the Records","2019-11-06","4m - 4.5m",4281001
"Textiles","Rest of the Records","2019-02-22","3m - 3.5m",3263001
"Paper & Packaging","Rest of the Records","2020-03-18","2.5m - 3m",2905001
"Textiles","Rest of the Records","2018-04-12","2m - 2.5m",2019001
"Coatings & Inks","Rest of the Records","2019-09-06","2m - 2.5m",2195001
"Paper & Packaging","Rest of the Records","2021-01-10","1.5m - 2m",1605001
"Specialty Materials","Rest of the Records","2020-08-15","1m - 1.5m",1416000
"Coatings & Inks","Rest of the Records","2018-08-28","3m - 3.5m",3065001
"Specialty Materials","Rest of the Records","2017-12-01","3.5m - 4m",3982001
"Textiles","Rest of the Records","2020-09-14","2.5m - 3m",2821001
"Paper & Packaging","Rest of the Records","2017-09-21","2m - 2.5m",2248001
"Textiles","Rest of the Records","2021-02-19","3m - 3.5m",3456001
"Coatings & Inks","Rest of the Records","2019-04-30","3.5m - 4m",3747001
"Paper & Packaging","Rest of the Records","2020-03-29","4m - 4.5m",4015001
"Specialty Materials","Rest of the Records","2021-04-07","3m - 3.5m",3393001
"Coatings & Inks","Rest of the Records","2017-06-24","4.5m - 5m",4825000
"Textiles","Rest of the Records","2021-03-24","4.5m - 5m",4644000
"Specialty Materials","Rest of the Records","2017-12-19","2m - 2.5m",2201001
"Paper & Packaging","Rest of the Records","2020-07-20","1.5m - 2m",1979001
"Coatings & Inks","Rest of the Records","2019-10-07","2m - 2.5m",2473001
"Textiles","Rest of the Records","2020-09-05","4m - 4.5m",4014001
"Paper & Packaging","Rest of the Records","2017-11-29","1m - 1.5m",1342000
"Specialty Materials","Rest of the Records","2018-10-05","3.5m - 4m",3605001
"Textiles","Rest of the Records","2018-02-01","2.5m - 3m",2898001
"Paper & Packaging","Current Month","2021-09-30","3.5m - 4m",3786001
"Coatings & Inks","Four Months Ago","2021-05-26","3m - 3.5m",3198001
"Specialty Materials","Rest of the Records","2021-04-07","3m - 3.5m",3488001
"Coatings & Inks","Two Months Ago","2021-07-04","2m - 2.5m",2466001
"Textiles","Rest of the Records","2018-08-29","2m - 2.5m",2196001
"Specialty Materials","Rest of the Records","2018-07-28","4.5m - 5m",4986000
"Paper & Packaging","Three Months Ago","2021-06-08","2.5m - 3m",2626001
"Paper & Packaging","One Month Ago","2021-08-11","4.5m - 5m",4776000
"Specialty Materials","Rest of the Records","2020-12-11","3m - 3.5m",3243001
"Coatings & Inks","Rest of the Records","2017-07-12","1m - 1.5m",1310000
"Textiles","Rest of the Records","2020-08-28","3.5m - 4m",3894001
"Textiles","Rest of the Records","2017-12-06","1.5m - 2m",1736001
"Coatings & Inks","Rest of the Records","2019-10-28","2.5m - 3m",2599001
"Specialty Materials","Rest of the Records","2017-10-27","1m - 1.5m",1108000
"Paper & Packaging","Rest of the Records","2020-10-04","4m - 4.5m",4154001
"Coatings & Inks","Rest of the Records","2019-07-27","3m - 3.5m",3014001
"Paper & Packaging","Rest of the Records","2020-03-08","1.5m - 2m",1880001
"Specialty Materials","Rest of the Records","2020-01-03","4.5m - 5m",4546000
"Textiles","Rest of the Records","2020-01-10","2.5m - 3m",2640001
"Paper & Packaging","Rest of the Records","2020-07-03","3.5m - 4m",3884001
"Textiles","Rest of the Records","2019-07-16","4m - 4.5m",4148001
"Coatings & Inks","Rest of the Records","2017-11-07","1.5m - 2m",1510001
"Specialty Materials","Rest of the Records","2019-01-21","3m - 3.5m",3307001
"Specialty Materials","Rest of the Records","2017-08-17","2m - 2.5m",2011001
"Paper & Packaging","Rest of the Records","2021-01-04","1m - 1.5m",1064000
"Coatings & Inks","Rest of the Records","2017-11-15","4.5m - 5m",4801000
"Textiles","Rest of the Records","2019-08-05","1.5m - 2m",1559001
"Paper & Packaging","Rest of the Records","2017-08-08","2m - 2.5m",2068001
"Textiles","Rest of the Records","2019-05-11","4.5m - 5m",4560000
"Specialty Materials","Rest of the Records","2017-07-02","1m - 1.5m",1121000
"Coatings & Inks","Rest of the Records","2018-01-09","3m - 3.5m",3403001
"Paper & Packaging","Rest of the Records","2020-03-10","3.5m - 4m",3501001
"Textiles","Rest of the Records","2021-02-28","4m - 4.5m",4311001
"Specialty Materials","Rest of the Records","2020-01-21","3m - 3.5m",3240001
"Coatings & Inks","Rest of the Records","2019-12-02","4m - 4.5m",4451001
"Specialty Materials","Rest of the Records","2020-10-14","2.5m - 3m",2958001
"Coatings & Inks","Rest of the Records","2018-02-26","3.5m - 4m",3775001
"Textiles","Rest of the Records","2021-02-12","1m - 1.5m",1098000
"Paper & Packaging","Rest of the Records","2019-09-27","3m - 3.5m",3239001
"Textiles","Rest of the Records","2021-01-03","3.5m - 4m",3700001
"Coatings & Inks","Rest of the Records","2020-04-12","2m - 2.5m",2183001
"Specialty Materials","Rest of the Records","2020-07-27","4.5m - 5m",4595000
"Paper & Packaging","Rest of the Records","2020-06-22","4m - 4.5m",4028001
"Coatings & Inks","Rest of the Records","2018-01-14","1m - 1.5m",1206000
"Specialty Materials","Rest of the Records","2020-01-10","2.5m - 3m",2565001
"Textiles","Rest of the Records","2019-05-18","2m - 2.5m",2098001
"Paper & Packaging","Rest of the Records","2020-05-16","3m - 3.5m",3113001
"Textiles","Rest of the Records","2018-04-15","3.5m - 4m",3919001
"Specialty Materials","Rest of the Records","2020-08-24","4.5m - 5m",4748000
"Coatings & Inks","Rest of the Records","2019-09-11","4m - 4.5m",4331001
"Paper & Packaging","Rest of the Records","2018-07-03","2m - 2.5m",2483001
"Paper & Packaging","Rest of the Records","2020-06-28","2.5m - 3m",2545001
"Textiles","Rest of the Records","2017-07-06","1m - 1.5m",1300000
"Specialty Materials","Rest of the Records","2018-05-07","4m - 4.5m",4235001
"Coatings & Inks","Rest of the Records","2018-11-19","1.5m - 2m",1858001
"Textiles","Rest of the Records","2018-09-02","1.5m - 2m",1503001
"Paper & Packaging","Rest of the Records","2019-07-15","1.5m - 2m",1889001
"Coatings & Inks","Rest of the Records","2020-05-01","3.5m - 4m",3601001
"Specialty Materials","Rest of the Records","2018-09-30","3m - 3.5m",3314001
"Coatings & Inks","Two Months Ago","2021-07-25","2m - 2.5m",2337001
"Specialty Materials","Four Months Ago","2021-05-16","3.5m - 4m",3544001
"Textiles","Three Months Ago","2021-06-21","2.5m - 3m",2563001
"Paper & Packaging","One Month Ago","2021-08-16","4.5m - 5m",4521000
"Specialty Materials","Current Month","2021-09-23","4m - 4.5m",4216001
"Paper & Packaging","Rest of the Records","2017-10-29","1.5m - 2m",1942001
"Coatings & Inks","Rest of the Records","2018-11-27","4.5m - 5m",4523000
"Textiles","Rest of the Records","2019-02-18","3.5m - 4m",3972001
"Specialty Materials","Rest of the Records","2018-05-20","1m - 1.5m",1119000
"Coatings & Inks","Rest of the Records","2017-07-18","3m - 3.5m",3046001
"Textiles","Rest of the Records","2017-07-31","3m - 3.5m",3025001
"Paper & Packaging","Rest of the Records","2020-05-23","1m - 1.5m",1126000
"Coatings & Inks","Rest of the Records","2019-07-12","2.5m - 3m",2839001
"Specialty Materials","Rest of the Records","2021-02-06","2m - 2.5m",2203001
"Textiles","Rest of the Records","2019-05-06","4m - 4.5m",4397001
"Paper & Packaging","Rest of the Records","2020-06-20","1.5m - 2m",1641001
"Paper & Packaging","Rest of the Records","2017-11-06","3m - 3.5m",3187001
"Textiles","Rest of the Records","2019-02-07","2m - 2.5m",2139001
"Coatings & Inks","Rest of the Records","2017-06-02","1.5m - 2m",1779001
"Specialty Materials","Rest of the Records","2021-02-22","3.5m - 4m",3807001
"Coatings & Inks","Rest of the Records","2019-05-18","1m - 1.5m",1325000
"Paper & Packaging","Rest of the Records","2020-04-03","2.5m - 3m",2867001
"Textiles","Rest of the Records","2021-03-16","4.5m - 5m",4988000
"Specialty Materials","Rest of the Records","2020-09-03","1m - 1.5m",1185000
"Paper & Packaging","Rest of the Records","2019-05-25","4.5m - 5m",4573000
"Specialty Materials","Rest of the Records","2017-10-31","2m - 2.5m",2027001
"Textiles","Rest of the Records","2017-06-16","3m - 3.5m",3082001
"Coatings & Inks","Rest of the Records","2021-03-06","4m - 4.5m",4135001
"Paper & Packaging","Rest of the Records","2018-02-09","3.5m - 4m",3786001
"Coatings & Inks","Rest of the Records","2018-11-26","4.5m - 5m",4933000
"Textiles","Rest of the Records","2020-04-25","4m - 4.5m",4242001
"Specialty Materials","Rest of the Records","2017-09-19","1.5m - 2m",1567001
"Paper & Packaging","Rest of the Records","2020-01-12","2.5m - 3m",2756001
"Specialty Materials","Rest of the Records","2020-01-22","4m - 4.5m",4010001
"Textiles","Rest of the Records","2021-02-02","3m - 3.5m",3430001
"Coatings & Inks","Rest of the Records","2018-02-22","2.5m - 3m",2897001
"Textiles","Rest of the Records","2020-01-28","2m - 2.5m",2413001
"Coatings & Inks","Rest of the Records","2017-11-11","2m - 2.5m",2318001
"Paper & Packaging","Rest of the Records","2019-02-05","1.5m - 2m",1810001
"Specialty Materials","Rest of the Records","2019-03-12","4.5m - 5m",4900000
"Paper & Packaging","Rest of the Records","2020-09-05","3.5m - 4m",3662001
"Coatings & Inks","Rest of the Records","2018-09-04","3m - 3.5m",3229001
"Textiles","Rest of the Records","2018-12-21","1m - 1.5m",1188000
"Specialty Materials","Rest of the Records","2019-06-27","2.5m - 3m",2610001
"Specialty Materials","Rest of the Records","2020-01-08","3m - 3.5m",3280001
"Paper & Packaging","Rest of the Records","2020-04-03","2m - 2.5m",2356001
"Textiles","Rest of the Records","2020-12-10","1.5m - 2m",1629001
"Coatings & Inks","Rest of the Records","2019-12-24","1m - 1.5m",1301000
"Textiles","Rest of the Records","2021-01-26","4m - 4.5m",4413001
"Specialty Materials","Rest of the Records","2020-02-18","1m - 1.5m",1407000
"Paper & Packaging","Rest of the Records","2019-07-04","2.5m - 3m",2940001
"Coatings & Inks","Rest of the Records","2019-10-29","2.5m - 3m",2692001
"Specialty Materials","Rest of the Records","2020-03-02","4.5m - 5m",4907000
"Paper & Packaging","Rest of the Records","2021-01-13","3.5m - 4m",3810001
"Textiles","Rest of the Records","2017-06-19","3.5m - 4m",3657001
"Coatings & Inks","Rest of the Records","2018-08-31","1.5m - 2m",1919001
"Specialty Materials","Rest of the Records","2018-02-12","4m - 4.5m",4259001
"Paper & Packaging","Rest of the Records","2018-01-19","4.5m - 5m",4763000
"Textiles","Rest of the Records","2018-02-02","2m - 2.5m",2374001
"Coatings & Inks","One Month Ago","2021-08-29","2m - 2.5m",2003001
"Specialty Materials","Two Months Ago","2021-07-23","1m - 1.5m",1405000
"Paper & Packaging","Rest of the Records","2017-10-25","2.5m - 3m",2814001
"Textiles","Rest of the Records","2018-09-15","3.5m - 4m",3671001
"Coatings & Inks","Current Month","2021-09-06","2.5m - 3m",2841001
"Coatings & Inks","Rest of the Records","2017-08-18","3m - 3.5m",3495001
"Textiles","Rest of the Records","2018-01-07","1.5m - 2m",1885001
"Specialty Materials","Three Months Ago","2021-06-28","3m - 3.5m",3389001
"Paper & Packaging","Four Months Ago","2021-05-31","4m - 4.5m",4309001
"Paper & Packaging","Rest of the Records","2018-09-19","2.5m - 3m",2643001
"Textiles","Rest of the Records","2020-01-19","4.5m - 5m",4955000
"Specialty Materials","Rest of the Records","2018-06-08","3m - 3.5m",3135001
"Coatings & Inks","Rest of the Records","2019-10-04","4m - 4.5m",4296001
"Coatings & Inks","Rest of the Records","2018-04-19","3.5m - 4m",3865001
"Textiles","Rest of the Records","2019-06-20","2m - 2.5m",2402001
"Specialty Materials","Rest of the Records","2017-05-18","1m - 1.5m",1229000
"Paper & Packaging","Rest of the Records","2020-09-29","1.5m - 2m",1935001
"Textiles","Rest of the Records","2018-01-22","3m - 3.5m",3007001
"Paper & Packaging","Rest of the Records","2018-12-11","3.5m - 4m",3878001
"Coatings & Inks","Rest of the Records","2018-08-10","3.5m - 4m",3703001
"Specialty Materials","Rest of the Records","2017-06-19","2.5m - 3m",2576001
"Specialty Materials","Rest of the Records","2020-09-16","2m - 2.5m",2074001
"Textiles","Rest of the Records","2020-03-19","3m - 3.5m",3394001
"Paper & Packaging","Rest of the Records","2017-05-06","1m - 1.5m",1309000
"Coatings & Inks","Rest of the Records","2017-08-29","4.5m - 5m",4584000
"Coatings & Inks","Rest of the Records","2017-05-05","3.5m - 4m",3752001
"Paper & Packaging","Rest of the Records","2017-06-18","3.5m - 4m",3530001
"Textiles","Rest of the Records","2018-08-22","4m - 4.5m",4003001
"Specialty Materials","Rest of the Records","2019-10-29","1.5m - 2m",1700001
"Specialty Materials","Rest of the Records","2020-08-14","4.5m - 5m",4803000
"Coatings & Inks","Rest of the Records","2017-05-28","2m - 2.5m",2377001
"Paper & Packaging","Rest of the Records","2019-05-28","1m - 1.5m",1204000
"Textiles","Rest of the Records","2017-09-05","4m - 4.5m",4022001
"Paper & Packaging","Rest of the Records","2018-05-24","3m - 3.5m",3107001
"Textiles","Rest of the Records","2017-12-25","1.5m - 2m",1949001
"Coatings & Inks","Rest of the Records","2020-04-01","2.5m - 3m",2744001
"Specialty Materials","Rest of the Records","2020-01-14","4.5m - 5m",4829000
"Specialty Materials","Rest of the Records","2017-10-23","2m - 2.5m",2446001
"Paper & Packaging","Rest of the Records","2021-03-30","3.5m - 4m",3755001
"Textiles","Rest of the Records","2020-03-15","2.5m - 3m",2807001
"Coatings & Inks","Rest of the Records","2018-08-19","1m - 1.5m",1191000
"Textiles","Rest of the Records","2019-03-19","3.5m - 4m",3917001
"Specialty Materials","Rest of the Records","2019-10-04","4m - 4.5m",4035001
"Coatings & Inks","Rest of the Records","2018-11-06","3m - 3.5m",3107001
"Paper & Packaging","Rest of the Records","2018-07-23","2.5m - 3m",2562001
"Coatings & Inks","Rest of the Records","2020-05-02","4.5m - 5m",4753000
"Paper & Packaging","Rest of the Records","2021-02-02","2m - 2.5m",2364001
"Specialty Materials","Rest of the Records","2020-12-15","3m - 3.5m",3329001
"Textiles","Rest of the Records","2018-10-18","4.5m - 5m",4803000
"Paper & Packaging","Rest of the Records","2019-11-24","1.5m - 2m",1945001
"Textiles","Rest of the Records","2019-10-04","3m - 3.5m",3211001
"Coatings & Inks","Rest of the Records","2019-01-23","1.5m - 2m",1864001
"Specialty Materials","Rest of the Records","2020-07-25","1m - 1.5m",1494000
"Paper & Packaging","Rest of the Records","2018-06-19","4m - 4.5m",4279001
"Specialty Materials","Rest of the Records","2018-01-19","1m - 1.5m",1376000
"Coatings & Inks","Rest of the Records","2020-05-10","3.5m - 4m",3807001
"Textiles","Rest of the Records","2017-09-28","2.5m - 3m",2654001
"Textiles","Rest of the Records","2017-07-10","1.5m - 2m",1583001
"Coatings & Inks","Rest of the Records","2018-10-15","4m - 4.5m",4167001
"Paper & Packaging","Four Months Ago","2021-05-18","3.5m - 4m",3572001
"Specialty Materials","One Month Ago","2021-08-16","4.5m - 5m",4699000
"Paper & Packaging","Current Month","2021-09-08","3.5m - 4m",3783001
"Textiles","Rest of the Records","2017-06-05","2m - 2.5m",2091001
"Coatings & Inks","Two Months Ago","2021-07-08","2m - 2.5m",2353001
"Specialty Materials","Three Months Ago","2021-06-19","1m - 1.5m",1170000
"Textiles","Rest of the Records","2020-03-18","2.5m - 3m",2997001
"Coatings & Inks","Rest of the Records","2017-12-26","2.5m - 3m",2736001
"Specialty Materials","Rest of the Records","2019-08-07","1.5m - 2m",1814001
"Paper & Packaging","Rest of the Records","2019-01-31","4m - 4.5m",4242001
"Textiles","Rest of the Records","2018-01-25","2m - 2.5m",2233001
"Specialty Materials","Rest of the Records","2020-02-08","3.5m - 4m",3789001
"Coatings & Inks","Rest of the Records","2020-03-15","3m - 3.5m",3096001
"Paper & Packaging","Rest of the Records","2020-11-11","3m - 3.5m",3339001
"Paper & Packaging","Rest of the Records","2017-07-12","4.5m - 5m",4817000
"Textiles","Rest of the Records","2017-06-14","1m - 1.5m",1163000
"Specialty Materials","Rest of the Records","2021-03-21","2.5m - 3m",2630001
"Coatings & Inks","Rest of the Records","2019-10-24","1.5m - 2m",1926001
"Textiles","Rest of the Records","2019-06-22","4m - 4.5m",4206001
"Coatings & Inks","Rest of the Records","2021-04-24","2m - 2.5m",2039001
"Specialty Materials","Rest of the Records","2020-03-20","1.5m - 2m",1687001
"Paper & Packaging","Rest of the Records","2018-05-12","3.5m - 4m",3806001
"Textiles","Rest of the Records","2018-07-29","3m - 3.5m",3207001
"Paper & Packaging","Rest of the Records","2019-06-08","3m - 3.5m",3376001
"Specialty Materials","Rest of the Records","2018-10-29","4.5m - 5m",4595000
"Coatings & Inks","Rest of the Records","2019-02-15","2m - 2.5m",2411001
"Specialty Materials","Rest of the Records","2019-07-31","2m - 2.5m",2394001
"Coatings & Inks","Rest of the Records","2019-08-10","4m - 4.5m",4082001
"Paper & Packaging","Rest of the Records","2019-08-04","4m - 4.5m",4064001
"Textiles","Rest of the Records","2019-04-06","2.5m - 3m",2856001
"Specialty Materials","Rest of the Records","2019-10-06","3.5m - 4m",3712001
"Paper & Packaging","Rest of the Records","2020-06-12","2m - 2.5m",2485001
"Coatings & Inks","Rest of the Records","2019-07-22","4.5m - 5m",4856000
"Textiles","Rest of the Records","2019-07-27","3m - 3.5m",3482001
"Paper & Packaging","Rest of the Records","2018-06-15","1m - 1.5m",1385000
"Textiles","Rest of the Records","2020-07-06","4.5m - 5m",4931000
"Specialty Materials","Rest of the Records","2018-10-24","3m - 3.5m",3337001
