"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q2","Distribution","2021-06-21","4.5m - 5m",4838001
"Q3","Follower","2021-08-23","4m - 4.5m",4147001
"Rest of years","Innovator","2019-01-30","4m - 4.5m",4232001
"Q2","Commodity","2021-04-18","4m - 4.5m",4200001
"Rest of years","Distribution","2017-11-24","3m - 3.5m",3253000
"Previous Year","Commodity","2020-05-18","3m - 3.5m",3318000
"Q2","Innovator","2021-05-30","3m - 3.5m",3059000
"Q3","Follower","2021-08-23","4m - 4.5m",4378001
"Q1","Follower","2021-03-31","4m - 4.5m",4081001
"Q3","Commodity","2021-08-13","3.5m - 4m",3775001
"Rest of years","Distribution","2017-10-02","3m - 3.5m",3368000
"Q2","Innovator","2021-06-07","3m - 3.5m",3039000
"Rest of years","Distribution","2019-10-12","4m - 4.5m",4272001
"Q3","Innovator","2021-07-11","3.5m - 4m",3619001
"Q2","Commodity","2021-06-05","3m - 3.5m",3115000
"Rest of years","Follower","2018-01-22","4m - 4.5m",4472001
"Q1","Follower","2021-01-28","3m - 3.5m",3258000
"Q2","Distribution","2021-06-05","4.5m - 5m",4867001
"Q3","Commodity","2021-08-20","3m - 3.5m",3088000
"Q2","Innovator","2021-06-11","3m - 3.5m",3375000
"Previous Year","Commodity","2020-04-19","4m - 4.5m",4158001
"Rest of years","Distribution","2019-03-04","3m - 3.5m",3392000
"Q3","Innovator","2021-09-07","3.5m - 4m",3821001
"Q3","Follower","2021-09-05","4m - 4.5m",4317001
"Q2","Follower","2021-04-01","3m - 3.5m",3192000
"Rest of years","Distribution","2019-07-30","3.5m - 4m",3676001
"Previous Year","Commodity","2020-01-10","4m - 4.5m",4412001
"Rest of years","Innovator","2019-07-25","4.5m - 5m",4770001
"Q2","Commodity","2021-06-29","4m - 4.5m",4195001
"Q1","Follower","2021-03-19","4m - 4.5m",4460001
"Q2","Distribution","2021-04-09","3m - 3.5m",3125000
"Rest of years","Innovator","2017-01-25","3.5m - 4m",3557001
"Q3","Follower","2021-08-31","3m - 3.5m",3198000
"Q3","Innovator","2021-09-14","3.5m - 4m",3848001
"Rest of years","Commodity","2017-04-11","3m - 3.5m",3362000
"Q2","Distribution","2021-06-30","4m - 4.5m",4479001
"Q3","Follower","2021-08-14","4.5m - 5m",4754001
"Q3","Innovator","2021-09-16","3.5m - 4m",3602001
"Q1","Commodity","2021-02-17","3m - 3.5m",3244000
"Q2","Distribution","2021-04-17","4m - 4.5m",4430001
"Previous Year","Innovator","2020-07-16","4m - 4.5m",4230001
"Q2","Distribution","2021-04-01","3m - 3.5m",3435000
"Q3","Follower","2021-07-08","4m - 4.5m",4108001
"Rest of years","Commodity","2017-01-27","4m - 4.5m",4430001
"Rest of years","Follower","2017-10-23","3m - 3.5m",3355000
"Q3","Innovator","2021-08-08","3.5m - 4m",3952001
"Q2","Distribution","2021-06-14","3.5m - 4m",3980001
"Rest of years","Commodity","2019-03-31","4m - 4.5m",4481001
"Previous Year","Commodity","2020-05-01","4m - 4.5m",4397001
"Q3","Innovator","2021-09-21","3.5m - 4m",3744001
"Q1","Distribution","2021-02-13","3m - 3.5m",3252000
"Rest of years","Follower","2018-02-17","4m - 4.5m",4325001
"Rest of years","Commodity","2017-03-05","3m - 3.5m",3397000
"Q2","Innovator","2021-06-25","3m - 3.5m",3160000
"Q3","Distribution","2021-08-05","4m - 4.5m",4141001
"Q2","Follower","2021-06-24","4.5m - 5m",4704001
"Rest of years","Innovator","2018-01-30","4m - 4.5m",4394001
"Q3","Commodity","2021-07-10","4m - 4.5m",4127001
"Q2","Distribution","2021-04-27","3.5m - 4m",3735001
"Q3","Follower","2021-08-16","3m - 3.5m",3276000
"Q1","Follower","2021-03-10","4m - 4.5m",4414001
"Rest of years","Innovator","2017-04-23","4m - 4.5m",4224001
"Previous Year","Distribution","2020-02-25","3m - 3.5m",3454000
"Q3","Commodity","2021-08-28","4m - 4.5m",4423001
"Rest of years","Follower","2018-10-17","3m - 3.5m",3192000
"Q2","Innovator","2021-04-19","3m - 3.5m",3278000
"Q2","Commodity","2021-04-21","3m - 3.5m",3441000
"Rest of years","Distribution","2019-07-15","3m - 3.5m",3369000
"Q2","Distribution","2021-05-24","4m - 4.5m",4297001
"Q3","Commodity","2021-07-19","4m - 4.5m",4398001
"Q1","Follower","2021-02-22","3m - 3.5m",3384000
"Previous Year","Innovator","2020-07-29","4m - 4.5m",4042001
"Q2","Innovator","2021-06-28","3m - 3.5m",3242000
"Rest of years","Commodity","2017-08-01","4m - 4.5m",4363001
"Q3","Distribution","2021-07-24","4.5m - 5m",4918001
"Q2","Follower","2021-04-09","4m - 4.5m",4161001
"Q3","Innovator","2021-09-10","3.5m - 4m",3649001
"Rest of years","Commodity","2017-08-27","3m - 3.5m",3047000
"Rest of years","Distribution","2019-06-24","3.5m - 4m",3783001
"Q3","Follower","2021-07-06","3m - 3.5m",3193000
"Q2","Follower","2021-05-12","4m - 4.5m",4362001
"Q1","Distribution","2021-03-01","4m - 4.5m",4116001
"Rest of years","Innovator","2017-11-26","3.5m - 4m",3770001
"Q2","Commodity","2021-04-19","3m - 3.5m",3116000
"Previous Year","Distribution","2020-06-28","4m - 4.5m",4247001
"Q2","Innovator","2021-06-08","3m - 3.5m",3171000
"Rest of years","Commodity","2017-11-02","3m - 3.5m",3377000
"Q3","Follower","2021-08-16","4m - 4.5m",4138001
"Q3","Distribution","2021-09-22","3m - 3.5m",3372000
"Q3","Follower","2021-09-26","4m - 4.5m",4027001
"Q2","Commodity","2021-04-05","3.5m - 4m",3995001
"Rest of years","Innovator","2019-07-15","3m - 3.5m",3261000
"Q2","Innovator","2021-06-03","3m - 3.5m",3072000
"Q1","Follower","2021-01-08","4.5m - 5m",4763001
"Previous Year","Distribution","2020-04-05","4m - 4.5m",4445001
"Rest of years","Commodity","2018-01-22","3m - 3.5m",3388000
"Rest of years","Distribution","2018-01-29","4m - 4.5m",4067001
"Q2","Follower","2021-06-05","3m - 3.5m",3287000
"Q3","Commodity","2021-07-21","3m - 3.5m",3183000
"Q3","Innovator","2021-07-29","3.5m - 4m",3958001
"Q2","Commodity","2021-06-09","3m - 3.5m",3406000
"Rest of years","Distribution","2017-05-16","4m - 4.5m",4284001
"Q3","Follower","2021-08-25","4m - 4.5m",4067001
"Q3","Innovator","2021-07-14","3.5m - 4m",3678001
"Rest of years","Follower","2019-02-12","4m - 4.5m",4251001
"Previous Year","Commodity","2020-10-26","3m - 3.5m",3347000
"Q2","Distribution","2021-06-03","3.5m - 4m",3998001
"Q1","Innovator","2021-03-18","4m - 4.5m",4183001
"Q3","Distribution","2021-07-03","4m - 4.5m",4448001
"Rest of years","Commodity","2017-03-25","3m - 3.5m",3083000
"Q2","Innovator","2021-05-29","3m - 3.5m",3439000
"Q2","Follower","2021-06-01","4.5m - 5m",4631001
"Q3","Commodity","2021-08-04","3m - 3.5m",3194000
"Rest of years","Follower","2017-03-31","4m - 4.5m",4230001
"Previous Year","Distribution","2020-03-30","4m - 4.5m",4070001
"Q1","Innovator","2021-03-24","3.5m - 4m",3803001
"Q3","Follower","2021-07-07","4m - 4.5m",4044001
"Rest of years","Innovator","2018-12-19","4m - 4.5m",4387001
"Q3","Commodity","2021-08-24","3m - 3.5m",3144000
"Q2","Distribution","2021-06-04","3m - 3.5m",3029000
"Rest of years","Innovator","2018-10-30","3m - 3.5m",3482000
"Q2","Commodity","2021-05-07","3m - 3.5m",3142000
"Rest of years","Follower","2017-07-12","4m - 4.5m",4415001
"Q2","Distribution","2021-06-14","3.5m - 4m",3755001
"Q3","Distribution","2021-09-06","4m - 4.5m",4107001
"Q1","Follower","2021-03-18","3m - 3.5m",3305000
"Q3","Innovator","2021-08-20","3.5m - 4m",3675001
"Q2","Commodity","2021-04-26","3m - 3.5m",3468000
"Previous Year","Commodity","2020-03-30","4.5m - 5m",4793001
"Q3","Follower","2021-08-20","4m - 4.5m",4166001
"Rest of years","Innovator","2019-10-03","4m - 4.5m",4006001
"Q2","Distribution","2021-04-18","3m - 3.5m",3361000
"Rest of years","Follower","2017-12-31","4m - 4.5m",4192001
"Rest of years","Innovator","2018-10-07","3.5m - 4m",3951001
"Q3","Distribution","2021-07-06","3m - 3.5m",3085000
"Q2","Commodity","2021-06-13","4m - 4.5m",4409001
"Q2","Innovator","2021-06-06","3m - 3.5m",3189000
"Previous Year","Distribution","2020-10-12","4m - 4.5m",4055001
"Rest of years","Follower","2019-11-12","3m - 3.5m",3337000
"Q3","Commodity","2021-08-26","3.5m - 4m",3938001
"Q2","Innovator","2021-04-18","3m - 3.5m",3154000
"Q3","Follower","2021-08-09","4m - 4.5m",4426001
"Rest of years","Distribution","2017-10-05","3m - 3.5m",3241000
"Q1","Commodity","2021-02-10","4m - 4.5m",4141001
"Q2","Follower","2021-05-10","3m - 3.5m",3226000
"Rest of years","Commodity","2019-04-09","4m - 4.5m",4180001
"Q3","Innovator","2021-09-22","3.5m - 4m",3518001
"Q1","Distribution","2021-03-25","3m - 3.5m",3167000
"Previous Year","Distribution","2020-06-06","4.5m - 5m",4701001
"Rest of years","Follower","2017-10-18","4m - 4.5m",4425001
"Q2","Commodity","2021-04-21","4m - 4.5m",4433001
"Rest of years","Innovator","2017-11-03","3m - 3.5m",3228000
"Q2","Innovator","2021-05-19","3m - 3.5m",3297000
"Q3","Commodity","2021-09-03","4m - 4.5m",4461001
"Q3","Follower","2021-09-20","3m - 3.5m",3364000
"Q3","Distribution","2021-07-08","3.5m - 4m",3784001
"Q2","Follower","2021-05-15","3m - 3.5m",3003000
"Rest of years","Commodity","2018-04-22","4m - 4.5m",4372001
"Q3","Innovator","2021-08-09","3.5m - 4m",3765001
"Rest of years","Distribution","2018-05-03","4m - 4.5m",4027001
"Q1","Distribution","2021-02-03","3m - 3.5m",3414000
"Previous Year","Commodity","2020-03-30","4m - 4.5m",4307001
"Q2","Innovator","2021-05-18","3m - 3.5m",3296000
"Rest of years","Follower","2019-03-10","3m - 3.5m",3401000
"Q3","Innovator","2021-09-08","3.5m - 4m",3510001
"Q2","Distribution","2021-06-07","4m - 4.5m",4146001
"Q2","Commodity","2021-05-20","4.5m - 5m",4573001
"Q3","Follower","2021-09-14","4m - 4.5m",4341001
"Rest of years","Innovator","2017-11-28","4m - 4.5m",4470001
"Q1","Commodity","2021-01-13","3m - 3.5m",3304000
"Q2","Follower","2021-06-28","3m - 3.5m",3341000
"Q3","Distribution","2021-08-14","4m - 4.5m",4012001
"Rest of years","Innovator","2018-05-21","3m - 3.5m",3119000
"Previous Year","Distribution","2020-10-16","3.5m - 4m",3839001
"Q3","Follower","2021-08-28","3m - 3.5m",3180000
"Rest of years","Commodity","2019-12-08","3m - 3.5m",3021000
"Q2","Commodity","2021-05-28","4m - 4.5m",4106001
"Q2","Distribution","2021-05-16","3m - 3.5m",3173000
"Q3","Follower","2021-09-09","4m - 4.5m",4022001
"Rest of years","Innovator","2018-01-01","3m - 3.5m",3290000
"Rest of years","Innovator","2017-12-24","4m - 4.5m",4190001
"Previous Year","Follower","2020-10-28","3m - 3.5m",3479000
"Q3","Commodity","2021-08-30","4m - 4.5m",4073001
"Q1","Distribution","2021-03-20","4m - 4.5m",4191001
"Q2","Follower","2021-04-02","3m - 3.5m",3311000
"Q2","Distribution","2021-06-26","4m - 4.5m",4060001
"Rest of years","Commodity","2019-08-09","3m - 3.5m",3495000
"Q3","Innovator","2021-09-03","3.5m - 4m",3840001
"Q2","Innovator","2021-05-31","3m - 3.5m",3373000
"Q3","Commodity","2021-07-26","4m - 4.5m",4265001
"Rest of years","Follower","2019-07-02","3.5m - 4m",3509001
"Q1","Distribution","2021-01-18","4.5m - 5m",4982001
"Previous Year","Follower","2020-08-24","3m - 3.5m",3210000
"Q2","Commodity","2021-05-07","4m - 4.5m",4349001
"Rest of years","Distribution","2017-05-22","3m - 3.5m",3285000
"Rest of years","Innovator","2018-06-10","4m - 4.5m",4151001
"Q3","Distribution","2021-08-31","4m - 4.5m",4449001
"Q3","Innovator","2021-09-19","3.5m - 4m",3649001
"Q2","Commodity","2021-06-07","3m - 3.5m",3071000
"Q2","Follower","2021-04-24","4m - 4.5m",4410001
"Rest of years","Follower","2019-12-05","3m - 3.5m",3269000
"Q3","Innovator","2021-07-09","3.5m - 4m",3914001
"Rest of years","Distribution","2018-04-09","4m - 4.5m",4478001
"Q1","Commodity","2021-02-18","4m - 4.5m",4460001
"Previous Year","Follower","2020-08-28","3.5m - 4m",3520001
"Q2","Distribution","2021-04-18","4.5m - 5m",4604001
"Q3","Innovator","2021-08-16","3.5m - 4m",3648001
"Q2","Commodity","2021-04-09","4m - 4.5m",4426001
"Rest of years","Innovator","2017-04-15","3.5m - 4m",3633001
"Q3","Distribution","2021-09-29","3m - 3.5m",3000000
"Q2","Commodity","2021-04-10","3m - 3.5m",3402000
"Q3","Follower","2021-07-06","3m - 3.5m",3219000
"Rest of years","Innovator","2017-10-23","3m - 3.5m",3307000
"Q2","Follower","2021-05-30","4m - 4.5m",4340001
"Previous Year","Distribution","2020-10-21","4m - 4.5m",4361001
"Q3","Commodity","2021-09-12","4m - 4.5m",4285001
"Rest of years","Innovator","2018-04-27","4m - 4.5m",4384001
"Q1","Commodity","2021-03-17","3m - 3.5m",3014000
"Rest of years","Distribution","2018-07-01","3m - 3.5m",3484000
"Q2","Follower","2021-04-18","4m - 4.5m",4323001
"Q3","Commodity","2021-09-09","3.5m - 4m",3580001
"Q2","Follower","2021-05-03","3m - 3.5m",3040000
"Q3","Innovator","2021-09-25","3.5m - 4m",3826001
"Rest of years","Distribution","2018-12-25","4m - 4.5m",4111001
"Q1","Commodity","2021-03-24","4m - 4.5m",4134001
"Q3","Follower","2021-07-04","4.5m - 5m",4793001
"Rest of years","Innovator","2018-02-21","3.5m - 4m",3929001
"Q2","Distribution","2021-04-21","4m - 4.5m",4416001
"Rest of years","Commodity","2019-03-01","3m - 3.5m",3444000
"Q2","Innovator","2021-05-03","3m - 3.5m",3169000
"Q3","Distribution","2021-07-16","3m - 3.5m",3313000
"Previous Year","Follower","2020-11-20","4m - 4.5m",4039001
"Q2","Innovator","2021-06-25","3m - 3.5m",3044000
"Rest of years","Follower","2019-01-16","3m - 3.5m",3485000
"Q3","Distribution","2021-08-05","3m - 3.5m",3351000
"Previous Year","Commodity","2020-12-05","4m - 4.5m",4158001
"Q1","Distribution","2021-01-13","4m - 4.5m",4478001
"Q3","Follower","2021-09-02","3m - 3.5m",3188000
"Q2","Commodity","2021-06-24","4.5m - 5m",4793001
"Q2","Innovator","2021-05-17","3m - 3.5m",3174000
"Q3","Follower","2021-09-14","3m - 3.5m",3001000
"Rest of years","Innovator","2017-12-13","4m - 4.5m",4328001
"Rest of years","Commodity","2018-05-28","3.5m - 4m",3732001
"Q3","Distribution","2021-07-23","4m - 4.5m",4325001
"Rest of years","Innovator","2017-07-27","3m - 3.5m",3062000
"Q2","Follower","2021-06-21","3m - 3.5m",3018000
"Q1","Commodity","2021-03-04","4m - 4.5m",4200001
"Rest of years","Distribution","2017-05-27","4m - 4.5m",4170001
"Q2","Innovator","2021-05-05","3m - 3.5m",3136000
"Previous Year","Follower","2020-05-01","3m - 3.5m",3080000
"Rest of years","Distribution","2017-11-19","4m - 4.5m",4360001
"Q2","Commodity","2021-05-04","4m - 4.5m",4030001
"Q3","Distribution","2021-07-17","3m - 3.5m",3091000
"Q3","Innovator","2021-09-10","3.5m - 4m",3926001
"Q2","Commodity","2021-05-12","4m - 4.5m",4299001
"Q3","Follower","2021-08-21","3.5m - 4m",3849001
"Rest of years","Innovator","2017-07-25","4m - 4.5m",4050001
"Q1","Commodity","2021-02-16","3m - 3.5m",3068000
"Previous Year","Distribution","2020-03-06","4m - 4.5m",4292001
"Q2","Follower","2021-04-01","3m - 3.5m",3341000
"Rest of years","Commodity","2019-11-16","3m - 3.5m",3030000
"Rest of years","Distribution","2019-06-25","4m - 4.5m",4345001
"Q2","Innovator","2021-04-06","3m - 3.5m",3383000
"Q3","Follower","2021-09-30","4.5m - 5m",4564001
"Q3","Follower","2021-07-19","4m - 4.5m",4312001
"Q3","Innovator","2021-09-24","3.5m - 4m",3995001
"Q2","Commodity","2021-06-20","4m - 4.5m",4210001
"Rest of years","Distribution","2018-04-07","3m - 3.5m",3376000
"Previous Year","Distribution","2020-05-11","3m - 3.5m",3050000
"Q3","Commodity","2021-09-12","4m - 4.5m",4350001
"Rest of years","Follower","2019-12-01","3.5m - 4m",3802001
"Q2","Innovator","2021-06-08","3m - 3.5m",3207000
"Rest of years","Distribution","2019-12-10","4m - 4.5m",4465001
"Q3","Commodity","2021-08-08","3m - 3.5m",3347000
"Q2","Innovator","2021-05-19","3m - 3.5m",3471000
"Q1","Follower","2021-01-09","4m - 4.5m",4356001
"Q3","Commodity","2021-07-04","3m - 3.5m",3311000
"Rest of years","Distribution","2019-11-25","3m - 3.5m",3073000
"Q2","Follower","2021-05-20","4m - 4.5m",4473001
"Q1","Innovator","2021-02-26","4m - 4.5m",4115001
"Rest of years","Follower","2018-09-15","3m - 3.5m",3135000
"Previous Year","Distribution","2020-11-22","4m - 4.5m",4098001
"Q3","Innovator","2021-09-02","3.5m - 4m",3944001
"Rest of years","Commodity","2017-08-06","4.5m - 5m",4780001
"Q3","Commodity","2021-08-21","4m - 4.5m",4336001
"Q2","Follower","2021-05-19","3.5m - 4m",3751001
"Q2","Distribution","2021-06-05","3m - 3.5m",3262000
"Q2","Innovator","2021-05-02","3m - 3.5m",3471000
"Rest of years","Follower","2018-10-18","4m - 4.5m",4468001
"Q3","Innovator","2021-08-14","3.5m - 4m",3681001
"Q1","Distribution","2021-02-13","3m - 3.5m",3398000
"Previous Year","Commodity","2020-06-15","3m - 3.5m",3248000
"Q3","Innovator","2021-09-04","3.5m - 4m",3812001
"Rest of years","Distribution","2019-06-15","4m - 4.5m",4230001
"Rest of years","Follower","2019-02-27","3m - 3.5m",3477000
"Q2","Commodity","2021-05-26","4.5m - 5m",4650001
"Q2","Commodity","2021-06-27","4m - 4.5m",4277001
"Q3","Innovator","2021-07-20","3.5m - 4m",3701001
"Q2","Distribution","2021-06-16","4m - 4.5m",4117001
"Rest of years","Follower","2019-04-29","4m - 4.5m",4047001
"Q3","Innovator","2021-07-31","3.5m - 4m",3702001
"Previous Year","Commodity","2020-01-26","3m - 3.5m",3003000
"Q3","Follower","2021-09-15","4m - 4.5m",4333001
"Q1","Distribution","2021-02-25","3.5m - 4m",3661001
"Q2","Distribution","2021-05-08","3m - 3.5m",3407000
"Rest of years","Follower","2017-02-14","4m - 4.5m",4415001
"Q2","Innovator","2021-05-27","3m - 3.5m",3062000
"Q3","Commodity","2021-09-03","3m - 3.5m",3360000
"Rest of years","Follower","2017-10-07","3m - 3.5m",3468000
"Q3","Innovator","2021-07-20","3.5m - 4m",3937001
"Rest of years","Distribution","2018-07-16","4m - 4.5m",4385001
"Q2","Commodity","2021-05-21","4m - 4.5m",4462001
"Q3","Follower","2021-07-29","3m - 3.5m",3416000
"Q2","Innovator","2021-04-08","3m - 3.5m",3311000
"Previous Year","Distribution","2020-03-20","3m - 3.5m",3290000
"Rest of years","Commodity","2017-12-09","4.5m - 5m",4877001
"Q2","Distribution","2021-06-04","4m - 4.5m",4182001
"Q1","Innovator","2021-01-27","3m - 3.5m",3185000
"Rest of years","Commodity","2017-08-21","4m - 4.5m",4196001
"Q3","Follower","2021-07-08","3m - 3.5m",3160000
"Q2","Follower","2021-04-03","4m - 4.5m",4479001
"Q3","Distribution","2021-07-16","3.5m - 4m",3939001
"Rest of years","Commodity","2019-12-19","3m - 3.5m",3310000
"Q3","Innovator","2021-09-23","3.5m - 4m",3964001
"Previous Year","Commodity","2020-01-12","4m - 4.5m",4074001
"Q1","Distribution","2021-02-19","3m - 3.5m",3287000
"Q2","Innovator","2021-05-22","3m - 3.5m",3186000
"Q3","Follower","2021-09-25","3m - 3.5m",3018000
"Rest of years","Distribution","2017-10-24","4m - 4.5m",4256001
"Q2","Commodity","2021-05-19","4m - 4.5m",4236001
"Rest of years","Innovator","2019-07-04","3m - 3.5m",3227000
"Q2","Follower","2021-06-19","3m - 3.5m",3175000
"Rest of years","Innovator","2019-01-23","4m - 4.5m",4264001
"Q3","Distribution","2021-07-22","4m - 4.5m",4272001
"Rest of years","Follower","2017-06-11","3.5m - 4m",3602001
"Q2","Commodity","2021-04-26","3m - 3.5m",3454000
"Q3","Follower","2021-09-12","4.5m - 5m",4764001
"Previous Year","Distribution","2020-10-27","4m - 4.5m",4144001
"Q1","Innovator","2021-03-31","4m - 4.5m",4410001
"Q3","Commodity","2021-07-21","3m - 3.5m",3222000
"Rest of years","Distribution","2017-10-10","3m - 3.5m",3401000
"Q2","Innovator","2021-06-20","3m - 3.5m",3355000
"Q2","Commodity","2021-04-18","4m - 4.5m",4093001
"Rest of years","Follower","2018-05-20","4m - 4.5m",4489001
"Q3","Follower","2021-08-05","3m - 3.5m",3003000
"Q2","Commodity","2021-04-13","4m - 4.5m",4071001
"Q1","Distribution","2021-02-25","4m - 4.5m",4355001
"Previous Year","Innovator","2020-07-17","4m - 4.5m",4026001
"Q3","Distribution","2021-08-01","3m - 3.5m",3226000
"Q3","Follower","2021-08-09","4m - 4.5m",4437001
"Q2","Innovator","2021-04-11","3m - 3.5m",3336000
"Rest of years","Commodity","2018-09-07","3m - 3.5m",3273000
"Rest of years","Distribution","2017-08-14","4.5m - 5m",4625001
"Q2","Follower","2021-04-14","4m - 4.5m",4088001
"Q3","Innovator","2021-08-21","3.5m - 4m",3605001
"Rest of years","Commodity","2018-06-04","3.5m - 4m",3540001
"Q1","Commodity","2021-03-21","3m - 3.5m",3169000
"Q2","Distribution","2021-06-26","4m - 4.5m",4443001
"Q3","Innovator","2021-08-31","3.5m - 4m",3991001
"Rest of years","Follower","2017-08-01","3m - 3.5m",3401000
"Rest of years","Follower","2018-04-02","3m - 3.5m",3334000
"Previous Year","Distribution","2020-12-29","4m - 4.5m",4251001
"Q2","Commodity","2021-05-25","4m - 4.5m",4418001
"Q3","Innovator","2021-07-12","3.5m - 4m",3977001
"Q2","Distribution","2021-05-11","3m - 3.5m",3472000
"Rest of years","Innovator","2017-01-19","4.5m - 5m",4562001
"Q3","Commodity","2021-09-18","4m - 4.5m",4260001
"Rest of years","Follower","2017-01-13","3m - 3.5m",3441000
"Q3","Commodity","2021-07-12","4m - 4.5m",4168001
"Q1","Follower","2021-03-04","3.5m - 4m",3799001
"Previous Year","Distribution","2020-12-11","3m - 3.5m",3332000
"Q2","Innovator","2021-06-02","3m - 3.5m",3047000
"Q3","Follower","2021-08-16","4.5m - 5m",4577001
"Q2","Distribution","2021-04-04","4m - 4.5m",4064001
"Rest of years","Innovator","2019-05-18","4m - 4.5m",4219001
"Q3","Commodity","2021-07-10","4m - 4.5m",4110001
"Rest of years","Commodity","2018-06-03","4m - 4.5m",4486001
"Q2","Distribution","2021-06-22","3m - 3.5m",3134000
"Q2","Innovator","2021-06-14","3m - 3.5m",3340000
"Q3","Follower","2021-07-17","3m - 3.5m",3235000
"Previous Year","Distribution","2020-08-06","3m - 3.5m",3178000
"Rest of years","Follower","2019-03-26","4m - 4.5m",4439001
"Q3","Innovator","2021-08-17","3.5m - 4m",3922001
"Q1","Commodity","2021-02-12","3.5m - 4m",3885001
"Q2","Follower","2021-04-11","4m - 4.5m",4244001
"Rest of years","Commodity","2018-10-08","3m - 3.5m",3299000
"Rest of years","Innovator","2019-06-03","3.5m - 4m",3592001
"Q3","Distribution","2021-09-20","4m - 4.5m",4382001
"Q2","Commodity","2021-05-13","4.5m - 5m",4631001
"Q3","Innovator","2021-08-08","3.5m - 4m",3788001
"Q1","Distribution","2021-02-12","4m - 4.5m",4210001
"Rest of years","Follower","2017-05-15","3m - 3.5m",3330000
"Q2","Innovator","2021-04-06","3m - 3.5m",3093000
"Previous Year","Distribution","2020-01-03","3m - 3.5m",3154000
"Rest of years","Follower","2017-10-27","3m - 3.5m",3154000
"Q3","Commodity","2021-07-20","4m - 4.5m",4282001
"Q2","Innovator","2021-06-06","3m - 3.5m",3091000
"Q2","Distribution","2021-05-15","4m - 4.5m",4465001
"Q3","Commodity","2021-08-06","3m - 3.5m",3073000
"Rest of years","Follower","2019-11-29","3.5m - 4m",3761001
"Q2","Innovator","2021-06-21","3m - 3.5m",3020000
"Q3","Distribution","2021-07-25","3m - 3.5m",3068000
"Q1","Follower","2021-01-09","4m - 4.5m",4137001
"Previous Year","Commodity","2020-03-14","4m - 4.5m",4188001
"Q3","Distribution","2021-07-06","4m - 4.5m",4089001
"Q2","Innovator","2021-06-06","3m - 3.5m",3136000
"Rest of years","Follower","2019-04-07","3m - 3.5m",3009000
"Rest of years","Commodity","2018-07-19","4.5m - 5m",4729001
"Q3","Distribution","2021-09-14","4m - 4.5m",4227001
"Rest of years","Follower","2018-02-01","3m - 3.5m",3435000
"Q2","Innovator","2021-04-28","3m - 3.5m",3473000
"Previous Year","Commodity","2020-03-25","4m - 4.5m",4132001
"Q2","Distribution","2021-05-10","4m - 4.5m",4299001
"Q1","Commodity","2021-03-04","3m - 3.5m",3453000
"Rest of years","Follower","2019-07-18","3.5m - 4m",3669001
"Q3","Innovator","2021-07-25","3.5m - 4m",3978001
"Rest of years","Innovator","2018-09-12","4m - 4.5m",4284001
"Q3","Commodity","2021-09-06","3m - 3.5m",3314000
"Q2","Distribution","2021-04-23","4m - 4.5m",4223001
"Rest of years","Follower","2019-10-31","4m - 4.5m",4347001
"Q2","Follower","2021-05-19","3m - 3.5m",3005000
"Q3","Innovator","2021-07-17","3.5m - 4m",3783001
"Q1","Distribution","2021-03-31","4m - 4.5m",4479001
"Q2","Commodity","2021-06-21","3m - 3.5m",3056000
"Rest of years","Commodity","2017-12-02","4m - 4.5m",4257001
"Q3","Follower","2021-09-03","3m - 3.5m",3303000
"Rest of years","Distribution","2018-11-04","4.5m - 5m",4662001
"Q2","Innovator","2021-05-07","3m - 3.5m",3007000
"Q3","Follower","2021-08-16","4m - 4.5m",4335001
"Previous Year","Commodity","2020-04-16","3m - 3.5m",3291000
"Q2","Distribution","2021-05-11","3m - 3.5m",3245000
"Q3","Innovator","2021-08-09","3.5m - 4m",3912001
"Rest of years","Innovator","2018-06-28","3m - 3.5m",3450000
"Q3","Follower","2021-08-24","4m - 4.5m",4339001
"Q1","Commodity","2021-02-06","4m - 4.5m",4106001
"Previous Year","Distribution","2020-10-12","3m - 3.5m",3159000
"Rest of years","Innovator","2018-06-25","3m - 3.5m",3161000
"Q2","Follower","2021-06-23","4m - 4.5m",4104001
"Rest of years","Commodity","2018-10-16","3m - 3.5m",3410000
"Q3","Distribution","2021-09-22","3.5m - 4m",3633001
"Q2","Innovator","2021-04-04","3m - 3.5m",3169000
"Q2","Distribution","2021-06-14","3m - 3.5m",3170000
"Rest of years","Follower","2018-03-14","4m - 4.5m",4246001
"Q3","Commodity","2021-09-23","4.5m - 5m",4820001
"Q3","Follower","2021-09-22","4m - 4.5m",4241001
"Q1","Distribution","2021-01-05","3m - 3.5m",3361000
"Previous Year","Commodity","2020-02-25","4m - 4.5m",4338001
"Rest of years","Innovator","2017-09-27","4m - 4.5m",4080001
"Q2","Innovator","2021-04-27","3m - 3.5m",3466000
"Q2","Follower","2021-05-19","3.5m - 4m",3718001
"Rest of years","Commodity","2019-10-11","3m - 3.5m",3238000
"Q3","Distribution","2021-09-26","3m - 3.5m",3008000
"Q2","Distribution","2021-06-16","4m - 4.5m",4120001
"Q3","Commodity","2021-07-09","4m - 4.5m",4141001
"Rest of years","Follower","2017-02-17","4m - 4.5m",4493001
"Previous Year","Innovator","2020-05-09","4m - 4.5m",4486001
"Rest of years","Distribution","2018-05-17","3m - 3.5m",3390000
"Q1","Follower","2021-01-20","3m - 3.5m",3279000
