"Case_Id","LeadingCause","CaseNumber","Variance"
"500B000000358V8IAI","Field_Service__c is false",12125,-0.8320000000000001
"500B000000356j7IAA","Origin is Website and Product_Family_KB__c is Computers",11453,1.24
"500B000000356j7IAA","of other factors",11453,1.9180000000000001
"500B000000356j7IAA","from the baseline",11453,80.39
"500B000000356j9IAA","of other factors",11455,2.074
"500B000000356jAIAQ","Origin is Website and Product_Family_KB__c is Video Games",11456,-2.235
"500B000000356jAIAQ","Origin is Website and Offer_Voucher__c is true",11456,1.1
"500B000000356jAIAQ","from the baseline",11456,80.39
"500B000000356jCIAQ","Product_Family_KB__c is Video Games and Reason is Feature Question",11458,-1.4269999999999998
"500B000000356jDIAQ","Product_Family_KB__c is Video Games and Status is Closed",11459,-1.025
"500B000000356jEIAQ","from the baseline",11460,80.39
"500B000000356jFIAQ","Origin is Website",11461,1.021
"500B000000356jFIAQ","of other factors",11461,-0.043
"500B000000356jHIAQ","Origin is Website and Field_Service__c is true",11463,1.2590000000000001
"500B000000356jHIAQ","Origin is Website",11463,1.021
"500B000000356jIIAQ","Origin is Website and Field_Service__c is true",11464,1.2590000000000001
"500B000000356jIIAQ","of other factors",11464,0.833
"500B000000356jJIAQ","from the baseline",11465,80.39
"500B000000356jMIAQ","Product_Family_KB__c is Video Games and Reason is Feature Question",11468,-1.4269999999999998
"500B000000356jOIAQ","Product_Family_KB__c is Cables and Offer_Voucher__c is false",11470,-1.063
"500B000000356jRIAQ","from the baseline",11473,80.39
"500B000000356jSIAQ","Origin is Website",11474,1.021
"500B000000356jSIAQ","of other factors",11474,-0.036000000000000004
"500B000000356jTIAQ","from the baseline",11475,80.39
"500B000000358dAIAQ","Product_Family_KB__c is Cameras and Reason is Feature Question",12623,1.245
"500B000000358dCIAQ","of other factors",12625,-2.978
"500B000000358dDIAQ","Origin is Chat and Field_Service__c is false",12626,-0.8109999999999999
"500B000000358dFIAQ","from the baseline",12628,80.39
"500B000000358dHIAQ","Origin is Chat and Reason is Feature Question",12630,-1.6269999999999998
"500B000000358dHIAQ","Product_Family_KB__c is Video Games and Reason is Feature Question",12630,-1.4269999999999998
"500B000000358dHIAQ","of other factors",12630,-1.6669999999999998
"500B000000358dIIAQ","from the baseline",12631,80.39
"500B000000358dKIAQ","Product_Family_KB__c is Cameras and Priority is Medium",12633,1.097
"500B000000358dKIAQ","from the baseline",12633,80.39
"500B000000358dMIAQ","Field_Service__c is true",12635,0.883
"500B000000358dPIAQ","Product_Family_KB__c is Headphones and Reason is Feature Question",12638,1.709
"500B000000358dQIAQ","of other factors",12639,-4.422
"500B000000358dRIAQ","Product_Family_KB__c is Home Audio and Reason is Feature Question",12640,1.1079999999999999
"500B000000358dWIAQ","of other factors",12645,-2.1109999999999998
"500B000000356m7IAA","Product_Family_KB__c is Headphones and Priority is High",11639,1.834
"500B000000356m9IAA","Origin is Website",11641,1.021
"500B000000356m9IAA","from the baseline",11641,80.39
"500B000000356mBIAQ","Origin is Website and Product_Family_KB__c is Video Games",11643,-2.235
"500B000000356mEIAQ","Origin is Website",11646,1.021
"500B000000356mIIAQ","Origin is Website",11650,1.021
"500B000000356mJIAQ","Origin is Website and Product_Family_KB__c is Cell Phones",11651,1.037
"500B000000356mKIAQ","of other factors",11652,-0.5770000000000001
"500B000000356mNIAQ","of other factors",11655,-1.0290000000000001
"500B000000356mQIAQ","Field_Service__c is false",11658,-0.8320000000000001
"500B000000356mQIAQ","from the baseline",11658,80.39
"500B000000358VAIAY","Field_Service__c is false",12127,-0.8320000000000001
"500B000000358VAIAY","Origin is Chat and Field_Service__c is false",12127,-0.8109999999999999
"500B000000358VBIAY","from the baseline",12128,80.39
"500B000000358VCIAY","Product_Family_KB__c is Video Games and MilestoneStatus__c is Closed - Compliant",12129,-0.9059999999999999
"500B000000358VDIAY","Product_Family_KB__c is Video Games",12130,-1.016
"500B000000358VEIAY","Field_Service__c is true",12131,0.883
"500B000000358VFIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",12132,1.035
"500B000000358VHIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",12134,1.035
"500B000000358VKIAY","of other factors",12137,-3.135
"500B000000358VKIAY","from the baseline",12137,80.39
"500B000000358VLIAY","Product_Family_KB__c is Home Audio and Priority is High",12138,1.474
"500B000000358VLIAY","Origin is Chat and Field_Service__c is false",12138,-0.8109999999999999
"500B000000358VPIAY","from the baseline",12142,80.39
"500B000000358VQIAY","Product_Family_KB__c is Cables",12143,-0.92
"500B000000358VQIAY","Origin is Chat and Field_Service__c is false",12143,-0.8109999999999999
"500B000000358VRIAY","Origin is Chat and Field_Service__c is true",12144,0.8079999999999999
"500B000000358VTIAY","of other factors",12146,-4.888999999999999
"500B000000358VTIAY","from the baseline",12146,80.39
"500B000000358VUIAY","of other factors",12147,-1.6569999999999998
"500B000000356jUIAQ","Product_Family_KB__c is Home Audio and Priority is Medium",11476,-1.392
"500B000000356jXIAQ","Product_Family_KB__c is TVs and Priority is High",11479,-0.7559999999999999
"500B000000356jZIAQ","Product_Family_KB__c is TVs and Priority is Medium",11481,0.945
"500B000000356jeIAA","of other factors",11486,-1.197
"500B000000356jfIAA","Origin is Website and Product_Family_KB__c is Cables",11487,-2.157
"500B000000356jhIAA","Product_Family_KB__c is Cell Phones and Priority is Medium",11489,1.0490000000000002
"500B000000356jhIAA","Origin is Website",11489,1.021
"500B000000356jiIAA","from the baseline",11490,80.39
"500B000000356jlIAA","Field_Service__c is false",11493,-0.8320000000000001
"500B000000356jlIAA","from the baseline",11493,80.39
"500B000000356jmIAA","Origin is Website",11494,1.021
"500B000000356jnIAA","Origin is Website",11495,1.021
"500B000000356jnIAA","of other factors",11495,4.534
"500B000000356joIAA","from the baseline",11496,80.39
"500B000000358dZIAQ","from the baseline",12648,80.39
"500B000000358dbIAA","Field_Service__c is false",12650,-0.8320000000000001
"500B000000358ddIAA","of other factors",12652,-0.461
"500B000000358deIAA","from the baseline",12653,80.39
"500B000000358dfIAA","from the baseline",12654,80.39
"500B000000358diIAA","Product_Family_KB__c is Cables",12657,-0.92
"500B000000358diIAA","from the baseline",12657,80.39
"500B000000358dkIAA","Field_Service__c is false",12659,-0.8320000000000001
"500B000000358dlIAA","of other factors",12660,-2.699
"500B000000358dnIAA","Field_Service__c is false",12662,-0.8320000000000001
"500B000000358dnIAA","of other factors",12662,-0.005
"500B000000358doIAA","Field_Service__c is false",12663,-0.8320000000000001
"500B000000358dsIAA","of other factors",12667,2.24
"500B000000356mUIAQ","Origin is Website and Offer_Voucher__c is true",11662,1.1
"500B000000356mVIAQ","from the baseline",11663,80.39
"500B000000356mWIAQ","of other factors",11664,-1.849
"500B000000356mXIAQ","Origin is Website",11665,1.021
"500B000000356mXIAQ","of other factors",11665,2.04
"500B000000356mZIAQ","from the baseline",11667,80.39
"500B000000356maIAA","Product_Family_KB__c is Headphones and Priority is Medium",11668,-1.083
"500B000000356mdIAA","Origin is Website and Type_of_Support__c is Silver",11671,1.58
"500B000000356mdIAA","from the baseline",11671,80.39
"500B000000356mfIAA","Origin is Website and Type_of_Support__c is Silver",11673,1.58
"500B000000356mhIAA","Origin is Website and Product_Family_KB__c is Cables",11675,-2.157
"500B000000356miIAA","Origin is Website and Field_Service__c is true",11676,1.2590000000000001
"500B000000356miIAA","from the baseline",11676,80.39
"500B000000356mlIAA","Origin is Website and Product_Family_KB__c is Cables",11679,-2.157
"500B000000356mlIAA","of other factors",11679,-1.548
"500B000000356mmIAA","Origin is Website and Field_Service__c is true",11680,1.2590000000000001
"500B000000356moIAA","Origin is Website and Product_Family_KB__c is Cell Phones",11682,1.037
"500B000000358VXIAY","Product_Family_KB__c is Headphones and Priority is High",12150,1.834
"500B000000358VXIAY","Field_Service__c is false",12150,-0.8320000000000001
"500B000000358VXIAY","from the baseline",12150,80.39
"500B000000358VcIAI","Product_Family_KB__c is Video Games and Status is Closed",12155,-1.025
"500B000000358VcIAI","from the baseline",12155,80.39
"500B000000358VeIAI","of other factors",12157,-2.289
"500B000000358VgIAI","Product_Family_KB__c is DVD Players and Priority is Medium",12159,1.945
"500B000000358VgIAI","Field_Service__c is false",12159,-0.8320000000000001
"500B000000358VgIAI","from the baseline",12159,80.39
"500B000000358VhIAI","Field_Service__c is false",12160,-0.8320000000000001
"500B000000358VjIAI","Field_Service__c is false",12162,-0.8320000000000001
"500B000000358VjIAI","Origin is Chat and Field_Service__c is false",12162,-0.8109999999999999
"500B000000358VkIAI","from the baseline",12163,80.39
"500B000000358VlIAI","from the baseline",12164,80.39
"500B000000358VoIAI","of other factors",12167,-3.048
"500B000000358VqIAI","Product_Family_KB__c is Video Games and Status is Closed",12169,-1.025
"500B000000358VqIAI","Product_Family_KB__c is Video Games",12169,-1.016
"500B000000358VrIAI","Product_Family_KB__c is Video Games and Status is Closed",12170,-1.025
"500B000000356jsIAA","Origin is Website and Offer_Voucher__c is true",11500,1.1
"500B000000356juIAA","Product_Family_KB__c is Computers and Priority is High",11502,-1.341
"500B000000356jvIAA","Product_Family_KB__c is DVD Players and Priority is Medium",11503,1.945
"500B000000356jxIAA","Origin is Website",11505,1.021
"500B000000356jxIAA","of other factors",11505,3.2260000000000004
"500B000000356jyIAA","from the baseline",11506,80.39
"500B000000356k1IAA","Origin is Website and Field_Service__c is true",11509,1.2590000000000001
"500B000000356k3IAA","Origin is Website",11511,1.021
"500B000000356k3IAA","of other factors",11511,-1.058
"500B000000356k4IAA","Product_Family_KB__c is Home Audio and Priority is Medium",11512,-1.392
"500B000000356k4IAA","Field_Service__c is false",11512,-0.8320000000000001
"500B000000356k7IAA","Origin is Website",11515,1.021
"500B000000356k9IAA","Origin is Website and Product_Family_KB__c is Video Games",11517,-2.235
"500B000000356kBIAQ","of other factors",11519,-1.7009999999999998
"500B000000356kCIAQ","from the baseline",11520,80.39
"500B000000356kDIAQ","Origin is Website and Product_Family_KB__c is Cables",11521,-2.157
"500B000000358dtIAA","Product_Family_KB__c is Cameras",12668,1.02
"500B000000358dtIAA","of other factors",12668,1.229
"500B000000358dwIAA","Product_Family_KB__c is DVD Players and Priority is Medium",12671,1.945
"500B000000358dwIAA","Field_Service__c is false",12671,-0.8320000000000001
"500B000000358dxIAA","Origin is Chat and Field_Service__c is false",12672,-0.8109999999999999
"500B000000358dxIAA","of other factors",12672,-4.993
"500B000000358dzIAA","Product_Family_KB__c is Headphones and Priority is Low",12674,-1.012
"500B000000358e3IAA","Product_Family_KB__c is TVs and Type_of_Support__c is Platinum",12678,-0.818
"500B000000358e3IAA","from the baseline",12678,80.39
"500B000000358e7IAA","Origin is Chat and Field_Service__c is true",12682,0.8079999999999999
"500B000000358e9IAA","of other factors",12684,-1.2990000000000002
"500B000000358eAIAQ","of other factors",12685,-4.477
"500B000000356mpIAA","of other factors",11683,0.499
"500B000000356mqIAA","Product_Family_KB__c is Cell Phones and Priority is Low",11684,-1.226
"500B000000356msIAA","Origin is Website and Product_Family_KB__c is Computers",11686,1.24
"500B000000356mtIAA","of other factors",11687,-2.4090000000000003
"500B000000356mvIAA","of other factors",11689,1.037
"500B000000356myIAA","of other factors",11692,-0.099
"500B000000356mzIAA","Field_Service__c is false",11693,-0.8320000000000001
"500B000000356n0IAA","from the baseline",11694,80.39
"500B000000356n2IAA","Origin is Website and Product_Family_KB__c is Computers",11696,1.24
"500B000000356n2IAA","of other factors",11696,6.225
"500B000000356n3IAA","Origin is Website",11697,1.021
"500B000000356n8IAA","Origin is Website and Type_of_Support__c is Silver",11702,1.58
"500B000000358VuIAI","Field_Service__c is true",12173,0.883
"500B000000358VuIAI","from the baseline",12173,80.39
"500B000000358VxIAI","Origin is Chat and Field_Service__c is false",12176,-0.8109999999999999
"500B000000358W5IAI","Product_Family_KB__c is DVD Players and Priority is Medium",12184,1.945
"500B000000358W5IAI","of other factors",12184,-4.178999999999999
"500B000000358W7IAI","Origin is Chat and Reason is Documentation",12186,0.938
"500B000000358W7IAI","from the baseline",12186,80.39
"500B000000358WDIAY","from the baseline",12192,80.39
"500B000000356kEIAQ","Origin is Website and Offer_Voucher__c is true",11522,1.1
"500B000000356kJIAQ","Origin is Website and Field_Service__c is true",11527,1.2590000000000001
"500B000000356kKIAQ","Origin is Website and Type_of_Support__c is Silver",11528,1.58
"500B000000356kOIAQ","of other factors",11532,-2.138
"500B000000356kPIAQ","Origin is Website and Product_Family_KB__c is Video Games",11533,-2.235
"500B000000356kRIAQ","of other factors",11535,0.659
"500B000000356kUIAQ","of other factors",11538,-0.306
"500B000000356kVIAQ","Origin is Website and Field_Service__c is true",11539,1.2590000000000001
"500B000000356kWIAQ","Origin is Website and Type_of_Support__c is Silver",11540,1.58
"500B000000356kYIAQ","Origin is Website and Type_of_Support__c is Silver",11542,1.58
"500B000000356kYIAQ","Origin is Website and Offer_Voucher__c is true",11542,1.1
"500B000000356kZIAQ","Origin is Website",11543,1.021
"500B000000356kaIAA","Origin is Website",11544,1.021
"500B000000356kaIAA","of other factors",11544,-0.6729999999999999
"500B000000358eHIAQ","Origin is Chat and Field_Service__c is false",12692,-0.8109999999999999
"500B000000358eLIAQ","from the baseline",12696,80.39
"500B000000358eMIAQ","Product_Family_KB__c is Tablets and Offer_Voucher__c is false",12697,0.826
"500B000000358eOIAQ","Product_Family_KB__c is TVs and Type_of_Support__c is Platinum",12699,-0.818
"500B000000358ePIAQ","from the baseline",12700,80.39
"500B000000358eSIAQ","Origin is Chat and Field_Service__c is true",12703,0.8079999999999999
"500B000000358eTIAQ","Origin is Chat and Field_Service__c is false",12704,-0.8109999999999999
"500B000000358eUIAQ","from the baseline",12705,80.39
"500B000000358eWIAQ","Origin is Chat and Product_Family_KB__c is Video Games",12707,0.853
"500B000000358eXIAQ","of other factors",12708,-1.17
"500B000000358eYIAQ","Product_Family_KB__c is TVs and Type_of_Support__c is Platinum",12709,-0.818
"500B000000358eZIAQ","from the baseline",12710,80.39
"500B000000358ecIAA","Product_Family_KB__c is Video Games and MilestoneStatus__c is Closed - Compliant",12713,-0.9059999999999999
"500B000000356nDIAQ","Origin is Website",11707,1.021
"500B000000356nFIAQ","Origin is Website",11709,1.021
"500B000000356nHIAQ","Origin is Website and Product_Family_KB__c is Video Games",11711,-2.235
"500B000000356nHIAQ","Product_Family_KB__c is Video Games and Status is Closed",11711,-1.025
"500B000000356nQIAQ","Origin is Website and Field_Service__c is true",11720,1.2590000000000001
"500B000000356nSIAQ","Product_Family_KB__c is DVD Players and Priority is Medium",11722,1.945
"500B000000356nSIAQ","Origin is Website",11722,1.021
"500B000000356nTIAQ","Origin is Website",11723,1.021
"500B000000356nUIAQ","of other factors",11724,1.722
"500B000000356nWIAQ","from the baseline",11726,80.39
"500B000000358WFIAY","of other factors",12194,-3.503
"500B000000358WGIAY","of other factors",12195,0.779
"500B000000358WIIAY","Field_Service__c is false",12197,-0.8320000000000001
"500B000000358WIIAY","from the baseline",12197,80.39
"500B000000358WJIAY","Field_Service__c is true",12198,0.883
"500B000000358WJIAY","Origin is Chat and Field_Service__c is true",12198,0.8079999999999999
"500B000000358WKIAY","Origin is Chat and Product_Family_KB__c is Video Games",12199,0.853
"500B000000358WKIAY","from the baseline",12199,80.39
"500B000000358WLIAY","from the baseline",12200,80.39
"500B000000358WMIAY","Product_Family_KB__c is Cameras and Offer_Voucher__c is false",12201,1.035
"500B000000358WOIAY","Origin is Chat and Reason is Documentation",12203,0.938
"500B000000358WPIAY","Product_Family_KB__c is Cameras",12204,1.02
"500B000000358WQIAY","of other factors",12205,-0.015
"500B000000358WUIAY","Product_Family_KB__c is Computers and Priority is Low",12209,2.516
"500B000000358WUIAY","Origin is Chat and Field_Service__c is true",12209,0.8079999999999999
"500B000000358WXIAY","from the baseline",12212,80.39
"500B000000358WYIAY","of other factors",12213,-3.1069999999999998
"500B000000358WZIAY","of other factors",12214,0.004
"500B000000358WaIAI","of other factors",12215,-2.9960000000000004
"500B000000356kbIAA","from the baseline",11545,80.39
"500B000000356kcIAA","Origin is Website and Offer_Voucher__c is true",11546,1.1
"500B000000356kdIAA","Origin is Website",11547,1.021
"500B000000356keIAA","Origin is Website and Field_Service__c is true",11548,1.2590000000000001
"500B000000356kfIAA","Product_Family_KB__c is DVD Players and Priority is High",11549,-1.712
"500B000000356kfIAA","from the baseline",11549,80.39
"500B000000356kiIAA","Origin is Website and Product_Family_KB__c is Video Games",11552,-2.235
"500B000000356kiIAA","Origin is Website and Field_Service__c is true",11552,1.2590000000000001
"500B000000356kjIAA","from the baseline",11553,80.39
"500B000000356kkIAA","from the baseline",11554,80.39
"500B000000356knIAA","from the baseline",11557,80.39
"500B000000356koIAA","of other factors",11558,-0.639
"500B000000356kqIAA","Origin is Website and Product_Family_KB__c is Video Games",11560,-2.235
"500B000000356kqIAA","Product_Family_KB__c is Video Games and Offer_Voucher__c is false",11560,-1.121
"500B000000356krIAA","from the baseline",11561,80.39
"500B000000356kuIAA","Product_Family_KB__c is Headphones and Priority is Low",11564,-1.012
"500B000000356kwIAA","of other factors",11566,6.528
"500B000000358edIAA","Product_Family_KB__c is Cameras",12714,1.02
"500B000000358efIAA","Field_Service__c is true",12716,0.883
"500B000000358egIAA","Field_Service__c is false",12717,-0.8320000000000001
"500B000000358ehIAA","Product_Family_KB__c is Headphones and Priority is High",12718,1.834
"500B000000358ehIAA","Field_Service__c is false",12718,-0.8320000000000001
"500B000000358ehIAA","of other factors",12718,-4.649
"500B000000358ekIAA","from the baseline",12721,80.39
"500B000000358emIAA","Product_Family_KB__c is Headphones and Priority is Medium",12723,-1.083
"500B000000358emIAA","of other factors",12723,-3.6830000000000003
"500B000000358enIAA","of other factors",12724,-3.241
"500B000000358eqIAA","Field_Service__c is false",12727,-0.8320000000000001
"500B000000358eqIAA","Origin is Chat and Field_Service__c is false",12727,-0.8109999999999999
"500B000000358euIAA","of other factors",12731,-0.8909999999999999
"500B000000356nZIAQ","Product_Family_KB__c is Headphones and Priority is Medium",11729,-1.083
"500B000000356naIAA","Field_Service__c is false",11730,-0.8320000000000001
"500B000000356ndIAA","Product_Family_KB__c is Video Games and Offer_Voucher__c is false",11733,-1.121
"500B000000356ndIAA","from the baseline",11733,80.39
"500B000000356ngIAA","Product_Family_KB__c is DVD Players and Priority is High",11736,-1.712
"500B000000356nhIAA","Origin is Website and Field_Service__c is true",11737,1.2590000000000001
"500B000000356nhIAA","from the baseline",11737,80.39
"500B000000356njIAA","from the baseline",11739,80.39
"500B000000356nmIAA","Field_Service__c is false",11742,-0.8320000000000001
"500B000000356nmIAA","Origin is Website and Status is Closed",11742,0.716
"500B000000356nnIAA","of other factors",11743,1.994
"500B000000356noIAA","of other factors",11744,-0.745
"500B000000356npIAA","Origin is Website and Offer_Voucher__c is true",11745,1.1
"500B000000356nqIAA","of other factors",11746,-0.032
"500B000000356nrIAA","Origin is Website and Product_Family_KB__c is Computers",11747,1.24
"500B000000358WdIAI","from the baseline",12218,80.39
"500B000000358WeIAI","from the baseline",12219,80.39
"500B000000358WfIAI","Origin is Chat and Offer_Voucher__c is false",12220,-0.634
"500B000000358WhIAI","Field_Service__c is true",12222,0.883
"500B000000358WhIAI","of other factors",12222,-1.133
"500B000000358WiIAI","of other factors",12223,3.155
"500B000000358WkIAI","Product_Family_KB__c is Headphones and Priority is High",12225,1.834
"500B000000358WkIAI","Origin is Chat and Field_Service__c is false",12225,-0.8109999999999999
"500B000000358WkIAI","from the baseline",12225,80.39
"500B000000358WlIAI","Field_Service__c is false",12226,-0.8320000000000001
"500B000000358WnIAI","from the baseline",12228,80.39
"500B000000358WoIAI","Product_Family_KB__c is Computers and Priority is Medium",12229,-0.838
"500B000000358WpIAI","Origin is Chat and Field_Service__c is false",12230,-0.8109999999999999
"500B000000358WsIAI","Field_Service__c is false",12233,-0.8320000000000001
"500B000000358WsIAI","of other factors",12233,-0.16
"500B000000358WuIAI","Product_Family_KB__c is TVs and Priority is High",12235,-0.7559999999999999
"500B000000358WuIAI","from the baseline",12235,80.39
"500B000000358WvIAI","of other factors",12236,1.5959999999999999
"500B000000358WwIAI","of other factors",12237,-0.13
"500B000000356kzIAA","Product_Family_KB__c is DVD Players and Reason is Feature Question",11569,-0.862
"500B000000356l2IAA","Origin is Website",11572,1.021
"500B000000356l7IAA","of other factors",11577,2.1790000000000003
"500B000000356l8IAA","of other factors",11578,-2.208
"500B000000356l8IAA","from the baseline",11578,80.39
"500B000000356lAIAQ","Origin is Website",11580,1.021
"500B000000356lBIAQ","Origin is Website and Field_Service__c is true",11581,1.2590000000000001
"500B000000356lBIAQ","Origin is Website",11581,1.021
"500B000000356lBIAQ","of other factors",11581,1.368
"500B000000356lEIAQ","Product_Family_KB__c is Computers and Priority is High",11584,-1.341
"500B000000356lGIAQ","Origin is Website and Type_of_Support__c is Silver",11586,1.58
"500B000000356lHIAQ","Origin is Website and Type_of_Support__c is Silver",11587,1.58
"500B000000356lIIAQ","Product_Family_KB__c is Video Games and Status is Closed",11588,-1.025
"500B000000358f0IAA","Origin is Chat and Field_Service__c is false",12737,-0.8109999999999999
"500B000000358f0IAA","of other factors",12737,-2.036
"500B000000358f0IAA","from the baseline",12737,80.39
"500B000000358f1IAA","of other factors",12738,-2.533
"500B000000358f2IAA","Product_Family_KB__c is DVD Players and Priority is High",12739,-1.712
"500B000000358f3IAA","of other factors",12740,-5.74
"500B000000358f4IAA","Field_Service__c is true",12741,0.883
"500B000000358f7IAA","of other factors",12744,-1.8319999999999999
"500B000000358f8IAA","Origin is Chat and Reason is Documentation",12745,0.938
"500B000000358f8IAA","of other factors",12745,-5.301
"500B000000358f9IAA","Product_Family_KB__c is Cables",12746,-0.92
"500B000000358fCIAQ","from the baseline",12749,80.39
"500B000000358fFIAQ","Origin is Chat and Field_Service__c is false",12752,-0.8109999999999999
"500B000000356o0IAA","Product_Family_KB__c is DVD Players and Priority is High",11756,-1.712
"500B000000356o1IAA","Origin is Website and Field_Service__c is true",11757,1.2590000000000001
"500B000000356o1IAA","from the baseline",11757,80.39
"500B000000356o2IAA","Origin is Website and Product_Family_KB__c is Video Games",11758,-2.235
"500B000000356o2IAA","of other factors",11758,-1.0190000000000001
"500B000000356o3IAA","of other factors",11759,-0.188
"500B000000356o7IAA","Origin is Website and Product_Family_KB__c is Video Games",11763,-2.235
"500B000000356o9IAA","of other factors",11765,5.644
"500B000000356oBIAQ","Origin is Website",11767,1.021
"500B000000356oCIAQ","of other factors",11768,-0.62
"500B000000356oDIAQ","of other factors",11769,-0.8490000000000001
"500B000000356oEIAQ","Origin is Website and Field_Service__c is true",11770,1.2590000000000001
"500B000000356oIIAQ","Field_Service__c is false",11774,-0.8320000000000001
"500B000000356oIIAQ","of other factors",11774,-0.401
"500B000000356UEIAY","of other factors",10535,0.7
"500B000000356UFIAY","of other factors",10536,-2.068
"500B000000356UFIAY","from the baseline",10536,80.39
"500B000000356UKIAY","Origin is Phone and Offer_Voucher__c is true",10541,-3.135
"500B000000356UKIAY","Origin is Phone",10541,-1.555
"500B000000356UMIAY","Origin is Phone",10543,-1.555
"500B000000356UNIAY","Origin is Phone and Offer_Voucher__c is false",10544,1.53
"500B000000356UOIAY","Product_Family_KB__c is Tablets and Priority is Low",10545,2.0909999999999997
"500B000000356UOIAY","Origin is Phone and Offer_Voucher__c is false",10545,1.53
"500B000000356UPIAY","Origin is Phone and IsEscalated is true",10546,-2.3169999999999997
"500B000000356UQIAY","Origin is Phone and Field_Service__c is false",10547,1.47
"500B000000356UTIAY","Origin is Phone and Field_Service__c is false",10550,1.47
"500B000000356UTIAY","from the baseline",10550,80.39
"500B000000356XAIAY","of other factors",10717,4.313
"500B000000356XIIAY","Origin is Phone and Field_Service__c is false",10725,1.47
"500B000000356XIIAY","from the baseline",10725,80.39
"500B000000356XMIAY","of other factors",10729,-2.3609999999999998
"500B000000356XMIAY","from the baseline",10729,80.39
"500B000000356XOIAY","of other factors",10731,-2.126
"500B000000356XTIAY","from the baseline",10736,80.39
"500B000000356XUIAY","from the baseline",10737,80.39
"500B000000356XVIAY","Origin is Phone and Reason is Unknown Failure",10738,-1.5119999999999998
"500B000000356XWIAY","Product_Family_KB__c is Headphones and Priority is High",10739,1.834
"500B000000356eTIAQ","Origin is Phone and Offer_Voucher__c is false",11170,1.53
"500B000000356eXIAQ","Origin is Website",11174,1.021
"500B000000356eXIAQ","Origin is Website and IsEscalated is true",11174,1.016
"500B000000356eaIAA","Origin is Phone and Field_Service__c is true",11177,-3.017
"500B000000356eaIAA","Origin is Phone",11177,-1.555
"500B000000356eaIAA","from the baseline",11177,80.39
"500B000000356edIAA","from the baseline",11180,80.39
"500B000000356eeIAA","Origin is Phone and Offer_Voucher__c is false",11181,1.53
"500B000000356ehIAA","Origin is Website and Product_Family_KB__c is Video Games",11184,-2.235
"500B000000356ehIAA","of other factors",11184,1.714
"500B000000356eiIAA","Origin is Phone",11185,-1.555
"500B000000356elIAA","Origin is Website and Product_Family_KB__c is Cameras",11188,1.656
"500B000000356OHIAY","Origin is Phone",10166,-1.555
"500B000000356OIIAY","Origin is Phone and Offer_Voucher__c is true",10167,-3.135
"500B000000356OJIAY","Origin is Phone and Field_Service__c is true",10168,-3.017
"500B000000356OKIAY","Origin is Phone and Field_Service__c is true",10169,-3.017
"500B000000356OLIAY","from the baseline",10170,80.39
"500B000000356OMIAY","from the baseline",10171,80.39
"500B000000356OPIAY","Origin is Phone",10174,-1.555
"500B000000356OQIAY","Origin is Phone and Offer_Voucher__c is false",10175,1.53
"500B000000356OSIAY","Product_Family_KB__c is Computers and Priority is Low",10177,2.516
"500B000000356OXIAY","Origin is Phone and Reason is Unknown Failure",10182,-1.5119999999999998
"500B000000356OYIAY","Origin is Phone",10183,-1.555
"500B000000356OYIAY","Origin is Phone and Reason is Documentation",10183,-1.514
"500B000000356OZIAY","Origin is Phone and Offer_Voucher__c is false",10184,1.53
"500B000000356OcIAI","from the baseline",10187,80.39
"500B000000356XXIAY","from the baseline",10740,80.39
"500B000000356XbIAI","Origin is Phone",10744,-1.555
"500B000000356XeIAI","from the baseline",10747,80.39
"500B000000356XgIAI","Origin is Phone and Reason is Documentation",10749,-1.514
"500B000000356XjIAI","Origin is Phone",10752,-1.555
"500B000000356XmIAI","Origin is Phone",10755,-1.555
"500B000000356XmIAI","of other factors",10755,-5.484
"500B000000356XsIAI","of other factors",10761,-1.288
"500B000000356XtIAI","Origin is Phone and Offer_Voucher__c is false",10762,1.53
"500B000000356XtIAI","of other factors",10762,-0.631
"500B000000356aXIAQ","Origin is Phone and Offer_Voucher__c is false",10926,1.53
"500B000000356aYIAQ","Origin is Phone and Field_Service__c is false",10927,1.47
"500B000000356aaIAA","from the baseline",10929,80.39
"500B000000356afIAA","from the baseline",10934,80.39
"500B000000356agIAA","from the baseline",10935,80.39
"500B000000356aiIAA","Origin is Phone and Field_Service__c is true",10937,-3.017
"500B000000356akIAA","of other factors",10939,1.2830000000000001
"500B000000356alIAA","of other factors",10940,-0.257
"500B000000356anIAA","from the baseline",10942,80.39
"500B000000356eoIAA","Origin is Website",11191,1.021
"500B000000356epIAA","Origin is Phone",11192,-1.555
"500B000000356epIAA","of other factors",11192,-5.818
"500B000000356erIAA","from the baseline",11194,80.39
"500B000000356euIAA","of other factors",11197,-3.117
"500B000000356exIAA","Origin is Phone",11200,-1.555
"500B000000356eyIAA","from the baseline",11201,80.39
"500B000000356ezIAA","Origin is Phone",11202,-1.555
"500B000000356f0IAA","Origin is Phone",11203,-1.555
"500B000000356f1IAA","from the baseline",11204,80.39
"500B000000356fDIAQ","Origin is Phone and Offer_Voucher__c is false",11211,1.53
"500B000000356fDIAQ","from the baseline",11211,80.39
"500B000000356OeIAI","of other factors",10189,0.91
"500B000000356OgIAI","from the baseline",10191,80.39
"500B000000356OhIAI","of other factors",10192,0.633
